municipality,group,variable,month,Total 11.5 Nacidos vivos con peso menor a 2500g,TOTAL
SENA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,43,43
TARABUCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,2,2
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,26,26
TOMAVE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
TOTORA(CBBA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,16,16
TUPIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,2,2
UYUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,2,2
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,2,2
VILLAZON,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
WARNES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,3,3
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,6,6
YOTALA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-02-01,1,1
ACACIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
ARQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,3,3
BELLA FLOR,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,2,2
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
CAMARGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,2,2
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,2,2
CARAPARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,3,3
CHIMORE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,5,5
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,111,111
"COLCHA ""K""",atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
COLOMI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
COTAGAITA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
COTOCA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,3,3
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,144,144
EL PUENTE(TJA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
EL TORNO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
ENTRE RIOS CBBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,3,3
HUANUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,5,5
LA ASUNTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,150,150
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,4,4
MAGDALENA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,3,3
MOROCHATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
OCURI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,3,3
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,34,34
PADILLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,3,3
PATACAMAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
POJO (CBBA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,53,53
PUERTO GONZALO MORENO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,3,3
PUNA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,7,7
REYES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,4,4
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,13,13
RURRENABAQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,3,3
SACABA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
SACACA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,5,5
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,2,2
SAN JULIAN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,2,2
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,119,119
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,33,33
TARABUCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,20,20
TARVITA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,4,4
TIQUIPAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,2,2
TOLEDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
TORO TORO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,12,12
TUPIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,3,3
UYUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,2,2
VILLA CHARCAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,3,3
VILLAZON,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,2,2
WARNES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,4,4
YAPACANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-03-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
ATOCHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,2,2
CABEZAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
CALAMARCA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
CAMARGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,5,5
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
CHAQUI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,4,4
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,13,13
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,84,84
COLQUECHACA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,3,3
COTOCA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,48,48
EL PUENTE(TJA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,3,3
GUTIERREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
IXIAMAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,146,146
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,4,4
MINEROS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,5,5
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,37,37
PADCAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
PALOS BLANCOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
PATACAMAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,4,4
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,53,53
PUERTO ACOSTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
PUERTO SILES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,2,2
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,2,2
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,3,3
REYES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,28,28
RURRENABAQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,4,4
SACACA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,2,2
SAN ANDRES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,3,3
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,33,33
SAN JULIAN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,2,2
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,110,110
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,30,30
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,18,18
TEOPONTE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
TIPUANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
TIQUIPAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,2,2
TOMAVE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
TOTORA(CBBA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,14,14
TUPIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,2,2
UYUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,27,27
VIACHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,29,29
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,4,4
VILLA TUNARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,3,3
VILLAZON,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
WARNES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,1,1
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,10,10
YAPACANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-04-01,2,2
ACACIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,2,2
ACHACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,2,2
AIQUILE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
BAURES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-05-01,1,1
