municipality,group,variable,month,Total 11.3 Nacidos vivos,TOTAL
LLALLAGUA,atencion de partos en servicios,nacidos vivos,2014-01-01,55,55
LLICA,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
LORETO,atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
LURIBAY,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
MACHACAMARCA,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
MACHARETI,atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
MAGDALENA,atencion de partos en servicios,nacidos vivos,2014-01-01,23,23
MAIRANA,atencion de partos en servicios,nacidos vivos,2014-01-01,34,34
MAPIRI,atencion de partos en servicios,nacidos vivos,2014-01-01,15,15
MECAPACA,atencion de partos en servicios,nacidos vivos,2014-01-01,5,5
MINEROS,atencion de partos en servicios,nacidos vivos,2014-01-01,21,21
MIZQUE,atencion de partos en servicios,nacidos vivos,2014-01-01,35,35
MOCOMOCO,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
MOJOCOYA,atencion de partos en servicios,nacidos vivos,2014-01-01,9,9
MONTEAGUDO,atencion de partos en servicios,nacidos vivos,2014-01-01,45,45
MONTERO,atencion de partos en servicios,nacidos vivos,2014-01-01,366,366
MORO MORO,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
MOROCHATA,atencion de partos en servicios,nacidos vivos,2014-01-01,8,8
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
OCURI,atencion de partos en servicios,nacidos vivos,2014-01-01,11,11
OKINAWA,atencion de partos en servicios,nacidos vivos,2014-01-01,15,15
OMEREQUE,atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
ORURO,atencion de partos en servicios,nacidos vivos,2014-01-01,652,652
PADCAYA,atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
PADILLA,atencion de partos en servicios,nacidos vivos,2014-01-01,23,23
PAILON,atencion de partos en servicios,nacidos vivos,2014-01-01,33,33
PALCA,atencion de partos en servicios,nacidos vivos,2014-01-01,9,9
PALOS BLANCOS,atencion de partos en servicios,nacidos vivos,2014-01-01,41,41
PAMPA AULLAGAS,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
PAMPA GRANDE,atencion de partos en servicios,nacidos vivos,2014-01-01,5,5
PASORAPA,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
PATACAMAYA,atencion de partos en servicios,nacidos vivos,2014-01-01,22,22
PAZÑA,atencion de partos en servicios,nacidos vivos,2014-01-01,5,5
POCOATA,atencion de partos en servicios,nacidos vivos,2014-01-01,9,9
POCONA,atencion de partos en servicios,nacidos vivos,2014-01-01,13,13
POJO (CBBA),atencion de partos en servicios,nacidos vivos,2014-01-01,8,8
POOPO,atencion de partos en servicios,nacidos vivos,2014-01-01,5,5
PORCO,atencion de partos en servicios,nacidos vivos,2014-01-01,5,5
POROMA,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
PORONGO,atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
PORTACHUELO,atencion de partos en servicios,nacidos vivos,2014-01-01,49,49
PORVENIR,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
POTOSI,atencion de partos en servicios,nacidos vivos,2014-01-01,437,437
PRESTO,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
PUCARA,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
PUCARANI,atencion de partos en servicios,nacidos vivos,2014-01-01,8,8
PUERTO ACOSTA,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
PUERTO CARABUCO,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
PUERTO GONZALO MORENO,atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
PUERTO QUIJARRO,atencion de partos en servicios,nacidos vivos,2014-01-01,22,22
PUERTO RICO,atencion de partos en servicios,nacidos vivos,2014-01-01,10,10
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos,2014-01-01,47,47
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos,2014-01-01,125,125
PUNA,atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
PUNATA,atencion de partos en servicios,nacidos vivos,2014-01-01,80,80
QUIABAYA,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos vivos,2014-01-01,156,156
QUIME,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
RAVELO,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
REYES,atencion de partos en servicios,nacidos vivos,2014-01-01,11,11
RIBERALTA,atencion de partos en servicios,nacidos vivos,2014-01-01,287,287
ROBORE,atencion de partos en servicios,nacidos vivos,2014-01-01,24,24
RURRENABAQUE,atencion de partos en servicios,nacidos vivos,2014-01-01,42,42
SACABA,atencion de partos en servicios,nacidos vivos,2014-01-01,175,175
SACABAMBA,atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
SACACA,atencion de partos en servicios,nacidos vivos,2014-01-01,13,13
SAIPINA,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,nacidos vivos,2014-01-01,14,14
SAMAIPATA,atencion de partos en servicios,nacidos vivos,2014-01-01,13,13
SAN ANDRES,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
SAN BENITO,atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
SAN BORJA,atencion de partos en servicios,nacidos vivos,2014-01-01,71,71
SAN BUENA VENTURA,atencion de partos en servicios,nacidos vivos,2014-01-01,16,16
SAN CARLOS,atencion de partos en servicios,nacidos vivos,2014-01-01,28,28
SAN IGNACIO,atencion de partos en servicios,nacidos vivos,2014-01-01,37,37
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos,2014-01-01,101,101
SAN JAVIER(BNI),atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
SAN JAVIER(STC),atencion de partos en servicios,nacidos vivos,2014-01-01,29,29
SAN JOAQUIN,atencion de partos en servicios,nacidos vivos,2014-01-01,5,5
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos,2014-01-01,42,42
SAN JUAN DE YAPACANI,atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
SAN JULIAN,atencion de partos en servicios,nacidos vivos,2014-01-01,54,54
SAN LORENZO(PND),atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
SAN LORENZO(TJA),atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos vivos,2014-01-01,37,37
SAN MATIAS,atencion de partos en servicios,nacidos vivos,2014-01-01,19,19
SAN MIGUEL DE VELASCO,atencion de partos en servicios,nacidos vivos,2014-01-01,13,13
SAN PEDRO,atencion de partos en servicios,nacidos vivos,2014-01-01,9,9
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,nacidos vivos,2014-01-01,15,15
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
SAN RAFAEL,atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
SAN RAMON BENI,atencion de partos en servicios,nacidos vivos,2014-01-01,7,7
SAN RAMON SCZ,atencion de partos en servicios,nacidos vivos,2014-01-01,18,18
SANTA ANA,atencion de partos en servicios,nacidos vivos,2014-01-01,36,36
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos,2014-01-01,3814,3814
SANTA ROSA,atencion de partos en servicios,nacidos vivos,2014-01-01,20,20
SANTA ROSA DEL SARA,atencion de partos en servicios,nacidos vivos,2014-01-01,16,16
SANTIAGO DE CALLAPA,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
SANTIAGO DE HUARI,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
SANTIAGO DE HUATA,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
SANTIAGO DE MACHACA,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
SANTIVAÑES,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
SAPAHAQUI,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
SENA,atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
SHINAOTA,atencion de partos en servicios,nacidos vivos,2014-01-01,34,34
SICA SICA (VILLA AROMA),atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
SIPE SIPE,atencion de partos en servicios,nacidos vivos,2014-01-01,40,40
SOPACHUY,atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
SORACACHI,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
SORATA,atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
SUCRE,atencion de partos en servicios,nacidos vivos,2014-01-01,556,556
TACACOMA,atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
TACOBAMBA,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
TACOPAYA,atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
TAHUA,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
TAPACARI,atencion de partos en servicios,nacidos vivos,2014-01-01,5,5
TARABUCO,atencion de partos en servicios,nacidos vivos,2014-01-01,14,14
TARACO,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
TARATA,atencion de partos en servicios,nacidos vivos,2014-01-01,12,12
TARIJA,atencion de partos en servicios,nacidos vivos,2014-01-01,475,475
TARVITA,atencion de partos en servicios,nacidos vivos,2014-01-01,19,19
TEOPONTE,atencion de partos en servicios,nacidos vivos,2014-01-01,14,14
TIAWANACU,atencion de partos en servicios,nacidos vivos,2014-01-01,9,9
TINGUIPAYA,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
TIPUANI,atencion de partos en servicios,nacidos vivos,2014-01-01,13,13
TIQUIPAYA,atencion de partos en servicios,nacidos vivos,2014-01-01,84,84
TIRAQUE (CBBA),atencion de partos en servicios,nacidos vivos,2014-01-01,21,21
TOCO,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
TOLATA,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
TOMAVE,atencion de partos en servicios,nacidos vivos,2014-01-01,8,8
TOMINA,atencion de partos en servicios,nacidos vivos,2014-01-01,8,8
TORO TORO,atencion de partos en servicios,nacidos vivos,2014-01-01,7,7
TOTORA(CBBA),atencion de partos en servicios,nacidos vivos,2014-01-01,24,24
TOTORA(ORR),atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
TRIGAL,atencion de partos en servicios,nacidos vivos,2014-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos vivos,2014-01-01,376,376
TUPIZA,atencion de partos en servicios,nacidos vivos,2014-01-01,78,78
TURCO,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
UMALA,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
UNCIA,atencion de partos en servicios,nacidos vivos,2014-01-01,21,21
URIONDO (A. CONCEPCION),atencion de partos en servicios,nacidos vivos,2014-01-01,7,7
URUBICHA,atencion de partos en servicios,nacidos vivos,2014-01-01,4,4
UYUNI,atencion de partos en servicios,nacidos vivos,2014-01-01,59,59
VACAS,atencion de partos en servicios,nacidos vivos,2014-01-01,5,5
VALLEGRANDE,atencion de partos en servicios,nacidos vivos,2014-01-01,38,38
VIACHA,atencion de partos en servicios,nacidos vivos,2014-01-01,42,42
VILA VILA,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
VILLA CHARCAS,atencion de partos en servicios,nacidos vivos,2014-01-01,9,9
VILLA MONTES,atencion de partos en servicios,nacidos vivos,2014-01-01,102,102
VILLA RIVERO,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
VILLA SERRANO,atencion de partos en servicios,nacidos vivos,2014-01-01,9,9
VILLA TUNARI,atencion de partos en servicios,nacidos vivos,2014-01-01,138,138
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,nacidos vivos,2014-01-01,7,7
VILLAZON,atencion de partos en servicios,nacidos vivos,2014-01-01,64,64
VINTO,atencion de partos en servicios,nacidos vivos,2014-01-01,55,55
VITICHI,atencion de partos en servicios,nacidos vivos,2014-01-01,5,5
WARNES,atencion de partos en servicios,nacidos vivos,2014-01-01,134,134
YACO,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
YACUIBA,atencion de partos en servicios,nacidos vivos,2014-01-01,201,201
YAMPARAEZ,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
YANACACHI,atencion de partos en servicios,nacidos vivos,2014-01-01,2,2
YAPACANI,atencion de partos en servicios,nacidos vivos,2014-01-01,106,106
YOCALLA,atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
YOTALA,atencion de partos en servicios,nacidos vivos,2014-01-01,11,11
YUNCHARA,atencion de partos en servicios,nacidos vivos,2014-01-01,3,3
ZUDAÑEZ,atencion de partos en servicios,nacidos vivos,2014-01-01,6,6
ACACIO,atencion de partos en servicios,nacidos vivos,2014-02-01,3,3
ACHACACHI,atencion de partos en servicios,nacidos vivos,2014-02-01,26,26
ACHOCALLA,atencion de partos en servicios,nacidos vivos,2014-02-01,6,6
AIQUILE,atencion de partos en servicios,nacidos vivos,2014-02-01,22,22
ALCALA,atencion de partos en servicios,nacidos vivos,2014-02-01,2,2
ALTO BENI,atencion de partos en servicios,nacidos vivos,2014-02-01,10,10
ANCORAIMES,atencion de partos en servicios,nacidos vivos,2014-02-01,6,6
ANTEQUERA,atencion de partos en servicios,nacidos vivos,2014-02-01,4,4
ANZALDO,atencion de partos en servicios,nacidos vivos,2014-02-01,5,5
APOLO,atencion de partos en servicios,nacidos vivos,2014-02-01,10,10
ARAMPAMPA,atencion de partos en servicios,nacidos vivos,2014-02-01,1,1
ARANI,atencion de partos en servicios,nacidos vivos,2014-02-01,11,11
ARBIETO,atencion de partos en servicios,nacidos vivos,2014-02-01,11,11
ARQUE,atencion de partos en servicios,nacidos vivos,2014-02-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos,2014-02-01,60,60
ATOCHA,atencion de partos en servicios,nacidos vivos,2014-02-01,13,13
AYATA,atencion de partos en servicios,nacidos vivos,2014-02-01,2,2
AYO AYO,atencion de partos en servicios,nacidos vivos,2014-02-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos,2014-02-01,16,16
AZURDUY,atencion de partos en servicios,nacidos vivos,2014-02-01,4,4
BATALLAS,atencion de partos en servicios,nacidos vivos,2014-02-01,4,4
BAURES,atencion de partos en servicios,nacidos vivos,2014-02-01,4,4
BELEN DE URMIRI,atencion de partos en servicios,nacidos vivos,2014-02-01,1,1
BELLA FLOR,atencion de partos en servicios,nacidos vivos,2014-02-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos,2014-02-01,68,68
BETANZOS,atencion de partos en servicios,nacidos vivos,2014-02-01,37,37
BOLIVAR,atencion de partos en servicios,nacidos vivos,2014-02-01,1,1
BUENA VISTA,atencion de partos en servicios,nacidos vivos,2014-02-01,9,9
CABEZAS,atencion de partos en servicios,nacidos vivos,2014-02-01,26,26
CAIROMA,atencion de partos en servicios,nacidos vivos,2014-02-01,9,9
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos,2014-02-01,5,5
CAJUATA,atencion de partos en servicios,nacidos vivos,2014-02-01,8,8
CALACOTO,atencion de partos en servicios,nacidos vivos,2014-02-01,2,2
CALAMARCA,atencion de partos en servicios,nacidos vivos,2014-02-01,4,4
CAMARGO,atencion de partos en servicios,nacidos vivos,2014-02-01,23,23
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,nacidos vivos,2014-02-01,5,5
CAMIRI,atencion de partos en servicios,nacidos vivos,2014-02-01,100,100
CAPINOTA,atencion de partos en servicios,nacidos vivos,2014-02-01,19,19
CAQUIAVIRI,atencion de partos en servicios,nacidos vivos,2014-02-01,1,1
CARACOLLO,atencion de partos en servicios,nacidos vivos,2014-02-01,11,11
CARANAVI,atencion de partos en servicios,nacidos vivos,2014-02-01,73,73
CARAPARI,atencion de partos en servicios,nacidos vivos,2014-02-01,6,6
CARIPUYO,atencion de partos en servicios,nacidos vivos,2014-02-01,4,4
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos vivos,2014-02-01,8,8
CHALLAPATA,atencion de partos en servicios,nacidos vivos,2014-02-01,43,43
CHAQUI,atencion de partos en servicios,nacidos vivos,2014-02-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos,2014-02-01,43,43
CHAYANTA,atencion de partos en servicios,nacidos vivos,2014-02-01,8,8
CHIMORE,atencion de partos en servicios,nacidos vivos,2014-02-01,14,14
CHIPAYA,atencion de partos en servicios,nacidos vivos,2014-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos,2014-02-01,33,33
CHUMA,atencion de partos en servicios,nacidos vivos,2014-02-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,nacidos vivos,2014-02-01,8,8
CKOCHAS,atencion de partos en servicios,nacidos vivos,2014-02-01,4,4
CLIZA,atencion de partos en servicios,nacidos vivos,2014-02-01,32,32
COBIJA,atencion de partos en servicios,nacidos vivos,2014-02-01,128,128
COCAPATA,atencion de partos en servicios,nacidos vivos,2014-02-01,9,9
COCHABAMBA,atencion de partos en servicios,nacidos vivos,2014-02-01,1498,1498
COIPASA,atencion de partos en servicios,nacidos vivos,2014-02-01,1,1
COLCAPIRHUA,atencion de partos en servicios,nacidos vivos,2014-02-01,40,40
"COLCHA ""K""",atencion de partos en servicios,nacidos vivos,2014-02-01,4,4
COLLANA,atencion de partos en servicios,nacidos vivos,2014-02-01,1,1
COLOMI,atencion de partos en servicios,nacidos vivos,2014-02-01,17,17
COLPA BELGICA,atencion de partos en servicios,nacidos vivos,2014-02-01,1,1
COLQUECHACA,atencion de partos en servicios,nacidos vivos,2014-02-01,7,7
COLQUENCHA,atencion de partos en servicios,nacidos vivos,2014-02-01,8,8
COLQUIRI,atencion de partos en servicios,nacidos vivos,2014-02-01,5,5
COMARAPA,atencion de partos en servicios,nacidos vivos,2014-02-01,22,22
CONCEPCION,atencion de partos en servicios,nacidos vivos,2014-02-01,29,29
COPACABANA,atencion de partos en servicios,nacidos vivos,2014-02-01,4,4
