municipality,group,variable,month,Total 11.6 Nacidos muertos con peso menor a 2500g,TOTAL
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,6,6
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,3,3
SAN IGNACIO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,2,2
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
TAPACARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,2,2
TOTORA(CBBA),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-03-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,10,10
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,18,18
EL TORNO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,2,2
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,11,11
LAS CARRERAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,4,4
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,4,4
PADILLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,5,5
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,4,4
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,7,7
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,2,2
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,1,1
ZUDAÑEZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-04-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,13,13
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,17,17
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,2,2
HUANUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,15,15
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,4,4
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,2,2
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,2,2
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,2,2
RAVELO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,3,3
RURRENABAQUE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,3,3
SAN CARLOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,4,4
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,5,5
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,6,6
UYUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,1,1
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-05-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
BOYUIBE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,17,17
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,9,9
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,12,12
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,2,2
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,3,3
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,3,3
PAILON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,7,7
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,4,4
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,5,5
RURRENABAQUE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,11,11
SORATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,4,4
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,5,5
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,2,2
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-06-01,3,3
AIQUILE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,2,2
BETANZOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,1,1
BOYUIBE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,2,2
CLIZA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,18,18
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,15,15
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,1,1
HUANUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,11,11
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,3,3
PORTACHUELO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,2,2
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,5,5
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,3,3
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,2,2
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,2,2
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-07-01,3,3
ACHACACHI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
ALCALA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
CABEZAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,2,2
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,13,13
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,9,9
EL PUENTE(STC),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
HUANUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,6,6
MAGDALENA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,4,4
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,2,2
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,7,7
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,3,3
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,2,2
RURRENABAQUE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,2,2
SAN IGNACIO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,2,2
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,2,2
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,4,4
TIQUIPAYA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
YOCALLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-08-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
BETANZOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,9,9
CONCEPCION,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,18,18
HUANUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,14,14
MAIRANA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,2,2
OKINAWA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,2,2
PADILLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,2,2
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,4,4
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,3,3
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,4,4
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
SAN BUENA VENTURA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,13,13
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,2,2
TARABUCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
TIQUIPAYA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
VIACHA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,2,2
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,4,4
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-09-01,1,1
AIQUILE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
BAURES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
BETANZOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,2,2
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,2,2
CHAYANTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,4,4
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,3,3
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,12,12
CONCEPCION,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
COROICO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,12,12
FERNANDEZ ALONSO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,13,13
MONTEAGUDO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,6,6
PORTACHUELO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
PORVENIR,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,4,4
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,3,3
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,4,4
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,3,3
REYES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
SAN ANDRES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,8,8
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,7,7
SICA SICA (VILLA AROMA),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,2,2
SIPE SIPE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,10,10
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-10-01,3,3
ANTEQUERA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
BETANZOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,4,4
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2014-11-01,18,18
