municipality,group,variable,month,Nacidos vivos atendidos por partera,TOTAL
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,6,6
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
LORETO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,7,7
PAILON,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
PATACAMAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,2,2
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
PUERTO SILES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,5,5
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
SACABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,6,6
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,4,4
SAN LORENZO(PND),atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,4,4
SAN MATIAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
SANTIVAÑES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
SORATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,3,3
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,6,6
TARIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,2,2
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,2,2
UNCIA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
UYUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
WALDO BALLIVIAN,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
YAPACANI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-04-01,1,1
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
BOLPEBRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,22,22
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,2,2
CURVA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,4,4
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,2,2
MAGDALENA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,7,7
PORTACHUELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
REYES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
ROBORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
SAMAIPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,2,2
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,8,8
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,2,2
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,6,6
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,4,4
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-05-01,2,2
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,40,40
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,2,2
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,3,3
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
CURVA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,2,2
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,2,2
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,4,4
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
PAZÑA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,3,3
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
PUERTO SUAREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,2,2
SACABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,3,3
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,6,6
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,5,5
SAN MATIAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
TARIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,2,2
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,5,5
UNCIA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-06-01,1,1
BELLA FLOR,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
BOLPEBRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,44,44
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,2,2
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,2,2
EUCALIPTUS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
LAJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,4,4
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
PORTACHUELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
ROBORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,2,2
SAN ANDRES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,2,2
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,4,4
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,2,2
SAN LORENZO(PND),atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
TARIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
TIAWANACU,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,3,3
TOLEDO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
VINTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
VITICHI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-07-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-08-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-08-01,3,3
AYO AYO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-08-01,2,2
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-08-01,1,1
BOLPEBRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2017-08-01,1,1
