,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2018-02-01,0,0,0,1,0,1,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2018-02-01,1,0,1,0,2,0,2
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2018-02-01,0,0,1,0,1,0,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2018-02-01,0,1,0,0,0,1,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2018-03-01,2,2,2,3,4,5,9
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2018-03-01,0,1,3,2,3,3,6
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2018-03-01,0,0,2,0,2,0,2
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2018-03-01,0,0,1,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2018-03-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2018-03-01,1,1,3,3,4,4,8
LA PAZ,leishmaniasis,tratamientos de leishmania mucosa,2018-03-01,0,0,1,1,1,1,2
MAPIRI,leishmaniasis,tratamientos de leishmania mucosa,2018-03-01,0,0,1,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2018-03-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2018-03-01,1,0,0,0,1,0,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2018-03-01,1,0,0,0,1,0,1
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2018-03-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,0,2,2,2,2,4,6
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,2,0,2,0,4,0,4
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,2,2,0,1,2,3,5
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,0,0,1,0,1,0,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,3,0,0,0,3,0,3
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,0,1,0,0,0,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,1,2,1,0,2,2,4
MAGDALENA,leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,1,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,1,0,1,0,2,0,2
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,3,0,0,0,3,0,3
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,0,0,1,0,1,0,1
TARIJA,leishmaniasis,tratamientos de leishmania mucosa,2018-04-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,0,0,0,2,0,2,2
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,1,5,2,5,3,10,13
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,2,1,2,3,4,4,8
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,2,1,1,0,3,1,4
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,1,0,4,0,5,0,5
GUANAY,leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,0,0,0,1,0,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,1,2,1,2,2,4,6
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,8,2,5,1,13,3,16
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,1,0,3,0,4,0,4
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,18,8,18,7,36,15,51
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa,2018-05-01,0,0,2,0,2,0,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2018-06-01,2,0,1,0,3,0,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2018-06-01,0,0,3,1,3,1,4
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2018-06-01,0,1,1,2,1,3,4
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2018-06-01,2,1,0,0,2,1,3
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2018-06-01,2,0,1,0,3,0,3
VINTO,leishmaniasis,tratamientos de leishmania mucosa,2018-06-01,0,0,1,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,1,1,0,0,1,1,2
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,1,2,9,2,10,4,14
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,3,0,0,0,3,0,3
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,0,2,0,0,0,2,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,0,0,0,1,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,0,1,0,0,0,1,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,1,2,0,2,1,4,5
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,1,0,0,0,1,0,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,0,1,0,0,0,1,1
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,1,0,0,0,1,0,1
TARIJA,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,1,0,0,0,1,0,1
TRINIDAD,leishmaniasis,tratamientos de leishmania mucosa,2018-07-01,10,0,0,0,10,0,10
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,1,5,1,1,2,6,8
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,0,1,0,0,0,1,1
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,1,0,1,0,2,0,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,3,2,0,1,3,3,6
CORIPATA,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,1,2,0,0,1,2,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,4,0,3,0,7,0,7
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,4,3,0,1,4,4,8
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,0,1,0,0,0,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,3,2,0,0,3,2,5
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,0,0,0,1,0,1,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,1,0,1,1,2,1,3
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,1,0,0,1,1,1,2
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,2,0,1,0,3,0,3
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,0,0,1,0,1,0,1
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,0,0,1,0,1,0,1
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,1,1,1,1,2,2,4
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2018-08-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,0,0,1,5,1,5,6
CAJUATA,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,1,2,0,0,1,2,3
CAPINOTA,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,0,1,0,0,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,1,0,4,1,5,1,6
CORIPATA,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,0,0,1,1,1,1,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,1,0,2,0,3,0,3
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,1,1,3,3,4,4,8
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,1,0,0,1,1,1,2
IXIAMAS,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,0,0,3,1,3,1,4
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,1,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,3,0,3,0,6,0,6
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2018-09-01,0,0,1,0,1,0,1
CAPINOTA,leishmaniasis,tratamientos de leishmania mucosa,2018-10-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2018-10-01,0,0,0,1,0,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2018-10-01,0,3,1,0,1,3,4
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2018-10-01,0,0,0,1,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2018-10-01,1,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2018-10-01,0,0,1,1,1,1,2
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2018-10-01,0,2,0,2,0,4,4
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2018-10-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2018-10-01,1,1,0,0,1,1,2
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2018-11-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2018-11-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2018-11-01,2,0,0,0,2,0,2
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2018-11-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2018-11-01,8,4,0,0,8,4,12
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2018-11-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2018-11-01,2,0,2,0,4,0,4
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2018-11-01,0,0,1,0,1,0,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2018-11-01,0,0,1,0,1,0,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2018-11-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2018-11-01,0,0,1,1,1,1,2
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,2,1,3,1,5,2,7
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,0,0,2,0,2,0,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,3,1,10,5,13,6,19
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,0,0,1,0,1,0,1
CORIPATA,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,1,0,1,0,2,0,2
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,1,4,0,1,1,5,6
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,3,0,0,0,3,0,3
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,3,0,0,0,3,0,3
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,1,0,0,0,1,0,1
SANTA ANA,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,1,0,0,0,1,0,1
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa,2018-12-01,0,1,0,0,0,1,1
