,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,8,5,2,1,10,6,16
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,1,0,1,0,2,0,2
REYES,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,2,0,2,0,4,0,4
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,6,0,5,1,11,1,12
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,5,3,8,2,13,5,18
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,5,2,1,2,6,4,10
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,1,0,0,0,1,0,1
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,2,2,0,0,2,2,4
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,1,1,0,1,1,2,3
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,1,0,1,0,2,0,2
YANACACHI,leishmaniasis,tratamientos de leishmania cutanea,2018-01-01,1,0,1,0,2,0,2
AYATA,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,2,0,2,0,4,0,4
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,1,0,1,0,2,0,2
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,4,3,12,9,16,12,28
CARAPARI,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,1,0,0,1,1,1,2
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,1,0,1,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,3,3,2,3,5,6,11
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,8,4,2,1,10,5,15
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,0,1,0,1,0,2,2
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,6,0,3,1,9,1,10
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,3,0,2,0,5,0,5
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,2,0,2,0,4,0,4
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,1,0,0,1,1,1,2
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,1,1,1,0,2,1,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,13,5,5,9,18,14,32
LA PAZ,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,2,1,0,0,2,1,3
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,1,2,0,1,1,3,4
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,9,5,4,1,13,6,19
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,2,0,1,0,3,0,3
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,0,1,0,0,0,1,1
REYES,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,11,0,2,0,13,0,13
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,1,1,3,0,4,1,5
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,3,0,0,0,3,0,3
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,4,1,2,3,6,4,10
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,3,1,0,0,3,1,4
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,13,5,7,2,20,7,27
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,0,0,1,0,1,0,1
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,2,0,1,0,3,0,3
TIPUANI,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,0,2,0,0,0,2,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2018-02-01,4,2,1,1,5,3,8
ALCALA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,1,0,0,0,1,0,1
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,2,2,2,2,4,4,8
ARQUE,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,0,1,0,0,0,1,1
BAURES,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,0,0,1,0,1,0,1
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,2,1,0,1,2,2,4
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,2,1,0,1,2,2,4
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,3,0,3,1,6,1,7
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,2,0,2,0,4,0,4
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,0,1,1,2,1,3,4
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,5,5,8,0,13,5,18
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,3,0,2,0,5,0,5
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,1,0,0,0,1,0,1
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,0,0,1,1,1,1,2
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,2,3,0,0,2,3,5
EL ALTO,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,0,1,0,0,0,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,1,0,4,0,5,0,5
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,4,0,0,0,4,0,4
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,0,2,0,0,0,2,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,1,1,1,0,2,1,3
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,3,0,4,0,7,0,7
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,2,1,0,0,2,1,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,13,4,12,4,25,8,33
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,5,0,3,0,8,0,8
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,1,1,7,5,8,6,14
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,1,0,1,0,2,0,2
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,2,0,3,0,5,0,5
RAQAYPAMPA(ETA),leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,1,0,0,0,1,0,1
REYES,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,3,0,2,0,5,0,5
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,6,0,0,0,6,0,6
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,2,2,3,2,5,4,9
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,4,0,5,0,9,0,9
SACABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,0,1,0,0,0,1,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,1,0,1,1,2,1,3
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,2,0,0,0,2,0,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,4,0,13,4,17,4,21
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,2,0,2,0,4,0,4
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,1,0,1,0,2,0,2
TACOPAYA,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,1,0,1,0,2,0,2
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,0,0,1,0,1,0,1
TIPUANI,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,0,0,0,1,0,1,1
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,3,0,0,0,3,0,3
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2018-03-01,19,6,6,1,25,7,32
ARQUE,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,0,0,0,1,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,2,2,2,0,4,2,6
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,1,1,1,1,2,2,4
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,4,2,2,0,6,2,8
BOYUIBE,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,1,0,0,0,1,0,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,3,1,2,1,5,2,7
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,17,13,15,13,32,26,58
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,4,0,4,0,8,0,8
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,1,1,1,0,2,1,3
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,26,9,12,8,38,17,55
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,1,1,1,1,2,2,4
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,0,0,1,0,1,0,1
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,1,0,1,0,2,0,2
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,5,2,4,3,9,5,14
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,5,2,4,1,9,3,12
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,3,0,6,0,9,0,9
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,3,1,1,0,4,1,5
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,5,0,3,0,8,0,8
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,6,5,0,0,6,5,11
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,3,1,1,1,4,2,6
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,34,42,21,10,55,52,107
LA PAZ,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,0,1,0,1,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,2,1,3,0,5,1,6
PADCAYA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,8,6,0,0,8,6,14
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,7,1,6,1,13,2,15
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,0,0,2,0,2,0,2
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,6,1,3,0,9,1,10
RAQAYPAMPA(ETA),leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,0,0,2,0,2,0,2
REYES,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,2,0,2,0,4,0,4
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,8,2,7,2,15,4,19
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,11,0,3,1,14,1,15
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,0,1,4,1,4,2,6
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,4,2,0,0,4,2,6
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,3,2,3,1,6,3,9
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,8,8,1,5,9,13,22
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,2,0,0,0,2,0,2
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,1,0,0,0,1,0,1
TIPUANI,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,0,0,0,1,0,1,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,0,0,1,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,15,6,20,9,35,15,50
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,0,1,0,1,0,2,2
YACUIBA,leishmaniasis,tratamientos de leishmania cutanea,2018-04-01,2,0,0,0,2,0,2
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,2,4,2,4,4,8,12
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,1,1,2,1,3,4
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,0,2,0,2,0,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,0,4,1,4,1,5
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,1,3,2,3,3,6,9
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,9,3,8,4,17,7,24
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,1,0,1,1,2,1,3
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,15,0,21,4,36,4,40
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,1,0,0,0,1,0,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,2,0,1,0,3,0,3
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,0,4,1,4,1,5
EL PUENTE(TJA),leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,10,1,6,2,16,3,19
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,2,0,6,5,8,5,13
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,1,0,2,0,3,0,3
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,1,2,2,0,3,2,5
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,2,2,2,3,4,5,9
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,22,15,29,38,51,53,104
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,0,3,0,3,0,3
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,2,4,3,0,5,4,9
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,1,0,1,0,2,2
PADCAYA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,1,1,0,1,1,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,3,2,7,5,10,7,17
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,2,0,2,0,4,0,4
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,1,1,0,1,1,2,3
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,1,1,3,1,4,2,6
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,3,0,2,0,5,0,5
REYES,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,21,2,20,1,41,3,44
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,2,1,10,1,12,2,14
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,1,0,1,0,2,2
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,7,4,9,1,16,5,21
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,9,2,12,4,21,6,27
SAN PEDRO(PND),leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,1,0,0,0,1,1
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,0,2,0,2,0,2
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,2,1,0,1,2,2,4
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,4,1,3,1,7,2,9
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,4,0,0,0,4,0,4
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,20,9,18,10,38,19,57
YACUIBA,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,0,2,0,2,0,2
YANACACHI,leishmaniasis,tratamientos de leishmania cutanea,2018-05-01,0,1,0,0,0,1,1
ARBIETO,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,1,0,1,0,2,0,2
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,5,1,3,0,8,1,9
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,2,2,0,1,2,3,5
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,3,4,3,4,6,8,14
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,1,2,3,3,4,5,9
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,25,8,20,1,45,9,54
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,0,0,1,0,1,0,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,1,0,1,0,2,0,2
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,1,3,4,1,5,4,9
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,1,0,1,0,2,0,2
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,1,1,1,0,2,1,3
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,3,2,6,2,9,4,13
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,13,4,0,0,13,4,17
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,0,0,4,2,4,2,6
INQUISIVI,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,0,0,2,1,2,1,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,3,1,18,7,21,8,29
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,3,0,1,0,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,1,0,0,0,1,0,1
PADCAYA,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,0,0,0,1,0,1,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,0,0,0,1,0,1,1
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,1,0,2,0,3,0,3
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,8,1,7,1,15,2,17
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,0,0,1,1,1,1,2
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,0,0,0,1,0,1,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,0,0,1,0,1,0,1
REYES,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,1,0,4,0,5,0,5
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,15,2,12,1,27,3,30
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,5,1,5,1,10,2,12
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,0,1,2,0,2,1,3
SAN PEDRO(PND),leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,0,0,0,1,0,1,1
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,1,0,0,0,1,0,1
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,2,2,0,0,2,2,4
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,2,1,8,1,10,2,12
YANACACHI,leishmaniasis,tratamientos de leishmania cutanea,2018-06-01,1,0,0,1,1,1,2
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,2,0,0,0,2,0,2
BAURES,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,8,2,2,1,10,3,13
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,1,1,2,1,3,2,5
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,6,2,5,2,11,4,15
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,4,5,5,4,9,9,18
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,14,4,0,0,14,4,18
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,19,6,32,13,51,19,70
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,5,1,2,0,7,1,8
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,10,0,3,0,13,0,13
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,7,0,2,0,9,0,9
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,3,1,0,0,3,1,4
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,11,0,1,1,12,1,13
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,1,1,0,0,1,1,2
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,3,2,0,0,3,2,5
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,6,4,3,1,9,5,14
LA PAZ,leishmaniasis,tratamientos de leishmania cutanea,2018-07-01,0,1,0,0,0,1,1
