,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-03-01,1,0,1,0,2,0,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-04-01,0,1,0,0,0,1,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-04-01,0,0,1,0,1,0,1
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-04-01,0,1,0,0,0,1,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-05-01,1,0,1,0,2,0,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-05-01,0,0,1,0,1,0,1
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-05-01,1,0,0,0,1,0,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-06-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-07-01,1,0,1,0,2,0,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-07-01,2,0,0,0,2,0,2
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-07-01,2,0,0,0,2,0,2
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-08-01,1,0,1,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-08-01,1,0,1,0,2,0,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-08-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-08-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-08-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-08-01,0,0,2,0,2,0,2
SENA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-08-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-09-01,2,1,2,1,4,2,6
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-09-01,0,0,0,1,0,1,1
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-09-01,1,0,0,0,1,0,1
SENA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-09-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-10-01,0,1,0,0,0,1,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-10-01,1,0,0,0,1,0,1
POCOATA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-10-01,1,0,1,0,2,0,2
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-10-01,0,0,1,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-11-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-11-01,1,0,0,0,1,0,1
COCAPATA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-11-01,1,0,0,0,1,0,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-11-01,0,0,1,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-12-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-12-01,0,0,2,2,2,2,4
CORIPATA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-12-01,0,1,0,0,0,1,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2018-12-01,0,0,1,1,1,1,2
