,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,3,1,0,2,3,5
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,2,0,0,2,2,4
AYATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,5,0,0,1,5,6
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,6,9,3,14,9,23
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,4,2,2,6,6,12
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,3,0,0,5,3,8
BAURES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,5,1,2,3,7,10
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,0,0,1,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,1,0,0,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,12,16,0,0,12,16,28
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,9,12,3,4,12,16,28
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,1,0,0,1,1,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,0,1,0,2,0,2
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,5,1,1,6,6,12
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,2,0,0,2,2,4
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,19,18,24,9,43,27,70
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,6,1,2,2,8,10
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,1,0,1,1,2,3
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,3,0,0,2,3,5
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,0,0,0,2,0,2
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,4,2,1,4,5,9
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,0,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,9,14,0,0,9,14,23
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,4,0,0,5,4,9
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,5,0,0,3,5,8
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,7,6,0,1,7,7,14
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,27,13,1,0,28,13,41
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,9,6,0,1,9,7,16
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,3,0,0,5,3,8
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,1,1,0,2,1,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,6,4,6,7,12,11,23
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,4,2,1,3,5,8
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,4,3,3,6,7,13
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,6,9,2,1,8,10,18
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,1,0,0,1,1,2
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,2,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,1,1,0,4,1,5
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,2,2,2,4,4,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,2,0,0,5,2,7
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,6,5,3,1,9,6,15
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,6,8,2,1,8,9,17
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,19,17,0,4,19,21,40
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,5,2,6,5,11,16
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,149,164,5,2,154,166,320
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,13,14,1,1,14,15,29
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,2,0,0,3,2,5
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,7,6,0,0,7,6,13
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,4,0,0,2,4,6
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,2,2,2,5,4,9
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,10,6,0,0,10,6,16
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,3,4,1,7,4,11
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,15,12,1,0,16,12,28
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,20,19,2,6,22,25,47
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,1,0,0,2,1,3
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,7,6,0,0,7,6,13
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,3,0,0,2,3,5
COROICO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,2,1,1,6,3,9
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,1,0,0,2,1,3
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,7,0,0,5,7,12
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,24,28,4,3,28,31,59
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,11,15,1,4,12,19,31
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,0,0,1,4,1,5
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,8,8,0,2,8,10,18
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,1,0,0,1,1,2
CURVA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,0,0,1,0,1,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,0,0,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,251,241,55,58,306,299,605
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,1,0,1,2,2,4
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,3,1,0,6,3,9
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,9,6,0,2,9,8,17
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,34,28,0,0,34,28,62
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,0,0,1,1,1,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,8,14,2,0,10,14,24
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,29,15,0,1,29,16,45
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,0,2,0,2,0,2
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,1,0,0,5,1,6
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,1,2,0,2,1,3
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,0,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,6,3,1,0,7,3,10
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,3,1,1,5,4,9
GAIOC JATUN AYLLU YURA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,0,0,0,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,4,0,0,5,4,9
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,4,0,1,4,5,9
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,6,0,0,3,6,9
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,2,0,0,4,2,6
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,13,13,11,5,24,18,42
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,4,0,0,5,4,9
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,2,0,1,1,3,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,6,6,0,0,6,6,12
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,2,0,0,3,2,5
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,2,1,0,2,2,4
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,2,0,0,0,2,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,2,0,0,4,2,6
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,1,3,1,4,2,6
ICLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,0,2,0,4,0,4
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,6,1,2,4,8,5,13
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,3,0,0,3,3,6
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,2,0,3,0,5,5
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,1,2,0,4,1,5
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,0,0,0,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,3,0,1,3,4,7
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,13,9,2,2,15,11,26
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,67,57,1,3,68,60,128
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,185,175,10,16,195,191,386
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,1,1,0,3,1,4
LAJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,7,7,0,0,7,7,14
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,1,0,0,4,1,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,11,5,16,14,27,19,46
LLICA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,2,0,0,0,2,2
LORETO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,1,3,2,4,3,7
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,3,0,0,2,3,5
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,1,0,0,0,1,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,0,2,2,3,2,5
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,3,0,1,2,4,6
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,6,1,0,0,6,1,7
MALLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,1,0,1,0,2,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,3,0,0,4,3,7
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,2,0,0,2,2,4
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,10,11,0,0,10,11,21
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,7,2,7,7,14,21
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,7,5,2,0,9,5,14
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,3,0,0,0,3,3
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,14,11,1,1,15,12,27
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,56,45,5,5,61,50,111
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,0,2,0,2,0,2
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,1,1,2,1,3,4
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,1,0,0,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,0,1,3,1,3,4
OCURI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,2,1,1,1,3,4
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,6,2,0,1,6,3,9
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,1,3,3,4,4,8
ORURO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,90,81,2,9,92,90,182
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,9,0,1,5,10,15
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,3,0,0,2,3,5
PAILON,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,2,5,5,10,7,17
PALCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,7,3,0,5,7,12
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,12,9,2,1,14,10,24
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,2,1,0,1,2,3
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,7,3,0,0,7,3,10
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,1,0,0,2,1,3
PASORAPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,0,1,0,1,0,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,10,0,0,5,10,15
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,0,0,1,3,1,4
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,4,0,0,1,4,5
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,2,9,3,10,5,15
POCONA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,2,3,1,4,3,7
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,3,2,1,7,4,11
POOPO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,1,0,0,0,1,1
PORCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,2,0,1,3,3,6
POROMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,4,3,3,5,7,12
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,9,0,0,3,9,12
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,9,7,0,1,9,8,17
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,5,0,0,2,5,7
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,94,99,3,4,97,103,200
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,10,14,0,7,10,21,31
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,3,1,0,2,3,5
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,2,3,1,5,3,8
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,1,0,1,2,2,4
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,0,0,2,3,2,5
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,10,7,10,5,20,12,32
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,1,1,0,1,1,2
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,1,1,0,1,1,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,5,0,0,4,5,9
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,17,18,0,0,17,18,35
PUNA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,1,5,5,7,6,13
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,6,5,4,1,10,6,16
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,0,0,0,4,0,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,33,24,23,24,56,48,104
QUIME,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,1,0,0,1,1,2
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,7,6,0,0,7,6,13
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,8,3,8,4,16,7,23
REYES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,6,0,0,4,6,10
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,13,22,2,0,15,22,37
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,8,9,1,0,9,9,18
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,3,0,0,4,3,7
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,2,0,0,2,2,4
SACABA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,43,42,16,7,59,49,108
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,1,0,0,2,1,3
SACACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,6,1,6,2,12,14
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,2,1,1,5,3,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,2,1,1,3,3,6
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,7,5,0,0,7,5,12
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,3,0,0,0,3,0,3
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,3,0,3,1,6,7
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,1,0,0,1,1,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,2,2,1,7,3,10
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,1,0,0,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,11,15,1,4,12,19,31
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,2,1,2,3,4,7
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,3,0,2,5,5,10
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,4,3,0,7,4,11
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,14,14,1,1,15,15,30
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,0,0,0,1,0,1,1
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,12,18,0,0,12,18,30
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,1,0,0,2,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,12,3,1,0,13,3,16
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,7,0,0,2,7,9
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,16,22,3,3,19,25,44
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,5,1,1,0,6,1,7
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,6,3,1,3,7,6,13
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,3,8,7,9,10,19
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,6,4,1,0,7,4,11
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,1,0,0,2,1,3
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,1,0,0,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,2,2,1,4,3,6,9
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2022-01-01,4,3,9,6,13,9,22
