,group,variable,month,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS FUERA,PENTAVALENTE 4TA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,13,17,0,0,13,17,30
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,5,1,0,2,5,7
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,2,0,0,2,2,4
AYATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,5,0,0,1,5,6
AYO AYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,3,0,0,1,3,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,6,9,4,14,10,24
AZURDUY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,4,2,2,6,6,12
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,4,0,0,5,4,9
BAURES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,2,1,1,2,3,5
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,1,1,0,3,1,4
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,18,18,0,0,18,18,36
BETANZOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,18,13,3,5,21,18,39
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,2,0,0,1,2,3
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,0,2,0,2,0,2
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,5,1,1,6,6,12
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,6,2,0,0,6,2,8
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,8,5,3,2,11,7,18
CAIROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,6,3,2,5,8,13
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,3,1,2,5,5,10
CAJUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,5,0,0,4,5,9
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,1,0,0,4,1,5
CAMARGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,9,4,1,7,10,17
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,1,0,1,0,2,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,11,19,0,0,11,19,30
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,6,11,0,0,6,11,17
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,5,0,0,1,5,6
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,9,9,0,0,9,9,18
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,29,13,1,0,30,13,43
CARAPARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,8,7,0,1,8,8,16
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,3,0,0,5,3,8
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,1,1,0,4,1,5
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,10,15,4,6,14,21,35
CHAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,3,2,1,3,4,7
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,3,0,1,5,4,9
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,1,0,0,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,6,3,2,2,8,5,13
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,12,11,3,2,15,13,28
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,2,0,0,4,2,6
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1,0,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,2,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,6,4,1,0,7,4,11
CHUMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,2,2,2,4,4,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,1,1,2
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,7,6,2,3,9,9,18
CLIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,7,8,2,1,9,9,18
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,22,20,1,9,23,29,52
COCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,3,2,5,5,8,13
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,237,238,3,4,240,242,482
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,12,9,1,0,13,9,22
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,2,0,1,3,3,6
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,6,3,0,1,6,4,10
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,3,0,0,3,3,6
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,2,3,2,8,4,12
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,10,6,0,0,10,6,16
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,4,4,1,7,5,12
COMANCHE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,0,0,0,2,0,2
COMARAPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,7,5,1,1,8,6,14
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,19,16,2,6,21,22,43
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,0,0,1,3,1,4
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,5,0,0,5,5,10
CORO CORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,4,0,0,4,4,8
COROICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,6,3,2,1,8,4,12
CORQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,2,0,0,1,2,3
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,11,7,0,0,11,7,18
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,35,43,3,3,38,46,84
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,11,13,2,4,13,17,30
CUEVO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,0,0,1,3,1,4
CULPINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,13,7,2,3,15,10,25
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,1,1,2
CURVA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,0,0,1,0,1,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,0,0,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,253,251,62,64,315,315,630
EL CHORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,1,1,2
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,4,1,0,4,4,8
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,9,6,0,2,9,8,17
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,41,30,0,0,41,30,71
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,0,1,0,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,9,16,2,0,11,16,27
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,32,23,0,1,32,24,56
ESCOMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,1,2,1,4,2,6
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,7,1,0,0,7,1,8
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,1,1,0,1,1,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,1,4,2,7,3,10
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,3,3,2,8,5,13
GAIOC JATUN AYLLU YURA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,1,1,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,6,8,0,0,6,8,14
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,4,0,1,4,5,9
GUANAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,4,1,0,4,4,8
GUAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,2,0,0,4,2,6
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,10,7,3,1,13,8,21
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,4,0,0,4,4,8
HUACARETA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,4,0,1,1,5,6
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,11,6,0,0,11,6,17
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,1,0,0,2,1,3
HUARINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,2,1,0,2,2,4
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,2,0,0,0,2,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,2,0,0,5,2,7
HUMANATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,3,1,4,2,6
ICHOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,1,0,1,0,2,2
ICLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,0,2,2,5,2,7
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,2,0,0,5,2,7
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,1,1,0,3,1,4
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,2,0,3,4,5,9
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,3,4,0,6,3,9
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,1,2,0,7,1,8
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,3,0,1,3,4,7
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,20,15,3,3,23,18,41
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,65,73,1,4,66,77,143
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,221,219,5,6,226,225,451
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,1,1,0,4,1,5
LAJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,7,7,0,0,7,7,14
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,1,0,0,3,1,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,14,7,11,15,25,22,47
LLICA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,2,0,0,0,2,2
LORETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,1,1,2
LURIBAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,2,0,1,3,3,6
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,1,0,0,2,1,3
MACHARETI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,0,2,3,2,3,5
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,7,3,3,1,10,4,14
MAIRANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,12,5,2,0,14,5,19
MALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,2,0,3,0,5,5
MAPIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,4,0,0,5,4,9
MECAPACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,2,0,0,2,2,4
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,14,17,0,0,14,17,31
MIZQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,8,2,7,6,15,21
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,7,5,2,0,9,5,14
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,3,0,0,0,3,3
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,14,13,0,1,14,14,28
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,80,79,6,4,86,83,169
MORO MORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,1,0,2,1,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,1,2,2,3,5
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,1,0,0,3,1,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,0,1,3,1,3,4
OCURI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,6,3,2,4,8,7,15
OKINAWA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,3,1,0,1,3,4
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,3,3,4,4,8
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,119,124,3,6,122,130,252
PADCAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,9,0,1,4,10,14
PADILLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,7,0,0,4,7,11
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,7,5,8,11,15,16,31
PALCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,11,2,2,4,13,17
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,13,9,2,1,15,10,25
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,2,1,0,1,2,3
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,8,0,0,5,8,13
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,3,1,0,0,3,1,4
PASORAPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,0,1,0,1,0,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,10,0,0,5,10,15
PAZÑA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,0,1,0,5,0,5
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,5,0,0,2,5,7
POCOATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,2,9,4,13,6,19
POCONA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,2,3,1,4,3,7
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,5,2,2,7,7,14
POOPO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,1,1,2
PORCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,6,1,0,1,6,2,8
POROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,4,3,3,5,7,12
PORONGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,9,0,0,4,9,13
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,9,9,2,0,11,9,20
PORVENIR,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,2,0,0,1,2,3
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,88,87,6,5,94,92,186
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,11,17,1,9,12,26,38
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,3,1,1,3,4,7
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,2,3,2,5,4,9
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,2,0,0,2,2,4
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,1,0,2,2,3,5
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,9,7,1,0,10,7,17
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,5,3,2,1,7,4,11
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,0,0,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,11,23,1,0,12,23,35
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,21,27,0,2,21,29,50
PUNA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,4,6,6,8,10,18
PUNATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,6,6,4,1,10,7,17
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,0,0,0,4,0,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,35,38,39,29,74,67,141
QUIME,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,1,0,0,2,1,3
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1,0,1
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,7,6,0,0,7,6,13
RAVELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,9,3,7,4,16,7,23
REYES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,5,0,0,4,5,9
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,39,44,2,1,41,45,86
ROBORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,12,7,1,0,13,7,20
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,5,1,0,5,5,10
SABAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,52,58,15,10,67,68,135
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,2,1,3,2,5
SACACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,8,6,4,2,12,8,20
SAIPINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,1,0,0,2,1,3
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,2,2,1,2,3,4,7
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,6,5,0,0,6,5,11
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,1,0,0,1,1,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,4,4,0,0,4,4,8
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2022-01-01,1,3,0,3,1,6,7
