,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,32,32,0,0,32,32,64
ATOCHA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,1,0,0,1,1,2
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,3,0,0,3,3,6
AYATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,5,1,0,0,5,1,6
AYO AYO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,1,1,0,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,11,10,13,10,24,20,44
AZURDUY,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,4,11,3,12,7,19
BATALLAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,11,11,1,0,12,11,23
BAURES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,1,1,0,1,1,2
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,0,0,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,0,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,19,11,0,0,19,11,30
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,11,9,7,10,18,19,37
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,1,0,0,3,1,4
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,2,1,0,2,2,4
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,13,9,0,0,13,9,22
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,10,9,5,11,15,20,35
CAIROMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,6,3,1,0,7,3,10
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,0,2,2,6,2,8
CAJUATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,5,0,0,4,5,9
CALACOTO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,0,3,0,3,0,3
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,9,0,0,3,9,12
CAMARGO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,5,0,0,4,5,9
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,12,13,1,0,13,13,26
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,12,14,0,1,12,15,27
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,2,0,0,1,2,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,7,4,0,0,7,4,11
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,20,25,2,3,22,28,50
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,4,2,2,6,6,12
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,2,1,2,5,4,9
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,1,1,4,1,5,6
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,0,0,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,11,10,4,2,15,12,27
CHAQUI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,0,1,4,4,4,8
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,18,18,8,6,26,24,50
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,0,0,0,1,0,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,5,10,2,4,7,14,21
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,17,18,2,2,19,20,39
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,1,0,0,0,1,1
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,0,1,0,2,0,2
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,1,0,0,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,7,0,0,3,7,10
CHUMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,2,4,3,5,5,10
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,1,5,3,6,4,10
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,8,6,0,0,8,6,14
CLIZA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,10,5,4,7,14,12,26
COBIJA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,26,19,8,9,34,28,62
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,4,6,6,10,10,20
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,336,321,5,2,341,323,664
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,33,26,1,0,34,26,60
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,6,4,0,0,6,4,10
COLLANA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,0,1,1,1,1,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,10,3,6,7,16,23
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,9,0,0,1,9,10
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,5,7,1,5,6,12,18
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,5,1,1,1,6,2,8
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,7,6,1,2,8,8,16
COMARAPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,10,14,3,2,13,16,29
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,18,10,12,9,30,19,49
COPACABANA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,5,7,1,0,6,7,13
CORIPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,5,0,0,4,5,9
CORO CORO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,2,1,1,2,3,5
COROICO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,5,0,4,4,9,13
CORQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,3,0,0,4,3,7
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,5,10,4,5,9,15,24
COTOCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,42,52,4,2,46,54,100
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,12,6,2,4,14,10,24
CUEVO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,0,0,2,0,2,2
CULPINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,14,6,4,1,18,7,25
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,0,0,0,1,0,1
CURVA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,0,2,2,3,2,5
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,2,0,0,1,2,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,274,273,48,45,322,318,640
EL CHORO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,2,0,0,2,2,4
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,5,1,1,1,6,2,8
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,4,5,2,7,6,13
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,36,45,0,0,36,45,81
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,1,3,1,7,2,9
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,9,11,3,2,12,13,25
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,34,29,0,0,34,29,63
ESCOMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,1,0,0,0,1,1
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,3,1,1,3,4,7
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,0,2,9,2,9,11
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,4,3,0,7,4,11
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,10,0,0,4,10,14
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,3,1,3,5,6,11
GUANAY,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,3,1,2,5,5,10
GUAQUI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,2,0,0,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,22,22,9,3,31,25,56
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,8,11,0,0,8,11,19
HUACARETA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,4,2,1,4,5,9
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,0,0,0,3,0,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,11,4,0,0,11,4,15
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,2,0,0,0,2,2
HUARINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,1,0,1,1,2,3
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,1,1,0,1,1,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,0,5,1,5,1,6
ICHOCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,1,2,1,3,2,5
ICLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,1,4,2,7,3,10
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,1,2,1,3,2,5
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,1,0,0,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,7,6,3,3,10,9,19
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,6,5,4,2,10,7,17
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,10,6,0,3,10,9,19
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,3,0,1,4,4,8
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,27,22,2,3,29,25,54
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,58,60,1,0,59,60,119
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,250,251,13,7,263,258,521
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,0,2,9,2,9,11
LAJA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,5,1,3,3,8,11
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,11,10,18,19,29,29,58
LLICA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,0,1,1,2,1,3
LORETO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,0,2,5,2,5,7
LURIBAY,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,5,1,0,5,5,10
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,1,0,0,1,1,2
MACHARETI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,5,3,2,5,7,12
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,4,5,6,6,10,16
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,7,8,2,1,9,9,18
MALLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,0,1,2,1,2,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,9,4,0,0,9,4,13
MECAPACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,8,1,1,5,9,14
MINEROS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,8,4,0,0,8,4,12
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,10,18,3,6,13,24,37
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,2,0,1,2,3,5
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,2,2,0,5,2,7
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,13,6,0,0,13,6,19
MONTERO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,85,90,4,10,89,100,189
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,2,2,1,2,3,5
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,1,1,0,3,1,4
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,0,0,1,0,1,1
OCURI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,7,7,4,2,11,9,20
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,6,3,3,0,9,3,12
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,0,3,7,3,7,10
ORURO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,151,138,1,4,152,142,294
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,8,4,0,2,8,6,14
PADILLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,4,0,1,2,5,7
PAILON,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,9,4,15,7,24,11,35
PALCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,6,1,1,3,7,10
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,17,14,3,5,20,19,39
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,3,0,0,1,3,4
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,6,8,0,0,6,8,14
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,3,0,0,1,3,4
PASORAPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,2,1,2,5,4,9
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,15,8,1,3,16,11,27
PAZÑA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,1,1,0,1,1,2
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,4,1,3,4,7,11
POCOATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,7,13,11,17,18,35
POCONA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,5,0,0,0,5,0,5
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,7,8,1,1,8,9,17
POOPO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,2,0,0,1,2,3
PORCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,0,4,1,4,1,5
POROMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,7,6,1,0,8,6,14
PORONGO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,8,8,4,6,12,14,26
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,12,13,3,1,15,14,29
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,1,2,1,3,2,5
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,99,91,12,17,111,108,219
PRESTO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,2,3,1,4,3,7
PUCARA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,0,0,0,1,0,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,13,17,6,5,19,22,41
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,1,0,1,3,2,5
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,2,9,5,12,7,19
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,1,0,0,4,1,5
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,0,0,1,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,6,3,3,7,9,16
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,0,6,7,7,7,14
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,21,25,2,2,23,27,50
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,26,21,1,1,27,22,49
PUNA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,4,3,4,6,8,14
PUNATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,16,17,2,2,18,19,37
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,1,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,52,47,29,20,81,67,148
QUIME,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,2,4,0,6,2,8
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,5,0,0,2,5,7
RAVELO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,6,6,4,4,10,10,20
REYES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,9,0,0,4,9,13
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,27,37,36,19,63,56,119
ROBORE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,4,1,2,4,6,10
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,7,3,7,4,14,18
SABAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,2,0,0,2,2,4
SACABA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,70,63,16,14,86,77,163
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,2,0,0,0,2,0,2
SACACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,13,11,7,3,20,14,34
SAIPINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,5,3,0,0,5,3,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,5,6,0,0,5,6,11
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,6,7,0,0,6,7,13
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,2,0,0,1,2,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,3,3,2,3,5,8
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,3,4,2,2,5,6,11
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,4,5,0,0,4,5,9
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,32,22,1,3,33,25,58
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,1,0,2,0,3,0,3
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,14,11,2,2,16,13,29
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,5,6,0,0,5,6,11
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,42,26,3,6,45,32,77
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2022-01-01,0,1,0,0,0,1,1
