,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
CLIZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,0,2,2,2,2,4
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,14,12,0,0,14,12,26
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,30,29,0,0,30,29,59
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,1,0,0,1,1,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,0,0,1,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,90,66,20,21,110,87,197
EL CHORO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,0,0,0,1,1
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,2,0,2,1,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,2,4,0,0,2,4,6
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,2,0,0,1,2,3
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,2,0,0,0,2,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,0,0,0,1,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,0,0,1,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,15,12,5,3,20,15,35
LA PAZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,37,39,14,7,51,46,97
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,0,0,0,1,1
LLICA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,0,0,0,1,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,0,0,0,1,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,0,3,6,3,6,9
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,2,2,0,0,2,2,4
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,3,0,0,0,3,3
MONTERO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,9,5,0,0,9,5,14
OCURI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,1,0,0,1,1,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,0,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,40,35,1,0,41,35,76
PAZÑA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,4,1,0,0,4,1,5
POCOATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,1,0,1,1,2
PORCO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,0,0,0,1,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,1,0,0,1,1,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,51,39,3,5,54,44,98
PRESTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,3,0,0,0,3,0,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,1,5,2,6,3,9
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,1,0,0,1,1,2
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,2,3,0,0,2,3,5
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,3,2,3,3,6
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,15,19,0,0,15,19,34
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,4,3,0,0,4,3,7
RAVELO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,0,2,0,2,0,2
REYES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,2,3,0,0,2,3,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,3,0,0,0,3,3
ROBORE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,2,5,0,0,2,5,7
SACACA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,0,1,0,2,0,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,4,3,0,0,4,3,7
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,0,0,0,1,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,2,1,0,1,2,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,10,10,1,2,11,12,23
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,3,0,2,0,5,5
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,2,4,0,0,2,4,6
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,3,0,0,0,3,3
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,0,0,1,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,0,0,0,1,1
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,0,0,2,1,2,3
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,0,10,8,10,8,18
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,20,28,5,2,25,30,55
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,0,1,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,31,27,0,0,31,27,58
TARIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,4,10,2,1,6,11,17
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,0,3,3,3,3,6
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,1,0,0,1,1,2
TOLEDO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,19,11,0,0,19,11,30
TUPIZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,4,0,0,0,4,4
UNCIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,6,0,0,0,6,6
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,2,1,0,2,2,4
UYUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,0,0,1,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,0,0,0,1,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,2,0,0,0,2,0,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,10,7,0,0,10,7,17
YACUIBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,12,13,0,0,12,13,25
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,1,0,0,0,1,0,1
YOCALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,1,0,0,0,1,1
YOTALA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-01-01,0,4,0,0,0,4,4
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,6,8,0,0,6,8,14
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,0,2,1,2,1,3
ANZALDO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,2,3,1,5,3,8
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,3,5,0,2,3,7,10
BAURES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,0,3,2,3,2,5
BETANZOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,5,7,0,3,5,10,15
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,1,0,0,0,1,1
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,1,2,1,3,2,5
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,8,2,0,1,8,3,11
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,9,2,1,3,10,5,15
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,2,0,0,0,2,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,1,1,0,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,5,4,1,0,6,4,10
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,1,0,0,1,1,2
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,1,0,0,1,1,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,14,12,9,5,23,17,40
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,140,123,6,1,146,124,270
COPACABANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,2,1,1,2,3,5
CORIPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,2,0,0,2,2,4
COROICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,1,1,2,2,3,5
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,123,102,47,30,170,132,302
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,1,0,0,2,1,3
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,3,1,1,1,4,5
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,0,0,0,1,0,1
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,1,0,0,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,1,0,0,1,1,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,1,0,0,2,1,3
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,52,49,2,4,54,53,107
LA PAZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,49,62,16,23,65,85,150
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,2,0,0,1,2,3
LLICA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,2,0,0,1,2,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,2,0,0,0,2,2
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,0,0,0,1,0,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,1,0,0,2,1,3
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,1,0,0,1,1,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,2,0,0,1,2,3
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,7,3,0,0,7,3,10
OCURI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,0,1,1,2,1,3
ORURO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,106,84,2,2,108,86,194
PAILON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,0,2,1,2,1,3
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,0,2,0,3,0,3
POCOATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,3,0,0,2,3,2,5
POOPO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,2,2,2,3,4,7
PORCO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,2,0,0,1,2,3
POROMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,3,3,2,0,5,3,8
PORVENIR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,1,0,0,0,1,1
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,60,51,3,3,63,54,117
PRESTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,3,3,0,5,3,8
PUCARANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,2,0,1,2,3,5
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,3,1,1,0,4,1,5
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,0,1,0,3,0,3
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,2,0,0,1,2,3
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,1,5,1,6,2,8
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,5,1,0,0,5,1,6
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,6,1,1,2,7,3,10
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,8,7,1,1,9,8,17
PUNA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,1,1,0,1,1,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,4,8,2,0,6,8,14
REYES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,7,8,3,1,10,9,19
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,0,0,0,2,0,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,1,0,0,0,1,1
SABAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,1,0,0,0,1,1
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,3,0,0,0,3,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,2,0,0,2,2,4
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,3,2,4,2,7,4,11
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,3,0,0,0,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,22,15,11,15,33,30,63
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,0,1,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,1,1,2,3,3,6
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,1,0,0,0,1,1
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,19,16,22,18,41,34,75
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,0,0,0,2,0,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,1,4,3,6,4,10
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,0,0,1,1,1,2
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,0,0,1,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,0,4,4,5,4,9
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,8,7,0,0,8,7,15
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,2,0,0,2,2,4
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,0,1,0,1,0,1
SORACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,2,0,0,1,2,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,35,37,2,0,37,37,74
TARIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,3,4,0,1,3,5,8
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,3,0,0,0,3,0,3
TOLEDO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,1,3,0,0,1,3,4
TORO TORO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,0,1,2,1,2,2,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,22,23,3,0,25,23,48
TUPIZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,6,4,0,0,6,4,10
UNCIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,3,1,1,3,4,4,8
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,2,1,3,3,5,8
UYUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,5,2,0,0,5,2,7
VIACHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,2,0,0,2,2,4
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,2,0,0,0,2,0,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,18,14,0,0,18,14,32
YACUIBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,9,10,0,0,9,10,19
YOTALA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-02-01,4,8,2,9,6,17,23
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,10,6,0,0,10,6,16
ANZALDO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,5,1,0,0,5,1,6
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,0,1,1,3,1,4,5
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,2,2,1,0,3,2,5
AZURDUY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,0,1,3,4,3,5,8
BETANZOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,6,9,2,4,8,13,21
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,6,5,0,0,6,5,11
CAMARGO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,0,1,0,0,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,3,2,0,0,3,2,5
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,3,1,0,0,3,1,4
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,11,7,0,2,11,9,20
CHAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,3,3,0,0,3,3,6
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,5,4,0,0,5,4,9
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,16,24,0,1,16,25,41
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,4,1,4,5,8,6,14
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,10,6,5,8,15,14,29
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,190,185,28,29,218,214,432
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,0,0,1,0,1,0,1
COMANCHE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,0,1,0,0,0,1,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,6,7,4,4,10,11,21
CORIPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,13,12,0,0,13,12,25
COROICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,4,4,1,1,5,5,10
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,4,2,8,4,12,6,18
EL ALTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,126,128,25,14,151,142,293
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,2,0,2,1,4,1,5
GAIOC JATUN AYLLU YURA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,4,0,0,0,4,0,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,7,14,0,0,7,14,21
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2022-03-01,1,0,0,0,1,0,1
