,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,2,0,1,3,3,6
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,3,0,0,3,3,6
AYATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,5,1,0,0,5,1,6
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,1,0,0,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,11,10,12,8,23,18,41
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,4,11,3,15,7,22
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,11,11,1,0,12,11,23
BAURES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,1,1,0,1,1,2
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,0,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,17,15,0,0,17,15,32
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,11,9,7,10,18,19,37
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,1,0,0,3,1,4
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,2,1,0,2,2,4
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,13,9,0,0,13,9,22
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,11,15,5,11,16,26,42
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,6,3,1,0,7,3,10
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,0,2,2,6,2,8
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,5,0,0,4,5,9
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,0,3,0,3,0,3
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,9,0,0,3,9,12
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,5,0,0,4,5,9
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,12,13,1,0,13,13,26
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,12,14,0,1,12,15,27
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,2,0,0,1,2,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,7,4,0,0,7,4,11
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,21,25,2,3,23,28,51
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,4,2,2,5,6,11
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,2,1,2,5,4,9
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,1,1,4,1,5,6
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,0,0,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,11,10,4,2,15,12,27
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,0,1,4,4,4,8
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,18,18,10,7,28,25,53
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,0,0,0,2,0,2
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,10,2,4,6,14,20
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,17,18,4,4,21,22,43
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,1,0,2,0,2
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,1,0,0,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,8,0,0,2,8,10
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,2,4,3,5,5,10
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,5,5,5,3,10,8,18
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,8,6,0,0,8,6,14
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,10,5,4,7,14,12,26
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,26,19,8,9,34,28,62
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,4,6,6,10,10,20
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,323,326,6,3,329,329,658
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,33,26,1,0,34,26,60
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,7,4,0,0,7,4,11
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,0,1,1,1,1,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,8,3,6,6,14,20
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,9,0,0,1,9,10
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,5,7,1,5,6,12,18
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,5,1,1,1,6,2,8
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,7,7,1,2,8,9,17
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,11,15,3,2,14,17,31
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,18,11,12,9,30,20,50
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,5,7,1,0,6,7,13
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,5,0,0,4,5,9
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,2,1,1,2,3,5
COROICO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,5,0,4,4,9,13
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,3,0,0,4,3,7
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,5,9,3,5,8,14,22
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,43,50,4,3,47,53,100
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,12,6,2,4,14,10,24
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,0,0,2,0,2,2
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,14,6,4,1,18,7,25
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,0,0,1,0,1
CURVA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,2,2,3,2,5
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,2,0,0,1,2,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,296,294,51,49,347,343,690
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,2,0,0,2,2,4
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,8,2,2,1,10,3,13
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,4,5,3,7,7,14
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,37,40,0,0,37,40,77
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,1,3,1,7,2,9
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,9,11,3,2,12,13,25
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,34,29,0,0,34,29,63
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,3,1,1,3,4,7
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,0,2,9,2,9,11
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,4,3,0,7,4,11
GAIOC JATUN AYLLU YURA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,0,1,1,1,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,10,0,0,4,10,14
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,3,1,3,5,6,11
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,3,1,2,5,5,10
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,2,0,0,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,20,21,4,2,24,23,47
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,8,11,0,0,8,11,19
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,4,2,1,4,5,9
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,0,0,0,3,0,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,11,4,0,0,11,4,15
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,2,0,0,0,2,2
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,1,0,1,1,2,3
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,1,1,0,1,1,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,0,5,1,5,1,6
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,1,2,1,3,2,5
ICLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,1,4,2,7,3,10
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,1,2,2,4,3,7
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,7,6,3,3,10,9,19
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,8,8,0,0,8,8,16
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,10,6,0,3,10,9,19
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,5,3,0,1,5,4,9
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,26,22,2,3,28,25,53
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,60,57,1,0,61,57,118
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,249,253,15,12,264,265,529
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,0,2,9,2,9,11
LAJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,5,1,3,3,8,11
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,15,14,19,20,34,34,68
LLICA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,3,1,1,3,4,7
LORETO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,0,2,5,2,5,7
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,5,1,0,5,5,10
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,2,0,0,1,2,3
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,5,3,2,5,7,12
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,4,5,6,6,10,16
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,7,8,1,3,8,11,19
MALLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,0,1,2,1,2,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,9,4,0,0,9,4,13
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,8,1,1,5,9,14
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,8,4,0,0,8,4,12
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,10,18,3,6,13,24,37
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,2,0,1,2,3,5
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,2,2,0,5,2,7
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,13,6,0,0,13,6,19
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,80,91,4,8,84,99,183
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,2,2,1,2,3,5
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,1,1,0,3,1,4
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,0,0,1,0,1,1
OCURI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,7,7,4,2,11,9,20
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,6,3,3,0,9,3,12
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,0,3,7,3,7,10
ORURO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,150,136,4,10,154,146,300
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,10,3,0,2,10,5,15
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,4,0,1,2,5,7
PAILON,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,12,7,15,7,27,14,41
PALCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,6,1,1,3,7,10
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,17,14,3,5,20,19,39
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,3,0,0,1,3,4
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,6,7,0,0,6,7,13
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,3,0,0,1,3,4
PASORAPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,2,1,2,5,4,9
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,15,8,1,3,16,11,27
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,1,1,0,1,1,2
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,4,1,3,4,7,11
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,9,13,10,17,19,36
POCONA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,5,0,0,0,5,0,5
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,7,5,0,0,7,5,12
POOPO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,2,0,0,1,2,3
PORCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,0,4,2,4,2,6
POROMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,7,6,1,0,8,6,14
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,8,6,4,6,12,12,24
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,12,11,3,1,15,12,27
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,1,2,1,3,2,5
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,108,99,7,16,115,115,230
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,2,3,1,4,3,7
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,0,0,1,0,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,13,17,6,5,19,22,41
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,1,0,1,3,2,5
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,2,9,5,12,7,19
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,1,0,0,4,1,5
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,2,0,1,0,3,3
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,5,7,3,3,8,10,18
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,6,7,7,7,14
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,11,29,2,2,13,31,44
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,26,21,1,1,27,22,49
PUNA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,4,3,4,6,8,14
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,16,17,2,2,18,19,37
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,52,47,29,20,81,67,148
QUIME,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,2,4,0,6,2,8
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,5,0,0,2,5,7
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,6,6,4,4,10,10,20
REYES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,8,0,0,4,8,12
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,27,37,36,19,63,56,119
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,7,12,1,2,8,14,22
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,9,5,10,6,19,25
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,2,0,0,2,2,4
SACABA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,70,63,16,14,86,77,163
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,2,0,0,0,2,0,2
SACACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,14,11,7,3,21,14,35
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,5,3,0,0,5,3,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,5,6,0,0,5,6,11
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,6,7,0,0,6,7,13
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,2,0,0,1,2,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,3,3,2,3,5,8
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,3,4,2,2,5,6,11
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,5,0,0,4,5,9
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,35,26,0,0,35,26,61
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,0,2,0,3,0,3
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,14,12,2,2,16,14,30
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,12,9,1,0,13,9,22
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,42,26,3,6,45,32,77
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,15,9,0,1,15,10,25
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,1,6,3,7,4,11
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,4,6,1,2,5,8,13
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2022-01-01,1,5,3,2,4,7,11
