,group,variable,month,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
MORO MORO,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
ORURO,rabia,no de personas con vacuna antirrabica,2017-01-01,96,62,96,62,158
PADILLA,rabia,no de personas con vacuna antirrabica,2017-01-01,2,0,2,0,2
PAILON,rabia,no de personas con vacuna antirrabica,2017-01-01,8,7,8,7,15
PALOS BLANCOS,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
PATACAMAYA,rabia,no de personas con vacuna antirrabica,2017-01-01,0,5,0,5,5
POOPO,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
PORONGO,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con vacuna antirrabica,2017-01-01,2,1,2,1,3
POTOSI,rabia,no de personas con vacuna antirrabica,2017-01-01,179,159,179,159,338
PUCARANI,rabia,no de personas con vacuna antirrabica,2017-01-01,2,1,2,1,3
PUERTO CARABUCO,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
PUERTO SUAREZ,rabia,no de personas con vacuna antirrabica,2017-01-01,5,1,5,1,6
PUNATA,rabia,no de personas con vacuna antirrabica,2017-01-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con vacuna antirrabica,2017-01-01,21,28,21,28,49
QUIRUSILLAS,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
ROBORE,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
SACABA,rabia,no de personas con vacuna antirrabica,2017-01-01,12,5,12,5,17
SAN BENITO,rabia,no de personas con vacuna antirrabica,2017-01-01,1,1,1,1,2
SAN BUENA VENTURA,rabia,no de personas con vacuna antirrabica,2017-01-01,2,3,2,3,5
SAN CARLOS,rabia,no de personas con vacuna antirrabica,2017-01-01,1,3,1,3,4
SAN IGNACIO,rabia,no de personas con vacuna antirrabica,2017-01-01,3,3,3,3,6
SAN IGNACIO DE VELASCO,rabia,no de personas con vacuna antirrabica,2017-01-01,2,1,2,1,3
SAN JAVIER(STC),rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
SAN JUAN DE YAPACANI,rabia,no de personas con vacuna antirrabica,2017-01-01,1,1,1,1,2
SAN JULIAN,rabia,no de personas con vacuna antirrabica,2017-01-01,12,8,12,8,20
SAN LUCAS,rabia,no de personas con vacuna antirrabica,2017-01-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
SAN RAMON SCZ,rabia,no de personas con vacuna antirrabica,2017-01-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,rabia,no de personas con vacuna antirrabica,2017-01-01,311,306,311,306,617
SANTA ROSA DEL SARA,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
SANTIAGO DE HUARI,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
SANTIAGO DE MACHACA,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
SAPAHAQUI,rabia,no de personas con vacuna antirrabica,2017-01-01,6,0,6,0,6
SORACACHI,rabia,no de personas con vacuna antirrabica,2017-01-01,1,1,1,1,2
SUCRE,rabia,no de personas con vacuna antirrabica,2017-01-01,61,46,61,46,107
TARATA,rabia,no de personas con vacuna antirrabica,2017-01-01,2,0,2,0,2
TEOPONTE,rabia,no de personas con vacuna antirrabica,2017-01-01,2,0,2,0,2
TIPUANI,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
TIQUIPAYA,rabia,no de personas con vacuna antirrabica,2017-01-01,7,5,7,5,12
TOLATA,rabia,no de personas con vacuna antirrabica,2017-01-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con vacuna antirrabica,2017-01-01,16,20,16,20,36
TUPIZA,rabia,no de personas con vacuna antirrabica,2017-01-01,2,3,2,3,5
VALLEGRANDE,rabia,no de personas con vacuna antirrabica,2017-01-01,1,3,1,3,4
VIACHA,rabia,no de personas con vacuna antirrabica,2017-01-01,5,7,5,7,12
VILLA MONTES,rabia,no de personas con vacuna antirrabica,2017-01-01,0,5,0,5,5
VILLA TUNARI,rabia,no de personas con vacuna antirrabica,2017-01-01,1,2,1,2,3
VILLAZON,rabia,no de personas con vacuna antirrabica,2017-01-01,8,3,8,3,11
VINTO,rabia,no de personas con vacuna antirrabica,2017-01-01,1,2,1,2,3
WARNES,rabia,no de personas con vacuna antirrabica,2017-01-01,14,7,14,7,21
YACUIBA,rabia,no de personas con vacuna antirrabica,2017-01-01,30,10,30,10,40
YAPACANI,rabia,no de personas con vacuna antirrabica,2017-01-01,3,2,3,2,5
YOTALA,rabia,no de personas con vacuna antirrabica,2017-01-01,0,2,0,2,2
ACHACACHI,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2017-02-01,2,0,2,0,2
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
BATALLAS,rabia,no de personas con vacuna antirrabica,2017-02-01,2,0,2,0,2
BERMEJO,rabia,no de personas con vacuna antirrabica,2017-02-01,1,2,1,2,3
BUENA VISTA,rabia,no de personas con vacuna antirrabica,2017-02-01,0,2,0,2,2
CABEZAS,rabia,no de personas con vacuna antirrabica,2017-02-01,2,0,2,0,2
CALACOTO,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
CALAMARCA,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
CAPINOTA,rabia,no de personas con vacuna antirrabica,2017-02-01,2,2,2,2,4
CARACOLLO,rabia,no de personas con vacuna antirrabica,2017-02-01,8,4,8,4,12
CARANAVI,rabia,no de personas con vacuna antirrabica,2017-02-01,1,1,1,1,2
CARAPARI,rabia,no de personas con vacuna antirrabica,2017-02-01,1,1,1,1,2
CARMEN RIVERO TORREZ,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2017-02-01,11,0,11,0,11
CLIZA,rabia,no de personas con vacuna antirrabica,2017-02-01,2,4,2,4,6
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2017-02-01,53,37,53,37,90
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2017-02-01,3,1,3,1,4
"COLCHA ""K""",rabia,no de personas con vacuna antirrabica,2017-02-01,0,1,0,1,1
COMARAPA,rabia,no de personas con vacuna antirrabica,2017-02-01,1,1,1,1,2
COPACABANA,rabia,no de personas con vacuna antirrabica,2017-02-01,0,1,0,1,1
COTOCA,rabia,no de personas con vacuna antirrabica,2017-02-01,4,7,4,7,11
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2017-02-01,7,6,7,6,13
EL ALTO,rabia,no de personas con vacuna antirrabica,2017-02-01,161,140,161,140,301
EL TORNO,rabia,no de personas con vacuna antirrabica,2017-02-01,11,11,11,11,22
ENTRE RIOS TRJ,rabia,no de personas con vacuna antirrabica,2017-02-01,1,2,1,2,3
ENTRE RIOS CBBA,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
FERNANDEZ ALONSO,rabia,no de personas con vacuna antirrabica,2017-02-01,2,1,2,1,3
GUANAY,rabia,no de personas con vacuna antirrabica,2017-02-01,3,1,3,1,4
GUAQUI,rabia,no de personas con vacuna antirrabica,2017-02-01,0,1,0,1,1
HUANUNI,rabia,no de personas con vacuna antirrabica,2017-02-01,6,2,6,2,8
IXIAMAS,rabia,no de personas con vacuna antirrabica,2017-02-01,2,0,2,0,2
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2017-02-01,34,35,34,35,69
LA PAZ,rabia,no de personas con vacuna antirrabica,2017-02-01,87,70,87,70,157
LLALLAGUA,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
MAIRANA,rabia,no de personas con vacuna antirrabica,2017-02-01,0,1,0,1,1
MONTEAGUDO,rabia,no de personas con vacuna antirrabica,2017-02-01,0,1,0,1,1
MONTERO,rabia,no de personas con vacuna antirrabica,2017-02-01,26,32,26,32,58
MORO MORO,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
OKINAWA,rabia,no de personas con vacuna antirrabica,2017-02-01,6,5,6,5,11
ORURO,rabia,no de personas con vacuna antirrabica,2017-02-01,95,59,95,59,154
PAILON,rabia,no de personas con vacuna antirrabica,2017-02-01,3,1,3,1,4
PATACAMAYA,rabia,no de personas con vacuna antirrabica,2017-02-01,2,3,2,3,5
PAZÑA,rabia,no de personas con vacuna antirrabica,2017-02-01,0,1,0,1,1
POCONA,rabia,no de personas con vacuna antirrabica,2017-02-01,1,1,1,1,2
POOPO,rabia,no de personas con vacuna antirrabica,2017-02-01,2,0,2,0,2
POROMA,rabia,no de personas con vacuna antirrabica,2017-02-01,1,5,1,5,6
PORONGO,rabia,no de personas con vacuna antirrabica,2017-02-01,1,1,1,1,2
PORTACHUELO,rabia,no de personas con vacuna antirrabica,2017-02-01,1,1,1,1,2
POTOSI,rabia,no de personas con vacuna antirrabica,2017-02-01,172,118,172,118,290
PUERTO ACOSTA,rabia,no de personas con vacuna antirrabica,2017-02-01,0,1,0,1,1
PUERTO QUIJARRO,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
PUNA,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
PUNATA,rabia,no de personas con vacuna antirrabica,2017-02-01,1,1,1,1,2
QUILLACOLLO,rabia,no de personas con vacuna antirrabica,2017-02-01,3,1,3,1,4
SACABA,rabia,no de personas con vacuna antirrabica,2017-02-01,21,26,21,26,47
SAN ANDRES,rabia,no de personas con vacuna antirrabica,2017-02-01,0,1,0,1,1
SAN BUENA VENTURA,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
SAN CARLOS,rabia,no de personas con vacuna antirrabica,2017-02-01,3,0,3,0,3
SAN IGNACIO,rabia,no de personas con vacuna antirrabica,2017-02-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
SAN JUAN DE YAPACANI,rabia,no de personas con vacuna antirrabica,2017-02-01,1,1,1,1,2
SAN JULIAN,rabia,no de personas con vacuna antirrabica,2017-02-01,3,2,3,2,5
SAN MIGUEL DE VELASCO,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
SAN PEDRO,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
SAN RAMON SCZ,rabia,no de personas con vacuna antirrabica,2017-02-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con vacuna antirrabica,2017-02-01,342,288,342,288,630
SANTIVAÑES,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
SUCRE,rabia,no de personas con vacuna antirrabica,2017-02-01,68,39,68,39,107
TARATA,rabia,no de personas con vacuna antirrabica,2017-02-01,1,1,1,1,2
TEOPONTE,rabia,no de personas con vacuna antirrabica,2017-02-01,0,1,0,1,1
TIPUANI,rabia,no de personas con vacuna antirrabica,2017-02-01,2,0,2,0,2
TIQUIPAYA,rabia,no de personas con vacuna antirrabica,2017-02-01,6,9,6,9,15
TRINIDAD,rabia,no de personas con vacuna antirrabica,2017-02-01,23,11,23,11,34
TUPIZA,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
UNCIA,rabia,no de personas con vacuna antirrabica,2017-02-01,2,1,2,1,3
UYUNI,rabia,no de personas con vacuna antirrabica,2017-02-01,11,6,11,6,17
VACAS,rabia,no de personas con vacuna antirrabica,2017-02-01,1,0,1,0,1
VALLEGRANDE,rabia,no de personas con vacuna antirrabica,2017-02-01,0,1,0,1,1
VIACHA,rabia,no de personas con vacuna antirrabica,2017-02-01,1,2,1,2,3
VILLA MONTES,rabia,no de personas con vacuna antirrabica,2017-02-01,4,3,4,3,7
VILLA TUNARI,rabia,no de personas con vacuna antirrabica,2017-02-01,0,1,0,1,1
VILLAZON,rabia,no de personas con vacuna antirrabica,2017-02-01,10,2,10,2,12
VINTO,rabia,no de personas con vacuna antirrabica,2017-02-01,0,1,0,1,1
WARNES,rabia,no de personas con vacuna antirrabica,2017-02-01,13,10,13,10,23
YACUIBA,rabia,no de personas con vacuna antirrabica,2017-02-01,27,7,27,7,34
YAPACANI,rabia,no de personas con vacuna antirrabica,2017-02-01,2,1,2,1,3
YOTALA,rabia,no de personas con vacuna antirrabica,2017-02-01,0,2,0,2,2
ACHACACHI,rabia,no de personas con vacuna antirrabica,2017-03-01,2,1,2,1,3
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,4,1,4,5
AIQUILE,rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
ANCORAIMES,rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
ANTEQUERA,rabia,no de personas con vacuna antirrabica,2017-03-01,2,1,2,1,3
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2017-03-01,0,2,0,2,2
BATALLAS,rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
BETANZOS,rabia,no de personas con vacuna antirrabica,2017-03-01,0,3,0,3,3
BUENA VISTA,rabia,no de personas con vacuna antirrabica,2017-03-01,3,0,3,0,3
CAMIRI,rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,1,1,1,2
CARACOLLO,rabia,no de personas con vacuna antirrabica,2017-03-01,3,0,3,0,3
CARANAVI,rabia,no de personas con vacuna antirrabica,2017-03-01,9,4,9,4,13
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2017-03-01,6,4,6,4,10
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2017-03-01,71,36,71,36,107
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,3,1,3,4
COMARAPA,rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
CONCEPCION,rabia,no de personas con vacuna antirrabica,2017-03-01,0,2,0,2,2
COPACABANA,rabia,no de personas con vacuna antirrabica,2017-03-01,2,0,2,0,2
COTAGAITA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
COTOCA,rabia,no de personas con vacuna antirrabica,2017-03-01,6,6,6,6,12
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2017-03-01,9,10,9,10,19
EL ALTO,rabia,no de personas con vacuna antirrabica,2017-03-01,162,122,162,122,284
EL TORNO,rabia,no de personas con vacuna antirrabica,2017-03-01,13,18,13,18,31
ENTRE RIOS TRJ,rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
ENTRE RIOS CBBA,rabia,no de personas con vacuna antirrabica,2017-03-01,3,0,3,0,3
ESCOMA,rabia,no de personas con vacuna antirrabica,2017-03-01,0,2,0,2,2
FERNANDEZ ALONSO,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
GENERAL SAAVEDRA,rabia,no de personas con vacuna antirrabica,2017-03-01,2,0,2,0,2
GUANAY,rabia,no de personas con vacuna antirrabica,2017-03-01,3,1,3,1,4
GUAQUI,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
GUAYARAMERIN,rabia,no de personas con vacuna antirrabica,2017-03-01,42,0,42,0,42
HUANUNI,rabia,no de personas con vacuna antirrabica,2017-03-01,7,4,7,4,11
HUARINA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
IXIAMAS,rabia,no de personas con vacuna antirrabica,2017-03-01,0,2,0,2,2
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2017-03-01,28,23,28,23,51
LA PAZ,rabia,no de personas con vacuna antirrabica,2017-03-01,179,139,179,139,318
LAJA,rabia,no de personas con vacuna antirrabica,2017-03-01,3,0,3,0,3
LLALLAGUA,rabia,no de personas con vacuna antirrabica,2017-03-01,2,1,2,1,3
MAIRANA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
MIZQUE,rabia,no de personas con vacuna antirrabica,2017-03-01,2,0,2,0,2
MOCOMOCO,rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
MONTERO,rabia,no de personas con vacuna antirrabica,2017-03-01,9,12,9,12,21
MORO MORO,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
OKINAWA,rabia,no de personas con vacuna antirrabica,2017-03-01,3,2,3,2,5
ORURO,rabia,no de personas con vacuna antirrabica,2017-03-01,102,89,102,89,191
PADILLA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,1,1,1,2
PAILON,rabia,no de personas con vacuna antirrabica,2017-03-01,7,2,7,2,9
PALOS BLANCOS,rabia,no de personas con vacuna antirrabica,2017-03-01,3,1,3,1,4
PAMPA GRANDE,rabia,no de personas con vacuna antirrabica,2017-03-01,1,1,1,1,2
PATACAMAYA,rabia,no de personas con vacuna antirrabica,2017-03-01,2,0,2,0,2
PAZÑA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
POCONA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
POOPO,rabia,no de personas con vacuna antirrabica,2017-03-01,4,1,4,1,5
POROMA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,5,1,5,6
PORTACHUELO,rabia,no de personas con vacuna antirrabica,2017-03-01,1,3,1,3,4
POTOSI,rabia,no de personas con vacuna antirrabica,2017-03-01,182,208,182,208,390
PUERTO ACOSTA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
PUERTO QUIJARRO,rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
PUERTO SUAREZ,rabia,no de personas con vacuna antirrabica,2017-03-01,2,0,2,0,2
PUERTO VILLARROEL,rabia,no de personas con vacuna antirrabica,2017-03-01,2,0,2,0,2
PUNATA,rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con vacuna antirrabica,2017-03-01,4,8,4,8,12
SACABA,rabia,no de personas con vacuna antirrabica,2017-03-01,44,44,44,44,88
SACABAMBA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,1,1,1,2
SAIPINA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
SAN BUENA VENTURA,rabia,no de personas con vacuna antirrabica,2017-03-01,4,4,4,4,8
SAN CARLOS,rabia,no de personas con vacuna antirrabica,2017-03-01,5,1,5,1,6
SAN IGNACIO,rabia,no de personas con vacuna antirrabica,2017-03-01,2,2,2,2,4
SAN IGNACIO DE VELASCO,rabia,no de personas con vacuna antirrabica,2017-03-01,1,1,1,1,2
SAN JAVIER(STC),rabia,no de personas con vacuna antirrabica,2017-03-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,rabia,no de personas con vacuna antirrabica,2017-03-01,1,1,1,1,2
SAN JULIAN,rabia,no de personas con vacuna antirrabica,2017-03-01,0,2,0,2,2
SAN LORENZO(TJA),rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
SAN RAMON SCZ,rabia,no de personas con vacuna antirrabica,2017-03-01,7,2,7,2,9
SANTA CRUZ DE LA SIERRA,rabia,no de personas con vacuna antirrabica,2017-03-01,437,378,437,378,815
SANTIAGO DE HUATA,rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
SAPAHAQUI,rabia,no de personas con vacuna antirrabica,2017-03-01,1,9,1,9,10
SHINAOTA,rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
SIPE SIPE,rabia,no de personas con vacuna antirrabica,2017-03-01,3,1,3,1,4
SUCRE,rabia,no de personas con vacuna antirrabica,2017-03-01,96,66,96,66,162
TARATA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
TARVITA,rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
TIQUIPAYA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,5,1,5,6
TIRAQUE (CBBA),rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
TRIGAL,rabia,no de personas con vacuna antirrabica,2017-03-01,4,6,4,6,10
TRINIDAD,rabia,no de personas con vacuna antirrabica,2017-03-01,31,26,31,26,57
TUPIZA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
UNCIA,rabia,no de personas con vacuna antirrabica,2017-03-01,0,7,0,7,7
URIONDO (A. CONCEPCION),rabia,no de personas con vacuna antirrabica,2017-03-01,0,1,0,1,1
UYUNI,rabia,no de personas con vacuna antirrabica,2017-03-01,13,12,13,12,25
VACAS,rabia,no de personas con vacuna antirrabica,2017-03-01,1,0,1,0,1
VALLEGRANDE,rabia,no de personas con vacuna antirrabica,2017-03-01,2,3,2,3,5
VIACHA,rabia,no de personas con vacuna antirrabica,2017-03-01,4,3,4,3,7
VILLA MONTES,rabia,no de personas con vacuna antirrabica,2017-03-01,4,2,4,2,6
VILLA TUNARI,rabia,no de personas con vacuna antirrabica,2017-03-01,4,3,4,3,7
VILLAZON,rabia,no de personas con vacuna antirrabica,2017-03-01,4,1,4,1,5
VINTO,rabia,no de personas con vacuna antirrabica,2017-03-01,4,2,4,2,6
WARNES,rabia,no de personas con vacuna antirrabica,2017-03-01,13,8,13,8,21
YACUIBA,rabia,no de personas con vacuna antirrabica,2017-03-01,0,4,0,4,4
YAPACANI,rabia,no de personas con vacuna antirrabica,2017-03-01,3,2,3,2,5
YOTALA,rabia,no de personas con vacuna antirrabica,2017-03-01,1,2,1,2,3
ACHACACHI,rabia,no de personas con vacuna antirrabica,2017-04-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2017-04-01,0,1,0,1,1
ALCALA,rabia,no de personas con vacuna antirrabica,2017-04-01,0,1,0,1,1
ANTEQUERA,rabia,no de personas con vacuna antirrabica,2017-04-01,0,2,0,2,2
ARBIETO,rabia,no de personas con vacuna antirrabica,2017-04-01,0,2,0,2,2
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2017-04-01,2,0,2,0,2
ATOCHA,rabia,no de personas con vacuna antirrabica,2017-04-01,0,2,0,2,2
BERMEJO,rabia,no de personas con vacuna antirrabica,2017-04-01,3,0,3,0,3
"CAIZA ""D""",rabia,no de personas con vacuna antirrabica,2017-04-01,4,4,4,4,8
CALAMARCA,rabia,no de personas con vacuna antirrabica,2017-04-01,8,2,8,2,10
CARACOLLO,rabia,no de personas con vacuna antirrabica,2017-04-01,0,1,0,1,1
CARANAVI,rabia,no de personas con vacuna antirrabica,2017-04-01,4,4,4,4,8
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2017-04-01,5,3,5,3,8
CHIMORE,rabia,no de personas con vacuna antirrabica,2017-04-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,rabia,no de personas con vacuna antirrabica,2017-04-01,1,0,1,0,1
CKOCHAS,rabia,no de personas con vacuna antirrabica,2017-04-01,1,0,1,0,1
CLIZA,rabia,no de personas con vacuna antirrabica,2017-04-01,1,2,1,2,3
