,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
MONTERO,rabia,no de personas con esquema clasico completo,2017-02-01,3,0,3,0,3
ORURO,rabia,no de personas con esquema clasico completo,2017-02-01,21,2,21,2,23
PAILON,rabia,no de personas con esquema clasico completo,2017-02-01,0,1,0,1,1
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2017-02-01,1,0,1,0,1
PAZÑA,rabia,no de personas con esquema clasico completo,2017-02-01,0,1,0,1,1
PORTACHUELO,rabia,no de personas con esquema clasico completo,2017-02-01,0,1,0,1,1
POTOSI,rabia,no de personas con esquema clasico completo,2017-02-01,17,12,17,12,29
SACABA,rabia,no de personas con esquema clasico completo,2017-02-01,2,0,2,0,2
SAN JULIAN,rabia,no de personas con esquema clasico completo,2017-02-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,rabia,no de personas con esquema clasico completo,2017-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2017-02-01,16,21,16,21,37
TARIJA,rabia,no de personas con esquema clasico completo,2017-02-01,1,4,1,4,5
TEOPONTE,rabia,no de personas con esquema clasico completo,2017-02-01,1,0,1,0,1
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2017-02-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2017-02-01,13,5,13,5,18
TUPIZA,rabia,no de personas con esquema clasico completo,2017-02-01,1,0,1,0,1
UYUNI,rabia,no de personas con esquema clasico completo,2017-02-01,5,5,5,5,10
VIACHA,rabia,no de personas con esquema clasico completo,2017-02-01,1,2,1,2,3
VILLA MONTES,rabia,no de personas con esquema clasico completo,2017-02-01,0,2,0,2,2
VILLAZON,rabia,no de personas con esquema clasico completo,2017-02-01,3,0,3,0,3
WARNES,rabia,no de personas con esquema clasico completo,2017-02-01,0,2,0,2,2
YOTALA,rabia,no de personas con esquema clasico completo,2017-02-01,0,2,0,2,2
BETANZOS,rabia,no de personas con esquema clasico completo,2017-03-01,0,1,0,1,1
CALACOTO,rabia,no de personas con esquema clasico completo,2017-03-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas con esquema clasico completo,2017-03-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2017-03-01,5,6,5,6,11
COTOCA,rabia,no de personas con esquema clasico completo,2017-03-01,3,0,3,0,3
EL ALTO,rabia,no de personas con esquema clasico completo,2017-03-01,22,17,22,17,39
EL TORNO,rabia,no de personas con esquema clasico completo,2017-03-01,3,3,3,3,6
GUANAY,rabia,no de personas con esquema clasico completo,2017-03-01,1,0,1,0,1
HUANUNI,rabia,no de personas con esquema clasico completo,2017-03-01,3,4,3,4,7
LA GUARDIA,rabia,no de personas con esquema clasico completo,2017-03-01,3,3,3,3,6
LA PAZ,rabia,no de personas con esquema clasico completo,2017-03-01,6,1,6,1,7
MONTERO,rabia,no de personas con esquema clasico completo,2017-03-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2017-03-01,9,4,9,4,13
PADILLA,rabia,no de personas con esquema clasico completo,2017-03-01,1,0,1,0,1
PAILON,rabia,no de personas con esquema clasico completo,2017-03-01,1,0,1,0,1
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2017-03-01,0,1,0,1,1
PATACAMAYA,rabia,no de personas con esquema clasico completo,2017-03-01,0,5,0,5,5
POOPO,rabia,no de personas con esquema clasico completo,2017-03-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con esquema clasico completo,2017-03-01,0,1,0,1,1
POTOSI,rabia,no de personas con esquema clasico completo,2017-03-01,16,20,16,20,36
PUERTO QUIJARRO,rabia,no de personas con esquema clasico completo,2017-03-01,0,1,0,1,1
PUNATA,rabia,no de personas con esquema clasico completo,2017-03-01,0,1,0,1,1
SACABA,rabia,no de personas con esquema clasico completo,2017-03-01,4,1,4,1,5
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema clasico completo,2017-03-01,1,1,1,1,2
SAN LORENZO(TJA),rabia,no de personas con esquema clasico completo,2017-03-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,rabia,no de personas con esquema clasico completo,2017-03-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2017-03-01,21,11,21,11,32
SIPE SIPE,rabia,no de personas con esquema clasico completo,2017-03-01,0,1,0,1,1
TARIJA,rabia,no de personas con esquema clasico completo,2017-03-01,4,2,4,2,6
TEOPONTE,rabia,no de personas con esquema clasico completo,2017-03-01,0,1,0,1,1
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2017-03-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2017-03-01,8,6,8,6,14
UYUNI,rabia,no de personas con esquema clasico completo,2017-03-01,3,7,3,7,10
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2017-03-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema clasico completo,2017-03-01,2,1,2,1,3
VILLAZON,rabia,no de personas con esquema clasico completo,2017-03-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema clasico completo,2017-03-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2017-03-01,8,0,8,0,8
YACUIBA,rabia,no de personas con esquema clasico completo,2017-03-01,0,1,0,1,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2017-04-01,0,1,0,1,1
"CAIZA ""D""",rabia,no de personas con esquema clasico completo,2017-04-01,1,3,1,3,4
CARAPARI,rabia,no de personas con esquema clasico completo,2017-04-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2017-04-01,6,3,6,3,9
"COLCHA ""K""",rabia,no de personas con esquema clasico completo,2017-04-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2017-04-01,0,1,0,1,1
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2017-04-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2017-04-01,23,8,23,8,31
EL TORNO,rabia,no de personas con esquema clasico completo,2017-04-01,1,1,1,1,2
LA GUARDIA,rabia,no de personas con esquema clasico completo,2017-04-01,2,3,2,3,5
LA PAZ,rabia,no de personas con esquema clasico completo,2017-04-01,4,5,4,5,9
LAJA,rabia,no de personas con esquema clasico completo,2017-04-01,3,0,3,0,3
MONTERO,rabia,no de personas con esquema clasico completo,2017-04-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2017-04-01,11,10,11,10,21
PAILON,rabia,no de personas con esquema clasico completo,2017-04-01,0,2,0,2,2
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2017-04-01,0,1,0,1,1
PORTACHUELO,rabia,no de personas con esquema clasico completo,2017-04-01,1,1,1,1,2
POTOSI,rabia,no de personas con esquema clasico completo,2017-04-01,17,21,17,21,38
PUERTO QUIJARRO,rabia,no de personas con esquema clasico completo,2017-04-01,0,1,0,1,1
SACABA,rabia,no de personas con esquema clasico completo,2017-04-01,0,1,0,1,1
SAN LUCAS,rabia,no de personas con esquema clasico completo,2017-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2017-04-01,20,26,20,26,46
SORATA,rabia,no de personas con esquema clasico completo,2017-04-01,0,1,0,1,1
TARATA,rabia,no de personas con esquema clasico completo,2017-04-01,1,0,1,0,1
TARIJA,rabia,no de personas con esquema clasico completo,2017-04-01,6,3,6,3,9
TRINIDAD,rabia,no de personas con esquema clasico completo,2017-04-01,9,7,9,7,16
UNCIA,rabia,no de personas con esquema clasico completo,2017-04-01,1,1,1,1,2
UYUNI,rabia,no de personas con esquema clasico completo,2017-04-01,3,2,3,2,5
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2017-04-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2017-04-01,0,1,0,1,1
YACUIBA,rabia,no de personas con esquema clasico completo,2017-04-01,1,0,1,0,1
ACHACACHI,rabia,no de personas con esquema clasico completo,2017-05-01,1,0,1,0,1
ATOCHA,rabia,no de personas con esquema clasico completo,2017-05-01,0,2,0,2,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2017-05-01,1,3,1,3,4
COTOCA,rabia,no de personas con esquema clasico completo,2017-05-01,2,0,2,0,2
EL ALTO,rabia,no de personas con esquema clasico completo,2017-05-01,5,2,5,2,7
EL TORNO,rabia,no de personas con esquema clasico completo,2017-05-01,2,2,2,2,4
JESUS DE MACHACA,rabia,no de personas con esquema clasico completo,2017-05-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2017-05-01,3,1,3,1,4
LA PAZ,rabia,no de personas con esquema clasico completo,2017-05-01,3,4,3,4,7
LLALLAGUA,rabia,no de personas con esquema clasico completo,2017-05-01,1,1,1,1,2
MACHACAMARCA,rabia,no de personas con esquema clasico completo,2017-05-01,2,3,2,3,5
MAGDALENA,rabia,no de personas con esquema clasico completo,2017-05-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema clasico completo,2017-05-01,2,7,2,7,9
ORURO,rabia,no de personas con esquema clasico completo,2017-05-01,10,4,10,4,14
PADILLA,rabia,no de personas con esquema clasico completo,2017-05-01,0,1,0,1,1
PAILON,rabia,no de personas con esquema clasico completo,2017-05-01,1,1,1,1,2
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2017-05-01,1,0,1,0,1
PORONGO,rabia,no de personas con esquema clasico completo,2017-05-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con esquema clasico completo,2017-05-01,4,2,4,2,6
POTOSI,rabia,no de personas con esquema clasico completo,2017-05-01,9,14,9,14,23
SACABA,rabia,no de personas con esquema clasico completo,2017-05-01,1,2,1,2,3
SAN ANDRES,rabia,no de personas con esquema clasico completo,2017-05-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2017-05-01,52,59,52,59,111
SANTIAGO DE HUARI,rabia,no de personas con esquema clasico completo,2017-05-01,0,2,0,2,2
SORACACHI,rabia,no de personas con esquema clasico completo,2017-05-01,1,1,1,1,2
SUCRE,rabia,no de personas con esquema clasico completo,2017-05-01,0,2,0,2,2
TARATA,rabia,no de personas con esquema clasico completo,2017-05-01,0,1,0,1,1
TARIJA,rabia,no de personas con esquema clasico completo,2017-05-01,4,2,4,2,6
TRINIDAD,rabia,no de personas con esquema clasico completo,2017-05-01,6,10,6,10,16
UNCIA,rabia,no de personas con esquema clasico completo,2017-05-01,1,2,1,2,3
UYUNI,rabia,no de personas con esquema clasico completo,2017-05-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2017-05-01,1,1,1,1,2
ACHACACHI,rabia,no de personas con esquema clasico completo,2017-06-01,0,1,0,1,1
ANCORAIMES,rabia,no de personas con esquema clasico completo,2017-06-01,0,1,0,1,1
BERMEJO,rabia,no de personas con esquema clasico completo,2017-06-01,1,0,1,0,1
CABEZAS,rabia,no de personas con esquema clasico completo,2017-06-01,3,0,3,0,3
COCHABAMBA,rabia,no de personas con esquema clasico completo,2017-06-01,7,3,7,3,10
COTAGAITA,rabia,no de personas con esquema clasico completo,2017-06-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2017-06-01,3,1,3,1,4
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2017-06-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2017-06-01,17,10,17,10,27
EL TORNO,rabia,no de personas con esquema clasico completo,2017-06-01,2,0,2,0,2
LA GUARDIA,rabia,no de personas con esquema clasico completo,2017-06-01,3,0,3,0,3
LA PAZ,rabia,no de personas con esquema clasico completo,2017-06-01,8,7,8,7,15
ORURO,rabia,no de personas con esquema clasico completo,2017-06-01,8,3,8,3,11
PADILLA,rabia,no de personas con esquema clasico completo,2017-06-01,1,0,1,0,1
PAILON,rabia,no de personas con esquema clasico completo,2017-06-01,2,0,2,0,2
PORTACHUELO,rabia,no de personas con esquema clasico completo,2017-06-01,3,1,3,1,4
SAN ANDRES,rabia,no de personas con esquema clasico completo,2017-06-01,0,1,0,1,1
SAN CARLOS,rabia,no de personas con esquema clasico completo,2017-06-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,rabia,no de personas con esquema clasico completo,2017-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2017-06-01,56,34,56,34,90
SANTA ROSA DEL SARA,rabia,no de personas con esquema clasico completo,2017-06-01,0,1,0,1,1
SORATA,rabia,no de personas con esquema clasico completo,2017-06-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2017-06-01,12,5,12,5,17
UNCIA,rabia,no de personas con esquema clasico completo,2017-06-01,1,1,1,1,2
UYUNI,rabia,no de personas con esquema clasico completo,2017-06-01,0,3,0,3,3
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2017-06-01,2,2,2,2,4
WARNES,rabia,no de personas con esquema clasico completo,2017-06-01,3,0,3,0,3
ACHACACHI,rabia,no de personas con esquema clasico completo,2017-07-01,1,1,1,1,2
BAURES,rabia,no de personas con esquema clasico completo,2017-07-01,1,1,1,1,2
BERMEJO,rabia,no de personas con esquema clasico completo,2017-07-01,1,0,1,0,1
BUENA VISTA,rabia,no de personas con esquema clasico completo,2017-07-01,0,1,0,1,1
CABEZAS,rabia,no de personas con esquema clasico completo,2017-07-01,1,0,1,0,1
CARAPARI,rabia,no de personas con esquema clasico completo,2017-07-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2017-07-01,1,3,1,3,4
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2017-07-01,0,1,0,1,1
COTAGAITA,rabia,no de personas con esquema clasico completo,2017-07-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2017-07-01,2,1,2,1,3
EL ALTO,rabia,no de personas con esquema clasico completo,2017-07-01,16,11,16,11,27
LA GUARDIA,rabia,no de personas con esquema clasico completo,2017-07-01,2,2,2,2,4
LA PAZ,rabia,no de personas con esquema clasico completo,2017-07-01,4,2,4,2,6
MONTERO,rabia,no de personas con esquema clasico completo,2017-07-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2017-07-01,21,12,21,12,33
PADILLA,rabia,no de personas con esquema clasico completo,2017-07-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con esquema clasico completo,2017-07-01,1,2,1,2,3
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2017-07-01,0,1,0,1,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2017-07-01,1,0,1,0,1
SAN CARLOS,rabia,no de personas con esquema clasico completo,2017-07-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2017-07-01,3,1,3,1,4
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2017-07-01,28,28,28,28,56
SUCRE,rabia,no de personas con esquema clasico completo,2017-07-01,1,6,1,6,7
TRINIDAD,rabia,no de personas con esquema clasico completo,2017-07-01,18,6,18,6,24
UNCIA,rabia,no de personas con esquema clasico completo,2017-07-01,4,2,4,2,6
UYUNI,rabia,no de personas con esquema clasico completo,2017-07-01,4,0,4,0,4
VACAS,rabia,no de personas con esquema clasico completo,2017-07-01,1,1,1,1,2
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2017-07-01,4,1,4,1,5
VIACHA,rabia,no de personas con esquema clasico completo,2017-07-01,0,1,0,1,1
VILLA MONTES,rabia,no de personas con esquema clasico completo,2017-07-01,1,1,1,1,2
VILLAZON,rabia,no de personas con esquema clasico completo,2017-07-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2017-07-01,3,1,3,1,4
ACHACACHI,rabia,no de personas con esquema clasico completo,2017-08-01,1,0,1,0,1
AZURDUY,rabia,no de personas con esquema clasico completo,2017-08-01,0,1,0,1,1
"CAIZA ""D""",rabia,no de personas con esquema clasico completo,2017-08-01,7,0,7,0,7
COCHABAMBA,rabia,no de personas con esquema clasico completo,2017-08-01,11,9,11,9,20
COROICO,rabia,no de personas con esquema clasico completo,2017-08-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2017-08-01,4,5,4,5,9
EL ALTO,rabia,no de personas con esquema clasico completo,2017-08-01,7,5,7,5,12
EL TORNO,rabia,no de personas con esquema clasico completo,2017-08-01,4,0,4,0,4
LA GUARDIA,rabia,no de personas con esquema clasico completo,2017-08-01,1,0,1,0,1
LA PAZ,rabia,no de personas con esquema clasico completo,2017-08-01,1,2,1,2,3
MIZQUE,rabia,no de personas con esquema clasico completo,2017-08-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2017-08-01,7,4,7,4,11
PAILON,rabia,no de personas con esquema clasico completo,2017-08-01,0,2,0,2,2
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2017-08-01,2,1,2,1,3
PORTACHUELO,rabia,no de personas con esquema clasico completo,2017-08-01,2,0,2,0,2
POTOSI,rabia,no de personas con esquema clasico completo,2017-08-01,14,25,14,25,39
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2017-08-01,1,1,1,1,2
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2017-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2017-08-01,19,12,19,12,31
SHINAOTA,rabia,no de personas con esquema clasico completo,2017-08-01,0,1,0,1,1
TACACHI,rabia,no de personas con esquema clasico completo,2017-08-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2017-08-01,9,18,9,18,27
UYUNI,rabia,no de personas con esquema clasico completo,2017-08-01,5,3,5,3,8
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2017-08-01,0,2,0,2,2
VILLA MONTES,rabia,no de personas con esquema clasico completo,2017-08-01,1,1,1,1,2
VILLAZON,rabia,no de personas con esquema clasico completo,2017-08-01,2,5,2,5,7
ACHOCALLA,rabia,no de personas con esquema clasico completo,2017-09-01,0,1,0,1,1
"CAIZA ""D""",rabia,no de personas con esquema clasico completo,2017-09-01,0,2,0,2,2
CARACOLLO,rabia,no de personas con esquema clasico completo,2017-09-01,0,1,0,1,1
CARAPARI,rabia,no de personas con esquema clasico completo,2017-09-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2017-09-01,4,7,4,7,11
COTAGAITA,rabia,no de personas con esquema clasico completo,2017-09-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2017-09-01,4,2,4,2,6
EL ALTO,rabia,no de personas con esquema clasico completo,2017-09-01,9,60,9,60,69
ENTRE RIOS TRJ,rabia,no de personas con esquema clasico completo,2017-09-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2017-09-01,3,2,3,2,5
LA PAZ,rabia,no de personas con esquema clasico completo,2017-09-01,1,1,1,1,2
LLALLAGUA,rabia,no de personas con esquema clasico completo,2017-09-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema clasico completo,2017-09-01,1,1,1,1,2
ORURO,rabia,no de personas con esquema clasico completo,2017-09-01,9,3,9,3,12
PAILON,rabia,no de personas con esquema clasico completo,2017-09-01,1,1,1,1,2
PATACAMAYA,rabia,no de personas con esquema clasico completo,2017-09-01,2,0,2,0,2
PORTACHUELO,rabia,no de personas con esquema clasico completo,2017-09-01,0,1,0,1,1
POTOSI,rabia,no de personas con esquema clasico completo,2017-09-01,23,16,23,16,39
PUCARANI,rabia,no de personas con esquema clasico completo,2017-09-01,0,2,0,2,2
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2017-09-01,1,1,1,1,2
SAN PEDRO DE BUENA VISTA,rabia,no de personas con esquema clasico completo,2017-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2017-09-01,22,20,22,20,42
SORACACHI,rabia,no de personas con esquema clasico completo,2017-09-01,0,2,0,2,2
TIPUANI,rabia,no de personas con esquema clasico completo,2017-09-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2017-09-01,3,5,3,5,8
UNCIA,rabia,no de personas con esquema clasico completo,2017-09-01,2,1,2,1,3
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2017-09-01,1,2,1,2,3
WARNES,rabia,no de personas con esquema clasico completo,2017-09-01,11,11,11,11,22
ACHOCALLA,rabia,no de personas con esquema clasico completo,2017-10-01,1,1,1,1,2
ATOCHA,rabia,no de personas con esquema clasico completo,2017-10-01,0,1,0,1,1
BUENA VISTA,rabia,no de personas con esquema clasico completo,2017-10-01,0,1,0,1,1
CARACOLLO,rabia,no de personas con esquema clasico completo,2017-10-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema clasico completo,2017-10-01,1,1,1,1,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2017-10-01,7,2,7,2,9
COPACABANA,rabia,no de personas con esquema clasico completo,2017-10-01,1,0,1,0,1
COTAGAITA,rabia,no de personas con esquema clasico completo,2017-10-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2017-10-01,3,1,3,1,4
EL ALTO,rabia,no de personas con esquema clasico completo,2017-10-01,8,10,8,10,18
LA GUARDIA,rabia,no de personas con esquema clasico completo,2017-10-01,4,0,4,0,4
LA PAZ,rabia,no de personas con esquema clasico completo,2017-10-01,3,0,3,0,3
LAJA,rabia,no de personas con esquema clasico completo,2017-10-01,0,1,0,1,1
MONTEAGUDO,rabia,no de personas con esquema clasico completo,2017-10-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema clasico completo,2017-10-01,3,1,3,1,4
ORURO,rabia,no de personas con esquema clasico completo,2017-10-01,10,17,10,17,27
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2017-10-01,0,1,0,1,1
PORTACHUELO,rabia,no de personas con esquema clasico completo,2017-10-01,0,1,0,1,1
POTOSI,rabia,no de personas con esquema clasico completo,2017-10-01,10,17,10,17,27
PUCARANI,rabia,no de personas con esquema clasico completo,2017-10-01,1,1,1,1,2
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2017-10-01,0,1,0,1,1
SAN LORENZO(TJA),rabia,no de personas con esquema clasico completo,2017-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2017-10-01,38,36,38,36,74
SUCRE,rabia,no de personas con esquema clasico completo,2017-10-01,2,0,2,0,2
TEOPONTE,rabia,no de personas con esquema clasico completo,2017-10-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2017-10-01,8,14,8,14,22
UNCIA,rabia,no de personas con esquema clasico completo,2017-10-01,0,1,0,1,1
UYUNI,rabia,no de personas con esquema clasico completo,2017-10-01,3,4,3,4,7
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2017-10-01,0,1,0,1,1
VILLAZON,rabia,no de personas con esquema clasico completo,2017-10-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2017-10-01,6,6,6,6,12
ASCENCION DE GUARAYOS,rabia,no de personas con esquema clasico completo,2017-11-01,2,0,2,0,2
CARANAVI,rabia,no de personas con esquema clasico completo,2017-11-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2017-11-01,6,6,6,6,12
CONCEPCION,rabia,no de personas con esquema clasico completo,2017-11-01,0,1,0,1,1
