municipality,group,variable,month,Nº de actividades de educación en Salud Oral,TOTAL
PADILLA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,49,49
PAILON,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
PAPEL PAMPA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
PAZÑA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,5,5
PELECHUCO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,4,4
POCOATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,9,9
POROMA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,3,3
PORONGO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
PORTACHUELO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,4,4
POSTRER VALLE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,7,7
POTOSI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,4,4
PRESTO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
PUCARANI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,25,25
PUERTO PEREZ,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
PUERTO VILLARROEL,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,58,58
PUNA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
PUNATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,396,396
QUILLACOLLO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
QUIRUSILLAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
RAVELO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,3,3
RIBERALTA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,180,180
SABAYA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,6,6
SACABA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,295,295
SALINAS DE GARCI MENDOZA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,12,12
SAMAIPATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,17,17
SAN ANDRES,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,30,30
SAN ANDRES DE MACHACA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,34,34
SAN BENITO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,277,277
SAN CARLOS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
SAN IGNACIO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
SAN IGNACIO DE VELASCO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,245,245
SAN JAVIER(STC),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,4,4
SAN JUAN DE YAPACANI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,17,17
SAN LORENZO(PND),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
SAN LORENZO(TJA),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,27,27
SAN LUCAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
SAN MATIAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,4,4
SAN MIGUEL DE VELASCO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,62,62
SAN PEDRO DE BUENA VISTA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
SAN PEDRO DE TIQUINA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,7,7
SAN RAFAEL,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,187,187
SANTA ROSA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,30,30
SANTIAGO DE CALLAPA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,5,5
SANTIAGO DE HUARI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,10,10
SANTIVAÑES,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
SANTUARIO DE QUILLACAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,4,4
SICA SICA (VILLA AROMA),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,39,39
SIPE SIPE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,52,52
SORACACHI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,3,3
SORATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,5,5
SUCRE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,657,657
TACACOMA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
TACOPAYA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,4,4
TAHUA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
TAPACARI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,18,18
TARABUCO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,69,69
TARACO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,40,40
TARIJA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,114,114
TARVITA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,7,7
TIAWANACU,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,14,14
TIQUIPAYA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,420,420
TIRAQUE (CBBA),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,159,159
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
TOCO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,6,6
TOLATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,61,61
TOLEDO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,9,9
TOMAVE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,26,26
TOMINA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
TORO TORO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
TOTORA(ORR),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,6,6
TRIGAL,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,5,5
TRINIDAD,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,10,10
TURCO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,4,4
URIONDO (A. CONCEPCION),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,16,16
VALLEGRANDE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,322,322
VILLA MONTES,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,5,5
VILLA TUNARI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,62,62
VILLAZON,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
VINTO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,1,1
WARNES,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,11,11
YACUIBA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,127,127
YAPACANI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,88,88
YUNCHARA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-01-01,2,2
ACHACACHI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,13,13
ACHOCALLA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,18,18
AIQUILE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,5,5
ANCORAIMES,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,31,31
ANDAMARCA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,38,38
ANTEQUERA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,1,1
ARANI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,2,2
ARBIETO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,2,2
ATOCHA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,3,3
AYO AYO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,108,108
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,82,82
AZURDUY,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,1,1
BELEN DE URMIRI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,4,4
BELLA FLOR,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,18,18
BERMEJO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,6,6
BETANZOS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,7,7
BOLIVAR,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,3,3
CABEZAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,13,13
CAIROMA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,18,18
"CAIZA ""D""",atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,2,2
CALAMARCA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,7,7
CAMARGO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,80,80
CAMATAQUI (C. VILLA ABECIA),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,2,2
CAMIRI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,11,11
CAPINOTA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,36,36
CARACOLLO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,21,21
CARAPARI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,11,11
CHALLAPATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,3,3
CHARAGUA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,9,9
CHAYANTA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,9,9
CHIMORE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,2,2
CHIPAYA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,11,11
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,6,6
CLIZA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,292,292
COBIJA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,93,93
COCHABAMBA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,1611,1611
COLCAPIRHUA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,366,366
COLLANA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,18,18
COLOMI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,30,30
COLQUIRI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,25,25
COMARAPA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,3,3
COMBAYA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,9,9
CONCEPCION,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,3,3
COPACABANA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,1,1
CORIPATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,203,203
COROICO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,2,2
CORQUE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,13,13
COTAGAITA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,5,5
CUATRO CAÑADAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,17,17
CUEVO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,9,9
EL ALTO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,1284,1284
EL CHORO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,1,1
EL PUENTE(STC),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,8,8
EL PUENTE(TJA),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,37,37
EL TORNO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,4,4
EL VILLAR,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,12,12
ENTRE RIOS TRJ,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,32,32
ENTRE RIOS CBBA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,13,13
EUCALIPTUS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,14,14
FERNANDEZ ALONSO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,1,1
FILADELFIA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,11,11
GENERAL SAAVEDRA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,32,32
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,9,9
GUTIERREZ,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,89,89
HUACARETA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,4,4
HUANUNI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,5,5
HUARACAJE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,3,3
HUAYLLAMARCA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,10,10
ICLA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,3,3
IXIAMAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,79,79
LA GUARDIA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,9,9
LA PAZ,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,653,653
LAGUNILLAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,38,38
LAJA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,7,7
LAS CARRERAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,1,1
LLALLAGUA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,10,10
LURIBAY,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,2,2
MACHACAMARCA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,4,4
MACHARETI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,73,73
MAGDALENA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,115,115
MAIRANA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,50,50
MALLA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,50,50
MECAPACA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,68,68
MINEROS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,17,17
MIZQUE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,4,4
MOJOCOYA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,4,4
MONTEAGUDO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,6,6
MONTERO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,451,451
MOROCHATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,19,19
OMEREQUE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,150,150
ORURO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,291,291
PADCAYA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,6,6
PADILLA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,19,19
PAILON,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,2,2
PALCA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,206,206
PAMPA AULLAGAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,7,7
PAMPA GRANDE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,16,16
PAPEL PAMPA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,3,3
PASORAPA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,4,4
PATACAMAYA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,17,17
PAZÑA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,5,5
POCOATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,11,11
POCONA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,1,1
PORCO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,2,2
PORONGO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,6,6
PORTACHUELO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,4,4
PORVENIR,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,4,4
POTOSI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,5,5
PRESTO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,3,3
PUCARA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,49,49
PUCARANI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,28,28
PUERTO PEREZ,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,7,7
PUERTO SILES,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,1,1
PUERTO VILLARROEL,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,55,55
PUNATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,123,123
QUILLACOLLO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,24,24
QUIRUSILLAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,2,2
RAVELO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,3,3
RIBERALTA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,170,170
RURRENABAQUE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,20,20
SABAYA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,3,3
SACABA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,265,265
SACABAMBA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,1,1
SAIPINA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,7,7
SALINAS DE GARCI MENDOZA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,7,7
SAMAIPATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,51,51
SAN AGUSTIN,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,88,88
SAN ANDRES,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,31,31
SAN ANTONIO DE LOMERIO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,1,1
SAN BENITO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,219,219
SAN BORJA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,7,7
SAN BUENA VENTURA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,6,6
SAN CARLOS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,3,3
SAN IGNACIO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,3,3
SAN IGNACIO DE VELASCO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,205,205
SAN JAVIER(BNI),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,22,22
SAN JAVIER(STC),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,17,17
SAN JUAN DE YAPACANI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,48,48
SAN LORENZO(TJA),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,26,26
SAN LUCAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,2,2
SAN MATIAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2010-02-01,7,7
