,group,variable,month,TOTAL Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTAL Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-09-01,2,2,4
TRINIDAD,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-09-01,1,0,1
COROICO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-10-01,1,1,2
LA PAZ,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-10-01,0,0,0
MONTERO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-10-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-10-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-11-01,1,1,2
LA PAZ,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-11-01,1,0,1
MONTERO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-11-01,0,0,0
PUERTO QUIJARRO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-11-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-11-01,0,2,2
YACUIBA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-11-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-12-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-12-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-12-01,0,1,1
MONTERO,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-12-01,0,0,0
PUERTO VILLARROEL,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-12-01,0,3,3
SHINAOTA,tuberculosis y lepra,total no de pacientes multidrogos resistentes mdrs,2015-12-01,1,0,1
