,group,variable,month,TOTAL Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTAL Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
PUERTO PEREZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,1,1
PUERTO RICO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,3,5,8
PUNATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,7,4,11
RIBERALTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,6,3,9
ROBORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,2,0,2
RURRENABAQUE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,1,1
SACABA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,2,2
SAN BORJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,2,2
SAN JULIAN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
SAN MATIAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,44,32,76
SIPE SIPE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,1,2
SORATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
SUCRE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,7,3,10
TARABUCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,1,1
TARATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
TARIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,3,4,7
TEOPONTE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
TIPUANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,4,4,8
VIACHA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,2,2
VILLA MONTES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,2,2,4
WARNES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,0,2,2
YACUIBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,7,2,9
YAPACANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-01-01,2,2,4
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,1,2
CABEZAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
CAMARGO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
CAMIRI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,2,2
CARANAVI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,4,3,7
CARAPARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,2,0,2
CHARAGUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,0,1
CHIMORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,0,1
COBIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,5,5,10
COPACABANA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,2,0,2
CORIPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,2,3
COROICO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
COTOCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,3,4
CUATRO CAÑADAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,1,2
EL ALTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,5,5,10
EL TORNO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,4,5
GUANAY,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,2,2
HUANUNI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,2,0,2
LA ASUNTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,2,2,4
LA PAZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,6,2,8
LLALLAGUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,0,1
MAPIRI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,2,0,2
MOCOMOCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
MONTERO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,2,1,3
ORURO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,2,1,3
PADILLA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,3,0,3
POCONA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
POTOSI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,3,1,4
QUILLACOLLO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
RAVELO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
RIBERALTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,2,2,4
ROBORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,2,2
SACABA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,3,4
SAMAIPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,0,1
SAN BORJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,53,40,93
SUCRE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,7,3,10
TARIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,4,3,7
TEOPONTE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
TIPUANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
TIRAQUE (CBBA),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,2,0,2
TOTORA(ORR),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,3,1,4
TUPIZA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
VIACHA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
VILLA MONTES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
VILLA RIVERO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,4,1,5
VINTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,0,1
YACUIBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,1,2,3
YAPACANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-02-01,2,3,5
ACHACACHI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,2,2
AZURDUY,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
BERMEJO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
BETANZOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,0,1
CABEZAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,0,2
CAMARGO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,2,2
CARANAVI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,3,1,4
CHALLAPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,0,1
CHAQUI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,0,1
CHARAGUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
CHIMORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
COBIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,1,2
COCHABAMBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,5,2,7
COLOMI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,0,1
CONCEPCION,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,0,1
COROICO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,3,1,4
CORQUE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
COTOCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,4,4
CUATRO CAÑADAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,0,2
EL ALTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,7,5,12
EL TORNO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,2,4
ENTRE RIOS CBBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,4,1,5
FERNANDEZ ALONSO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
HUANUNI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,0,2
ICLA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
INCAHUASI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,1,3
LA GUARDIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,1,2
LA PAZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,6,6,12
LLALLAGUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,1,2
MAPIRI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
MONTERO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,3,3,6
ORURO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,4,2,6
PALOS BLANCOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,2,3
PUERTO VILLARROEL,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,6,2,8
QUILLACOLLO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,1,2
RIBERALTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,0,2
RURRENABAQUE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,0,1
SACABA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,1,2
SAN BORJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,3,0,3
SAN CARLOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,1,2
SAN JULIAN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,1,3
SAN LUCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,1,2
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,56,34,90
SANTA ROSA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
SANTIVAÑES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
SENA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,0,1
SIPE SIPE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,0,1
SORATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,0,2
SUCRE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,9,0,9
TARABUCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,1,2
TARIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,6,4,10
TIPUANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
TIRAQUE (CBBA),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
TOMAVE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,0,2
TRINIDAD,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,0,2
VIACHA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,2,4
VILLA CHARCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
WARNES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
YACUIBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,0,2
YAMPARAEZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,0,1,1
YAPACANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-03-01,2,2,4
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,0,1
BERMEJO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,2,0,2
"CAIZA ""D""",tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,1,2
CAJUATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
CARANAVI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,3,2,5
CHAQUI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,0,1
CHARAGUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,2,3
CHIMORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,2,3
COBIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,9,6,15
CONCEPCION,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,0,1
COROICO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,2,3
COTOCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,0,1
CULPINA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,2,4,6
EL TORNO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,3,4
GUAYARAMERIN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,4,1,5
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
INCAHUASI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,2,0,2
LA GUARDIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,1,2
LA PAZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,9,3,12
MACHARETI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,2,0,2
MAPIRI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,2,1,3
MONTERO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,2,1,3
ORURO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,3,0,3
PAZÑA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
POROMA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
PORONGO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
POTOSI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,2,1,3
PUERTO QUIJARRO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,5,3,8
QUILLACOLLO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,3,2,5
RIBERALTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,2,3,5
ROBORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
SACABA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,3,0,3
SAMAIPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
SAN JULIAN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,2,1,3
SAN LUCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,56,56,112
SENA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,0,1
SHINAOTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
SORATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
SUCRE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,3,3,6
TARIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,4,5
TEOPONTE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
TRINIDAD,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,6,2,8
UNCIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
VILLA MONTES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,3,3
VINTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,0,1
WARNES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,0,3,3
YACUIBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,3,2,5
YAPACANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,4,5
YOCALLA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-04-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,0,1,1
BERMEJO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,1,0,1
CABEZAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,2,1,3
CAPINOTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,3,0,3
CARANAVI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,2,0,2
CHALLAPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,2,0,2
CHAQUI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-05-01,0,1,1
