,group,variable,month,TOTAL Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,57,33,90
SANTA ROSA DEL SARA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,0,1,1
SENA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,1,2
SIPE SIPE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,2,1,3
SUCRE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,0,1
TARIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,0,1
TEOPONTE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,0,1,1
TIPUANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,5,0,5
TIQUIPAYA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,0,1,1
TOCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,3,0,3
UNCIA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,2,0,2
VIACHA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,2,2,4
VILLA TUNARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,3,2,5
VINTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,1,2
WARNES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,2,0,2
YACUIBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-01-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,0,1
CAMIRI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,0,1
CARANAVI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,8,4,12
CHIMORE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,4,5
CLIZA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,0,1
COBIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,4,0,4
COCHABAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,14,10,24
COLCAPIRHUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,0,3,3
COROICO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,2,0,2
COTOCA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,6,2,8
CULPINA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,25,14,39
EL TORNO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,8,4,12
GUAYARAMERIN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,0,1
HUANUNI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,6,0,6
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,2,0,2
LA ASUNTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,3,6,9
LA PAZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,3,4,7
LLALLAGUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,0,1,1
MAPIRI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,3,0,3
ORURO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,2,1,3
PALOS BLANCOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,4,5
QUILLACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,9,4,13
RIBERALTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,4,0,4
SACABA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,8,1,9
SAN BENITO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,2,1,3
SAN JULIAN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,0,1,1
SAN LUCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,52,47,99
SHINAOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,1,2
SIPE SIPE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,0,1,1
SUCRE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,0,1,1
TARIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,0,1
TEOPONTE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,0,1,1
TIPUANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,1,2
TRINIDAD,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,2,5,7
VILLA TUNARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,3,1,4
VILLAZON,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,0,1
VINTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,3,0,3
WARNES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,4,3,7
YACUIBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,0,3,3
YAMPARAEZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-02-01,1,0,1
CAPINOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,2,0,2
CARANAVI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,4,4,8
CHALLAPATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,1,2
CHAQUI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,0,1,1
CHIMORE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,0,1
COBIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,2,1,3
COCHABAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,13,11,24
COLCAPIRHUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,0,1
"COLCHA ""K""",tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,2,0,2
COROICO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,3,1,4
COTOCA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,0,2,2
CULPINA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,27,15,42
EL TORNO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,2,3,5
GUANAY,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,2,1,3
HUANUNI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,4,0,4
LA GUARDIA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,2,3
LA PAZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,10,10,20
MIZQUE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,0,1
MONTERO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,2,1,3
ORURO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,4,3,7
POTOSI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,5,6,11
PUERTO QUIJARRO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,8,3,11
QUILLACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,5,3,8
RIBERALTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,2,1,3
SACABA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,5,5,10
SAIPINA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,1,2
SAN CARLOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,0,1,1
SAN LUCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,2,2,4
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,59,58,117
SANTIAGO DE HUATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,2,1,3
SANTIVAÑES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,1,2
SENA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,1,2
SHINAOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,1,2,3
SIPE SIPE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,3,2,5
SUCRE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,2,2,4
TACACOMA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,2,1,3
TIPUANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,6,1,7
TIQUIPAYA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,0,1,1
TIRAQUE (CBBA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,0,1,1
TRINIDAD,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,8,2,10
TUPIZA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,3,2,5
VINTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,3,2,5
WARNES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,3,1,4
YACUIBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-03-01,3,2,5
ANCORAIMES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,0,1
ANZALDO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,1,2
CAPINOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,1,2
CARANAVI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,2,5,7
CARMEN RIVERO TORREZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,2,2
CHALLAPATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,0,1
CHARAGUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,2,2
CHIMORE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,2,3
COCHABAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,15,12,27
COLCAPIRHUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,1,1
COROICO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,1,2
COTOCA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,3,1,4
EL ALTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,15,19,34
EL TORNO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,3,1,4
ENTRE RIOS TRJ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,2,2,4
GENERAL SAAVEDRA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,4,0,4
HUANUNI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,3,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,2,2
LA ASUNTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,2,0,2
LA PAZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,2,4,6
LLALLAGUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,2,0,2
MAPIRI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,2,0,2
MOCOMOCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,0,1
MONTERO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,1,1
ORURO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,11,6,17
PORTACHUELO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,1,2
PORVENIR,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,8,1,9
QUILLACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,7,4,11
RIBERALTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,4,3,7
RURRENABAQUE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,1,1
SACABA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,5,5,10
SAIPINA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,1,1
SAN BENITO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,0,1
SAN BORJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,2,2,4
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,1,2
SAN LUCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,65,36,101
SANTA ROSA DEL SARA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,1,1
SANTIAGO DE HUARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,0,1
SHINAOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,4,3,7
SIPE SIPE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,2,1,3
SORATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,2,0,2
SUCRE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,9,3,12
TARIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,1,1
TIPUANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,4,0,4
TRINIDAD,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,4,5,9
VINTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,0,1,1
WARNES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,3,3,6
YACUIBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,3,1,4
YAPACANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,3,2,5
ZUDAÑEZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-04-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
CAMIRI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
CAPINOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
CARANAVI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,4,2,6
CHALLAPATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
CHARAGUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,0,1,1
CHIMORE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,1,2
CLIZA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,0,1,1
COBIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,3,1,4
COCHABAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,13,4,17
COLCAPIRHUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,3,4
COLOMI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
COMARAPA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
COROICO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,0,1,1
COTOCA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,2,0,2
EL ALTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,27,20,47
EL TORNO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,7,1,8
GUANAY,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,1,2
HUANUNI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,2,1,3
LA GUARDIA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,2,1,3
LA PAZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,17,11,28
LLALLAGUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
MAPIRI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,2,0,2
MIZQUE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,2,0,2
MONTERO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,2,2,4
MOROCHATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,2,3
ORURO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,6,6,12
PALOS BLANCOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
PORTACHUELO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
PORVENIR,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
POTOSI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-05-01,1,0,1
