,group,variable,month,TOTAL N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTAL N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
ORURO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,2,2,4
PAILON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
PALCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,3,1,4
POJO (CBBA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,1,1
POTOSI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,7,0,7
PUERTO QUIJARRO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,2,3
PUNA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,1,1
PUNATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,2,1,3
REYES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,5,3,8
RURRENABAQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
SACABA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,4,4,8
SACACA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
SAN ANDRES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,2,0,2
SAN BORJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,3,4
SAN CARLOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,1,1
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,5,2,7
SAN LUCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,2,2
SAN MATIAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
SAN PEDRO DE CURAHUARA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,78,50,128
SANTA ROSA DEL SARA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,1,1
SENA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,1,2
SIPE SIPE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,2,1,3
SOPACHUY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,1,2
SUCRE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,3,3,6
TACOBAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
TARIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,3,2,5
TIPUANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,1,2
TOCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
TOMINA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,4,2,6
TUPIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,3,0,3
UNCIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
UYUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
VIACHA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,2,3,5
VILLAZON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,3,3
VINTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,2,2
WARNES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,2,2,4
YACUIBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,0,1,1
YANACACHI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,5,3,8
ZUDAÑEZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-01-01,1,0,1
ACHOCALLA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
CABEZAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,0,2
CAJUATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
CAMIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,0,2
CARANAVI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,3,3,6
CHIMORE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,3,4
CHUMA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,1,1
COBIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,1,3
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,11,10,21
COLCAPIRHUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,2,2
CORIPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,1,1
COROICO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
COTAGAITA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,1,1
COTOCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
CURVA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,14,7,21
EL TORNO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,8,3,11
FILADELFIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
GUANAY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,0,2
HUANUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,3,1,4
INQUISIVI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,0,2
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,2,2
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,4,2,6
LA PAZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,8,5,13
LLALLAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,1,2
MAPIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,3,0,3
MECAPACA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,0,2
MIZQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,2,4
MONTERO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,5,6
MOROCHATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,1,2
ORURO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,3,0,3
PAILON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,2,2
POCONA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
PORCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
POTOSI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,5,0,5
PUERTO QUIJARRO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,4,5
PUNATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,4,4,8
QUIME,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,3,0,3
ROBORE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,1,1
SACABA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,7,2,9
SAN ANDRES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,2,2
SAN BORJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,3,3
SAN CARLOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,0,2
SAN JOAQUIN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,4,3,7
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
SAN PEDRO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,80,53,133
SENA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,1,1
SOPACHUY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,0,1,1
SUCRE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,1,3
TARABUCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
TARIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,1,3
TIPUANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,7,9
TUPIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,2,1,3
UNCIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,7,2,9
VILLAZON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
VINTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,1,2
VITICHI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
WARNES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,4,2,6
YACUIBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,2,3
YAMPARAEZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,1,0,1
YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-02-01,3,0,3
ACHACACHI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
ACHOCALLA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,0,2
CAIROMA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,0,2
CAMIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,1,3
CAPINOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
CARANAVI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,3,5,8
CHALLAPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
CHIMORE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,1,2
COBIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,15,4,19
COLCAPIRHUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
"COLCHA ""K""",tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,0,2
COLQUIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
CORIPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,0,2
COROICO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,4,0,4
COTOCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,2,2
CULPINA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,18,9,27
EL TORNO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,3,5
ESCOMA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
GUANAY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,1,3
HUANUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,3,1,4
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,3,4
LA PAZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,19,9,28
LLALLAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,1,3
MAGDALENA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,5,3,8
ORURO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,3,3,6
PADCAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,1,2
PAILON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,1,3
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,2,4
POTOSI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,9,2,11
PRESTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
PUERTO PEREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,1,2
PUERTO RICO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,2,4
PUNATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,5,1,6
QUIME,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
REYES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,1,3
ROBORE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,1,3
SACABA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,4,6
SAIPINA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,0,2
SAN BORJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,3,4
SAN CARLOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,1,2
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,3,1,4
SAN LORENZO(TJA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
SAN LUCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,3,2,5
SAN MATIAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,80,71,151
SANTIAGO DE HUATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
SANTIVAÑES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
SAPAHAQUI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
SENA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,1,2
SHINAOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,3,1,4
SIPE SIPE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
SUCRE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,6,1,7
TARIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,2,4,6
TARVITA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
TIPUANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,4,0,4
TIRAQUE (CBBA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
TRINIDAD,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,6,1,7
TUPIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,2,3
URIONDO (A. CONCEPCION),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,0,1
VIACHA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,7,4,11
VINTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,1,1,2
WARNES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,5,3,8
YACUIBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,5,5,10
YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,6,3,9
ZUDAÑEZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-03-01,0,1,1
ACHACACHI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
ANZALDO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
ARBIETO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
BERMEJO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
CAMIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
CAPINOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,1,2
CARANAVI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,2,4,6
CARMEN RIVERO TORREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,2,2
CHARAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,3,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,2,3
COBIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,4,0,4
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,13,14,27
COLCAPIRHUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,2,2
COLPA BELGICA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,0,1,1
CORIPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,3,0,3
COROICO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-04-01,1,1,2
