,group,variable,month,TOTAL Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTAL Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
YACUIBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,1,0,1
YAPACANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-01-01,2,1,3
ACHOCALLA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,1,1
CABEZAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,1,1
CARANAVI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,2,2
CHIMORE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,0,1
COBIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,3,3,6
COLCAPIRHUA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,1,1
COTOCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,1,2
CULPINA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,3,3,6
ENTRE RIOS CBBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,5,0,5
GUANAY,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,1,1
HUAYLLAMARCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,2,3
LA GUARDIA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,2,2
LA PAZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,2,1,3
LURIBAY,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,0,1
MAPIRI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,1,1
MIZQUE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,1,1
MONTERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,2,3,5
MOROCHATA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,2,2
ORURO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,2,1,3
PUNA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,1,2
SACABA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,3,1,4
SAN ANDRES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,1,2
SAN JULIAN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,1,2
SAN LUCAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,16,17,33
SENA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,0,2,2
SICAYA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,2,0,2
TRINIDAD,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,1,0,1
WARNES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-02-01,2,2,4
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,2,3,5
BUENA VISTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,2,3
CAMIRI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,1,2
CARANAVI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,1,2
CHALLAPATA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,0,1
CHIMORE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,3,1,4
COBIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,3,7,10
COLQUENCHA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,0,1
COTOCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,4,5,9
ENTRE RIOS CBBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,2,0,2
LA GUARDIA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,4,5
MONTERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,0,1
ORURO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,0,1,1
PADCAYA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,0,2,2
POCONA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,0,1,1
PORCO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,2,0,2
POTOSI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,4,5
PUERTO RICO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,2,3
RIBERALTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,2,3
RURRENABAQUE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,0,3,3
SACABA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,2,3
SAN BORJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,3,4,7
SAN CARLOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,1,2
SAN LUCAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,3,1,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,23,26,49
SANTIVAÑES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,0,1,1
SAPAHAQUI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,0,1,1
SENA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,3,2,5
SIPE SIPE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,2,1,3
TIPUANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,2,3
TIQUIPAYA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,0,1,1
TUPIZA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,4,5
WARNES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,2,3
YACUIBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,2,3
YAPACANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-03-01,1,3,4
ACHACACHI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,2,0,2
ARBIETO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,2,0,2
BUENA VISTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,0,1,1
CARANAVI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,2,2,4
CHARAGUA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,3,1,4
CHIMORE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,5,3,8
COLCAPIRHUA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,0,3,3
COLPA BELGICA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,0,1,1
CORIPATA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,0,1
COTOCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,0,2,2
CUATRO CAÑADAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,2,0,2
EL ALTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,5,6,11
EL TORNO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,1,2
GUANAY,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,0,1
IXIAMAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,1,2
LA GUARDIA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,3,3,6
LA PAZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,2,0,2
MONTERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,4,5,9
ORURO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,1,2
POTOSI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,3,1,4
RIBERALTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,0,1,1
SACABA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,3,1,4
SAN BORJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,3,2,5
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,2,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,18,18,36
SANTA ROSA DEL SARA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,0,1,1
SHINAOTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,4,5
SIPE SIPE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,1,2
SUCRE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,0,1,1
TARIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,3,0,3
TIPUANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,2,0,2
WARNES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,4,1,5
YACUIBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,0,2,2
YAPACANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-04-01,2,4,6
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,2,0,2
CARANAVI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,0,1
CHARAGUA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,0,1
COBIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,2,0,2
COCHABAMBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,3,3,6
COLCAPIRHUA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,3,4
CONCEPCION,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,1,2
COTOCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,0,1
EL ALTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,5,7,12
EL TORNO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,3,0,3
GUTIERREZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,3,0,3
LA GUARDIA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,0,2,2
LLALLAGUA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,0,2,2
MONTEAGUDO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,0,1
MONTERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,4,1,5
PALCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,2,0,2
POTOSI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,0,1
PRESTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,3,0,3
QUILLACOLLO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,0,1
RIBERALTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,2,1,3
RURRENABAQUE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,0,3,3
SACABA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,1,2
SAN JULIAN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,19,14,33
SHINAOTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,4,5
SIPE SIPE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,0,1
SORACACHI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,2,0,2
SUCRE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,1,2
TARIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,2,4,6
TEOPONTE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,0,1,1
TRINIDAD,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,2,3
VILLA CHARCAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,4,5
VILLA TUNARI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,2,2,4
VINTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,1,1,2
WARNES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,5,0,5
YAPACANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-05-01,0,2,2
ACHACACHI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,2,1,3
ALTO BENI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,0,1
ARANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,0,1,1
CALAMARCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,1,2
CAPINOTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,1,2
CARANAVI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,0,3,3
CHIMORE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,2,1,3
COBIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,2,2,4
COLCAPIRHUA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,5,3,8
COLOMI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,0,1,1
COTOCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,2,0,2
EL ALTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,5,3,8
EL TORNO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,2,1,3
HUANUNI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,0,2,2
LA ASUNTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,3,0,3
LA GUARDIA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,1,2
LA PAZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,0,1,1
MACHARETI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,2,3
MIZQUE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,2,0,2
MONTERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,1,2
ORURO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,3,0,3
PALOS BLANCOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,3,3,6
PAMPA GRANDE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,1,2
POJO (CBBA),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,0,1
POTOSI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,3,4
QUILLACOLLO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,0,3,3
RIBERALTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,2,2,4
SACABA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,0,1,1
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,2,0,2
SAN JULIAN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,18,14,32
SHINAOTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,0,1
TARIJA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,1,1,2
TIPUANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-06-01,2,0,2
