,group,variable,month,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,3,1,4
POCONA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
POJO (CBBA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,10,1,11
PUERTO QUIJARRO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,2,3
PUNA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,3,1,4
REYES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,6,3,9
RURRENABAQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,1,2
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,4,4,8
SACACA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
SAN ANDRES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,2,0,2
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,3,4
SAN CARLOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,7,1,8
SAN LUCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,2,2
SAN MATIAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
SAN PEDRO DE CURAHUARA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,88,66,154
SANTA ROSA DEL SARA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
SANTUARIO DE QUILLACAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
SENA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,2,0,2
SIPE SIPE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,2,2,4
SOPACHUY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,1,2
SORATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,5,4,9
TACOBAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,5,2,7
TEOPONTE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,4,0,4
TOCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
TOTORA(CBBA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,3,1,4
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,5,0,5
UNCIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
UYUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,2,0,2
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,2,1,3
VILLA CHARCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,2,3,5
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,2,1,3
VILLAZON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,3,3
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,2,3
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,3,2,5
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,2,2
YANACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,5,4,9
YOTALA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,0,1,1
ZUDAÑEZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-01-01,1,0,1
ACHACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,1,1
ACHOCALLA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
AYO AYO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
CABEZAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,0,2
CAJUATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
CAMIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,0,2
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,4,3,7
CHALLAPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,1,1
CHARAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,0,2
CHIMORE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,3,5
CHUMA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,1,1
CLIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,2,3
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,17,18,35
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,3,4
CORIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,1,1
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,0,2
COTAGAITA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,1,1
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
CUEVO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
CURVA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,29,18,47
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,8,3,11
FILADELFIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
GUANAY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,0,2
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
HUANUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,6,1,7
HUARINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
INQUISIVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,3,0,3
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,4,5
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,5,2,7
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,35,24,59
LLALLAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,1,2
MAPIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,3,0,3
MECAPACA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,0,2
MIZQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,1,3
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,8,10
MOROCHATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,1,2
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,5,2,7
PAILON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,2,2
POCONA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,45,10,55
PUERTO QUIJARRO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,4,5
PUNATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,8,5,13
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,4,0,4
RURRENABAQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,1,1
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,9,3,12
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,0,2
SAN JOAQUIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,3,3,6
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,98,60,158
SANTIAGO DE HUATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
SENA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,1,1
SOPACHUY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,1,1
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,3,3,6
TARABUCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,5,3,8
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,4,6
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,2,0,2
UNCIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,0,1,1
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,6,2,8
VILLAZON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,3,0,3
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,4,2,6
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,4,5
YAMPARAEZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,1,0,1
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-02-01,4,0,4
ACHACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
ACHOCALLA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,2,0,2
CAIROMA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,2,0,2
CALAMARCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
CAPINOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,2,4,6
CHALLAPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,1,2
CHAQUI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
CHIMORE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,28,17,45
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
"COLCHA ""K""",tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,4,0,4
COLQUIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,2,0,2
CORIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,2,0,2
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,3,1,4
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,2,2
CULPINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,31,15,46
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,2,3,5
GUANAY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,2,1,3
HUANUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,3,0,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,6,1,7
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,3,4
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,45,17,62
LLALLAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,6,3,9
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,6,7,13
PADCAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,1,2
PAILON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,2,2,4
PATACAMAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,2,0,2
POJO (CBBA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
PORCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,38,9,47
PUCARANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
PUERTO PEREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
PUERTO RICO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,4,3,7
PUNATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,7,2,9
QUIME,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
REYES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,2,3
ROBORE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,2,1,3
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,5,5,10
SAIPINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,3,4
SAN CARLOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,3,2,5
SAN LORENZO(TJA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
SAN LUCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,3,2,5
SAN MATIAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,91,79,170
SANTIAGO DE HUATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
SENA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,1,2
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,3,1,4
SIPE SIPE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,1,2
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,10,3,13
TACACOMA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
TACOBAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
TARABUCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,3,3,6
TARVITA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,2,0,2
TIRAQUE (CBBA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,7,1,8
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,2,2
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,3,3,6
VILLAZON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,2,2,4
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,6,3,9
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,6,4,10
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-03-01,0,1,1
ACHACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
ANZALDO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
ARBIETO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
BERMEJO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,2,1,3
BOLPEBRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
BUENA VISTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,1,2
CAMARGO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,0,1
CAMIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,1,1
CAPINOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,1,2
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,3,4,7
CARMEN RIVERO TORREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,2,2
CHALLAPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,1,1,2
CHARAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-04-01,0,2,2
