,group,variable,month,TOTAL N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTAL N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
CHARAGUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,3,7
CHAYANTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,2,3
CHIMORE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,12,2,14
CHUA COCANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,1,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,9,12,21
CHUMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,5,4,9
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
CKOCHAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,5,7
CLIZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,4,7
COBIJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,30,18,48
COCAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,5,2,7
COCHABAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,143,102,245
COLCAPIRHUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,10,10,20
"COLCHA ""K""",tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,2,5
COLLANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,3,4
COLQUECHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,3,7
COLQUIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,2,4
COMANCHE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,1,1
COMARAPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,3,4
CONCEPCION,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,6,3,9
COPACABANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
CORIPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,3,6
CORO CORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,0,3
COROICO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,12,13,25
CORQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,1,1
COTAGAITA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,3,5
COTOCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,21,20,41
CUATRO CAÑADAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,7,14,21
CUEVO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
CULPINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,4,4
CURAHUARA DE CARANGAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
DESAGUADERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,1,1
EL ALTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,195,183,378
EL CHORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,2,3
EL PUENTE(STC),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
EL PUENTE(TJA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,2,4
EL TORNO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,27,27,54
EL VILLAR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,6,4,10
ENTRE RIOS CBBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,23,6,29
ESCOMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,2,2
FILADELFIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,2,6
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,0,3
GUANAY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,7,3,10
GUAQUI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,20,11,31
GUTIERREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,0,4
HUACARETA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
HUACHACALLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
HUANUNI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,15,4,19
HUARINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
HUATAJATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,2,2
HUAYLLAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,3,5
INCAHUASI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,0,3
INGAVI (HUMAITA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
INQUISIVI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,3,5
JESUS DE MACHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
LA ASUNTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,31,18,49
LA GUARDIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,35,22,57
LA PAZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,302,279,581
LAGUNILLAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,1,1
LAJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,2,3
LICOMA PAMPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
LLALLAGUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,14,7,21
LORETO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
LURIBAY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
MACHACAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,1,1
MACHARETI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,3,3
MAIRANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
MALLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
MAPIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,15,4,19
MECAPACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
MINEROS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
MIZQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,9,11
MOCOMOCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,13,11,24
MONTERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,30,41,71
MOROCHATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,3,5
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
OCURI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,2,3
OKINAWA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,2,4
OMEREQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,2,2
ORURO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,107,79,186
PADCAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,7,10
PADILLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,5,4,9
PAILON,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,5,5,10
PALCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,5,1,6
PALOS BLANCOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,21,8,29
PAMPA AULLAGAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,4,4
PATACAMAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
PAZÑA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
PELECHUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
POCOATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
POCONA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,2,5
POJO (CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
POOPO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,1,1
PORCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,1,4
POROMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,5,7
PORTACHUELO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,3,6
PORVENIR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
POSTRER VALLE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,0,3
POTOSI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,69,34,103
PRESTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,4,7
PUCARANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
PUERTO ACOSTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,2,2
PUERTO CARABUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
PUERTO GONZALO MORENO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,2,2
PUERTO PEREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,3,5
PUERTO SUAREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,22,21,43
PUNA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,5,8
PUNATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,5,9,14
QUILLACOLLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,44,54,98
QUIME,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,0,3
REYES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,47,41,88
ROBORE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,0,4
RURRENABAQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,8,4,12
SABAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
SACABA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,47,39,86
SACABAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
SACACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,7,6,13
SAIPINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
SAN AGUSTIN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
SAN ANDRES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
SAN ANDRES DE MACHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,2,3
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
SAN BENITO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,2,2
SAN BORJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,14,7,21
SAN BUENA VENTURA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,1,1
SAN CARLOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,10,10,20
SAN IGNACIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,8,4,12
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,10,7,17
SAN JAVIER(BNI),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
SAN JOAQUIN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,4,8
SAN JUAN DE YAPACANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,21,25,46
SAN LORENZO(PND),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,3,7
SAN LORENZO(TJA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,3,3
SAN LUCAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,6,14,20
SAN MATIAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,7,9
SAN RAMON BENI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,1,5
SAN RAMON SCZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,4,6
SANTA ANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,0,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,459,376,835
SANTA ROSA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
SANTA ROSA DEL SARA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,6,10
SANTIAGO DE HUARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,1,1
SANTIAGO DE MACHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
SANTIVAÑES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,2,3
SANTUARIO DE QUILLACAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
SAPAHAQUI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
SENA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
SHINAOTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,8,3,11
SICA SICA (VILLA AROMA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,5,1,6
SICAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
SIPE SIPE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,11,15
SOPACHUY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,6,8,14
SORATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,6,8,14
SUCRE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,94,120,214
TACACOMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,2,4
TACOBAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,6,1,7
TACOPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
TAPACARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,3,4
TARABUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,2,2
TARATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,2,2
TARIJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,51,57,108
TARVITA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,4,9,13
TEOPONTE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,9,7,16
TIAWANACU,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,2,2
TINGUIPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,2,2
TIPUANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,21,9,30
TIQUIPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,10,7,17
TIRAQUE (CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,3,6
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
TOCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
TOLATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,1,4
TOMAVE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
TOMINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,4,5
TORO TORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,5,3,8
TOTORA(ORR),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,3,5
TRINIDAD,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,55,17,72
TUPIZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,30,18,48
UNCIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,3,3,6
URIONDO (A. CONCEPCION),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,4,4
URUBICHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
UYUNI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,4,4
VACAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,5,7
VIACHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,11,14,25
VILLA CHARCAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,8,13,21
VILLA MONTES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,9,15,24
VILLA RIVERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,1,2
VILLA SERRANO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,7,2,9
VILLA TUNARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,36,35,71
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,0,1
VILLAZON,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,9,13,22
VINTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,8,13,21
VITICHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,1,2,3
WALDO BALLIVIAN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,1,1
WARNES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,27,22,49
YACUIBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,33,45,78
YAMPARAEZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
YANACACHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,0,2
YAPACANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,43,49,92
YOCALLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,0,2,2
YOTALA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
YUNCHARA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,5,7
ZUDAÑEZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-01-01,2,1,3
ACACIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,0,1
ACHACACHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,8,12
ACHOCALLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,2,4
AIQUILE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,5,6,11
ALCALA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,1,3
ALTO BENI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,6,3,9
ANCORAIMES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,2,3
ANZALDO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,5,6,11
APOLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,7,8
ARAMPAMPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,2,4
ARANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
ARBIETO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,2,2
ARQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,8,8,16
ATOCHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
AUCAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,3,0,3
AYATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,7,7,14
AZURDUY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,1,4,5
BATALLAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,7,3,10
BELEN DE URMIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,2,0,2
BERMEJO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,4,5,9
BETANZOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-02-01,0,1,1
