,group,variable,month,TOTAL Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTAL Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
VILLA MONTES,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-04-01,1,1,2
CAPINOTA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-05-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-05-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-05-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-05-01,0,1,1
LA PAZ,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-05-01,3,3,6
MIZQUE,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-05-01,1,0,1
ORURO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-05-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-05-01,0,1,1
SACABA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-05-01,2,2,4
TARIJA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-05-01,3,0,3
VINTO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-05-01,0,1,1
WARNES,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-06-01,3,1,4
EL ALTO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-06-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-06-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-06-01,6,4,10
MONTERO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-06-01,0,0,0
PALOS BLANCOS,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-06-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-06-01,4,1,5
BATALLAS,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-07-01,10,1,11
EL ALTO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-07-01,1,0,1
EL TORNO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-07-01,2,0,2
HUANUNI,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-07-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-07-01,3,0,3
MONTERO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-07-01,0,0,0
ORURO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-07-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-07-01,4,1,5
TIQUIPAYA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-07-01,0,1,1
VIACHA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-07-01,1,0,1
CAPINOTA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-08-01,0,1,1
CARANAVI,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-08-01,2,3,5
EL ALTO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-08-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-08-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-08-01,2,1,3
MONTERO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-08-01,0,0,0
SACABA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-08-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-08-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-08-01,7,1,8
TARIJA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-08-01,2,0,2
TRINIDAD,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-08-01,2,0,2
CARANAVI,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-09-01,3,2,5
EL ALTO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-09-01,1,0,1
HUANUNI,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-09-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-09-01,1,1,2
LA PAZ,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-09-01,2,1,3
MONTERO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-09-01,6,1,7
SANTIVAÑES,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-09-01,0,1,1
ALTO BENI,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,3,1,4
COLCAPIRHUA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,4,0,4
LLALLAGUA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,0,1,1
MONTERO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,0,1,1
ORURO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,1,0,1
RIBERALTA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,8,0,8
SANTA ROSA DEL SARA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,0,1,1
TIPUANI,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,0,1,1
TUPIZA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,1,0,1
VIACHA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-10-01,1,1,2
CHALLAPATA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-11-01,7,1,8
EL ALTO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-11-01,4,0,4
LA GUARDIA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-11-01,1,0,1
LA PAZ,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-11-01,2,1,3
MONTERO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-11-01,1,2,3
RIBERALTA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-11-01,2,2,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-11-01,4,0,4
TUPIZA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-12-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-12-01,1,0,1
MONTERO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-12-01,0,0,0
ORURO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-12-01,0,1,1
PUNATA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-12-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-12-01,15,2,17
SUCRE,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-12-01,3,0,3
TRINIDAD,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-12-01,1,0,1
YACUIBA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-12-01,1,3,4
YAPACANI,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-12-01,2,0,2
YOTALA,tuberculosis y lepra,total no de pacientes con coinfeccion tb/vih,2015-12-01,1,0,1
