,group,variable,month,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
TARVITA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,0,1,1
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,1,0,1
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,1,1,2
YACO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,0,1,1
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,0,2,2
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-02-01,1,0,1
ALTO BENI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,0,1,1
CAIROMA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,0,1,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,1,1,2
CHIMORE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,2,1,3
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,0,1,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,2,3,5
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,1,2,3
MAPIRI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,1,0,1
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,0,1,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,3,0,3
PUNA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,0,1,1
ROBORE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,2,0,2
RURRENABAQUE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,1,1,2
SAN JAVIER(BNI),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,9,9,18
SAPAHAQUI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,0,1,1
SIPE SIPE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,0,1,1
SORATA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,1,0,1
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,3,0,3
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,2,1,3
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,1,0,1
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,0,1,1
YOCALLA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-03-01,1,1,2
ACHACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,0,1,1
BERMEJO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,0,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,0,1
CHIMORE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,6,3,9
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,0,1
GUANAY,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,0,1
HUANUNI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,2,0,2
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,4,1,5
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,0,1
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,1,2
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,0,1
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,15,5,20
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,2,0,2
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,2,0,2
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,2,0,2
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,4,0,4
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,0,1
VILLA SERRANO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,1,2
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,0,1,1
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,0,1,1
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-04-01,1,2,3
BETANZOS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
CAPINOTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
CARACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,2,3
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,1,2
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,2,0,2
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,0,2,2
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,2,0,2
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,11,5,16
SANTIAGO DE HUARI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
SIPE SIPE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,0,1,1
VALLEGRANDE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
VILLAZON,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,0,1
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,1,1,2
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-05-01,0,1,1
CHARAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,1,0,1
COLOMI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,1,0,1
CONCEPCION,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,2,0,2
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,1,0,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,1,0,1
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,2,1,3
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,1,1,2
MAPIRI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,0,0,0
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,0,1,1
PUNATA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,0,1,1
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,12,7,19
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,0,1,1
TACOBAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,1,0,1
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,1,0,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,1,0,1
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-06-01,0,1,1
BERMEJO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,0,2,2
BETANZOS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,0,1,1
CAPINOTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,2,2,4
FERNANDEZ ALONSO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,1,2
MIZQUE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,0,0,0
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,0,1,1
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,0,1,1
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
SAN JAVIER(BNI),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,15,8,23
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
TEOPONTE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,1,2
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,1,0,1
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-07-01,5,1,6
ACHOCALLA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
CAPINOTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,0,1,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
CKOCHAS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,6,2,8
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,1,2
GUANAY,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
HUANUNI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,2,1,3
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,2,0,2
PORVENIR,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,4,0,4
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,2,0,2
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,15,2,17
TACOBAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
VITICHI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,1,0,1
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-08-01,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,3,0,3
BOYUIBE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,0,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,0,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,1,2
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,3,0,3
CONCEPCION,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,0,1
CORIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,0,1,1
COTAGAITA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,0,1
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,0,1
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,2,1,3
LLALLAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,0,1
MAPIRI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,0,0,0
PAILON,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,0,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,1,2
SAN BUENA VENTURA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,0,1,1
SAN CARLOS,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,13,5,18
TARABUCO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,0,1,1
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,0,1,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,0,1,1
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,2,3
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-09-01,1,1,2
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,2,0,2
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,3,0,3
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,0,1,1
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,2,0,2
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,0,1,1
EL PUENTE(STC),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,1,0,1
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,3,1,4
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,0,2,2
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,2,0,2
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,1,0,1
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,15,6,21
SENA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,0,1,1
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,1,0,1
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,4,2,6
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,2,0,2
UYUNI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,0,1,1
VILA VILA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,0,1,1
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,1,0,1
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,0,1,1
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,1,2,3
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-10-01,0,1,1
ACHOCALLA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,1,2
ALTO BENI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,0,1,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,0,1,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,2,3
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema ii,2015-11-01,1,0,1
