,group,variable,month,TOTAL N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTAL N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
TARABUCO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,0,1,1
TARIJA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,1,0,1
TUPIZA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,0,1,1
UNCIA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,10,4,14
VALLEGRANDE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-02-01,1,0,1
ATOCHA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,1,1,2
COBIJA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,4,2,6
COLQUENCHA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,3,2,5
COROICO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,0,1,1
COTOCA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,0,1,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,1,0,1
LA PAZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,3,3,6
MONTERO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,3,3,6
POTOSI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,2,0,2
PUERTO ACOSTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,1,0,1
SACABA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,0,1,1
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,1,0,1
SAN PABLO DE LIPEZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,5,3,8
SANTIVAÑES,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,0,4,4
TACACOMA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,1,0,1
TARIJA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,1,0,1
TUPIZA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,0,1,1
VINTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,0,1,1
YACUIBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-03-01,0,1,1
ATOCHA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,0,1,1
BERMEJO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,2,1,3
BETANZOS,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,1,0,1
CAMIRI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,7,3,10
COLQUENCHA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,0,1,1
COTOCA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,4,1,5
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,1,0,1
HUANUNI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,1,0,1
LA PAZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,3,0,3
MAGDALENA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,3,3,6
ORURO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,1,1,2
PATACAMAYA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,1,0,1
PORCO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,6,12,18
POTOSI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,3,1,4
PUERTO PEREZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,1,0,1
RIBERALTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,1,0,1
SACABA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,1,0,1
SANTA ANA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,14,13,27
SHINAOTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,0,1,1
TARIJA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,2,0,2
TRINIDAD,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,1,2,3
URIONDO (A. CONCEPCION),tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,2,0,2
WARNES,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,2,0,2
YACUIBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-04-01,0,0,0
ALTO BENI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
ATOCHA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,1,2
BERMEJO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
CARANAVI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,0,1,1
CHIMORE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,2,1,3
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,0,1,1
LA PAZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,4,4,8
MIZQUE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,0,1,1
ORURO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,0,1,1
POTOSI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,3,0,3
PRESTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
RIBERALTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,5,4,9
SHINAOTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
TUPIZA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
TURCO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
WARNES,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
YACUIBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-05-01,1,0,1
BERMEJO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,0,1,1
CARANAVI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,1,0,1
COBIJA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,1,2,3
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,3,1,4
COLCAPIRHUA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,0,1,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,0,1,1
HUANUNI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,0,1,1
LA PAZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,6,1,7
LORETO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,0,1,1
ORURO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,1,1,2
PORCO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,12,3,15
POTOSI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,2,0,2
SAIPINA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,6,6,12
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,1,1,2
SANTA ANA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,6,1,7
SICAYA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,3,0,3
SUCRE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,1,3,4
TRINIDAD,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,2,4,6
YACUIBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-06-01,1,0,1
ACACIO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,2,0,2
BUENA VISTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,0,1,1
CARANAVI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,0,1,1
COTOCA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,1,1,2
FERNANDEZ ALONSO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,1,9,10
HUANUNI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,1,0,1
INCAHUASI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,1,0,1
LA PAZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,2,2,4
MAPIRI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,1,0,1
ORURO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,2,1,3
PAMPA GRANDE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,1,0,1
SACABA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,2,0,2
SAN BENITO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,2,2,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,13,7,20
TIQUIPAYA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,0,1,1
TRINIDAD,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,19,8,27
UYUNI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,2,4,6
VILLA MONTES,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,1,0,1
YACUIBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,0,1,1
YANACACHI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-07-01,1,0,1
BERMEJO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,0,1,1
CARANAVI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,3,0,3
CARAPARI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,0,1,1
COBIJA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,4,1,5
COTAGAITA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,1,1,2
EL ALTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,4,0,4
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,1,0,1
LA PAZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,1,3,4
MOJOCOYA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,0,0,0
PELECHUCO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,2,0,2
POTOSI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,2,0,2
RIBERALTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,1,1,2
SAN CARLOS,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,0,1,1
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,8,7,15
SIPE SIPE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,7,2,9
TUPIZA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,0,2,2
VALLEGRANDE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,0,1,1
VIACHA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-08-01,2,0,2
BERMEJO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,1,0,1
CAMARGO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,1,0,1
CARANAVI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,1,0,1
COCAPATA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,3,0,3
COLOMI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,0,1,1
LA PAZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,2,1,3
LURIBAY,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,5,3,8
MONTERO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,3,2,5
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,1,0,1
ORURO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,1,0,1
PORCO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,9,6,15
PUCARANI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,1,1,2
SAN LORENZO(TJA),tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,7,3,10
SUCRE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,0,2,2
TARIJA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,0,2,2
TRINIDAD,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,7,6,13
TUPIZA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-09-01,0,1,1
CAJUATA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,2,0,2
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,3,1,4
COLCAPIRHUA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,1,0,1
CORIPATA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,7,3,10
EL CHORO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,1,1,2
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,1,0,1
LA PAZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,3,0,3
MAPIRI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,1,1,2
ORURO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,1,2,3
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,0,1,1
PORCO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,6,3,9
PORTACHUELO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,0,1,1
PUERTO GONZALO MORENO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,0,1,1
PUNATA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,0,1,1
SAN BORJA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,2,0,2
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,5,9,14
SUCRE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,2,0,2
TACACOMA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,1,0,1
TARIJA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,0,1,1
TEOPONTE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,5,2,7
TUPIZA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,5,4,9
YAMPARAEZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-10-01,1,0,1
ACHOCALLA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,1,0,1
BOYUIBE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,3,0,3
CAMIRI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,1,1,2
CHIMORE,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,2,0,2
COROICO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,1,0,1
CULPINA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,1,1,2
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,1,1,2
LA PAZ,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,1,3,4
MAPIRI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,1,2,3
ORURO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,2,2,4
PORCO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,3,6,9
POTOSI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,3,0,3
RIBERALTA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,7,6,13
SICAYA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,0,1,1
TARABUCO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,1,0,1
TARIJA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,2,0,2
TRINIDAD,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,0,1,1
TUPIZA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,5,3,8
YANACACHI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,0,1,1
YAPACANI,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-11-01,0,1,1
BERMEJO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,5,4,9
GUANAY,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,1,0,1
HUARINA,tuberculosis y lepra,total n de tbp baar (-) nuevos,2015-12-01,1,0,1
