,group,variable,month,TOTAL N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTAL N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
COROICO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
CUEVO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,13,15,28
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
HUARINA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,1,2
LA PAZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,15,11,26
LURIBAY,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
MECAPACA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
ORURO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,2,2,4
POTOSI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,0,2,2
PUNATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,5,1,6
RIBERALTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,0,1,1
SACABA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,1,2
SAN JULIAN,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,12,20,32
SUCRE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,2,3
TARABUCO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
TARIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,2,2,4
TEOPONTE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,0,2,2
TUPIZA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
VIACHA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
VINTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
VITICHI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
WARNES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
YACUIBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
YAPACANI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-02-01,1,0,1
ALTO BENI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,0,1,1
ANCORAIMES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
BATALLAS,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
CALAMARCA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,0,1,1
CAMIRI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,2,0,2
CAPINOTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
CHALLAPATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,12,17,29
"COLCHA ""K""",tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,2,0,2
COLQUIRI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
COROICO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,12,5,17
EL TORNO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,0,1,1
HUANUNI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
LA PAZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,27,10,37
LLALLAGUA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
LURIBAY,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
MAGDALENA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,0,1,1
ORURO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,3,4,7
PATACAMAYA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,2,0,2
POTOSI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,2,1,3
PUCARANI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,2,1,3
SACABA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,2,1,3
SAN RAMON SCZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,12,11,23
SANTIVAÑES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
SIPE SIPE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
SUCRE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,4,2,6
VIACHA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,2,1,3
VILLAZON,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
VINTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
WARNES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-03-01,1,0,1
BETANZOS,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
CAMARGO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
CARANAVI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
CHALLAPATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,12,12,24
COLCAPIRHUA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,0,1,1
COROICO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,11,11,22
EL TORNO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
HUANUNI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
LA PAZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,27,13,40
LLALLAGUA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
LURIBAY,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
MECAPACA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
MOCOMOCO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
ORURO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,3,2,5
PAILON,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
POTOSI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
PUNATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,3,0,3
RURRENABAQUE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,0,1,1
SACABA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,1,2
SAN BENITO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,21,8,29
SAPAHAQUI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
SHINAOTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,0,2,2
SUCRE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,5,1,6
TARABUCO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,0,1,1
TOMAVE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,0,1,1
VIACHA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,1,2
VINTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
YACUIBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,0,2,2
ZUDAÑEZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-04-01,1,0,1
ACHOCALLA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,0,1,1
CALAMARCA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
CAMIRI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
CAPINOTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
CHALLAPATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,0,2,2
COCHABAMBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,10,6,16
EL ALTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,9,11,20
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,1,2
LA GUARDIA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,1,2
LA PAZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,20,8,28
MIZQUE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
ORURO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,6,0,6
POTOSI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,2,3
SACABA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,3,0,3
SAN BUENA VENTURA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,0,1,1
SAN LUCAS,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,12,17,29
SIPE SIPE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,0,1,1
SUCRE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,4,3,7
TACACOMA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
TARABUCO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
TARIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,2,1,3
TIPUANI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
TOMAVE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
TORO TORO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,1,2
TRINIDAD,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,4,0,4
TUPIZA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
VIACHA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,2,1,3
VILLA MONTES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,1,0,1
VINTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,0,1,1
WARNES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,0,1,1
YACUIBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-05-01,0,1,1
ACHOCALLA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
BETANZOS,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,0,1,1
CARANAVI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,2,1,3
COBIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,1,2
COCHABAMBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,14,5,19
COLCAPIRHUA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
CORIPATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,0,1,1
EL ALTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,9,7,16
EL TORNO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,2,0,2
LA GUARDIA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
LA PAZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,9,10,19
LURIBAY,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,0,1,1
MAPIRI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
MIZQUE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,0,3,3
ORURO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,2,2,4
PUERTO QUIJARRO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,0,1,1
PUNATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,4,0,4
ROBORE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
SACABA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,4,0,4
SAN JOAQUIN,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,2,0,2
SAN JULIAN,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,14,7,21
SUCRE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,2,1,3
TARIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,1,2
TEOPONTE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
TIPUANI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,0,1,1
TRINIDAD,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,2,0,2
TUPIZA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,1,0,1
VACAS,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,0,1,1
WARNES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,0,1,1
YACUIBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-06-01,0,2,2
APOLO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
COBIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,22,8,30
COLCAPIRHUA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,8,4,12
EL TORNO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,0,1,1
LA PAZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,8,4,12
MONTERO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,2,0,2
ORURO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,3,4,7
PALCA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
QUIABAYA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,2,2,4
RIBERALTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
SACABA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,21,10,31
SANTIAGO DE HUARI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,0,1,1
SHINAOTA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
SORATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
SUCRE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,2,0,2
TARIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,2,1,3
TOMAVE,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,2,2,4
TUPIZA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,0,1,1
UNCIA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
VINTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,1,0,1
WARNES,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-07-01,2,0,2
CALAMARCA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,0,1
CARANAVI,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,1,2
CHALLAPATA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,0,1
COBIJA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,5,13,18
EL ALTO,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,7,4,11
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,1,0,1
GUANAY,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total n de tb extrapulmonar nuevos,2015-08-01,0,1,1
