,group,variable,month,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-05-01,1,0,1
TURCO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-05-01,1,0,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-06-01,0,1,1
CHIMORE,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-06-01,1,0,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-06-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-06-01,0,1,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-06-01,0,0,0
POROMA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-06-01,0,1,1
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-06-01,3,0,3
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-06-01,0,3,3
ALCALA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-07-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-07-01,1,1,2
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-07-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-07-01,0,2,2
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-07-01,1,0,1
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-07-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-07-01,0,0,0
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-07-01,0,1,1
SAN BENITO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-07-01,8,4,12
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-07-01,0,1,1
CAMARGO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-08-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-08-01,2,0,2
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-08-01,0,0,0
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-08-01,7,4,11
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-08-01,0,1,1
CHOQUE COTA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-09-01,3,0,3
GUAQUI,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-09-01,1,0,1
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-09-01,0,1,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-09-01,0,0,0
PELECHUCO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-09-01,5,3,8
SANTA ROSA DEL SARA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-09-01,1,0,1
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-09-01,0,2,2
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-09-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-09-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-09-01,0,1,1
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-09-01,0,1,1
CULPINA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-10-01,0,1,1
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-10-01,0,0,0
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-10-01,0,0,0
SAN LUCAS,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-10-01,2,5,7
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-10-01,1,1,2
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-10-01,1,0,1
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-10-01,0,1,1
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-10-01,1,0,1
BETANZOS,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-11-01,1,1,2
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-11-01,0,1,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-11-01,0,2,2
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-11-01,8,6,14
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-11-01,2,0,2
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-11-01,1,0,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-12-01,1,0,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-12-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-12-01,0,1,1
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-12-01,3,0,3
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-12-01,0,1,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-12-01,0,0,0
SAN LUCAS,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-12-01,9,4,13
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-12-01,1,0,1
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema iii,2015-12-01,2,0,2
