,group,variable,month,TOTAL 1711 NEUMOCÓCICA 2DA. DOSIS CANTIDAD,TOTAL 1711 NEUMOCÓCICA 2DA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,0,2,0,2
VILLA CHARCAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,1,1,1,1,2
VILLA TUNARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,5,1,5,1,6
VILLAZON,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,4,0,4,0,4
YACO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,2,5,2,5,7
YANACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-01-01,6,1,6,1,7
ACHACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,33,11,33,11,44
ALALAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,1,0,1,1
ALCALA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,5,0,5,0,5
ALTO BENI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,7,1,7,1,8
ANCORAIMES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,8,1,8,9
ANZALDO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,5,0,5,0,5
APOLO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
ARBIETO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,6,4,6,4,10
AYO AYO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
AZURDUY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,6,0,6,6
BATALLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,20,8,20,8,28
BELLA FLOR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,4,2,4,2,6
BETANZOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
BOLIVAR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
BOLPEBRA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,1,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,20,4,20,4,24
CABEZAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,6,5,6,5,11
CAIROMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,5,4,5,4,9
"CAIZA ""D""",vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,1,2,1,3
CAJUATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,5,2,5,7
CALACOTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,2,1,2,3
CAMARGO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,5,3,5,8
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,2,1,2,3
CAMIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,0,3,0,3
CAPINOTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,1,1,1,2
CAQUIAVIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,11,4,11,4,15
CARANAVI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,146,2,146,2,148
CARAPARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
CATACORA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
CHARAGUA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,3,0,3,3
CHIMORE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,26,3,26,3,29
CLIZA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,2,3,2,5
COBIJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,16,0,16,0,16
COCHABAMBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,49,1,49,1,50
"COLCHA ""K""",vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
COLOMI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
COLPA BELGICA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
COLQUECHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,9,3,9,12
COLQUIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,1,1,1,2
CONCEPCION,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,20,0,20,0,20
COPACABANA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,10,2,10,2,12
CORIPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,22,2,22,2,24
CORO CORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,10,2,10,2,12
COROICO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,9,0,9,0,9
COTAGAITA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,9,2,9,2,11
EL ALTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,867,76,867,76,943
EL TORNO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,0,3,0,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,1,1,1,2
FILADELFIA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,4,3,4,3,7
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,1,0,1,1
GUANAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,15,3,15,3,18
GUAQUI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,3,1,3,4
HUACARETA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,10,1,10,1,11
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
HUACHACALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
HUARINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,0,3,0,3
HUATAJATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,9,1,9,1,10
HUMANATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,1,3,1,4
INCAHUASI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,10,5,10,5,15
INQUISIVI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,11,2,11,13
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,3,3,3,6
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
LA ASUNTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,10,6,10,6,16
LA PAZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1067,5,1067,5,1072
LAGUNILLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
LAJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,13,2,13,2,15
LAS CARRERAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
LICOMA PAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,2,0,2,2
LLALLAGUA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,1,0,1,1
LURIBAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,6,0,6,6
MACHARETI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,12,1,12,1,13
MALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,2,1,2,3
MAPIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,4,0,4,0,4
MINEROS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,6,0,6,0,6
MIZQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,0,3,0,3
MOCOMOCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,7,3,7,3,10
MOJOCOYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,1,1,1,2
MONTEAGUDO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,9,3,9,3,12
OCURI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,5,2,5,2,7
OMEREQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,4,2,4,2,6
ORURO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,1,1,1,2
PAILON,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,23,1,23,1,24
PALOS BLANCOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,23,9,23,9,32
PAPEL PAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,6,3,6,3,9
PASORAPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,0,3,0,3
PELECHUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,1,2,1,3
POJO (CBBA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
PORTACHUELO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,14,1,14,1,15
PORVENIR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,6,0,6,0,6
POTOSI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,4,1,4,1,5
PUCARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
PUCARANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,9,8,9,8,17
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,4,1,4,1,5
PUERTO PEREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,2,3,2,5
PUERTO RICO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,14,2,14,2,16
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,0,3,0,3
PUNA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,5,6,5,6,11
PUNATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,2,2,2,4
QUILLACOLLO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
QUIME,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,4,0,4,0,4
QUIRUSILLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
REYES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,1,1,1,2
RURRENABAQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
SACABA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,8,1,8,1,9
SACABAMBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,4,0,4,4
SAN BENITO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
SAN CARLOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,25,0,25,0,25
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,0,3,0,3
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,9,0,9,0,9
SAN JULIAN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,25,2,25,2,27
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
SAN LUCAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,16,5,16,5,21
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,8,6,8,6,14
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,11,0,11,0,11
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,102,0,102,0,102
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,4,0,4,0,4
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,8,1,8,1,9
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,2,0,2,2
SENA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
SIPE SIPE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
SOPACHUY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,1,0,1,1
SORATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,4,8,4,8,12
SUCRE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,129,0,129,0,129
TACACOMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,6,1,6,1,7
TACOBAMBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,1,0,1,1
TACOPAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,0,1,0,1,1
TAPACARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,4,0,4,0,4
TARABUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
TARACO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,0,3,0,3
TARATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,6,1,6,1,7
TARIJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,5,0,5,0,5
TARVITA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,3,0,3,0,3
TEOPONTE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
TIAWANACU,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,3,1,3,4
TINGUIPAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,11,0,11,0,11
TIPUANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,9,0,9,0,9
TIQUIPAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,0,2,0,2
TOLATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,1,0,1,0,1
TOMAVE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,1,2,1,3
TOMINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,2,15,2,15,17
TRINIDAD,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-02-01,8,0,8,0,8
