,group,variable,month,TOTAL 17.2 PENTAVALENTE 1RA. DOSIS CANTIDAD,TOTAL 17.2 PENTAVALENTE 1RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
COTOCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,137,8,137,8,145
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,0,1,0,1,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,31,3,31,3,34
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,2,4,2,4,6
CULPINA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,18,12,18,12,30
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,7,0,7,0,7
CURVA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,4,4,4,4,8
DESAGUADERO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,10,0,10,0,10
EL ALTO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1842,161,1842,161,2003
EL CHORO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,3,4,3,4,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,17,3,17,3,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,14,6,14,6,20
EL TORNO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,103,4,103,4,107
EL VILLAR,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,7,0,7,0,7
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,21,13,21,13,34
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,73,2,73,2,75
ESCOMA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,8,2,8,2,10
EUCALIPTUS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,1,5,1,6
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,0,3,0,3,3
EXALTACION,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,0,5,0,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,25,2,25,2,27
FILADELFIA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,6,3,6,3,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,21,2,21,2,23
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,13,10,13,10,23
GUANAY,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,20,9,20,9,29
GUAQUI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,4,3,4,3,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,102,13,102,13,115
GUTIERREZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,16,14,16,14,30
HUACARETA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,13,4,13,4,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,3,5,3,8
HUANUNI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,56,2,56,2,58
HUARACAJE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,4,0,4,0,4
HUARINA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,3,3,3,3,6
HUATAJATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,4,1,4,1,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,3,4,3,4,7
HUMANATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,6,2,6,2,8
ICHOCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,7,1,7,8
ICLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,4,5,4,9
INCAHUASI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,12,8,12,8,20
INQUISIVI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,4,14,4,14,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,20,5,20,5,25
IXIAMAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,16,1,16,1,17
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,23,4,23,4,27
LA ASUNTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,86,14,86,14,100
LA GUARDIA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,155,7,155,7,162
LA PAZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1377,20,1377,20,1397
LAGUNILLAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,3,5,3,8
LAJA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,30,6,30,6,36
LAS CARRERAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,1,5,1,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,3,0,3,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,72,29,72,29,101
LLICA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,8,1,8,1,9
LORETO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,0,1,0,1,1
LURIBAY,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,9,5,9,5,14
MACHACAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,6,1,6,1,7
MACHARETI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,13,3,13,3,16
MAGDALENA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,24,7,24,7,31
MAIRANA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,30,1,30,1,31
MALLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,2,5,2,5,7
MAPIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,32,0,32,0,32
MECAPACA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,9,8,9,8,17
MINEROS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,40,3,40,3,43
MIZQUE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,44,7,44,7,51
MOCOMOCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,15,9,15,9,24
MOJINETE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,0,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,12,3,12,3,15
MONTEAGUDO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,48,7,48,7,55
MONTERO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,285,0,285,0,285
MORO MORO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,0,1,0,1
MOROCHATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,3,15,3,15,18
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,2,3,2,3,5
OCURI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,9,22,9,22,31
OKINAWA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,31,1,31,1,32
OMEREQUE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,4,6,4,6,10
ORURO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,584,1,584,1,585
PADCAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,34,7,34,7,41
PADILLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,15,3,15,3,18
PAILON,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,44,16,44,16,60
PALCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,16,15,16,15,31
PALOS BLANCOS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,35,1,35,1,36
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,1,5,1,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,14,0,14,0,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,3,0,3,0,3
PASORAPA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,3,1,3,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,37,7,37,7,44
PAZÑA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,6,3,6,3,9
PELECHUCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,9,6,9,6,15
POCOATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,16,22,16,22,38
POCONA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,10,5,10,5,15
POJO (CBBA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,12,1,12,1,13
POOPO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,9,12,9,12,21
PORCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,41,3,41,3,44
POROMA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,14,5,14,19
PORONGO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,13,1,13,1,14
PORTACHUELO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,39,2,39,2,41
PORVENIR,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,13,0,13,0,13
POSTRER VALLE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,0,1,0,1
POTOSI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,553,14,553,14,567
PRESTO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,4,10,4,10,14
PUCARA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,2,2,2,2,4
PUCARANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,33,18,33,18,51
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,17,5,17,22
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,12,5,12,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,8,5,8,5,13
PUERTO PEREZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,3,6,3,6,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,27,3,27,3,30
PUERTO RICO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,11,1,11,1,12
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,28,1,28,1,29
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,85,6,85,6,91
PUNA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,15,15,15,15,30
PUNATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,55,0,55,0,55
QUIABAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,1,5,1,6
QUILLACOLLO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,258,41,258,41,299
QUIME,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,13,3,13,3,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,13,10,13,10,23
REYES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,19,2,19,2,21
RIBERALTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,247,28,247,28,275
ROBORE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,26,2,26,2,28
RURRENABAQUE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,33,0,33,0,33
SABAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,2,0,2,0,2
SACABA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,288,8,288,8,296
SACABAMBA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,7,0,7,0,7
SACACA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,26,17,26,17,43
SAIPINA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,9,1,9,1,10
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,4,10,4,10,14
SAMAIPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,14,0,14,0,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,2,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,5,1,5,1,6
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,3,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,2,1,2,1,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,6,5,6,5,11
SAN BENITO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,14,2,14,2,16
SAN BORJA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,59,7,59,7,66
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,16,1,16,1,17
SAN CARLOS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,50,5,50,5,55
SAN IGNACIO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,34,4,34,4,38
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,84,13,84,13,97
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,1,0,1,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,24,10,24,10,34
SAN JOAQUIN,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,6,1,6,1,7
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,28,0,28,0,28
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,14,2,14,2,16
SAN JULIAN,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,70,32,70,32,102
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,12,0,12,0,12
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,27,3,27,3,30
SAN LUCAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,34,31,34,31,65
SAN MATIAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,25,17,25,17,42
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,12,0,12,0,12
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-01-01,4,2,4,2,6
