,group,variable,month,TOTAL 17.4 PENTAVALENTE 3RA. DOSIS CANTIDAD,TOTAL 17.4 PENTAVALENTE 3RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,2,0,2,0,2
CUEVO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,0,3,0,3,3
CULPINA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,19,14,19,14,33
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,8,0,8,0,8
CURVA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,2,0,2,0,2
DESAGUADERO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,4,4,4,4,8
EL ALTO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1498,225,1498,225,1723
EL CHORO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1,5,1,5,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,18,1,18,1,19
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,11,6,11,6,17
EL TORNO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,108,2,108,2,110
EL VILLAR,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,1,5,1,6
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,29,13,29,13,42
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,64,4,64,4,68
ESCARA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,2,0,2,0,2
ESCOMA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,6,3,6,3,9
ESMERALDA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1,0,1,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,0,3,0,3
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,0,3,0,3,3
EXALTACION,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,18,5,18,5,23
FILADELFIA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,9,6,9,6,15
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,23,2,23,2,25
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,8,5,8,13
GUANAY,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,21,14,21,14,35
GUAQUI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,1,5,1,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,116,19,116,19,135
GUTIERREZ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,13,5,13,18
HUACARETA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,22,5,22,5,27
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,6,3,6,3,9
HUACHACALLA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,0,3,0,3
HUANUNI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,51,3,51,3,54
HUARACAJE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,7,0,7,0,7
HUARINA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,2,3,2,5
HUATAJATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,2,3,2,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1,1,1,1,2
HUMANATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,5,3,5,8
ICHOCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1,4,1,4,5
ICLA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,15,5,15,5,20
INCAHUASI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,13,8,13,8,21
INQUISIVI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,12,5,12,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,20,8,20,8,28
IXIAMAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,11,1,11,1,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,11,0,11,0,11
LA ASUNTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,60,8,60,8,68
LA GUARDIA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,172,2,172,2,174
LA PAZ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1262,19,1262,19,1281
LA RIVERA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1,0,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,9,1,9,1,10
LAJA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,18,6,18,6,24
LAS CARRERAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,4,1,4,1,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,2,6,2,6,8
LLALLAGUA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,57,38,57,38,95
LLICA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,0,5,0,5
LORETO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,0,3,0,3
LURIBAY,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,11,5,11,5,16
MACHACAMARCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,6,4,6,4,10
MACHARETI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,18,2,18,2,20
MAGDALENA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,32,5,32,5,37
MAIRANA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,20,1,20,1,21
MALLA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1,3,1,3,4
MAPIRI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,25,0,25,0,25
MECAPACA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,11,4,11,4,15
MINEROS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,37,5,37,5,42
MIZQUE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,38,6,38,6,44
MOCOMOCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,7,10,7,10,17
MOJINETE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,2,0,2,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,3,5,3,8
MONTEAGUDO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,31,3,31,3,34
MONTERO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,240,0,240,0,240
MORO MORO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,0,5,0,5
MOROCHATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,20,3,20,23
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,2,3,2,5
OCURI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,6,13,6,13,19
OKINAWA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,32,2,32,2,34
OMEREQUE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,8,5,8,5,13
ORURO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,547,1,547,1,548
PADCAYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,21,4,21,4,25
PADILLA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,17,4,17,4,21
PAILON,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,39,32,39,32,71
PALCA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,10,12,10,12,22
PALOS BLANCOS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,35,3,35,3,38
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,0,3,0,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,18,0,18,0,18
PAPEL PAMPA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,4,0,4,0,4
PASORAPA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,2,3,2,5
PATACAMAYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,37,6,37,6,43
PAZÑA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,4,3,4,3,7
PELECHUCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,8,0,8,0,8
POCOATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,6,22,6,22,28
POCONA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,8,9,8,9,17
POJO (CBBA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,16,0,16,0,16
POOPO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,16,4,16,4,20
PORCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,24,3,24,3,27
POROMA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,10,12,10,12,22
PORONGO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,19,4,19,4,23
PORTACHUELO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,39,0,39,0,39
PORVENIR,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,8,3,8,3,11
POSTRER VALLE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,0,3,0,3
POTOSI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,365,3,365,3,368
PRESTO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,2,11,2,11,13
PUCARANI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,26,19,26,19,45
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,9,15,9,15,24
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,16,6,16,6,22
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,10,3,10,3,13
PUERTO PEREZ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,5,3,5,8
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,21,3,21,3,24
PUERTO RICO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,11,2,11,2,13
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,23,5,23,5,28
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,101,12,101,12,113
PUNA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,16,9,16,9,25
PUNATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,50,0,50,0,50
QUIABAYA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,221,39,221,39,260
QUIME,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,18,1,18,1,19
QUIRUSILLAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,0,3,0,3
RAVELO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,18,9,18,9,27
REYES,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,15,3,15,3,18
RIBERALTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,218,51,218,51,269
ROBORE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,29,4,29,4,33
RURRENABAQUE,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,30,2,30,2,32
SACABA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,245,5,245,5,250
SACABAMBA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,1,5,1,6
SACACA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,21,7,21,7,28
SAIPINA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,2,0,2,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,12,6,12,6,18
SAMAIPATA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,19,0,19,0,19
SAN ANDRES,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,12,13,12,13,25
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,2,5,2,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,5,5,5,5,10
SAN BENITO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,13,5,13,5,18
SAN BORJA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,83,4,83,4,87
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,22,4,22,4,26
SAN CARLOS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,35,3,35,3,38
SAN IGNACIO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,35,2,35,2,37
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,102,17,102,17,119
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,0,3,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,17,4,17,4,21
SAN JOAQUIN,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,12,0,12,0,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,39,0,39,0,39
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,14,5,14,5,19
SAN JULIAN,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,101,35,101,35,136
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,13,0,13,0,13
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,25,2,25,2,27
SAN LUCAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,32,25,32,25,57
SAN MATIAS,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,26,20,26,20,46
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,24,0,24,0,24
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,3,2,3,2,5
SAN PEDRO,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,22,1,22,1,23
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,34,13,34,13,47
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      pentavalente 3ra. dosis,2014-01-01,4,3,4,3,7
