,group,variable,month,TOTAL 1710 NEUMOCÓCICA 1RA. DOSIS CANTIDAD,TOTAL 1710 NEUMOCÓCICA 1RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
LICOMA PAMPA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,6,1,6,1,7
LLICA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,4,0,4,0,4
LURIBAY,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,11,9,11,9,20
MACHARETI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,7,2,7,2,9
MAGDALENA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,61,15,61,15,76
MALLA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,2,5,2,5,7
MAPIRI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,43,0,43,0,43
MECAPACA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,0,1,0,1,1
MINEROS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,81,0,81,0,81
MIZQUE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,4,3,4,3,7
MOCOMOCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,14,7,14,7,21
MOJINETE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,2,0,2,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,28,12,28,12,40
MONTEAGUDO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,36,7,36,7,43
MONTERO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,37,0,37,0,37
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1,0,1,0,1
OCURI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,7,25,7,25,32
OMEREQUE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,11,13,11,13,24
ORURO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,33,0,33,0,33
PADILLA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,40,15,40,15,55
PAILON,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,83,3,83,3,86
PALOS BLANCOS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,44,5,44,5,49
PAPEL PAMPA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,5,0,5,0,5
PASORAPA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,8,6,8,6,14
PATACAMAYA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,7,0,7,0,7
PELECHUCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,6,4,6,4,10
POCOATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,0,2,0,2,2
PORCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1,0,1,0,1
POROMA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,3,3,3,3,6
PORTACHUELO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,10,0,10,0,10
PORVENIR,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,23,6,23,6,29
POTOSI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,573,2,573,2,575
PRESTO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,10,23,10,23,33
PUCARANI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,49,17,49,17,66
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,8,10,8,10,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,2,0,2,0,2
PUERTO PEREZ,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,3,10,3,10,13
PUERTO SILES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,4,0,4,0,4
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,59,8,59,8,67
PUNA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,14,4,14,4,18
PUNATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,80,0,80,0,80
QUIABAYA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,6,1,6,1,7
QUILLACOLLO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1,0,1,0,1
QUIME,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,20,4,20,4,24
REYES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,71,1,71,1,72
ROBORE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,0,3,0,3,3
RURRENABAQUE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,139,3,139,3,142
SACABA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,659,9,659,9,668
SACABAMBA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,14,1,14,1,15
SAMAIPATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1,0,1,0,1
SAN AGUSTIN,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,4,0,4,0,4
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,9,1,9,1,10
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,5,1,5,1,6
SAN BENITO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,11,1,11,1,12
SAN CARLOS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,4,0,4,0,4
SAN JOAQUIN,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,46,1,46,1,47
SAN JULIAN,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,56,24,56,24,80
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,10,0,10,0,10
SAN LUCAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,67,57,67,57,124
SAN PEDRO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,5,0,5,0,5
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,23,22,23,22,45
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,0,2,0,2,2
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,4,5,4,5,9
SAN RAMON BENI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,46,14,46,14,60
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,95,0,95,0,95
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,14,0,14,0,14
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1,3,1,3,4
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,14,5,14,5,19
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,4,0,4,0,4
SANTIVAÑES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,17,0,17,0,17
SAPAHAQUI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,4,2,4,2,6
SENA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,15,0,15,0,15
SHINAOTA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,107,0,107,0,107
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,26,18,26,18,44
SIPE SIPE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1,0,1,0,1
SOPACHUY,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,22,18,22,18,40
SORATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,34,40,34,40,74
SUCRE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1448,38,1448,38,1486
TACACHI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,7,0,7,0,7
TACACOMA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,8,0,8,0,8
TAHUA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,0,15,0,15,15
TAPACARI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,108,35,108,35,143
TARABUCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,23,20,23,20,43
TARACO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,17,1,17,1,18
TARATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,39,2,39,2,41
TARIJA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,134,4,134,4,138
TARVITA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,33,21,33,21,54
TEOPONTE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,23,1,23,1,24
TIAWANACU,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,11,3,11,3,14
TINGUIPAYA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,10,16,10,16,26
TIPUANI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,19,5,19,5,24
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,4,0,4,0,4
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,0,6,0,6,6
TOCO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,2,3,2,3,5
TOLATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,35,5,35,5,40
TOMAVE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,11,10,11,10,21
TOMINA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,24,18,24,18,42
TORO TORO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,20,4,20,4,24
TOTORA(CBBA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,2,1,2,1,3
TRINIDAD,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,51,0,51,0,51
TUPIZA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,97,4,97,4,101
UMALA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1,2,1,2,3
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,6,6,6,6,12
UYUNI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,91,1,91,1,92
VACAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,6,5,6,5,11
VALLEGRANDE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,5,0,5,0,5
VIACHA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,1,0,1,0,1
VILLA CHARCAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,25,10,25,10,35
VILLA MONTES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,7,2,7,2,9
VILLA SERRANO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,41,19,41,19,60
VILLA TUNARI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,255,12,255,12,267
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,8,0,8,0,8
VILLAZON,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,205,19,205,19,224
VITICHI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,7,3,7,3,10
WARNES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,81,5,81,5,86
YACO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,11,4,11,4,15
YAMPARAEZ,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,19,8,19,8,27
YANACACHI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,12,4,12,4,16
YOTALA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,13,33,13,33,46
YUNCHARA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,4,0,4,0,4
ZUDAÑEZ,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-01-01,20,10,20,10,30
ACACIO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,10,14,10,14,24
ACHACACHI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,40,8,40,8,48
AIQUILE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,80,56,80,56,136
ALALAY,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,7,16,7,16,23
ALCALA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,5,1,5,1,6
ALTO BENI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,3,0,3,0,3
ANCORAIMES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,27,19,27,19,46
ANDAMARCA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,15,16,15,16,31
ANTEQUERA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,5,2,5,2,7
ANZALDO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,20,3,20,3,23
APOLO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,8,1,8,1,9
ARAMPAMPA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,5,3,5,3,8
ARANI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,68,12,68,12,80
ARBIETO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,38,11,38,11,49
ARQUE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,24,9,24,9,33
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,190,6,190,6,196
ATOCHA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,10,11,10,11,21
AYATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,5,9,5,9,14
AYO AYO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,2,2,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,91,69,91,69,160
AZURDUY,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,13,14,13,14,27
BATALLAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,36,11,36,11,47
BAURES,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,8,0,8,0,8
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,0,4,0,4,4
BELLA FLOR,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,6,10,6,10,16
BERMEJO,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,159,91,159,91,250
BETANZOS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,121,34,121,34,155
BOLIVAR,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,17,19,17,19,36
BOLPEBRA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,9,12,9,12,21
BOYUIBE,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,21,2,21,2,23
BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,34,5,34,5,39
CABEZAS,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,57,30,57,30,87
CAIROMA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,1,4,1,4,5
"CAIZA ""D""",vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,49,23,49,23,72
CAJUATA,vacunaciones en menores de 1 ano,      neumococica 1ra. dosis,2014-02-01,4,11,4,11,15
