,group,variable,month,TOTAL 17.8 ANTIROTAVIRICA 1RA. DOSIS CANTIDAD,TOTAL 17.8 ANTIROTAVIRICA 1RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
COTOCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,135,6,135,6,141
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,0,1,0,1,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,31,3,31,3,34
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,4,2,4,6
CULPINA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,19,11,19,11,30
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,7,0,7,0,7
CURVA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,4,4,4,4,8
DESAGUADERO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,10,0,10,0,10
EL ALTO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1689,118,1689,118,1807
EL CHORO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,3,4,3,4,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,17,2,17,2,19
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,12,6,12,6,18
EL TORNO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,101,4,101,4,105
EL VILLAR,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,7,0,7,0,7
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,21,13,21,13,34
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,64,1,64,1,65
ESCOMA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,8,2,8,2,10
EUCALIPTUS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,1,5,1,6
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,0,3,0,3,3
EXALTACION,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,0,5,0,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,25,2,25,2,27
FILADELFIA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,6,2,6,2,8
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,22,2,22,2,24
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,14,10,14,10,24
GUANAY,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,20,14,20,14,34
GUAQUI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,4,3,4,3,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,92,13,92,13,105
GUTIERREZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,16,14,16,14,30
HUACARETA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,13,4,13,4,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,3,5,3,8
HUANUNI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,55,2,55,2,57
HUARACAJE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,4,0,4,0,4
HUARINA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,3,3,3,3,6
HUATAJATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,4,1,4,1,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,3,4,3,4,7
HUMANATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,2,5,2,7
ICHOCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,7,1,7,8
ICLA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,3,5,3,5,8
INCAHUASI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,12,8,12,8,20
INQUISIVI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,4,14,4,14,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,19,5,19,5,24
IXIAMAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,15,1,15,1,16
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,23,3,23,3,26
LA ASUNTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,80,10,80,10,90
LA GUARDIA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,140,3,140,3,143
LA PAZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1339,18,1339,18,1357
LAGUNILLAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,3,5,3,8
LAJA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,29,4,29,4,33
LAS CARRERAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,1,5,1,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,3,0,3,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,73,28,73,28,101
LLICA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,7,1,7,1,8
LURIBAY,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,9,5,9,5,14
MACHACAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,6,1,6,1,7
MACHARETI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,12,3,12,3,15
MAGDALENA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,16,7,16,7,23
MAIRANA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,30,1,30,1,31
MALLA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,5,2,5,7
MAPIRI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,31,0,31,0,31
MECAPACA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,9,8,9,8,17
MINEROS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,39,3,39,3,42
MIZQUE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,42,7,42,7,49
MOCOMOCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,15,9,15,9,24
MOJINETE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,0,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,12,3,12,3,15
MONTEAGUDO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,45,8,45,8,53
MONTERO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,281,0,281,0,281
MORO MORO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,0,1,0,1
MOROCHATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,3,15,3,15,18
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,3,2,3,5
OCURI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,9,22,9,22,31
OKINAWA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,30,1,30,1,31
OMEREQUE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,4,6,4,6,10
ORURO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,540,1,540,1,541
PADCAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,32,7,32,7,39
PADILLA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,15,3,15,3,18
PAILON,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,44,15,44,15,59
PALCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,13,15,13,15,28
PALOS BLANCOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,34,1,34,1,35
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,1,5,1,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,14,0,14,0,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,3,0,3,0,3
PASORAPA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,3,1,3,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,33,7,33,7,40
PAZÑA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,6,2,6,2,8
PELECHUCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,9,6,9,6,15
POCOATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,16,21,16,21,37
POCONA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,10,5,10,5,15
POJO (CBBA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,12,1,12,1,13
POOPO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,9,11,9,11,20
PORCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,40,3,40,3,43
POROMA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,14,5,14,19
PORONGO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,13,1,13,1,14
PORTACHUELO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,37,2,37,2,39
PORVENIR,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,13,0,13,0,13
POSTRER VALLE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,0,1,0,1
POTOSI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,533,12,533,12,545
PRESTO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,7,1,7,8
PUCARA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,2,2,2,4
PUCARANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,31,17,31,17,48
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,17,5,17,22
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,4,12,4,12,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,8,5,8,5,13
PUERTO PEREZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,3,6,3,6,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,27,3,27,3,30
PUERTO RICO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,11,0,11,0,11
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,28,1,28,1,29
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,83,6,83,6,89
PUNA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,17,14,17,14,31
PUNATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,53,0,53,0,53
QUIABAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,1,5,1,6
QUILLACOLLO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,254,33,254,33,287
QUIME,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,12,3,12,3,15
QUIRUSILLAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,13,10,13,10,23
REYES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,15,2,15,2,17
RIBERALTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,226,26,226,26,252
ROBORE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,26,5,26,5,31
RURRENABAQUE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,28,0,28,0,28
SABAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,0,2,0,2
SACABA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,283,8,283,8,291
SACABAMBA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,7,0,7,0,7
SACACA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,26,17,26,17,43
SAIPINA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,6,1,6,1,7
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,4,10,4,10,14
SAMAIPATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,14,0,14,0,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,5,1,5,1,6
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,3,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,2,1,2,1,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,6,5,6,5,11
SAN BENITO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,14,2,14,2,16
SAN BORJA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,51,6,51,6,57
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,15,0,15,0,15
SAN CARLOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,48,5,48,5,53
SAN IGNACIO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,32,3,32,3,35
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,84,13,84,13,97
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,1,0,1,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,24,10,24,10,34
SAN JOAQUIN,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,6,1,6,1,7
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,27,0,27,0,27
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,14,1,14,1,15
SAN JULIAN,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,67,31,67,31,98
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,10,0,10,0,10
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,27,3,27,3,30
SAN LUCAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,33,27,33,27,60
SAN MATIAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-01-01,24,2,24,2,26
