,group,variable,month,TOTAL 17.1 BCG CANTIDAD,TOTAL 17.1 BCG CANTIDAD,TOTALES,TOTALES,TOTALES
GUAQUI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,8,2,8,10
GUAYARAMERIN,vacunaciones en menores de 1 ano,      bcg,2014-01-01,117,0,117,0,117
GUTIERREZ,vacunaciones en menores de 1 ano,      bcg,2014-01-01,8,19,8,19,27
HUACARETA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,7,3,7,3,10
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,7,1,7,8
HUANUNI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,39,0,39,0,39
HUARACAJE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,3,0,3,3
HUARINA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,4,1,4,5
HUATAJATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,1,0,1,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,5,1,5,6
HUMANATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,5,3,5,8
ICHOCA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,4,3,4,7
ICLA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,7,3,7,3,10
INCAHUASI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,11,9,11,9,20
INQUISIVI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,10,4,10,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,16,4,16,4,20
IXIAMAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,16,0,16,0,16
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,7,3,7,10
LA ASUNTA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,78,17,78,17,95
LA GUARDIA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,132,10,132,10,142
LA PAZ,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1927,4,1927,4,1931
LAGUNILLAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,6,4,6,4,10
LAJA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,13,7,13,7,20
LAS CARRERAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,1,3,1,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,0,4,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,28,53,28,53,81
LLICA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,2,4,2,6
LORETO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,2,1,2,3
LURIBAY,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,2,3,2,5
MACHACAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,0,3,0,3
MACHARETI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,3,5,3,8
MAGDALENA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,24,7,24,7,31
MAIRANA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,31,1,31,1,32
MALLA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,1,2,1,3
MAPIRI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,20,1,20,1,21
MECAPACA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,10,3,10,3,13
MINEROS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,42,0,42,0,42
MIZQUE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,38,22,38,22,60
MOCOMOCO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,15,14,15,14,29
MOJOCOYA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,9,3,9,12
MONTEAGUDO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,49,3,49,3,52
MONTERO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,418,0,418,0,418
MORO MORO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,1,2,1,3
MOROCHATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,9,2,9,11
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,0,2,0,2
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,0,1,0,1
OCURI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,26,5,26,31
OKINAWA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,22,0,22,0,22
OMEREQUE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,7,3,7,3,10
ORURO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,728,0,728,0,728
PADCAYA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,12,5,12,5,17
PADILLA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,20,1,20,1,21
PAILON,vacunaciones en menores de 1 ano,      bcg,2014-01-01,51,11,51,11,62
PALCA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,16,22,16,22,38
PALOS BLANCOS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,38,9,38,9,47
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,6,3,6,9
PAMPA GRANDE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,15,0,15,0,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,2,2,2,4
PASORAPA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,4,1,4,5
PATACAMAYA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,34,8,34,8,42
PAZÑA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,9,2,9,2,11
PELECHUCO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,4,2,4,6
POCOATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,25,5,25,30
POCONA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,10,5,10,15
POJO (CBBA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,11,0,11,0,11
POOPO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,6,1,6,1,7
PORCO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,17,1,17,1,18
POROMA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,11,3,11,14
PORONGO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,9,7,9,7,16
PORTACHUELO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,50,0,50,0,50
PORVENIR,vacunaciones en menores de 1 ano,      bcg,2014-01-01,6,3,6,3,9
POTOSI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,575,24,575,24,599
PRESTO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,8,3,8,11
PUCARA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,0,2,0,2
PUCARANI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,28,20,28,20,48
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,9,0,9,9
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,6,6,6,6,12
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,8,3,8,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,3,1,3,4
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,19,4,19,4,23
PUERTO RICO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,6,4,6,4,10
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      bcg,2014-01-01,45,1,45,1,46
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      bcg,2014-01-01,135,2,135,2,137
PUNA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,11,13,11,13,24
PUNATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,55,0,55,0,55
QUIABAYA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,2,0,2,2
QUILLACOLLO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,237,15,237,15,252
QUIME,vacunaciones en menores de 1 ano,      bcg,2014-01-01,12,7,12,7,19
QUIRUSILLAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,6,6,6,6,12
REYES,vacunaciones en menores de 1 ano,      bcg,2014-01-01,19,2,19,2,21
RIBERALTA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,332,4,332,4,336
ROBORE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,26,2,26,2,28
RURRENABAQUE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,31,0,31,0,31
SABAYA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,1,3,1,4
SACABA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,218,0,218,0,218
SACABAMBA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,1,4,1,5
SACACA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,26,10,26,10,36
SAIPINA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,5,1,5,6
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,13,7,13,7,20
SAMAIPATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,14,3,14,3,17
SAN AGUSTIN,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,1,2,1,3
SAN ANDRES,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,2,2,2,4
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,2,0,2,2
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,3,5,3,8
SAN BENITO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,17,0,17,0,17
SAN BORJA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,78,7,78,7,85
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,16,2,16,2,18
SAN CARLOS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,25,4,25,4,29
SAN IGNACIO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,33,4,33,4,37
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,120,8,120,8,128
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,2,1,2,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      bcg,2014-01-01,30,1,30,1,31
SAN JOAQUIN,vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,3,5,3,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,35,0,35,0,35
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,9,2,9,2,11
SAN JULIAN,vacunaciones en menores de 1 ano,      bcg,2014-01-01,80,27,80,27,107
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      bcg,2014-01-01,13,2,13,2,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,9,3,9,3,12
SAN LUCAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,29,35,29,35,64
SAN MATIAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,28,1,28,1,29
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,14,1,14,1,15
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,2,2,2,4
SAN PEDRO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,19,0,19,0,19
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,38,23,38,23,61
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,6,1,6,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,3,2,3,5
SAN PEDRO(PND),vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,2,5,2,7
SAN RAMON BENI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,7,1,7,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      bcg,2014-01-01,22,0,22,0,22
SANTA ANA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,44,0,44,0,44
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3851,173,3851,173,4024
SANTA ROSA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,22,0,22,0,22
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,8,10,8,10,18
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,2,1,2,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,2,3,2,5
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,5,1,5,6
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,1,1,1,2
SANTIVAÑES,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,2,2,2,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,4,1,4,5
SAPAHAQUI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,3,6,3,6,9
SENA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,10,2,10,2,12
SHINAOTA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,46,2,46,2,48
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,12,10,12,10,22
SICAYA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,1,1,1,2
SIPE SIPE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,75,5,75,5,80
SOPACHUY,vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,0,4,0,4
SORACACHI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,9,3,9,3,12
SORATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,14,7,14,7,21
SUCRE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,535,3,535,3,538
TACACHI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,0,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,6,0,6,0,6
TACOBAMBA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,8,2,8,10
TACOPAYA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,14,3,14,3,17
TAHUA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,1,2,1,3
TAPACARI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,13,28,13,28,41
TARABUCO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,15,6,15,6,21
TARACO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,2,2,2,4
TARATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,16,2,16,2,18
TARIJA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,470,1,470,1,471
TARVITA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,16,9,16,9,25
TEOPONTE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,14,7,14,7,21
TIAWANACU,vacunaciones en menores de 1 ano,      bcg,2014-01-01,13,4,13,4,17
TINGUIPAYA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,15,25,15,25,40
TIPUANI,vacunaciones en menores de 1 ano,      bcg,2014-01-01,12,2,12,2,14
TIQUIPAYA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,96,16,96,16,112
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,27,8,27,8,35
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      bcg,2014-01-01,0,1,0,1,1
TOCO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,2,5,2,7
TODOS SANTOS,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,0,1,0,1
TOLATA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,0,5,0,5
TOMAVE,vacunaciones en menores de 1 ano,      bcg,2014-01-01,6,2,6,2,8
TOMINA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,5,4,5,4,9
TORO TORO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,9,20,9,20,29
TOTORA(CBBA),vacunaciones en menores de 1 ano,      bcg,2014-01-01,32,4,32,4,36
TOTORA(ORR),vacunaciones en menores de 1 ano,      bcg,2014-01-01,4,1,4,1,5
TRIGAL,vacunaciones en menores de 1 ano,      bcg,2014-01-01,2,0,2,0,2
TRINIDAD,vacunaciones en menores de 1 ano,      bcg,2014-01-01,394,2,394,2,396
TUPIZA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,93,12,93,12,105
TURCO,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,1,1,1,2
UMALA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,1,7,1,7,8
UNCIA,vacunaciones en menores de 1 ano,      bcg,2014-01-01,29,8,29,8,37
