,group,variable,month,TOTAL 1712 NEUMOCÓCICA 3RA. DOSIS CANTIDAD,TOTAL 1712 NEUMOCÓCICA 3RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
ANZALDO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,2,1,2,1,3
APOLO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,4,0,4,0,4
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,2,0,2,0,2
BATALLAS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,2,3,2,3,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,2,0,2,0,2
BERMEJO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,1,1,1,2
BETANZOS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,2,1,2,3
BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,6,2,6,2,8
CABEZAS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,6,1,6,1,7
"CAIZA ""D""",vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
CALACOTO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
CAMARGO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
CAPINOTA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
CARANAVI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,41,0,41,0,41
CHUA COCANI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,5,1,5,1,6
COCAPATA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,2,0,2,0,2
COCHABAMBA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,26,0,26,0,26
COIPASA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
COLQUECHACA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,2,4,2,4,6
CONCEPCION,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,10,0,10,0,10
COPACABANA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,2,0,2,2
CORIPATA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,6,0,6,0,6
CORO CORO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
COROICO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,2,1,2,3
COTAGAITA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
COTOCA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,6,0,6,0,6
EL ALTO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,290,28,290,28,318
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
EL TORNO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,2,0,2,0,2
GUAQUI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,3,3,3,3,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
GUTIERREZ,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
HUACARETA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
HUMANATA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,3,1,3,4
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,1,1,1,2
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,8,1,8,1,9
LA PAZ,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,244,2,244,2,246
LAJA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
LLALLAGUA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
LURIBAY,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
MACHARETI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,2,0,2,0,2
MALLA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
MAPIRI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
MIZQUE,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,1,1,1,2
MOCOMOCO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,2,1,2,3
MOJINETE,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
MONTERO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,6,0,6,0,6
OCURI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,2,0,2,2
ORURO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
PALCA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
PAPEL PAMPA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,3,2,3,2,5
PATACAMAYA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
PORONGO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,3,0,3,3
PORTACHUELO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,3,0,3,0,3
POTOSI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
PRESTO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
PUCARANI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
PUERTO PEREZ,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,2,0,2,0,2
PUNA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,2,1,2,3
QUILLACOLLO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
SACABA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,10,0,10,0,10
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
SAN BENITO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
SAN CARLOS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,2,0,2,0,2
SAN JULIAN,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,8,3,8,3,11
SAN LUCAS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,7,1,7,1,8
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,3,1,3,4
SAN RAMON BENI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,95,0,95,0,95
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,2,0,2,0,2
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,3,1,3,1,4
SENA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,7,0,7,0,7
SOPACHUY,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,1,1,1,2
SORATA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,3,1,3,1,4
SUCRE,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,3,0,3,0,3
TACACOMA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,1,1,1,2
TACOBAMBA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
TACOPAYA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
TAPACARI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,4,0,4,0,4
TARABUCO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
TARACO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,5,0,5,0,5
TARATA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
TARIJA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,3,0,3,0,3
TINGUIPAYA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
TIPUANI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
TRIGAL,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,2,0,2,2
TRINIDAD,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,4,0,4,0,4
TURCO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,9,0,9,0,9
UYUNI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,0,1,0,1,1
VIACHA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
VILLAZON,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,6,0,6,0,6
VINTO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
WARNES,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
YACO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,5,1,5,1,6
YACUIBA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,7,0,7,0,7
YANACACHI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,3,0,3,0,3
YAPACANI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,6,0,6,0,6
ZUDAÑEZ,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-03-01,1,0,1,0,1
ACHACACHI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,29,6,29,6,35
ALCALA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,2,0,2,0,2
ANCORAIMES,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,6,1,6,1,7
ANZALDO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,1,1,1,1,2
APOLO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,5,0,5,0,5
ARBIETO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,2,0,2,0,2
ARQUE,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,55,6,55,6,61
AYO AYO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,1,4,1,4,5
AZURDUY,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,1,2,1,2,3
BATALLAS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,8,3,8,3,11
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,0,2,0,2,2
BERMEJO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,1,1,1,1,2
BETANZOS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,6,2,6,2,8
BOLIVAR,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,1,0,1,0,1
BOLPEBRA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,0,1,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,2,0,2,0,2
BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,13,3,13,3,16
CABEZAS,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,22,3,22,3,25
CAIROMA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,2,1,2,1,3
"CAIZA ""D""",vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,3,0,3,0,3
CALACOTO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,0,2,0,2,2
CAMARGO,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,1,5,1,5,6
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,2,1,2,1,3
CAMIRI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,13,5,13,5,18
CAPINOTA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,6,0,6,0,6
CAQUIAVIRI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,12,0,12,0,12
CARANAVI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,71,5,71,5,76
CARAPARI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,2,0,2,0,2
CATACORA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,1,1,1,1,2
CHACARILLA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,2,0,2,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,0,1,0,1,1
CHAQUI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,1,0,1,0,1
CHARAGUA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,3,3,3,3,6
CHIMORE,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,4,1,4,1,5
CHIPAYA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,2,0,2,0,2
CHUA COCANI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,18,2,18,2,20
CLIZA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,5,1,5,1,6
COBIJA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,8,0,8,0,8
COCAPATA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,2,2,2,2,4
COCHABAMBA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,99,1,99,1,100
"COLCHA ""K""",vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,1,0,1,0,1
COLOMI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,1,0,1,0,1
COLPA BELGICA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,3,0,3,0,3
COLQUECHACA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,2,0,2,0,2
COLQUENCHA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,2,0,2,0,2
COLQUIRI,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,1,3,1,3,4
CONCEPCION,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,10,0,10,0,10
COPACABANA,vacunaciones en menores de 1 ano,      neumococica 3ra. dosis,2014-04-01,9,4,9,4,13
