,group,variable,month,TOTAL 17.3 PENTAVALENTE 2DA. DOSIS CANTIDAD,TOTAL 17.3 PENTAVALENTE 2DA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
CUEVO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,2,4,2,4,6
CULPINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,23,12,23,12,35
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,4,0,4,0,4
CURVA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,2,4,2,4,6
DESAGUADERO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,12,2,12,2,14
EL ALTO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,1665,190,1665,190,1855
EL CHORO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,6,3,6,3,9
EL PUENTE(STC),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,20,0,20,0,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,11,2,11,2,13
EL TORNO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,106,3,106,3,109
EL VILLAR,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,7,5,7,5,12
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,27,13,27,13,40
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,73,3,73,3,76
ESCARA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,1,0,1,0,1
ESCOMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,8,1,8,1,9
EUCALIPTUS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,3,1,3,1,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,0,2,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,17,3,17,3,20
FILADELFIA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,7,10,7,10,17
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,39,1,39,1,40
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,9,16,9,16,25
GUANAY,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,19,14,19,14,33
GUAQUI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,2,1,2,1,3
GUAYARAMERIN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,104,11,104,11,115
GUTIERREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,19,16,19,16,35
HUACARETA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,14,3,14,3,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,2,3,2,3,5
HUACHACALLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,4,0,4,0,4
HUANUNI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,48,1,48,1,49
HUARACAJE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,9,0,9,0,9
HUARINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,7,3,7,3,10
HUATAJATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,3,0,3,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,6,1,6,1,7
HUMANATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,3,2,3,2,5
ICHOCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,3,3,3,3,6
ICLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,6,4,6,4,10
INCAHUASI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,15,11,15,11,26
INQUISIVI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,3,19,3,19,22
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,9,11,9,11,20
IXIAMAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,14,1,14,1,15
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,11,1,11,1,12
LA ASUNTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,81,6,81,6,87
LA GUARDIA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,159,5,159,5,164
LA PAZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,1423,14,1423,14,1437
LAGUNILLAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,6,2,6,2,8
LAJA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,23,6,23,6,29
LAS CARRERAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,7,1,7,1,8
LICOMA PAMPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,2,2,2,2,4
LLALLAGUA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,52,32,52,32,84
LLICA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,7,0,7,0,7
LORETO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,5,0,5,0,5
LURIBAY,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,5,4,5,4,9
MACHACAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,5,2,5,2,7
MACHARETI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,5,2,5,2,7
MAGDALENA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,29,6,29,6,35
MAIRANA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,12,1,12,1,13
MALLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,1,4,1,4,5
MAPIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,28,0,28,0,28
MECAPACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,9,8,9,8,17
MINEROS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,41,7,41,7,48
MIZQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,54,5,54,5,59
MOCOMOCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,12,14,12,14,26
MOJINETE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,2,0,2,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,10,5,10,5,15
MONTEAGUDO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,32,4,32,4,36
MONTERO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,227,0,227,0,227
MORO MORO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,1,1,1,1,2
MOROCHATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,11,18,11,18,29
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,1,0,1,0,1
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,2,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,2,4,2,4,6
OCURI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,15,14,15,14,29
OKINAWA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,23,1,23,1,24
OMEREQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,3,11,3,11,14
ORURO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,614,0,614,0,614
PADCAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,26,2,26,2,28
PADILLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,13,6,13,6,19
PAILON,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,55,22,55,22,77
PALCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,14,13,14,13,27
PALOS BLANCOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,34,4,34,4,38
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,3,1,3,1,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,15,0,15,0,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,8,1,8,1,9
PASORAPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,2,3,2,3,5
PATACAMAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,44,6,44,6,50
PAZÑA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,10,5,10,5,15
PELECHUCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,10,3,10,3,13
POCOATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,5,9,5,9,14
POCONA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,20,10,20,10,30
POJO (CBBA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,14,0,14,0,14
POOPO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,12,6,12,6,18
PORCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,25,3,25,3,28
POROMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,5,12,5,12,17
PORONGO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,8,7,8,7,15
PORTACHUELO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,34,3,34,3,37
PORVENIR,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,16,0,16,0,16
POTOSI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,446,11,446,11,457
PRESTO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,0,7,0,7,7
PUCARANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,27,17,27,17,44
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,7,16,7,16,23
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,7,3,7,3,10
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,8,8,8,8,16
PUERTO PEREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,2,4,2,4,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,16,6,16,6,22
PUERTO RICO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,9,3,9,3,12
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,26,1,26,1,27
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,89,2,89,2,91
PUNA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,10,11,10,11,21
PUNATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,53,0,53,0,53
QUIABAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,267,43,267,43,310
QUIME,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,8,4,8,4,12
QUIRUSILLAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,13,8,13,8,21
REYES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,19,1,19,1,20
RIBERALTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,233,28,233,28,261
ROBORE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,20,3,20,3,23
RURRENABAQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,43,4,43,4,47
SABAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,3,0,3,0,3
SACABA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,252,6,252,6,258
SACABAMBA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,8,1,8,1,9
SACACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,17,6,17,6,23
SAIPINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,11,1,11,1,12
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,6,11,6,11,17
SAMAIPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,14,0,14,0,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,3,0,3,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,15,4,15,4,19
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,3,2,3,2,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,3,1,3,1,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,3,5,3,5,8
SAN BENITO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,15,2,15,2,17
SAN BORJA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,80,4,80,4,84
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,21,0,21,0,21
SAN CARLOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,28,5,28,5,33
SAN IGNACIO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,35,5,35,5,40
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,103,14,103,14,117
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,2,0,2,0,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,21,4,21,4,25
SAN JOAQUIN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,13,0,13,0,13
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,34,0,34,0,34
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,12,4,12,4,16
SAN JULIAN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,91,34,91,34,125
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,10,0,10,0,10
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,35,3,35,3,38
SAN LUCAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,46,23,46,23,69
SAN MATIAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,21,1,21,1,22
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,15,0,15,0,15
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,9,1,9,1,10
SAN PEDRO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,24,1,24,1,25
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,23,19,23,19,42
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,5,5,5,5,10
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-01-01,3,4,3,4,7
