,group,variable,month,TOTAL 17.9 ANTIROTAVIRICA 2RA. DOSIS CANTIDAD,TOTAL 17.9 ANTIROTAVIRICA 2RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
COTOCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,130,3,130,3,133
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,27,0,27,0,27
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,0,2,0,2
CUEVO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,4,2,4,6
CULPINA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,23,11,23,11,34
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,4,0,4,0,4
CURVA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,4,2,4,6
DESAGUADERO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,11,1,11,1,12
EL ALTO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1534,131,1534,131,1665
EL CHORO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,5,3,5,3,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,20,0,20,0,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,12,2,12,2,14
EL TORNO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,98,2,98,2,100
EL VILLAR,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,7,5,7,5,12
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,27,13,27,13,40
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,69,1,69,1,70
ESCARA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,0,1,0,1
ESCOMA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,9,1,9,1,10
EUCALIPTUS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,1,3,1,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,0,2,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,17,3,17,3,20
FILADELFIA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,7,8,7,8,15
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,36,1,36,1,37
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,9,16,9,16,25
GUANAY,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,22,13,22,13,35
GUAQUI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,1,2,1,3
GUAYARAMERIN,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,100,14,100,14,114
GUTIERREZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,19,16,19,16,35
HUACARETA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,13,3,13,3,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,3,3,3,6
HUACHACALLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,49,0,49,0,49
HUARACAJE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,7,0,7,0,7
HUARINA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,7,3,7,3,10
HUATAJATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,0,3,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,6,1,6,1,7
HUMANATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,2,3,2,5
ICHOCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,3,3,3,6
ICLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,6,4,6,4,10
INCAHUASI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,15,12,15,12,27
INQUISIVI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,19,3,19,22
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,16,11,16,11,27
IXIAMAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,10,2,10,2,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,11,1,11,1,12
LA ASUNTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,81,8,81,8,89
LA GUARDIA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,155,1,155,1,156
LA PAZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1375,10,1375,10,1385
LAGUNILLAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,6,2,6,2,8
LAJA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,22,7,22,7,29
LAS CARRERAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,7,1,7,1,8
LICOMA PAMPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,2,2,2,4
LLALLAGUA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,49,31,49,31,80
LLICA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,6,0,6,0,6
LORETO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,5,0,5,0,5
LURIBAY,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,5,4,5,4,9
MACHACAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,5,2,5,2,7
MACHARETI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,6,2,6,2,8
MAGDALENA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,27,6,27,6,33
MAIRANA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,12,1,12,1,13
MALLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,4,1,4,5
MAPIRI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,28,0,28,0,28
MECAPACA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,9,3,9,3,12
MINEROS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,40,7,40,7,47
MIZQUE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,51,5,51,5,56
MOCOMOCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,11,14,11,14,25
MOJINETE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,0,2,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,9,5,9,5,14
MONTEAGUDO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,32,4,32,4,36
MONTERO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,212,0,212,0,212
MORO MORO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,1,1,1,2
MOROCHATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,11,18,11,18,29
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,0,1,0,1
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,4,2,4,6
OCURI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,15,16,15,16,31
OKINAWA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,22,1,22,1,23
OMEREQUE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,11,3,11,14
ORURO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,577,0,577,0,577
PADCAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,28,2,28,2,30
PADILLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,13,6,13,6,19
PAILON,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,47,18,47,18,65
PALCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,13,13,13,13,26
PALOS BLANCOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,34,4,34,4,38
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,1,3,1,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,16,0,16,0,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,8,1,8,1,9
PASORAPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,3,2,3,5
PATACAMAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,40,6,40,6,46
PAZÑA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,10,5,10,5,15
PELECHUCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,13,3,13,3,16
POCOATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,5,9,5,9,14
POCONA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,20,10,20,10,30
POJO (CBBA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,13,0,13,0,13
POOPO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,11,5,11,5,16
PORCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,22,2,22,2,24
POROMA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,5,12,5,12,17
PORONGO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,8,7,8,7,15
PORTACHUELO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,30,3,30,3,33
PORVENIR,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,16,3,16,3,19
POTOSI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,437,8,437,8,445
PRESTO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,0,7,0,7,7
PUCARANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,27,15,27,15,42
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,7,14,7,14,21
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,4,4,4,4,8
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,8,8,8,8,16
PUERTO PEREZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,4,2,4,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,16,6,16,6,22
PUERTO RICO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,9,2,9,2,11
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,26,1,26,1,27
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,86,2,86,2,88
PUNA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,10,11,10,11,21
PUNATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,53,0,53,0,53
QUILLACOLLO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,207,35,207,35,242
QUIME,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,8,4,8,4,12
QUIRUSILLAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,13,7,13,7,20
REYES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,15,1,15,1,16
RIBERALTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,198,24,198,24,222
ROBORE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,20,4,20,4,24
RURRENABAQUE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,41,3,41,3,44
SABAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,0,3,0,3
SACABA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,226,5,226,5,231
SACABAMBA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,8,1,8,1,9
SACACA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,17,6,17,6,23
SAIPINA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,10,0,10,0,10
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,9,11,9,11,20
SAMAIPATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,14,0,14,0,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,2,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,13,6,13,6,19
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,2,3,2,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,1,3,1,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,3,5,3,5,8
SAN BENITO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,15,2,15,2,17
SAN BORJA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,74,4,74,4,78
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,17,0,17,0,17
SAN CARLOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,25,5,25,5,30
SAN IGNACIO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,26,5,26,5,31
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,103,13,103,13,116
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,1,0,1,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,21,4,21,4,25
SAN JOAQUIN,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,13,0,13,0,13
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,34,0,34,0,34
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,11,5,11,5,16
SAN JULIAN,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,86,30,86,30,116
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,8,0,8,0,8
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,31,3,31,3,34
SAN LUCAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,43,28,43,28,71
SAN MATIAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-01-01,21,1,21,1,22
