,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,170,40,170,40,210
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,3,1,6,2,9,11
CHARAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,17,42,20,10,37,52,89
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,13,39,116,13,129,52,181
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,275,511,27,50,302,561,863
COLQUENCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,3,0,0,1,3,4
CONCEPCION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,70,83,2,3,72,86,158
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,2,2,7,15,9,17,26
CORQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,1,3,2,3,3,6
COTAGAITA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,7,12,0,0,7,12,19
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,3,26,15,35,18,61,79
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,143,361,16,38,159,399,558
EL CHORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,0,2,0,2,2
EL PUENTE(STC),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,31,49,43,43,74,92,166
EL PUENTE(TJA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,1,3,1,3,4
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,22,29,22,29,51
EXALTACION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,7,6,1,2,8,8,16
FILADELFIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,6,4,6,4,10
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,3,2,4,3,7,10
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,0,1,0,1,1
GUANAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,1,0,1,0,2,2
GUTIERREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,0,0,0,1,0,1
HUACHACALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,6,2,0,0,6,2,8
HUANUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,12,12,186,112,198,124,322
INGAVI (HUMAITA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,4,15,0,0,4,15,19
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,2,6,1,2,3,8,11
LA GUARDIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,19,32,15,23,34,55,89
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,427,451,2279,2017,2706,2468,5174
LAGUNILLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,3,14,5,29,8,43,51
LAJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,7,17,0,0,7,17,24
MACHACAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,7,25,3,11,10,36,46
MAGDALENA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,6,10,0,0,6,10,16
MAPIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,1,0,1,0,1
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,38,79,30,80,68,159,227
MORO MORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,11,38,41,68,52,106,158
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,1,3,1,3,4
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,15,24,375,151,390,175,565
PAILON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,20,27,94,78,114,105,219
PAZÑA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,1,1,2,2,3,5
POCOATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,3,6,13,7,16,23
POOPO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,0,1,0,1,1
PORONGO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,4,18,34,19,38,57
PORTACHUELO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,7,16,14,13,21,29,50
PORVENIR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,0,11,4,12,4,16
POTOSI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,46,30,4,1,50,31,81
PUCARANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,2,2,0,0,2,2,4
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,3,2,5,7,8,9,17
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,35,28,55,55,90,83,173
PUERTO RICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,48,1,48,1,49
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,0,95,0,96,0,96
QUIRUSILLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,5,6,5,6,11
RAVELO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,1,0,1,0,1
RIBERALTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,4,12,3,6,7,18,25
ROBORE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,40,71,367,169,407,240,647
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,3,0,0,1,3,4
SAMAIPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,1,0,0,0,1,1
SAN ANDRES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,2,3,2,3,5
SAN BORJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,83,140,536,142,619,282,901
SAN CARLOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,10,11,1,1,11,12,23
SAN IGNACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,4,4,14,32,18,36,54
SAN IGNACIO DE VELASCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,34,54,0,0,34,54,88
SAN JAVIER(BNI),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,10,6,9,14,19,20,39
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,3,6,9,7,12,13,25
SAN JUAN DE YAPACANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,7,17,32,42,39,59,98
SAN JULIAN,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,12,36,54,60,66,96,162
SAN LORENZO(PND),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,9,8,9,8,17
SAN MATIAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,36,39,36,39,75
SAN PEDRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,3,11,3,11,14
SAN PEDRO(PND),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,2,1,0,0,2,1,3
SAN RAFAEL,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,0,2,0,3,0,3
SAN RAMON SCZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,107,95,0,0,107,95,202
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,2872,3552,5359,5404,8231,8956,17187
SANTA ROSA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,25,30,0,0,25,30,55
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,3,0,0,0,3,3
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,3,0,0,0,3,3
SICAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,7,16,7,16,23
SORACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,0,50,0,51,0,51
SORATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,2,0,7,5,9,5,14
TARACO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,6,9,0,4,6,13,19
TIPUANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,0,0,0,1,0,1
TOLEDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,4,5,13,6,17,23
TRIGAL,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,1,0,0,1,1,1,2
TRINIDAD,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,25,34,22,53,47,87,134
TURCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,2,11,12,11,14,25
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,2,0,0,1,2,1,3
UYUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,6,0,0,0,6,6
VALLEGRANDE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,45,98,2,6,47,104,151
VILLA NUEVA (LOMA ALTA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,1,1,1,1,2
VILLAZON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,0,0,1,1,1,1,2
WARNES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,69,103,75,141,144,244,388
YACUIBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,5,0,0,0,5,0,5
YAPACANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-01-01,108,142,5,25,113,167,280
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-02-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-02-01,1,0,0,0,1,0,1
PAILON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-02-01,8,10,0,0,8,10,18
SAN BORJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-02-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-02-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-03-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-04-01,1,0,0,0,1,0,1
TOCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-04-01,1,0,0,0,1,0,1
ACACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,3,3,3,4,6,10
ACHACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,5,17,30,42,35,59,94
ACHOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,27,65,1,9,28,74,102
AIQUILE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,14,20,3,11,17,31,48
ALALAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,1,5,4,6,5,11
ALCALA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,12,9,2,2,14,11,25
ALTO BENI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,5,16,21,18,26,34,60
ANCORAIMES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,4,0,9,9,13,9,22
ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,2,2,9,3,11,5,16
ANTEQUERA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,0,1,4,7,4,8,12
ANZALDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,2,2,17,18,19,20,39
APOLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,0,2,13,11,13,13,26
ARAMPAMPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,2,1,8,3,10,4,14
ARANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,5,9,7,4,12,13,25
ARBIETO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,6,26,29,76,35,102,137
ARQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,6,4,20,28,26,32,58
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,299,371,118,191,417,562,979
ATOCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,4,4,31,38,35,42,77
AUCAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,0,3,3,4,3,7
AYATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,2,0,2,3,4,3,7
AYO AYO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,1,7,7,8,8,16
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,7,8,5,5,12,13,25
AZURDUY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,33,47,22,22,55,69,124
BATALLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,6,4,20,25,26,29,55
BAURES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,68,113,6,4,74,117,191
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,0,0,2,4,2,4,6
BELEN DE URMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,0,0,4,2,4,2,6
BELLA FLOR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,4,5,9,12,13,17,30
BERMEJO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,47,84,107,193,154,277,431
BETANZOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,3,18,2,3,5,21,26
BOLIVAR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,0,1,31,35,31,36,67
BOLPEBRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,6,4,7,6,13,10,23
BOYUIBE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,16,42,27,68,43,110,153
BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,37,43,88,122,125,165,290
CABEZAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,262,292,77,83,339,375,714
CAIROMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,7,2,11,24,18,26,44
"CAIZA ""D""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,5,6,15,23,20,29,49
CAJUATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,9,25,62,57,71,82,153
CALACOTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,0,2,2,3,2,5
CALAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,7,18,2,1,9,19,28
CAMARGO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,8,18,17,25,25,43,68
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,2,3,0,0,2,3,5
CAMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,376,460,113,128,489,588,1077
CAPINOTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,19,54,31,65,50,119,169
CAQUIAVIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,2,0,4,1,6,1,7
CARACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,73,37,37,74,110,111,221
CARANAVI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,77,95,7,7,84,102,186
CARANGAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,2,2,2,0,4,2,6
CARAPARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,22,32,18,21,40,53,93
CARIPUYO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,2,5,3,5,5,10,15
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,22,41,75,118,97,159,256
CATACORA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,0,0,2,3,2,3,5
CHACARILLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,0,2,1,3,1,4
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,8,6,28,26,36,32,68
CHAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,3,4,0,2,3,6,9
CHARAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,180,243,88,191,268,434,702
CHARAÑA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,0,0,2,2,2,2,4
CHAYANTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,0,10,28,11,28,39
CHIMORE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,13,25,47,36,60,61,121
CHIPAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,0,1,0,0,0,1,1
CHOQUE COTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,0,0,1,0,1,0,1
CHUA COCANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,2,4,135,9,137,13,150
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,20,25,32,49,52,74,126
CHUMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,2,2,3,1,5,3,8
CKOCHAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,4,5,1,3,5,8,13
CLIZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,32,49,62,103,94,152,246
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,60,94,107,114,167,208,375
COCAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,8,16,18,28,26,44,70
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1835,1974,588,834,2423,2808,5231
COIPASA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,0,0,1,1,1,2
COLCAPIRHUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,85,92,287,340,372,432,804
"COLCHA ""K""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,0,0,1,1,1,1,2
COLLANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,6,4,8,10,14,14,28
COLOMI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,30,13,10,6,40,19,59
COLPA BELGICA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,84,123,8,8,92,131,223
COLQUECHACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,1,0,1,1,2,3
COLQUENCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,6,12,10,9,16,21,37
COLQUIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,11,0,12,16,23,16,39
COMARAPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,71,128,49,78,120,206,326
CONCEPCION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,45,71,219,281,264,352,616
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,8,10,16,29,24,39,63
CORIPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,3,4,14,12,17,16,33
CORO CORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,2,0,0,1,2,3
COROICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,8,14,17,31,25,45,70
CORQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,2,1,9,10,11,11,22
COTAGAITA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,45,82,45,74,90,156,246
COTOCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,606,800,108,153,714,953,1667
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,133,176,67,101,200,277,477
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,2,5,3,13,5,18,23
CUEVO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,28,42,5,20,33,62,95
CULPINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,34,45,16,30,50,75,125
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,0,0,5,17,5,17,22
CURVA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,0,3,1,4,1,5
DESAGUADERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,3,1,4,2,7,9
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1408,1800,580,1054,1988,2854,4842
EL CHORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,3,4,3,7,6,11,17
EL PUENTE(STC),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,122,198,47,76,169,274,443
EL PUENTE(TJA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,9,13,17,41,26,54,80
EL TORNO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,540,760,346,288,886,1048,1934
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,10,20,18,34,28,54,82
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,17,21,26,32,43,53,96
ESCOMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,0,0,2,3,2,3,5
EUCALIPTUS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,0,3,1,4,1,5
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,2,2,4,3,6,9
EXALTACION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,6,15,0,0,6,15,21
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,63,85,8,23,71,108,179
FILADELFIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,2,5,9,13,11,18,29
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,139,218,40,64,179,282,461
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,1,0,7,5,8,5,13
GUANAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,9,10,26,26,35,36,71
GUAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2018-05-01,22,42,31,49,53,91,144
