,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
CONCEPCION,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
COPACABANA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
CORO CORO,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,7.0,2.0,1.0,1.0,8.0,3.0,11.0
CORQUE,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,3.0,6.0,3.0,1.0,6.0,7.0,13.0
COTAGAITA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,5.0,5.0,0.0,0.0,5.0,5.0,10.0
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,12.0,34.0,7.0,13.0,19.0,47.0,66.0
EL CHORO,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
EL PUENTE(STC),otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
ESMERALDA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
FILADELFIA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personal de salud,2018-01-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
HUACHACALLA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,8.0,8.0,0.0,0.0,8.0,8.0,16.0
HUANUNI,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,0.0,1.0,11.0,1.0,11.0,12.0
INGAVI (HUMAITA),otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
INQUISIVI,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
LA GUARDIA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,151.0,155.0,56.0,1003.0,207.0,1158.0,1365.0
LA RIVERA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,3.0,4.0,0.0,0.0,3.0,4.0,7.0
MAGDALENA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
MOJINETE,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,0.0,3.0,2.0,3.0,2.0,5.0
MONTERO,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,9.0,11.0,0.0,0.0,9.0,11.0,20.0
MORO MORO,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
ORURO,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,6.0,0.0,2.0,1.0,8.0,9.0
PAILON,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,1.0,1.0,2.0,1.0,3.0,4.0
PATACAMAYA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,0.0,0.0,5.0,0.0,5.0,5.0
PAZÑA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
POOPO,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
PORVENIR,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,11.0,23.0,2.0,3.0,13.0,26.0,39.0
POTOSI,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,2.0,5.0,7.0,13.0,9.0,18.0,27.0
PUERTO RICO,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,2.0,4.0,0.0,0.0,2.0,4.0,6.0
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
QUIRUSILLAS,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ROBORE,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,0.0,2.0,3.0,2.0,3.0,5.0
SACACA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,0.0,1.0,3.0,1.0,3.0,4.0
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,2.0,7.0,0.0,0.0,2.0,7.0,9.0
SAN BORJA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,4.0,18.0,0.0,0.0,4.0,18.0,22.0
SAN CARLOS,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,6.0,0.0,0.0,1.0,6.0,7.0
SAN IGNACIO,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,23.0,39.0,50.0,34.0,73.0,73.0,146.0
SAN IGNACIO DE VELASCO,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,5.0,3.0,0.0,0.0,5.0,3.0,8.0
SAN JAVIER(BNI),otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SAN JUAN DE YAPACANI,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
SAN JULIAN,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,3.0,4.0,0.0,0.0,3.0,4.0,7.0
SAN LORENZO(PND),otras vacunaciones,influenza estacional a personal de salud,2018-01-01,11.0,5.0,0.0,0.0,11.0,5.0,16.0
SAN PEDRO(PND),otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SAN RAFAEL,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,5.0,8.0,0.0,0.0,5.0,8.0,13.0
SAN RAMON SCZ,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,16.0,34.0,0.0,0.0,16.0,34.0,50.0
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
SORATA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
TOTORA(ORR),otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,0.0,1.0,3.0,1.0,3.0,4.0
TRINIDAD,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,5.0,0.0,0.0,1.0,5.0,6.0
TUPIZA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
VALLEGRANDE,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,6.0,12.0,0.0,0.0,6.0,12.0,18.0
VILLA MONTES,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
WARNES,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
YACUIBA,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
YAPACANI,otras vacunaciones,influenza estacional a personal de salud,2018-01-01,10.0,18.0,0.0,2.0,10.0,20.0,30.0
ORURO,otras vacunaciones,influenza estacional a personal de salud,2018-03-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personal de salud,2018-03-01,7.0,5.0,0.0,0.0,7.0,5.0,12.0
TARIJA,otras vacunaciones,influenza estacional a personal de salud,2018-04-01,14.0,2.0,0.0,0.0,14.0,2.0,16.0
ACACIO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,6.0,3.0,0.0,0.0,6.0,3.0,9.0
ACHACACHI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,21.0,30.0,1.0,1.0,22.0,31.0,53.0
ACHOCALLA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,8.0,27.0,0.0,0.0,8.0,27.0,35.0
AIQUILE,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,8.0,14.0,1.0,1.0,9.0,15.0,24.0
ALALAY,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,5.0,5.0,0.0,1.0,5.0,6.0,11.0
ALCALA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,1.0,14.0,0.0,0.0,1.0,14.0,15.0
ALTO BENI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,10.0,8.0,1.0,2.0,11.0,10.0,21.0
ANCORAIMES,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,11.0,13.0,0.0,1.0,11.0,14.0,25.0
ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,7.0,22.0,3.0,1.0,10.0,23.0,33.0
ANTEQUERA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,5.0,13.0,3.0,6.0,8.0,19.0,27.0
ANZALDO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,3.0,6.0,1.0,3.0,4.0,9.0,13.0
APOLO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,0.0,0.0,2.0,1.0,2.0,1.0,3.0
ARAMPAMPA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,8.0,10.0,4.0,0.0,12.0,10.0,22.0
ARANI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,9.0,14.0,0.0,0.0,9.0,14.0,23.0
ARBIETO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,5.0,19.0,2.0,1.0,7.0,20.0,27.0
ARQUE,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,13.0,10.0,6.0,5.0,19.0,15.0,34.0
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,64.0,53.0,0.0,0.0,64.0,53.0,117.0
ATOCHA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,2.0,12.0,2.0,13.0,4.0,25.0,29.0
AUCAPATA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
AYATA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,9.0,11.0,1.0,1.0,10.0,12.0,22.0
AYO AYO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,6.0,9.0,0.0,0.0,6.0,9.0,15.0
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personal de salud,2018-05-01,11.0,8.0,6.0,1.0,17.0,9.0,26.0
AZURDUY,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,10.0,12.0,0.0,0.0,10.0,12.0,22.0
BATALLAS,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,9.0,11.0,5.0,4.0,14.0,15.0,29.0
BAURES,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,14.0,28.0,0.0,1.0,14.0,29.0,43.0
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,1.0,5.0,0.0,0.0,1.0,5.0,6.0
BELEN DE URMIRI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,3.0,6.0,1.0,0.0,4.0,6.0,10.0
BELLA FLOR,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,7.0,15.0,2.0,1.0,9.0,16.0,25.0
BERMEJO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,25.0,87.0,3.0,3.0,28.0,90.0,118.0
BETANZOS,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,21.0,23.0,1.0,2.0,22.0,25.0,47.0
BOLIVAR,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,2.0,1.0,7.0,10.0,9.0,11.0,20.0
BOLPEBRA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,8.0,8.0,0.0,3.0,8.0,11.0,19.0
BOYUIBE,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,11.0,16.0,0.0,5.0,11.0,21.0,32.0
BUENA VISTA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,10.0,11.0,43.0,56.0,53.0,67.0,120.0
CABEZAS,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,52.0,66.0,1.0,1.0,53.0,67.0,120.0
CAIROMA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,12.0,10.0,0.0,0.0,12.0,10.0,22.0
"CAIZA ""D""",otras vacunaciones,influenza estacional a personal de salud,2018-05-01,11.0,21.0,1.0,0.0,12.0,21.0,33.0
CAJUATA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,15.0,15.0,1.0,0.0,16.0,15.0,31.0
CALACOTO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,4.0,5.0,0.0,1.0,4.0,6.0,10.0
CALAMARCA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,10.0,26.0,0.0,0.0,10.0,26.0,36.0
CAMARGO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,26.0,42.0,1.0,2.0,27.0,44.0,71.0
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional a personal de salud,2018-05-01,9.0,15.0,0.0,0.0,9.0,15.0,24.0
CAMIRI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,121.0,187.0,14.0,31.0,135.0,218.0,353.0
CAPINOTA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,23.0,50.0,3.0,3.0,26.0,53.0,79.0
CAQUIAVIRI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,8.0,4.0,0.0,0.0,8.0,4.0,12.0
CARACOLLO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,16.0,28.0,10.0,14.0,26.0,42.0,68.0
CARANAVI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,33.0,55.0,0.0,1.0,33.0,56.0,89.0
CARANGAS,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
CARAPARI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,32.0,54.0,0.0,10.0,32.0,64.0,96.0
CARIPUYO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,13.0,11.0,0.0,0.0,13.0,11.0,24.0
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,11.0,8.0,1.0,3.0,12.0,11.0,23.0
CATACORA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
CHACARILLA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,1.0,2.0,2.0,2.0,3.0,4.0,7.0
CHALLAPATA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,9.0,14.0,13.0,18.0,22.0,32.0,54.0
CHAQUI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,10.0,17.0,2.0,1.0,12.0,18.0,30.0
CHARAGUA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,55.0,87.0,22.0,22.0,77.0,109.0,186.0
CHARAÑA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
CHAYANTA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,2.0,6.0,8.0,10.0,10.0,16.0,26.0
CHIMORE,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,42.0,55.0,19.0,30.0,61.0,85.0,146.0
CHIPAYA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
CHOQUE COTA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,5.0,3.0,0.0,0.0,5.0,3.0,8.0
CHUA COCANI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,3.0,5.0,0.0,0.0,3.0,5.0,8.0
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personal de salud,2018-05-01,10.0,8.0,9.0,0.0,19.0,8.0,27.0
CHUMA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,10.0,8.0,0.0,0.0,10.0,8.0,18.0
CKOCHAS,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,8.0,10.0,4.0,2.0,12.0,12.0,24.0
CLIZA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,25.0,59.0,6.0,9.0,31.0,68.0,99.0
COBIJA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,117.0,208.0,110.0,194.0,227.0,402.0,629.0
COCAPATA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,10.0,15.0,8.0,10.0,18.0,25.0,43.0
COCHABAMBA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,1121.0,1827.0,117.0,261.0,1238.0,2088.0,3326.0
COIPASA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
COLCAPIRHUA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,47.0,70.0,61.0,71.0,108.0,141.0,249.0
"COLCHA ""K""",otras vacunaciones,influenza estacional a personal de salud,2018-05-01,6.0,8.0,0.0,0.0,6.0,8.0,14.0
COLLANA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,3.0,12.0,0.0,1.0,3.0,13.0,16.0
COLOMI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,23.0,26.0,2.0,0.0,25.0,26.0,51.0
COLPA BELGICA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,19.0,27.0,0.0,0.0,19.0,27.0,46.0
COLQUECHACA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,4.0,5.0,0.0,1.0,4.0,6.0,10.0
COLQUENCHA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,4.0,4.0,2.0,2.0,6.0,6.0,12.0
COLQUIRI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,2.0,4.0,0.0,0.0,2.0,4.0,6.0
COMANCHE,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,3.0,9.0,1.0,1.0,4.0,10.0,14.0
COMARAPA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,23.0,48.0,2.0,12.0,25.0,60.0,85.0
COMBAYA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,4.0,2.0,3.0,3.0,7.0,5.0,12.0
CONCEPCION,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,45.0,28.0,1.0,1.0,46.0,29.0,75.0
COPACABANA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,7.0,12.0,1.0,5.0,8.0,17.0,25.0
CORIPATA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,10.0,7.0,0.0,1.0,10.0,8.0,18.0
CORO CORO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,5.0,7.0,0.0,0.0,5.0,7.0,12.0
COROICO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,23.0,38.0,1.0,6.0,24.0,44.0,68.0
CORQUE,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,15.0,11.0,1.0,4.0,16.0,15.0,31.0
COTAGAITA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,19.0,20.0,9.0,12.0,28.0,32.0,60.0
COTOCA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,147.0,341.0,1.0,4.0,148.0,345.0,493.0
CRUZ DE MACHACAMARCA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,0.0,1.0,1.0,1.0,1.0,2.0,3.0
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,46.0,51.0,1.0,1.0,47.0,52.0,99.0
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,influenza estacional a personal de salud,2018-05-01,9.0,7.0,0.0,0.0,9.0,7.0,16.0
CUEVO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,11.0,11.0,5.0,1.0,16.0,12.0,28.0
CULPINA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,12.0,19.0,0.0,0.0,12.0,19.0,31.0
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,9.0,11.0,1.0,3.0,10.0,14.0,24.0
CURVA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
DESAGUADERO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,5.0,2.0,0.0,1.0,5.0,3.0,8.0
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,479.0,917.0,158.0,217.0,637.0,1134.0,1771.0
EL CHORO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,6.0,15.0,0.0,2.0,6.0,17.0,23.0
EL PUENTE(STC),otras vacunaciones,influenza estacional a personal de salud,2018-05-01,23.0,39.0,0.0,0.0,23.0,39.0,62.0
EL PUENTE(TJA),otras vacunaciones,influenza estacional a personal de salud,2018-05-01,26.0,31.0,3.0,7.0,29.0,38.0,67.0
EL TORNO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,118.0,242.0,6.0,25.0,124.0,267.0,391.0
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,15.0,34.0,4.0,4.0,19.0,38.0,57.0
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,25.0,68.0,20.0,20.0,45.0,88.0,133.0
ESCARA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,2.0,5.0,0.0,0.0,2.0,5.0,7.0
ESCOMA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
EUCALIPTUS,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,7.0,11.0,0.0,2.0,7.0,13.0,20.0
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a personal de salud,2018-05-01,7.0,4.0,0.0,0.0,7.0,4.0,11.0
EXALTACION,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,3.0,5.0,0.0,0.0,3.0,5.0,8.0
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,17.0,57.0,0.0,1.0,17.0,58.0,75.0
FILADELFIA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,21.0,24.0,2.0,4.0,23.0,28.0,51.0
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,27.0,59.0,0.0,1.0,27.0,60.0,87.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personal de salud,2018-05-01,12.0,6.0,1.0,0.0,13.0,6.0,19.0
GUANAY,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,8.0,12.0,14.0,16.0,22.0,28.0,50.0
GUAQUI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,5.0,14.0,1.0,1.0,6.0,15.0,21.0
GUAYARAMERIN,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,63.0,88.0,32.0,51.0,95.0,139.0,234.0
GUTIERREZ,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,30.0,26.0,3.0,2.0,33.0,28.0,61.0
HUACARETA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,4.0,15.0,0.0,2.0,4.0,17.0,21.0
HUACHACALLA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,10.0,6.0,2.0,2.0,12.0,8.0,20.0
HUANUNI,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,26.0,30.0,10.0,19.0,36.0,49.0,85.0
HUARACAJE,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,20.0,12.0,0.0,0.0,20.0,12.0,32.0
HUARINA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,2.0,4.0,0.0,0.0,2.0,4.0,6.0
HUATAJATA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,4.0,6.0,22.0,20.0,26.0,26.0,52.0
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,20.0,21.0,2.0,2.0,22.0,23.0,45.0
HUMANATA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,3.0,4.0,0.0,0.0,3.0,4.0,7.0
ICHOCA,otras vacunaciones,influenza estacional a personal de salud,2018-05-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
