,group,variable,month,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,0,3,0,0,0,3,3
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-01-01,0,0,2,2,2,2,4
CAMIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,5,3,5,5,10,8,18
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,3,3,0,0,3,3,6
EL VILLAR,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,0,2,0,0,0,2,2
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,3,3,0,0,3,3,6
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,1,1,0,0,1,1,2
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,1,0,0,0,1,0,1
SAN IGNACIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,0,2,20,34,20,36,56
SAN JOAQUIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,21,41,0,0,21,41,62
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,0,0,0,7,0,7,7
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,4,5,0,0,4,5,9
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,6,22,0,0,6,22,28
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-02-01,3,1,0,0,3,1,4
BAURES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,0,2,0,0,0,2,2
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,1,2,0,1,1,3,4
CAMIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,0,0,0,2,0,2,2
CHIMORE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,2,0,45,3,47,3,50
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,87,25,0,0,87,25,112
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,9,14,0,0,9,14,23
LICOMA PAMPA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,0,0,2,2,2,2,4
LLALLAGUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,4,5,0,0,4,5,9
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,3,1,3,0,6,1,7
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,1,11,5,1,6,12,18
SAN IGNACIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,5,16,0,0,5,16,21
SAN JOAQUIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,0,0,276,111,276,111,387
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,255,215,0,0,255,215,470
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-03-01,0,2,0,0,0,2,2
BATALLAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,1,0,0,0,1,0,1
BAURES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,11,42,0,0,11,42,53
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,3,5,0,0,3,5,8
CAIROMA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,2,1,0,0,2,1,3
CALAMARCA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,0,0,1,0,1,0,1
CAMIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,4,7,3,4,7,11,18
CHALLAPATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,0,1,0,0,0,1,1
CHIMORE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,6,0,0,0,6,0,6
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,4,3,0,0,4,3,7
COLQUECHACA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,0,2,0,0,0,2,2
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,6,10,0,0,6,10,16
EL PUENTE(STC),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,133,167,0,0,133,167,300
GUAYARAMERIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,2,1,15,28,17,29,46
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,0,3,331,109,331,112,443
LAGUNILLAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,0,0,0,1,0,1,1
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,6,4,0,0,6,4,10
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,3,4,0,0,3,4,7
PALOS BLANCOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,0,0,0,1,0,1,1
PELECHUCO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,1,2,0,0,1,2,3
PUERTO SILES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,0,4,0,4,0,8,8
QUIME,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,0,0,7,6,7,6,13
SAN ANDRES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,2,1,0,0,2,1,3
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,1,3,15,10,16,13,29
SAN JOSE DE CHIQUITOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,13,12,0,0,13,12,25
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,0,0,5,4,5,4,9
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,1,2,249,0,250,2,252
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-04-01,2,2,0,0,2,2,4
BATALLAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,0,0,2,3,2,3,5
CHUA COCANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,3,0,0,0,3,0,3
CKOCHAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,7,8,0,0,7,8,15
COBIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,0,0,44,17,44,17,61
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,4,3,0,0,4,3,7
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,6,7,0,0,6,7,13
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,4,9,0,0,4,9,13
EL PUENTE(STC),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,31,39,16,37,47,76,123
MACHARETI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,1,0,0,0,1,0,1
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,0,0,5,2,5,2,7
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,2,0,0,0,2,0,2
SAN IGNACIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,0,1,0,3,0,4,4
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,0,0,0,1,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,4,3,0,0,4,3,7
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,0,0,322,13,322,13,335
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,0,0,3,2,3,2,5
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-05-01,1,3,0,0,1,3,4
BATALLAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,0,1,0,3,0,4,4
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,5,1,0,0,5,1,6
CARANAVI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,0,0,211,0,211,0,211
COBIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,0,3,35,60,35,63,98
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,1,4,0,0,1,4,5
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,2,1,0,0,2,1,3
COLQUECHACA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,0,0,1,0,1,0,1
COTAGAITA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,0,1,2,0,2,1,3
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,3,13,0,0,3,13,16
EL PUENTE(STC),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,6,10,0,0,6,10,16
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,4,12,0,0,4,12,16
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,3,20,18,22,21,42,63
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,0,0,53,0,53,0,53
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,6,6,0,0,6,6,12
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,1,5,2,1,3,6,9
SAN IGNACIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,22,15,11,14,33,29,62
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,80,269,0,0,80,269,349
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,1,438,0,0,1,438,439
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,6,10,11,30,17,40,57
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,11,9,6,13,17,22,39
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-06-01,1,0,0,0,1,0,1
"CAIZA ""D""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,0,0,3,0,3,0,3
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,0,0,3,3,3,3,6
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,1,8,0,0,1,8,9
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,3,3,0,0,3,3,6
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,1,0,0,0,1,0,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,0,3,0,0,0,3,3
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,2,6,0,0,2,6,8
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,3,8,123,3,126,11,137
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,4,3,0,0,4,3,7
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,1,2,0,0,1,2,3
VILLA MONTES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,2,0,0,0,2,0,2
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-07-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,1,1,0,0,1,1,2
CAMIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,1,0,0,0,1,0,1
CHUA COCANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,1,0,2,0,3,0,3
COBIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,0,3,0,0,0,3,3
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,1,0,0,0,1,0,1
COROICO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,0,0,2,7,2,7,9
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,1,2,2,1,3,3,6
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,1,7,9,99,10,106,116
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,3,0,0,0,3,0,3
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,2,2,13,1,15,3,18
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,1,0,0,0,1,0,1
SENA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,2,13,0,0,2,13,15
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,2,2,0,0,2,2,4
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-08-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,1,0,0,0,1,0,1
CAMIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,1,0,0,0,1,0,1
CKOCHAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,5,8,0,0,5,8,13
COBIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,1,0,0,0,1,0,1
COLQUENCHA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,0,0,2,0,2,0,2
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,3,3,0,0,3,3,6
ENTRE RIOS CBBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,0,0,0,8,0,8,8
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,7,15,0,0,7,15,22
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,1,1,0,0,1,1,2
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,0,0,27,5,27,5,32
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,0,3,0,0,0,3,3
SAN IGNACIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,0,0,3,3,3,3,6
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,0,0,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,1,2,0,0,1,2,3
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,0,0,21,5,21,5,26
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,1,0,1,1,2,1,3
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,0,3,0,0,0,3,3
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-09-01,0,2,0,0,0,2,2
COBIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,0,0,0,2,0,2,2
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,4,1,0,0,4,1,5
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,0,0,18,5,18,5,23
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,3,7,1,2,4,9,13
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,3,6,0,0,3,6,9
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,0,3,0,0,0,3,3
PADCAYA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,0,1,0,0,0,1,1
PORCO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,0,1,0,0,0,1,1
SAMAIPATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,0,0,0,8,0,8,8
SAN IGNACIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,0,0,3,5,3,5,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,2,2,0,0,2,2,4
SENA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,0,3,0,0,0,3,3
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,9,3,0,0,9,3,12
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,0,0,0,1,0,1,1
URUBICHA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,0,0,5,5,5,5,10
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-10-01,6,3,0,0,6,3,9
BAURES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,1,0,0,0,1,0,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,0,0,81,1,81,1,82
CHUA COCANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,2,0,0,0,2,0,2
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,0,4,0,0,0,4,4
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,6,1,0,0,6,1,7
LA ASUNTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,1,4,7,1,8,5,13
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,4,9,0,1,4,10,14
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,1,1,0,1,1,2,3
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,1,2,14,0,15,2,17
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,0,25,0,9,0,34,34
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,1,0,0,0,1,0,1
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,0,0,1,0,1,0,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,0,0,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,0,0,3,2,3,2,5
SAN JULIAN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,0,2,0,0,0,2,2
SANTA ANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,0,0,16,16,16,16,32
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,1,0,0,86,1,86,87
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,0,0,20,10,20,10,30
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,1,2,32,4,33,6,39
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,1,2,0,0,1,2,3
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,0,1,0,1,0,2,2
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2018-11-01,2,1,0,0,2,1,3
