,group,variable,month,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,TOTALES,TOTALES,TOTALES
CARANGAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,4,0,0,1,4,5
CARIPUYO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,4,3,4,3,7
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,19,20,19,20,39
CHALLAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,80,52,42,49,122,101,223
CHARAGUA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,24,41,11,25,35,66,101
CHIPAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,3,6,3,6,9
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,3,7,0,0,3,7,10
CHUMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,0,0,0,1,0,1
CKOCHAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,0,2,2,3,2,5
COBIJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,2,6,6,7,8,15
COCHABAMBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,185,280,54,84,239,364,603
COIPASA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,0,1,0,1,1
COLPA BELGICA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,6,8,8,6,14,14,28
COLQUENCHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,1,0,0,1,1,2
CONCEPCION,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,79,72,17,15,96,87,183
COPACABANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,4,5,32,29,36,34,70
CORQUE,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,16,16,17,13,33,29,62
COTAGAITA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,2,0,0,0,2,2
CRUZ DE MACHACAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,6,4,0,0,6,4,10
CUATRO CAÑADAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,15,25,24,20,39,45,84
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,3,6,3,6,9
EL ALTO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,196,270,133,149,329,419,748
EL CHORO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,5,2,9,11,14,13,27
EL PUENTE(STC),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,14,13,16,20,30,33,63
EL PUENTE(TJA),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,1,4,3,4,4,8
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,0,1,0,1,1
ESCARA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,4,4,0,0,4,4,8
ESMERALDA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,2,1,2,1,3
EUCALIPTUS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,8,12,8,12,20
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,1,1,1,1,2
EXALTACION,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,5,5,6,2,11,7,18
FILADELFIA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,15,9,15,9,24
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,11,6,1,3,12,9,21
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,13,10,14,5,27,15,42
GUANAY,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,5,4,5,4,9
GUTIERREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,5,4,1,0,6,4,10
HUACHACALLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,6,2,0,0,6,2,8
HUANUNI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,12,7,59,53,71,60,131
HUAYLLAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,1,4,12,5,13,18
ICHOCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,18,13,1,2,19,15,34
INGAVI (HUMAITA),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,1,0,0,1,1,2
INQUISIVI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,29,16,18,17,47,33,80
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,7,1,35,22,42,23,65
LA GUARDIA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,8,8,7,4,15,12,27
LA PAZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,563,479,1198,896,1761,1375,3136
LA RIVERA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,2,1,0,0,2,1,3
LAGUNILLAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,11,12,35,49,46,61,107
LAJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,27,29,53,56,80,85,165
MACHACAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,5,11,6,7,11,18,29
MAGDALENA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,2,6,0,0,2,6,8
MAPIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,0,3,4,4,4,8
MECAPACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,1,1,1,1,2
MOJINETE,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,5,9,5,9,14
MONTERO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,39,46,22,23,61,69,130
MORO MORO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,2,2,5,3,7,10
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,3,0,0,0,3,0,3
ORURO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,21,26,82,118,103,144,247
PAILON,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,6,6,18,19,24,25,49
PAMPA GRANDE,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,0,0,0,1,0,1
PATACAMAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,156,188,156,188,344
PAZÑA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,0,0,1,1,1,2
POCOATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,3,4,13,23,16,27,43
POJO (CBBA),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,10,10,15,10,25,35
POOPO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,4,6,11,10,15,16,31
PORONGO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,2,3,19,14,21,17,38
PORTACHUELO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,30,0,1,2,31,2,33
PORVENIR,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,1,17,8,18,9,27
POSTRER VALLE,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,9,14,1,2,10,16,26
POTOSI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,232,186,8,28,240,214,454
PUCARANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,5,2,0,0,5,2,7
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,0,18,18,19,18,37
PUERTO QUIJARRO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,30,12,30,12,42
QUIRUSILLAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,2,3,2,3,5
RAVELO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,7,9,55,71,62,80,142
REYES,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,10,5,0,0,10,5,15
RIBERALTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,8,9,34,25,42,34,76
ROBORE,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,17,15,17,15,32
SABAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,2,5,5,6,7,13
SACACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,6,7,6,7,13
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,0,19,23,20,23,43
SAMAIPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,2,1,0,1,2,3
SAN ANDRES,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,7,3,7,3,10
SAN BORJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,14,18,4,6,18,24,42
SAN CARLOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,19,18,29,33,48,51,99
SAN IGNACIO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,28,24,24,22,52,46,98
SAN IGNACIO DE VELASCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,64,52,0,2,64,54,118
SAN JAVIER(BNI),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,2,1,0,2,2,4
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,7,8,10,7,17,15,32
SAN JUAN DE YAPACANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,11,13,15,31,26,44,70
SAN JULIAN,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,28,38,20,15,48,53,101
SAN LORENZO(PND),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,4,2,4,3,8,5,13
SAN MATIAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,78,102,78,102,180
SAN PABLO DE LIPEZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,0,2,0,2,2
SAN PEDRO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,1,4,6,4,7,11
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,0,2,0,2,2
SAN PEDRO(PND),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,6,3,4,4,10,7,17
SAN RAFAEL,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,6,6,9,9,15,15,30
SAN RAMON BENI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,1,1,1,1,2
SAN RAMON SCZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,6,5,0,0,6,5,11
SANTA ANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,17,15,4,2,21,17,38
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,591,628,708,835,1299,1463,2762
SANTA ROSA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,45,40,0,0,45,40,85
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,4,8,10,13,14,21,35
SANTUARIO DE QUILLACAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,31,29,0,2,31,31,62
SICAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,8,17,8,17,25
SORACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,5,7,20,24,25,31,56
SORATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,3,0,10,17,13,17,30
TARACO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,8,9,2,3,10,12,22
TIPUANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,0,1,0,2,0,2
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,1,0,6,6,7,6,13
TODOS SANTOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,2,4,2,4,6
TOLEDO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,2,2,8,17,10,19,29
TOMAVE,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,9,9,9,9,18
TOTORA(CBBA),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,2,1,2,0,4,1,5
TOTORA(ORR),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,17,16,22,34,39,50,89
TRIGAL,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,3,4,1,8,4,12,16
TRINIDAD,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,23,54,33,29,56,83,139
TUPIZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,2,3,2,3,4,7
TURCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,10,12,10,12,22
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,3,2,25,34,28,36,64
UYUNI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,12,15,0,0,12,15,27
VALLEGRANDE,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,6,17,1,5,7,22,29
VILLA MONTES,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,8,5,2,3,10,8,18
VILLA NUEVA (LOMA ALTA),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,0,7,1,7,1,8
VILLAZON,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,42,50,9,10,51,60,111
VINTO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,0,1,0,0,0,1,1
WARNES,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,17,18,19,25,36,43,79
YACUIBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,4,6,23,19,27,25,52
YAPACANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-01-01,64,47,19,32,83,79,162
CHAYANTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-02-01,1,1,2,6,3,7,10
PAILON,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-02-01,0,0,2,2,2,2,4
REYES,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-02-01,10,5,0,0,10,5,15
SAN BORJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-02-01,2,2,1,2,3,4,7
SAN IGNACIO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-02-01,2,0,0,0,2,0,2
AYATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-03-01,1,0,0,0,1,0,1
ORURO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-03-01,0,1,0,0,0,1,1
SAN PEDRO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-04-01,0,0,1,0,1,0,1
YACUIBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-04-01,1,0,0,0,1,0,1
ACACIO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,21,21,38,60,59,81,140
ACHACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,73,63,256,323,329,386,715
ACHOCALLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,82,87,14,20,96,107,203
AIQUILE,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,76,94,90,130,166,224,390
ALALAY,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,12,8,25,32,37,40,77
ALCALA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,28,38,3,2,31,40,71
ALTO BENI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,100,66,172,111,272,177,449
ANCORAIMES,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,41,36,61,73,102,109,211
ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,30,45,109,105,139,150,289
ANTEQUERA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,2,4,15,17,17,21,38
ANZALDO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,4,2,92,130,96,132,228
APOLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,50,37,83,93,133,130,263
ARAMPAMPA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,9,6,54,58,63,64,127
ARANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,52,96,31,55,83,151,234
ARBIETO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,83,99,190,282,273,381,654
ARQUE,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,26,41,117,169,143,210,353
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,281,335,87,75,368,410,778
ATOCHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,6,12,22,75,28,87,115
AUCAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,27,15,22,13,49,28,77
AYATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,52,56,62,87,114,143,257
AYO AYO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,15,21,83,101,98,122,220
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,70,53,121,173,191,226,417
AZURDUY,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,32,34,20,19,52,53,105
BATALLAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,39,31,94,111,133,142,275
BAURES,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,93,104,0,0,93,104,197
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,7,6,42,62,49,68,117
BELEN DE URMIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,12,15,18,21,30,36,66
BELLA FLOR,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,4,1,15,13,19,14,33
BERMEJO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,97,109,162,204,259,313,572
BETANZOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,84,94,88,76,172,170,342
BOLIVAR,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,4,9,64,72,68,81,149
BOLPEBRA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,4,1,43,20,47,21,68
BOYUIBE,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,26,38,86,131,112,169,281
BUENA VISTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,82,63,160,148,242,211,453
CABEZAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,271,272,122,134,393,406,799
CAIROMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,46,37,78,69,124,106,230
"CAIZA ""D""",otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,29,64,139,278,168,342,510
CAJUATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,62,41,72,69,134,110,244
CALACOTO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,17,8,107,126,124,134,258
CALAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,23,33,6,11,29,44,73
CAMARGO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,21,33,12,17,33,50,83
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,6,9,1,6,7,15,22
CAMIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,536,617,103,109,639,726,1365
CAPINOTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,44,64,164,217,208,281,489
CAQUIAVIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,32,28,86,94,118,122,240
CARACOLLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,78,70,192,218,270,288,558
CARANAVI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,439,283,162,96,601,379,980
CARANGAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,5,4,3,4,8,8,16
CARAPARI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,46,53,91,93,137,146,283
CARIPUYO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,26,27,38,64,64,91,155
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,59,63,58,55,117,118,235
CATACORA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,0,0,15,18,15,18,33
CHACARILLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,16,17,78,67,94,84,178
CHALLAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,36,27,262,323,298,350,648
CHAQUI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,40,57,71,133,111,190,301
CHARAGUA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,169,215,201,238,370,453,823
CHARAÑA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,9,6,26,25,35,31,66
CHAYANTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,4,5,115,187,119,192,311
CHIMORE,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,58,39,96,95,154,134,288
CHIPAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,1,1,10,7,11,8,19
CHOQUE COTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,18,18,9,11,27,29,56
CHUA COCANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,17,20,0,0,17,20,37
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,66,41,115,113,181,154,335
CHUMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,59,76,52,38,111,114,225
CKOCHAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,18,36,25,31,43,67,110
CLIZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,89,137,235,378,324,515,839
COBIJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,156,145,205,229,361,374,735
COCAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,105,118,196,204,301,322,623
COCHABAMBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,5376,5996,1658,2339,7034,8335,15369
COIPASA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,1,3,4,4,5,7,12
COLCAPIRHUA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,181,195,360,454,541,649,1190
"COLCHA ""K""",otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,4,3,9,14,13,17,30
COLLANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,15,30,63,71,78,101,179
COLOMI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,81,103,37,25,118,128,246
COLPA BELGICA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,74,69,13,10,87,79,166
COLQUECHACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,10,6,3,4,13,10,23
COLQUENCHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,64,63,13,15,77,78,155
COLQUIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,13,17,105,100,118,117,235
COMANCHE,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,7,7,20,20,27,27,54
COMARAPA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,166,201,98,117,264,318,582
COMBAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,25,21,23,26,48,47,95
CONCEPCION,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,92,144,315,280,407,424,831
COPACABANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,13,17,179,210,192,227,419
CORIPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,61,33,86,90,147,123,270
CORO CORO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,17,18,35,52,52,70,122
COROICO,otras vacunaciones,influenza estacional en mayores de 60 anos,2018-05-01,64,47,113,99,177,146,323
