municipality,group,variable,month,Numero de actividades realizadas con la comunidad,TOTAL
PUNATA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,1,1
RIBERALTA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,5,5
SAN CARLOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,2,2
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,4,4
SOPACHUY,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,2,2
TACOPAYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,9,9
TARIJA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,1,1
TARVITA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,1,1
TEOPONTE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,4,4
TINGUIPAYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,6,6
TOMINA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,6,6
TOTORA(CBBA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,1,1
VILLA TUNARI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,5,5
YACUIBA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,4,4
YAPACANI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-01-01,31,31
ANZALDO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,4,4
AZURDUY,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,19,19
BERMEJO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,9,9
BETANZOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,19,19
BOLIVAR,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,6,6
CAPINOTA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,2,2
CARANAVI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,9,9
CHIMORE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,4,4
COTOCA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,15,15
EL VILLAR,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,2,2
ENTRE RIOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,2,2
GUANAY,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,6,6
GUAYARAMERIN,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,3,3
HUACARETA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,2,2
MACHARETI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,3,3
MIZQUE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,5,5
MONTEAGUDO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,9,9
MOROCHATA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,1,1
PADILLA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,9,9
PORONGO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,1,1
POTOSI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,4,4
PRESTO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,6,6
PUERTO VILLARROEL,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,4,4
RIBERALTA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,144,144
SAN CARLOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,1811,1811
SAN IGNACIO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,2,2
SANTA ANA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,4,4
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,1,1
SIPE SIPE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,1,1
TARIJA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,2,2
TARVITA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,9,9
TEOPONTE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,11,11
TINGUIPAYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,3,3
TIRAQUE (CBBA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,5,5
TOLATA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,1,1
TOMINA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,1,1
TOTORA(CBBA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,1,1
UNCIA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,10,10
VILLA SERRANO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,14,14
VILLA TUNARI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,8,8
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,9,9
YACUIBA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,2,2
YAPACANI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-02-01,2,2
AZURDUY,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,41,41
BERMEJO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
BETANZOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,30,30
"CAIZA ""D""",control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,48,48
CAPINOTA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,5,5
CARANAVI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
CARAPARI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,4,4
CHAQUI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
CHARAGUA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,8,8
CHIMORE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,2,2
COCHABAMBA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,2,2
COTOCA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
EL PUENTE(TJA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,2,2
EL VILLAR,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,3,3
HUACARETA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,4,4
ICLA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,13,13
LA GUARDIA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
MACHARETI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,4,4
MAIRANA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
MOJOCOYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,40,40
MONTEAGUDO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,4,4
OKINAWA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,2,2
PADCAYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,2,2
PALOS BLANCOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,6,6
PUERTO VILLARROEL,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,3,3
PUNATA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
RIBERALTA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,3,3
RURRENABAQUE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
SAN IGNACIO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
SAN IGNACIO DE VELASCO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,3,3
SAN MIGUEL DE VELASCO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,7,7
SANTA ANA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,8,8
SIPE SIPE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,8,8
TARVITA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,6,6
TINGUIPAYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,19,19
TIRAQUE (CBBA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,2,2
TOLATA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
TOMINA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,5,5
TUPIZA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
VILLA SERRANO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,2,2
VILLA TUNARI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,19,19
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,17,17
WARNES,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
YACUIBA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,27,27
YAPACANI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,1,1
YUNCHARA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-03-01,2,2
ALCALA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
AZURDUY,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,7,7
BELEN DE URMIRI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,4,4
BERMEJO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,3,3
BETANZOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,15,15
"CAIZA ""D""",control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,22,22
CAMARGO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,48,48
CAPINOTA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,2,2
CARAPARI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
CHARAGUA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,10,10
CHIMORE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
COCHABAMBA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
COTOCA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
CULPINA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,7,7
EL VILLAR,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,10,10
ENTRE RIOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,5,5
GUANAY,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,2,2
GUAYARAMERIN,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
HUACARETA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
ICLA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,2,2
LA GUARDIA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
MACHARETI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,13,13
MIZQUE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
MOJOCOYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,67,67
MONTEAGUDO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,11,11
MOROCHATA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,9,9
PADCAYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,5,5
PADILLA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,7,7
PALOS BLANCOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,5,5
POCONA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,2,2
POJO (CBBA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,4,4
PORONGO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
PUERTO GONZALO MORENO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,3,3
PUERTO VILLARROEL,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,2,2
PUNA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,4,4
PUNATA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,67,67
ROBORE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,6,6
RURRENABAQUE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
SAIPINA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,6,6
SAN BORJA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,9,9
SAN BUENA VENTURA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,3,3
SAN IGNACIO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,3,3
SAN IGNACIO DE VELASCO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,9,9
SAN JULIAN,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,2,2
SAN LUCAS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,3,3
SAN MIGUEL DE VELASCO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,10,10
SANTA ROSA DEL SARA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
TACOBAMBA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,6,6
TARIJA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,133,133
TINGUIPAYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,10,10
TOMINA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,4,4
TUPIZA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,1,1
VILLA SERRANO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,4,4
VILLA TUNARI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,13,13
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,7,7
YACUIBA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,6,6
YAPACANI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-04-01,2,2
ANZALDO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,13,13
AZURDUY,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,9,9
BETANZOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,27,27
"CAIZA ""D""",control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,4,4
CAMARGO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,42,42
CAPINOTA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,2,2
CARANAVI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
CARAPARI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,5,5
CHARAGUA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,5,5
COCHABAMBA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,2,2
EL TORNO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
GENERAL SAAVEDRA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
HUACARETA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,75,75
IXIAMAS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,3,3
MACHARETI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,30,30
MINEROS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
MIZQUE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
MOJOCOYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,4,4
MONTEAGUDO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,3,3
MONTERO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,9,9
MORO MORO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,5,5
MOROCHATA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,13,13
PALOS BLANCOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,6,6
PORONGO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
POTOSI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,2,2
PRESTO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,7,7
PUERTO VILLARROEL,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
PUNA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,7,7
QUILLACOLLO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
RIBERALTA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,4,4
ROBORE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
SAIPINA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,4,4
SAN ANDRES,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,4,4
SAN BORJA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,4,4
SAN CARLOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,3,3
SAN IGNACIO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
SAN IGNACIO DE VELASCO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
SAN JULIAN,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,2,2
SAN PEDRO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,11,11
SANTA ANA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,2,2
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,3,3
SIPE SIPE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,9,9
TINGUIPAYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,6,6
TIPUANI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
TOLATA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
TOMINA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,4,4
TRINIDAD,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,1,1
VALLEGRANDE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,6,6
VILA VILA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,3,3
VILLA TUNARI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,11,11
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,10,10
WARNES,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,4,4
YACUIBA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-05-01,13,13
AZURDUY,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,7,7
BETANZOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,13,13
BUENA VISTA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,3,3
CABEZAS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,1,1
CAMARGO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,32,32
CAPINOTA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,6,6
CARANAVI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,5,5
CARAPARI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,6,6
CHARAGUA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,10,10
CUATRO CAÑADAS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,10,10
EL PUENTE(TJA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,6,6
EL VILLAR,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,2,2
GUANAY,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,2,2
GUAYARAMERIN,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,6,6
INCAHUASI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,5,5
MACHARETI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,13,13
MINEROS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,1,1
MOJOCOYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,2,2
MONTEAGUDO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,9,9
MONTERO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,1,1
MORO MORO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,5,5
MOROCHATA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,17,17
PADILLA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,6,6
PAILON,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,195,195
PALOS BLANCOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,3,3
POJO (CBBA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,8,8
PORTACHUELO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,1,1
POTOSI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,8,8
PUERTO VILLARROEL,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,3,3
PUNA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,2,2
SAIPINA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,8,8
SAN ANDRES,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,1,1
SAN CARLOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,1,1
SAN IGNACIO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,7,7
SAN IGNACIO DE VELASCO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,44,44
SAN JOSE DE CHIQUITOS,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,2,2
SAN JULIAN,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,3,3
SAN PEDRO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,2,2
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,6,6
SIPE SIPE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,3,3
SUCRE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,4,4
TACOBAMBA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,6,6
TARIJA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,313,313
TEOPONTE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,8,8
TINGUIPAYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,12,12
TIQUIPAYA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,2,2
TOMINA,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,4,4
TOTORA(CBBA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,1,1
TRIGAL,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,1,1
TRINIDAD,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,1,1
VALLEGRANDE,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,10,10
VILLA SERRANO,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,5,5
VILLA TUNARI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,6,6
YAPACANI,control vectorial de dengue,numero de actividades realizadas con la comunidad,2008-06-01,2,2
