,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES
COTOCA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,4,5,0,0,9
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,2,0,3,5
CUEVO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,1,0,0,3
CULPINA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,78,61,11,11,161
EL PUENTE(STC),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,3,0,0,3
EL PUENTE(TJA),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,0,0,0,2
EL TORNO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,4,0,0,6
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,9,1,0,0,10
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,0,1,1
GUANAY,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,3,1,1,0,5
GUAYARAMERIN,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,3,1,12,8,24
HUARINA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,1,1,3
IXIAMAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,3,5,4,12
LA ASUNTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,2,1,1,6
LA GUARDIA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,4,3,0,0,7
LA PAZ,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,48,69,12,16,145
LAJA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
LAS CARRERAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
LORETO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
MAPIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
MECAPACA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
MINEROS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
MONTERO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,4,1,1,1,7
MOROCHATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
ORURO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,11,16,5,4,36
PAILON,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,1,3,5,10
PALCA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,2,1,0,3
PALOS BLANCOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,2,0,0,2
PAMPA GRANDE,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
PELECHUCO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
POCOATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
POJO (CBBA),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
PORONGO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
PORTACHUELO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,2,0,0,2
PORVENIR,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
POTOSI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,3,5,0,0,8
PUCARANI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,4,1,1,7
PUERTO PEREZ,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,8,4,1,2,15
PUERTO SUAREZ,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,8,20,0,0,28
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,1,0,1
PUNATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,3,2,0,0,5
QUILLACOLLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,6,5,10,12,33
QUIME,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,2,0,0,2
RIBERALTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,8,6,0,1,15
ROBORE,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,1,0,0,2
SACABA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,13,7,15,18,53
SACACA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
SAN ANDRES,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,2,0,0,3
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,4,5,0,0,9
SAN BENITO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,1,0,0,2
SAN BORJA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,10,1,0,0,11
SAN CARLOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,0,0,0,2
SAN IGNACIO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,2,3
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,5,1,0,0,6
SAN JAVIER(STC),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,4,2,0,1,7
SAN JOAQUIN,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,4,0,4
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,2,0,0,3
SAN JULIAN,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,4,10,3,4,21
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,1,1,3
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
SAN RAFAEL,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,1,0,0,2
SAN RAMON BENI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,1,0,1
SANTA ANA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,4,0,0,6
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,180,151,9,8,348
SANTA ROSA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,1,0,0,2
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,0,1,1
SANTIAGO DE HUATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,0,0,0,2
SENA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,1,2,4
SHINAOTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,1,0,0,3
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,2,0,0,0,2
SIPE SIPE,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,3,2,0,0,5
SOPACHUY,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,2,1,4
SORATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,2,0,0,3
SUCRE,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,23,21,1,0,45
TACOBAMBA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
TAPACARI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,2,1,4
TARABUCO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
TARACO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
TARATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
TARIJA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,6,6,1,0,13
TEOPONTE,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,1,0,2
TIAHUANACU,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
TIPUANI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
TIQUIPAYA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,11,15,2,2,30
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,0,1,1
TOCO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,1,0,0,2
TORO TORO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,2,0,1,3
TRIGAL,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
TRINIDAD,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,4,0,0,5
TUPIZA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,2,1,1,5
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,1,0,1
URUBICHA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,0,2,2
UYUNI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,0,1,1
VIACHA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,6,6,0,1,13
VILLA CHARCAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,1,2
VILLA MONTES,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,1,0,1
VILLA TUNARI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,8,3,0,2,13
VILLAZON,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
VINTO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,5,4,1,1,11
WARNES,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,8,12,0,1,21
YACUIBA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,4,2,7,3,16
YAMPARAEZ,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,1,1,0,3
YAPACANI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,0,0,2,1,3
YOCALLA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
ACACIO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,3,1,0,1,5
ACHOCALLA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,4,1,6
ANCORAIMES,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,1,2
APOLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,2,1,1,4
ARANI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,1,0,0,2
ATOCHA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,1,0,0,2
AUCAPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,1,0,0,2
AYATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,1,2
AZURDUY,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,0,1,1
BATALLAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,1,1,0,4
BELLA FLOR,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,4,1,5
BERMEJO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,1,0,0,2
BETANZOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,7,0,2,9
BUENA VISTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,0,1
CAIROMA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,1,2
CALAMARCA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,1,0,0,1
CAMARGO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,0,1,1
CAPINOTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,1,0,0,1
CARACOLLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,1,0,0,1
CARANAVI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,4,1,0,0,5
CHALLAPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,1,3,3,8
CHAQUI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,0,0,0,2
CHARAGUA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,2,0,0,3
CHIMORE,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,5,2,6,2,15
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,3,0,0,4
CKOCHAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,1,1,2
COBIJA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,3,3,4,11
COCAPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,0,1,1
COCHABAMBA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,49,40,5,8,102
COIPASA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,1,0,0,1
COLCAPIRHUA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,3,7,3,14
COLOMI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,0,1
COLPA BELGICA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,0,0,0,2
COLQUECHACA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,1,1,0,2
COLQUIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,0,1,1
COMARAPA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,2,0,0,3
CONCEPCION,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,2,3,5
COPACABANA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,2,1,4
CORIPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,4,0,0,6
COROICO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,5,0,1,8
CORQUE,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,0,1
COTAGAITA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,1,0,0,1
COTOCA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,3,1,0,0,4
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,6,5,12
DESAGUADERO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,1,0,1
EL ALTO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,60,40,51,48,199
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,3,3,2,1,9
EXALTACION,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,4,0,4
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,1,0,1
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,1,0,0,1
GUANAY,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,3,1,2,7
GUAQUI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,1,2
GUAYARAMERIN,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,2,6,4,14
GUTIERREZ,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,1,0,0,3
HUANUNI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,1,5,6
HUARACAJE,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,1,0,0,1
HUARINA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,1,0,0,2
INCAHUASI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,0,1,1
INQUISIVI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,1,0,0,1
LA ASUNTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,3,2,0,1,6
LA GUARDIA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,6,2,3,1,12
LA PAZ,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,50,42,18,16,126
LLALLAGUA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,0,1,1
LURIBAY,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,0,0,0,2
MAGDALENA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,1,0,1,3
MAPIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,3,1,2,4,10
MECAPACA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,0,1
MINEROS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,2,0,0,2
MOCOMOCO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,0,1
MONTERO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,4,5,6,17
ORURO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,4,5,49,41,99
PADCAYA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,1,0,0,1
PAILON,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,1,13,8,22
PALCA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,0,1
PALOS BLANCOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,4,0,0,1,5
POCOATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,1,0,2
PORONGO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,0,1
PORTACHUELO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,1,0,0,3
POSTRER VALLE,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,0,1,1
POTOSI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,6,12,0,0,18
PUCARANI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,3,2,0,0,5
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,9,13,13,13,48
PUERTO RICO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,0,1,1
PUERTO SILES,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,1,0,1,2
PUERTO SUAREZ,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,1,0,0,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,4,1,4,4,13
PUNATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,6,3,1,11
QUIABAYA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,3,1,1,0,5
QUILLACOLLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,12,4,12,14,42
RAVELO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,0,1,1
REYES,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,1,2,3,7
RIBERALTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,3,0,0,3
RURRENABAQUE,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,2,0,0,3
SACABA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,6,3,17,22,48
SACABAMBA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,0,1
SACACA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,1,0,1
SAN AGUSTIN,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,1,0,0,2
SAN ANDRES,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,1,0,0,2
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,0,1
SAN BENITO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,1,0,1,3
SAN BORJA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,3,5,6,16
SAN CARLOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,2,1,4
SAN IGNACIO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,1,0,0,3
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,1,1,1,4
SAN JAVIER(STC),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,5,0,0,6
SAN JOAQUIN,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,2,0,0,4
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,2,2,3,0,7
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,2,3
SAN JULIAN,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,8,5,0,0,13
SAN LORENZO(PND),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,0,0,0,1,1
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,3,4,2,1,10
SAN PEDRO DE MACHA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,1,0,0,0,1
SANTA ANA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,6,1,0,0,7
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,srp 2da. dosis,2022-02-01,79,95,56,47,277
