municipality,group,variable,month,Número de Muestras hemáticas tomadas,TOTAL
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2009-01-01,200,200
PUERTO VILLARROEL,malaria,numero de muestras hematicas tomadas,2009-01-01,9,9
REYES,malaria,numero de muestras hematicas tomadas,2009-01-01,10,10
RIBERALTA,malaria,numero de muestras hematicas tomadas,2009-01-01,2959,2959
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2009-01-01,3,3
SAIPINA,malaria,numero de muestras hematicas tomadas,2009-01-01,90,90
SAN BORJA,malaria,numero de muestras hematicas tomadas,2009-01-01,8,8
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2009-01-01,5,5
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2009-01-01,17,17
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2009-01-01,48,48
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2009-01-01,72,72
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2009-01-01,331,331
SAN LORENZO(TJA),malaria,numero de muestras hematicas tomadas,2009-01-01,3,3
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2009-01-01,1,1
SAN MATIAS,malaria,numero de muestras hematicas tomadas,2009-01-01,38,38
SAN PEDRO,malaria,numero de muestras hematicas tomadas,2009-01-01,2,2
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2009-01-01,4,4
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2009-01-01,24,24
SANTA ANA,malaria,numero de muestras hematicas tomadas,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2009-01-01,19,19
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2009-01-01,23,23
SENA,malaria,numero de muestras hematicas tomadas,2009-01-01,336,336
SOPACHUY,malaria,numero de muestras hematicas tomadas,2009-01-01,24,24
SUCRE,malaria,numero de muestras hematicas tomadas,2009-01-01,3,3
TEOPONTE,malaria,numero de muestras hematicas tomadas,2009-01-01,93,93
TORO TORO,malaria,numero de muestras hematicas tomadas,2009-01-01,8,8
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2009-01-01,2,2
VILA VILA,malaria,numero de muestras hematicas tomadas,2009-01-01,4,4
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2009-01-01,307,307
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2009-01-01,44,44
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2009-01-01,5,5
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2009-01-01,39,39
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2009-01-01,5,5
WARNES,malaria,numero de muestras hematicas tomadas,2009-01-01,1,1
YACUIBA,malaria,numero de muestras hematicas tomadas,2009-01-01,603,603
YAPACANI,malaria,numero de muestras hematicas tomadas,2009-01-01,41,41
ZUDAÑEZ,malaria,numero de muestras hematicas tomadas,2009-01-01,2,2
ACACIO,malaria,numero de muestras hematicas tomadas,2009-02-01,38,38
AIQUILE,malaria,numero de muestras hematicas tomadas,2009-02-01,9,9
APOLO,malaria,numero de muestras hematicas tomadas,2009-02-01,4,4
AYATA,malaria,numero de muestras hematicas tomadas,2009-02-01,12,12
AZURDUY,malaria,numero de muestras hematicas tomadas,2009-02-01,17,17
BAURES,malaria,numero de muestras hematicas tomadas,2009-02-01,154,154
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2009-02-01,44,44
BERMEJO,malaria,numero de muestras hematicas tomadas,2009-02-01,159,159
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2009-02-01,134,134
CABEZAS,malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),malaria,numero de muestras hematicas tomadas,2009-02-01,5,5
CAMIRI,malaria,numero de muestras hematicas tomadas,2009-02-01,179,179
CARANAVI,malaria,numero de muestras hematicas tomadas,2009-02-01,141,141
CARAPARI,malaria,numero de muestras hematicas tomadas,2009-02-01,8,8
COBIJA,malaria,numero de muestras hematicas tomadas,2009-02-01,267,267
CONCEPCION,malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
COROICO,malaria,numero de muestras hematicas tomadas,2009-02-01,12,12
CUEVO,malaria,numero de muestras hematicas tomadas,2009-02-01,3,3
CULPINA,malaria,numero de muestras hematicas tomadas,2009-02-01,7,7
EL PUENTE(TJA),malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
EL TORNO,malaria,numero de muestras hematicas tomadas,2009-02-01,873,873
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2009-02-01,105,105
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2009-02-01,4,4
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2009-02-01,49,49
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2009-02-01,29,29
GUANAY,malaria,numero de muestras hematicas tomadas,2009-02-01,290,290
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2009-02-01,1364,1364
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
HUACARETA,malaria,numero de muestras hematicas tomadas,2009-02-01,10,10
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2009-02-01,38,38
IRUPANA (VILLA DE LANZA),malaria,numero de muestras hematicas tomadas,2009-02-01,2,2
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2009-02-01,37,37
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2009-02-01,53,53
LA PAZ,malaria,numero de muestras hematicas tomadas,2009-02-01,37,37
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2009-02-01,44,44
MACHARETI,malaria,numero de muestras hematicas tomadas,2009-02-01,11,11
MAGDALENA,malaria,numero de muestras hematicas tomadas,2009-02-01,59,59
MAPIRI,malaria,numero de muestras hematicas tomadas,2009-02-01,17,17
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2009-02-01,91,91
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2009-02-01,71,71
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2009-02-01,229,229
OMEREQUE,malaria,numero de muestras hematicas tomadas,2009-02-01,6,6
PADCAYA,malaria,numero de muestras hematicas tomadas,2009-02-01,57,57
PADILLA,malaria,numero de muestras hematicas tomadas,2009-02-01,4,4
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2009-02-01,65,65
PASORAPA,malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
POROMA,malaria,numero de muestras hematicas tomadas,2009-02-01,31,31
PORONGO,malaria,numero de muestras hematicas tomadas,2009-02-01,80,80
PORVENIR,malaria,numero de muestras hematicas tomadas,2009-02-01,68,68
PUERTO ACOSTA,malaria,numero de muestras hematicas tomadas,2009-02-01,3,3
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2009-02-01,33,33
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2009-02-01,219,219
PUERTO SILES,malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
REYES,malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
RIBERALTA,malaria,numero de muestras hematicas tomadas,2009-02-01,1764,1764
ROBORE,malaria,numero de muestras hematicas tomadas,2009-02-01,7,7
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
SACABA,malaria,numero de muestras hematicas tomadas,2009-02-01,6,6
SAIPINA,malaria,numero de muestras hematicas tomadas,2009-02-01,72,72
SAN BORJA,malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2009-02-01,26,26
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2009-02-01,218,218
SAN JAVIER(STC),malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
SAN JOAQUIN,malaria,numero de muestras hematicas tomadas,2009-02-01,2,2
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2009-02-01,74,74
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2009-02-01,123,123
SAN LORENZO(TJA),malaria,numero de muestras hematicas tomadas,2009-02-01,3,3
SAN MATIAS,malaria,numero de muestras hematicas tomadas,2009-02-01,73,73
SAN PEDRO,malaria,numero de muestras hematicas tomadas,2009-02-01,2,2
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2009-02-01,24,24
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2009-02-01,5,5
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2009-02-01,26,26
SENA,malaria,numero de muestras hematicas tomadas,2009-02-01,251,251
SOPACHUY,malaria,numero de muestras hematicas tomadas,2009-02-01,35,35
TARVITA,malaria,numero de muestras hematicas tomadas,2009-02-01,2,2
TEOPONTE,malaria,numero de muestras hematicas tomadas,2009-02-01,87,87
TOMINA,malaria,numero de muestras hematicas tomadas,2009-02-01,4,4
TORO TORO,malaria,numero de muestras hematicas tomadas,2009-02-01,11,11
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
VILA VILA,malaria,numero de muestras hematicas tomadas,2009-02-01,4,4
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2009-02-01,116,116
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2009-02-01,99,99
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2009-02-01,4,4
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2009-02-01,61,61
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2009-02-01,50,50
WARNES,malaria,numero de muestras hematicas tomadas,2009-02-01,1,1
YACUIBA,malaria,numero de muestras hematicas tomadas,2009-02-01,669,669
YAPACANI,malaria,numero de muestras hematicas tomadas,2009-02-01,49,49
ZUDAÑEZ,malaria,numero de muestras hematicas tomadas,2009-02-01,2,2
ACACIO,malaria,numero de muestras hematicas tomadas,2009-03-01,29,29
AIQUILE,malaria,numero de muestras hematicas tomadas,2009-03-01,13,13
ALALAY,malaria,numero de muestras hematicas tomadas,2009-03-01,1,1
ALCALA,malaria,numero de muestras hematicas tomadas,2009-03-01,182,182
APOLO,malaria,numero de muestras hematicas tomadas,2009-03-01,24,24
ARANI,malaria,numero de muestras hematicas tomadas,2009-03-01,311,311
AYATA,malaria,numero de muestras hematicas tomadas,2009-03-01,4,4
AZURDUY,malaria,numero de muestras hematicas tomadas,2009-03-01,17,17
BAURES,malaria,numero de muestras hematicas tomadas,2009-03-01,129,129
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2009-03-01,34,34
BERMEJO,malaria,numero de muestras hematicas tomadas,2009-03-01,96,96
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2009-03-01,20,20
CABEZAS,malaria,numero de muestras hematicas tomadas,2009-03-01,4,4
CAMATAQUI (C. VILLA ABECIA),malaria,numero de muestras hematicas tomadas,2009-03-01,14,14
CAMIRI,malaria,numero de muestras hematicas tomadas,2009-03-01,82,82
CARANAVI,malaria,numero de muestras hematicas tomadas,2009-03-01,120,120
CARAPARI,malaria,numero de muestras hematicas tomadas,2009-03-01,11,11
COBIJA,malaria,numero de muestras hematicas tomadas,2009-03-01,128,128
COLOMI,malaria,numero de muestras hematicas tomadas,2009-03-01,1,1
CONCEPCION,malaria,numero de muestras hematicas tomadas,2009-03-01,30,30
CUEVO,malaria,numero de muestras hematicas tomadas,2009-03-01,2,2
CULPINA,malaria,numero de muestras hematicas tomadas,2009-03-01,12,12
EL TORNO,malaria,numero de muestras hematicas tomadas,2009-03-01,510,510
EL VILLAR,malaria,numero de muestras hematicas tomadas,2009-03-01,2,2
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2009-03-01,99,99
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2009-03-01,4,4
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2009-03-01,103,103
FILADELFIA,malaria,numero de muestras hematicas tomadas,2009-03-01,35,35
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2009-03-01,181,181
GUANAY,malaria,numero de muestras hematicas tomadas,2009-03-01,146,146
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2009-03-01,1118,1118
HUACARETA,malaria,numero de muestras hematicas tomadas,2009-03-01,3,3
HUARACAJE,malaria,numero de muestras hematicas tomadas,2009-03-01,1,1
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2009-03-01,63,63
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2009-03-01,15,15
LA PAZ,malaria,numero de muestras hematicas tomadas,2009-03-01,44,44
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2009-03-01,57,57
MACHARETI,malaria,numero de muestras hematicas tomadas,2009-03-01,16,16
MAGDALENA,malaria,numero de muestras hematicas tomadas,2009-03-01,85,85
MAPIRI,malaria,numero de muestras hematicas tomadas,2009-03-01,14,14
MIZQUE,malaria,numero de muestras hematicas tomadas,2009-03-01,7,7
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2009-03-01,4,4
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2009-03-01,51,51
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2009-03-01,65,65
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2009-03-01,304,304
OMEREQUE,malaria,numero de muestras hematicas tomadas,2009-03-01,1,1
PADCAYA,malaria,numero de muestras hematicas tomadas,2009-03-01,116,116
PADILLA,malaria,numero de muestras hematicas tomadas,2009-03-01,6,6
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2009-03-01,25,25
POJO (CBBA),malaria,numero de muestras hematicas tomadas,2009-03-01,1,1
POROMA,malaria,numero de muestras hematicas tomadas,2009-03-01,13,13
PORONGO,malaria,numero de muestras hematicas tomadas,2009-03-01,56,56
PORTACHUELO,malaria,numero de muestras hematicas tomadas,2009-03-01,1,1
PORVENIR,malaria,numero de muestras hematicas tomadas,2009-03-01,94,94
PRESTO,malaria,numero de muestras hematicas tomadas,2009-03-01,2,2
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2009-03-01,10,10
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2009-03-01,161,161
RAVELO,malaria,numero de muestras hematicas tomadas,2009-03-01,72,72
REYES,malaria,numero de muestras hematicas tomadas,2009-03-01,25,25
RIBERALTA,malaria,numero de muestras hematicas tomadas,2009-03-01,2025,2025
ROBORE,malaria,numero de muestras hematicas tomadas,2009-03-01,2,2
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2009-03-01,5,5
SAIPINA,malaria,numero de muestras hematicas tomadas,2009-03-01,112,112
SAMAIPATA,malaria,numero de muestras hematicas tomadas,2009-03-01,1,1
SAN BORJA,malaria,numero de muestras hematicas tomadas,2009-03-01,1,1
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2009-03-01,7,7
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2009-03-01,218,218
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2009-03-01,84,84
SAN LORENZO(TJA),malaria,numero de muestras hematicas tomadas,2009-03-01,7,7
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2009-03-01,1,1
SAN MATIAS,malaria,numero de muestras hematicas tomadas,2009-03-01,14,14
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2009-03-01,4,4
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2009-03-01,58,58
SAN RAMON,malaria,numero de muestras hematicas tomadas,2009-03-01,10,10
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2009-03-01,2,2
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2009-03-01,27,27
SENA,malaria,numero de muestras hematicas tomadas,2009-03-01,324,324
SOPACHUY,malaria,numero de muestras hematicas tomadas,2009-03-01,23,23
TARVITA,malaria,numero de muestras hematicas tomadas,2009-03-01,2,2
TEOPONTE,malaria,numero de muestras hematicas tomadas,2009-03-01,61,61
TOMINA,malaria,numero de muestras hematicas tomadas,2009-03-01,4,4
TORO TORO,malaria,numero de muestras hematicas tomadas,2009-03-01,54,54
VILA VILA,malaria,numero de muestras hematicas tomadas,2009-03-01,15,15
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2009-03-01,138,138
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2009-03-01,73,73
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2009-03-01,1,1
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2009-03-01,27,27
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2009-03-01,16,16
YACUIBA,malaria,numero de muestras hematicas tomadas,2009-03-01,463,463
YAPACANI,malaria,numero de muestras hematicas tomadas,2009-03-01,16,16
ACACIO,malaria,numero de muestras hematicas tomadas,2009-04-01,32,32
AIQUILE,malaria,numero de muestras hematicas tomadas,2009-04-01,17,17
ALCALA,malaria,numero de muestras hematicas tomadas,2009-04-01,197,197
APOLO,malaria,numero de muestras hematicas tomadas,2009-04-01,6,6
AYATA,malaria,numero de muestras hematicas tomadas,2009-04-01,43,43
AZURDUY,malaria,numero de muestras hematicas tomadas,2009-04-01,13,13
BAURES,malaria,numero de muestras hematicas tomadas,2009-04-01,124,124
BERMEJO,malaria,numero de muestras hematicas tomadas,2009-04-01,81,81
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2009-04-01,10,10
CABEZAS,malaria,numero de muestras hematicas tomadas,2009-04-01,5,5
CAMATAQUI (C. VILLA ABECIA),malaria,numero de muestras hematicas tomadas,2009-04-01,8,8
CAMIRI,malaria,numero de muestras hematicas tomadas,2009-04-01,45,45
CARANAVI,malaria,numero de muestras hematicas tomadas,2009-04-01,94,94
CARAPARI,malaria,numero de muestras hematicas tomadas,2009-04-01,87,87
COBIJA,malaria,numero de muestras hematicas tomadas,2009-04-01,111,111
CULPINA,malaria,numero de muestras hematicas tomadas,2009-04-01,2,2
EL TORNO,malaria,numero de muestras hematicas tomadas,2009-04-01,290,290
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2009-04-01,53,53
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2009-04-01,2,2
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2009-04-01,32,32
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2009-04-01,42,42
GUANAY,malaria,numero de muestras hematicas tomadas,2009-04-01,106,106
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2009-04-01,1136,1136
HUACARETA,malaria,numero de muestras hematicas tomadas,2009-04-01,14,14
IXIAMAS,malaria,numero de muestras hematicas tomadas,2009-04-01,2,2
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2009-04-01,12,12
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2009-04-01,28,28
LA PAZ,malaria,numero de muestras hematicas tomadas,2009-04-01,46,46
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2009-04-01,25,25
MACHARETI,malaria,numero de muestras hematicas tomadas,2009-04-01,10,10
MAGDALENA,malaria,numero de muestras hematicas tomadas,2009-04-01,152,152
MAPIRI,malaria,numero de muestras hematicas tomadas,2009-04-01,39,39
MIZQUE,malaria,numero de muestras hematicas tomadas,2009-04-01,6,6
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2009-04-01,1,1
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2009-04-01,32,32
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2009-04-01,65,65
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2009-04-01,266,266
OMEREQUE,malaria,numero de muestras hematicas tomadas,2009-04-01,10,10
PADCAYA,malaria,numero de muestras hematicas tomadas,2009-04-01,109,109
PADILLA,malaria,numero de muestras hematicas tomadas,2009-04-01,4,4
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2009-04-01,17,17
PASORAPA,malaria,numero de muestras hematicas tomadas,2009-04-01,1,1
PORONGO,malaria,numero de muestras hematicas tomadas,2009-04-01,29,29
PORVENIR,malaria,numero de muestras hematicas tomadas,2009-04-01,84,84
PRESTO,malaria,numero de muestras hematicas tomadas,2009-04-01,1,1
PUERTO CARABUCO,malaria,numero de muestras hematicas tomadas,2009-04-01,1,1
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2009-04-01,49,49
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2009-04-01,315,315
PUERTO SILES,malaria,numero de muestras hematicas tomadas,2009-04-01,1,1
REYES,malaria,numero de muestras hematicas tomadas,2009-04-01,28,28
RIBERALTA,malaria,numero de muestras hematicas tomadas,2009-04-01,2387,2387
ROBORE,malaria,numero de muestras hematicas tomadas,2009-04-01,5,5
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2009-04-01,2,2
SAIPINA,malaria,numero de muestras hematicas tomadas,2009-04-01,112,112
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2009-04-01,1,1
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2009-04-01,135,135
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2009-04-01,50,50
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2009-04-01,99,99
SAN LORENZO(TJA),malaria,numero de muestras hematicas tomadas,2009-04-01,2,2
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2009-04-01,1,1
SAN MATIAS,malaria,numero de muestras hematicas tomadas,2009-04-01,72,72
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2009-04-01,71,71
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2009-04-01,22,22
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2009-04-01,4,4
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2009-04-01,20,20
SENA,malaria,numero de muestras hematicas tomadas,2009-04-01,320,320
SOPACHUY,malaria,numero de muestras hematicas tomadas,2009-04-01,25,25
SUCRE,malaria,numero de muestras hematicas tomadas,2009-04-01,2,2
TEOPONTE,malaria,numero de muestras hematicas tomadas,2009-04-01,45,45
TIRAQUE (CBBA),malaria,numero de muestras hematicas tomadas,2009-04-01,1,1
TOMINA,malaria,numero de muestras hematicas tomadas,2009-04-01,2,2
TORO TORO,malaria,numero de muestras hematicas tomadas,2009-04-01,59,59
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2009-04-01,6,6
VILA VILA,malaria,numero de muestras hematicas tomadas,2009-04-01,15,15
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2009-04-01,311,311
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2009-04-01,46,46
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2009-04-01,23,23
