municipality,group,variable,month,Tratamientos iniciados por sospecha,TOTAL
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2009-02-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2009-02-01,29,29
SAN LORENZO(TJA),malaria,tratamientos iniciados por sospecha,2009-02-01,1,1
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2009-02-01,4,4
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2009-02-01,2,2
TEOPONTE,malaria,tratamientos iniciados por sospecha,2009-02-01,25,25
TORO TORO,malaria,tratamientos iniciados por sospecha,2009-02-01,11,11
VILA VILA,malaria,tratamientos iniciados por sospecha,2009-02-01,3,3
VILLA MONTES,malaria,tratamientos iniciados por sospecha,2009-02-01,2,2
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2009-02-01,7,7
YACUIBA,malaria,tratamientos iniciados por sospecha,2009-02-01,19,19
YAPACANI,malaria,tratamientos iniciados por sospecha,2009-02-01,1,1
APOLO,malaria,tratamientos iniciados por sospecha,2009-03-01,1,1
ARAMPAMPA,malaria,tratamientos iniciados por sospecha,2009-03-01,1,1
AYATA,malaria,tratamientos iniciados por sospecha,2009-03-01,4,4
AZURDUY,malaria,tratamientos iniciados por sospecha,2009-03-01,16,16
BERMEJO,malaria,tratamientos iniciados por sospecha,2009-03-01,2,2
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-03-01,7,7
COLOMI,malaria,tratamientos iniciados por sospecha,2009-03-01,1,1
CONCEPCION,malaria,tratamientos iniciados por sospecha,2009-03-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2009-03-01,11,11
EL TORNO,malaria,tratamientos iniciados por sospecha,2009-03-01,19,19
EL VILLAR,malaria,tratamientos iniciados por sospecha,2009-03-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos iniciados por sospecha,2009-03-01,3,3
GUANAY,malaria,tratamientos iniciados por sospecha,2009-03-01,3,3
HUACARETA,malaria,tratamientos iniciados por sospecha,2009-03-01,1,1
INGAVI (HUMAITA),malaria,tratamientos iniciados por sospecha,2009-03-01,4,4
IXIAMAS,malaria,tratamientos iniciados por sospecha,2009-03-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2009-03-01,2,2
MIZQUE,malaria,tratamientos iniciados por sospecha,2009-03-01,4,4
PADCAYA,malaria,tratamientos iniciados por sospecha,2009-03-01,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2009-03-01,4,4
POROMA,malaria,tratamientos iniciados por sospecha,2009-03-01,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2009-03-01,24,24
PORTACHUELO,malaria,tratamientos iniciados por sospecha,2009-03-01,1,1
RAVELO,malaria,tratamientos iniciados por sospecha,2009-03-01,7,7
SAIPINA,malaria,tratamientos iniciados por sospecha,2009-03-01,3,3
SAMAIPATA,malaria,tratamientos iniciados por sospecha,2009-03-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2009-03-01,35,35
SAN LORENZO(TJA),malaria,tratamientos iniciados por sospecha,2009-03-01,3,3
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2009-03-01,1,1
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2009-03-01,7,7
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-03-01,4,4
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2009-03-01,2,2
TARVITA,malaria,tratamientos iniciados por sospecha,2009-03-01,1,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2009-03-01,22,22
TORO TORO,malaria,tratamientos iniciados por sospecha,2009-03-01,3,3
VILA VILA,malaria,tratamientos iniciados por sospecha,2009-03-01,15,15
VILLA MONTES,malaria,tratamientos iniciados por sospecha,2009-03-01,6,6
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2009-03-01,2,2
YAPACANI,malaria,tratamientos iniciados por sospecha,2009-03-01,1,1
ACACIO,malaria,tratamientos iniciados por sospecha,2009-04-01,1,1
AIQUILE,malaria,tratamientos iniciados por sospecha,2009-04-01,1,1
APOLO,malaria,tratamientos iniciados por sospecha,2009-04-01,6,6
AYATA,malaria,tratamientos iniciados por sospecha,2009-04-01,7,7
AZURDUY,malaria,tratamientos iniciados por sospecha,2009-04-01,6,6
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-04-01,6,6
CABEZAS,malaria,tratamientos iniciados por sospecha,2009-04-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2009-04-01,2,2
EL TORNO,malaria,tratamientos iniciados por sospecha,2009-04-01,25,25
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos iniciados por sospecha,2009-04-01,13,13
GUANAY,malaria,tratamientos iniciados por sospecha,2009-04-01,4,4
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2009-04-01,4,4
HUACARETA,malaria,tratamientos iniciados por sospecha,2009-04-01,10,10
INGAVI (HUMAITA),malaria,tratamientos iniciados por sospecha,2009-04-01,7,7
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2009-04-01,3,3
MIZQUE,malaria,tratamientos iniciados por sospecha,2009-04-01,1,1
OMEREQUE,malaria,tratamientos iniciados por sospecha,2009-04-01,4,4
PADCAYA,malaria,tratamientos iniciados por sospecha,2009-04-01,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2009-04-01,3,3
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2009-04-01,1,1
PASORAPA,malaria,tratamientos iniciados por sospecha,2009-04-01,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2009-04-01,20,20
PRESTO,malaria,tratamientos iniciados por sospecha,2009-04-01,1,1
PUERTO SILES,malaria,tratamientos iniciados por sospecha,2009-04-01,1,1
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2009-04-01,2,2
SAN CARLOS,malaria,tratamientos iniciados por sospecha,2009-04-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2009-04-01,31,31
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2009-04-01,4,4
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-04-01,7,7
SUCRE,malaria,tratamientos iniciados por sospecha,2009-04-01,2,2
TEOPONTE,malaria,tratamientos iniciados por sospecha,2009-04-01,13,13
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2009-04-01,1,1
TOMINA,malaria,tratamientos iniciados por sospecha,2009-04-01,1,1
TORO TORO,malaria,tratamientos iniciados por sospecha,2009-04-01,5,5
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2009-04-01,1,1
VILA VILA,malaria,tratamientos iniciados por sospecha,2009-04-01,11,11
VILLA MONTES,malaria,tratamientos iniciados por sospecha,2009-04-01,25,25
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2009-04-01,3,3
YACUIBA,malaria,tratamientos iniciados por sospecha,2009-04-01,42,42
AYATA,malaria,tratamientos iniciados por sospecha,2009-05-01,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2009-05-01,3,3
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-05-01,11,11
CARAPARI,malaria,tratamientos iniciados por sospecha,2009-05-01,1,1
COBIJA,malaria,tratamientos iniciados por sospecha,2009-05-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2009-05-01,4,4
EL TORNO,malaria,tratamientos iniciados por sospecha,2009-05-01,16,16
ENTRE RIOS,malaria,tratamientos iniciados por sospecha,2009-05-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos iniciados por sospecha,2009-05-01,11,11
GUANAY,malaria,tratamientos iniciados por sospecha,2009-05-01,12,12
HUACARETA,malaria,tratamientos iniciados por sospecha,2009-05-01,3,3
INGAVI (HUMAITA),malaria,tratamientos iniciados por sospecha,2009-05-01,5,5
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2009-05-01,3,3
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2009-05-01,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2009-05-01,3,3
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2009-05-01,1,1
PAMPA GRANDE,malaria,tratamientos iniciados por sospecha,2009-05-01,1,1
PASORAPA,malaria,tratamientos iniciados por sospecha,2009-05-01,2,2
PORONGO,malaria,tratamientos iniciados por sospecha,2009-05-01,8,8
PUERTO SILES,malaria,tratamientos iniciados por sospecha,2009-05-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2009-05-01,36,36
SAN LORENZO(TJA),malaria,tratamientos iniciados por sospecha,2009-05-01,3,3
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2009-05-01,4,4
TEOPONTE,malaria,tratamientos iniciados por sospecha,2009-05-01,5,5
TORO TORO,malaria,tratamientos iniciados por sospecha,2009-05-01,9,9
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2009-05-01,3,3
VILA VILA,malaria,tratamientos iniciados por sospecha,2009-05-01,4,4
VILLA MONTES,malaria,tratamientos iniciados por sospecha,2009-05-01,9,9
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2009-05-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2009-05-01,13,13
YACUIBA,malaria,tratamientos iniciados por sospecha,2009-05-01,38,38
AYATA,malaria,tratamientos iniciados por sospecha,2009-06-01,2,2
AZURDUY,malaria,tratamientos iniciados por sospecha,2009-06-01,2,2
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-06-01,9,9
CARANAVI,malaria,tratamientos iniciados por sospecha,2009-06-01,3,3
CONCEPCION,malaria,tratamientos iniciados por sospecha,2009-06-01,3,3
COROICO,malaria,tratamientos iniciados por sospecha,2009-06-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2009-06-01,3,3
EL TORNO,malaria,tratamientos iniciados por sospecha,2009-06-01,10,10
FILADELFIA,malaria,tratamientos iniciados por sospecha,2009-06-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos iniciados por sospecha,2009-06-01,7,7
GUANAY,malaria,tratamientos iniciados por sospecha,2009-06-01,7,7
GUTIERREZ,malaria,tratamientos iniciados por sospecha,2009-06-01,2,2
HUACARETA,malaria,tratamientos iniciados por sospecha,2009-06-01,2,2
IXIAMAS,malaria,tratamientos iniciados por sospecha,2009-06-01,1,1
LA PAZ,malaria,tratamientos iniciados por sospecha,2009-06-01,10,10
MIZQUE,malaria,tratamientos iniciados por sospecha,2009-06-01,1,1
PADCAYA,malaria,tratamientos iniciados por sospecha,2009-06-01,1,1
POROMA,malaria,tratamientos iniciados por sospecha,2009-06-01,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2009-06-01,13,13
REYES,malaria,tratamientos iniciados por sospecha,2009-06-01,3,3
SAIPINA,malaria,tratamientos iniciados por sospecha,2009-06-01,5,5
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2009-06-01,17,17
SAN LORENZO(PND),malaria,tratamientos iniciados por sospecha,2009-06-01,2,2
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-06-01,4,4
TEOPONTE,malaria,tratamientos iniciados por sospecha,2009-06-01,2,2
TORO TORO,malaria,tratamientos iniciados por sospecha,2009-06-01,5,5
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2009-06-01,2,2
VILA VILA,malaria,tratamientos iniciados por sospecha,2009-06-01,2,2
VILLA MONTES,malaria,tratamientos iniciados por sospecha,2009-06-01,16,16
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2009-06-01,4,4
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2009-06-01,11,11
YACUIBA,malaria,tratamientos iniciados por sospecha,2009-06-01,3,3
ACACIO,malaria,tratamientos iniciados por sospecha,2009-07-01,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2009-07-01,2,2
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-07-01,18,18
CABEZAS,malaria,tratamientos iniciados por sospecha,2009-07-01,1,1
COBIJA,malaria,tratamientos iniciados por sospecha,2009-07-01,1,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2009-07-01,5,5
GUANAY,malaria,tratamientos iniciados por sospecha,2009-07-01,7,7
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2009-07-01,3,3
HUACARETA,malaria,tratamientos iniciados por sospecha,2009-07-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2009-07-01,2,2
MIZQUE,malaria,tratamientos iniciados por sospecha,2009-07-01,1,1
OKINAWA,malaria,tratamientos iniciados por sospecha,2009-07-01,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2009-07-01,4,4
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2009-07-01,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2009-07-01,7,7
PUERTO SILES,malaria,tratamientos iniciados por sospecha,2009-07-01,4,4
RIBERALTA,malaria,tratamientos iniciados por sospecha,2009-07-01,2,2
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2009-07-01,45,45
SAN LORENZO(PND),malaria,tratamientos iniciados por sospecha,2009-07-01,2,2
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2009-07-01,2,2
SAN MIGUEL DE VELASCO,malaria,tratamientos iniciados por sospecha,2009-07-01,1,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2009-07-01,0,0
TARVITA,malaria,tratamientos iniciados por sospecha,2009-07-01,3,3
TEOPONTE,malaria,tratamientos iniciados por sospecha,2009-07-01,3,3
TORO TORO,malaria,tratamientos iniciados por sospecha,2009-07-01,5,5
VILLA MONTES,malaria,tratamientos iniciados por sospecha,2009-07-01,5,5
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2009-07-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2009-07-01,4,4
YACUIBA,malaria,tratamientos iniciados por sospecha,2009-07-01,8,8
ZUDAÑEZ,malaria,tratamientos iniciados por sospecha,2009-07-01,1,1
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-08-01,16,16
COBIJA,malaria,tratamientos iniciados por sospecha,2009-08-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2009-08-01,4,4
EL ALTO,malaria,tratamientos iniciados por sospecha,2009-08-01,1,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2009-08-01,7,7
EL VILLAR,malaria,tratamientos iniciados por sospecha,2009-08-01,1,1
EXALTACION,malaria,tratamientos iniciados por sospecha,2009-08-01,1,1
GUANAY,malaria,tratamientos iniciados por sospecha,2009-08-01,8,8
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2009-08-01,3,3
IXIAMAS,malaria,tratamientos iniciados por sospecha,2009-08-01,1,1
LA PAZ,malaria,tratamientos iniciados por sospecha,2009-08-01,18,18
OMEREQUE,malaria,tratamientos iniciados por sospecha,2009-08-01,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2009-08-01,13,13
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2009-08-01,1,1
SAIPINA,malaria,tratamientos iniciados por sospecha,2009-08-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2009-08-01,25,25
SAN JOSE DE CHIQUITOS,malaria,tratamientos iniciados por sospecha,2009-08-01,1,1
SAN LORENZO(PND),malaria,tratamientos iniciados por sospecha,2009-08-01,3,3
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2009-08-01,0,0
TEOPONTE,malaria,tratamientos iniciados por sospecha,2009-08-01,2,2
TORO TORO,malaria,tratamientos iniciados por sospecha,2009-08-01,3,3
VILA VILA,malaria,tratamientos iniciados por sospecha,2009-08-01,5,5
VILLA MONTES,malaria,tratamientos iniciados por sospecha,2009-08-01,2,2
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2009-08-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2009-08-01,2,2
APOLO,malaria,tratamientos iniciados por sospecha,2009-09-01,17,17
AZURDUY,malaria,tratamientos iniciados por sospecha,2009-09-01,1,1
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-09-01,7,7
CABEZAS,malaria,tratamientos iniciados por sospecha,2009-09-01,1,1
COBIJA,malaria,tratamientos iniciados por sospecha,2009-09-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2009-09-01,2,2
EL TORNO,malaria,tratamientos iniciados por sospecha,2009-09-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos iniciados por sospecha,2009-09-01,1,1
GUANAY,malaria,tratamientos iniciados por sospecha,2009-09-01,5,5
ICLA,malaria,tratamientos iniciados por sospecha,2009-09-01,1,1
IXIAMAS,malaria,tratamientos iniciados por sospecha,2009-09-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2009-09-01,5,5
PORONGO,malaria,tratamientos iniciados por sospecha,2009-09-01,11,11
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2009-09-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2009-09-01,19,19
SAN LORENZO(PND),malaria,tratamientos iniciados por sospecha,2009-09-01,2,2
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2009-09-01,1,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2009-09-01,5,5
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2009-09-01,1,1
VILLA MONTES,malaria,tratamientos iniciados por sospecha,2009-09-01,2,2
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2009-09-01,2,2
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2009-09-01,1,1
YACUIBA,malaria,tratamientos iniciados por sospecha,2009-09-01,7,7
APOLO,malaria,tratamientos iniciados por sospecha,2009-10-01,9,9
AZURDUY,malaria,tratamientos iniciados por sospecha,2009-10-01,8,8
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-10-01,3,3
CARANAVI,malaria,tratamientos iniciados por sospecha,2009-10-01,1,1
COBIJA,malaria,tratamientos iniciados por sospecha,2009-10-01,1,1
COLOMI,malaria,tratamientos iniciados por sospecha,2009-10-01,1,1
CONCEPCION,malaria,tratamientos iniciados por sospecha,2009-10-01,1,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2009-10-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos iniciados por sospecha,2009-10-01,1,1
GUANAY,malaria,tratamientos iniciados por sospecha,2009-10-01,5,5
IXIAMAS,malaria,tratamientos iniciados por sospecha,2009-10-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2009-10-01,4,4
LA PAZ,malaria,tratamientos iniciados por sospecha,2009-10-01,1,1
MONTERO,malaria,tratamientos iniciados por sospecha,2009-10-01,1,1
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2009-10-01,6,6
PORONGO,malaria,tratamientos iniciados por sospecha,2009-10-01,11,11
PRESTO,malaria,tratamientos iniciados por sospecha,2009-10-01,1,1
RIBERALTA,malaria,tratamientos iniciados por sospecha,2009-10-01,21,21
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2009-10-01,2,2
SAN CARLOS,malaria,tratamientos iniciados por sospecha,2009-10-01,2,2
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2009-10-01,6,6
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2009-10-01,2,2
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2009-10-01,0,0
TEOPONTE,malaria,tratamientos iniciados por sospecha,2009-10-01,3,3
TORO TORO,malaria,tratamientos iniciados por sospecha,2009-10-01,4,4
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2009-10-01,2,2
YACUIBA,malaria,tratamientos iniciados por sospecha,2009-10-01,3,3
AZURDUY,malaria,tratamientos iniciados por sospecha,2009-11-01,3,3
BERMEJO,malaria,tratamientos iniciados por sospecha,2009-11-01,29,29
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2009-11-01,1,1
CARANAVI,malaria,tratamientos iniciados por sospecha,2009-11-01,5,5
COLOMI,malaria,tratamientos iniciados por sospecha,2009-11-01,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2009-11-01,2,2
EL TORNO,malaria,tratamientos iniciados por sospecha,2009-11-01,7,7
ENTRE RIOS,malaria,tratamientos iniciados por sospecha,2009-11-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos iniciados por sospecha,2009-11-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2009-11-01,4,4
LA PAZ,malaria,tratamientos iniciados por sospecha,2009-11-01,1,1
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2009-11-01,1,1
MONTERO,malaria,tratamientos iniciados por sospecha,2009-11-01,1,1
PADCAYA,malaria,tratamientos iniciados por sospecha,2009-11-01,1,1
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2009-11-01,15,15
PORONGO,malaria,tratamientos iniciados por sospecha,2009-11-01,3,3
SAN CARLOS,malaria,tratamientos iniciados por sospecha,2009-11-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2009-11-01,16,16
SAN LORENZO(PND),malaria,tratamientos iniciados por sospecha,2009-11-01,1,1
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2009-11-01,2,2
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2009-11-01,0,0
TARVITA,malaria,tratamientos iniciados por sospecha,2009-11-01,2,2
TEOPONTE,malaria,tratamientos iniciados por sospecha,2009-11-01,17,17
TORO TORO,malaria,tratamientos iniciados por sospecha,2009-11-01,8,8
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2009-11-01,2,2
