municipality,group,variable,month,Nuevas en personas de 5 a 14 años -Hombre,Nuevas en personas de 5 a 14 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
IXIAMAS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,42,33,42,33,75
JESUS DE MACHACA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,23,20,23,20,43
LA ASUNTA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,109,99,109,99,208
LA GUARDIA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,118,151,118,151,269
LA PAZ,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,5921,5776,5921,5776,11697
LA RIVERA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,0,1,0,1,1
LAGUNILLAS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,63,45,63,45,108
LAJA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,47,13,47,13,60
LAS CARRERAS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,11,29,11,29,40
LICOMA PAMPA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,4,2,4,2,6
LLALLAGUA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,120,115,120,115,235
LLICA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,13,28,13,28,41
LORETO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,22,12,22,12,34
LURIBAY,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,30,19,30,19,49
MACHACAMARCA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,13,10,13,10,23
MACHARETI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,61,69,61,69,130
MAGDALENA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,73,68,73,68,141
MAIRANA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,32,42,32,42,74
MALLA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,43,46,43,46,89
MAPIRI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,51,56,51,56,107
MECAPACA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,62,79,62,79,141
MINEROS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,24,42,24,42,66
MIZQUE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,31,22,31,22,53
MOCOMOCO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,20,17,20,17,37
MOJINETE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,3,6,3,6,9
MOJOCOYA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,25,31,25,31,56
MONTEAGUDO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,242,274,242,274,516
MONTERO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,521,543,521,543,1064
MORO MORO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,21,8,21,8,29
MOROCHATA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,19,18,19,18,37
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,12,7,12,7,19
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,21,13,21,13,34
OCURI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,17,23,17,23,40
OKINAWA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,100,117,100,117,217
OMEREQUE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,7,4,7,4,11
ORURO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,1940,1973,1940,1973,3913
PADCAYA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,99,89,99,89,188
PADILLA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,76,64,76,64,140
PAILON,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,44,45,44,45,89
PALCA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,35,25,35,25,60
PALOS BLANCOS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,153,123,153,123,276
PAMPA AULLAGAS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,4,0,4,0,4
PAMPA GRANDE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,78,109,78,109,187
PAPEL PAMPA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,17,13,17,13,30
PASORAPA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,2,5,2,5,7
PATACAMAYA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,34,30,34,30,64
PAZÑA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,22,22,22,22,44
PELECHUCO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,15,24,15,24,39
POCOATA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,58,52,58,52,110
POCONA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,25,26,25,26,51
POJO (CBBA),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,23,34,23,34,57
POOPO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,13,21,13,21,34
PORCO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,9,12,9,12,21
POROMA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,53,38,53,38,91
PORONGO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,51,53,51,53,104
PORTACHUELO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,103,114,103,114,217
PORVENIR,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,40,37,40,37,77
POSTRER VALLE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,19,10,19,10,29
POTOSI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,997,1103,997,1103,2100
PRESTO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,15,25,15,25,40
PUCARA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,9,5,9,5,14
PUCARANI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,25,31,25,31,56
PUERTO ACOSTA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,42,34,42,34,76
PUERTO CARABUCO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,30,36,30,36,66
PUERTO GONZALO MORENO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,28,30,28,30,58
PUERTO PEREZ,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,8,11,8,11,19
PUERTO QUIJARRO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,128,121,128,121,249
PUERTO RICO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,72,77,72,77,149
PUERTO SILES,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,10,3,10,3,13
PUERTO SUAREZ,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,113,121,113,121,234
PUERTO VILLARROEL,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,188,163,188,163,351
PUNA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,76,93,76,93,169
PUNATA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,113,124,113,124,237
QUIABAYA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,5,3,5,3,8
QUILLACOLLO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,298,298,298,298,596
QUIME,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,37,35,37,35,72
QUIRUSILLAS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,6,8,6,8,14
RAVELO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,29,25,29,25,54
REYES,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,70,59,70,59,129
RIBERALTA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,779,627,779,627,1406
ROBORE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,91,90,91,90,181
RURRENABAQUE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,104,126,104,126,230
SABAYA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,5,20,5,20,25
SACABA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,172,191,172,191,363
SACABAMBA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,6,3,6,3,9
SACACA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,40,33,40,33,73
SAIPINA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,38,26,38,26,64
SALINAS DE GARCI MENDOZA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,17,21,17,21,38
SAMAIPATA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,34,28,34,28,62
SAN AGUSTIN,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,6,6,6,6,12
SAN ANDRES,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,50,50,50,50,100
SAN ANDRES DE MACHACA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,14,13,14,13,27
SAN ANTONIO DE ESMORUCO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,6,9,6,9,15
SAN ANTONIO DE LOMERIO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,44,27,44,27,71
SAN BENITO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,31,31,31,31,62
SAN BORJA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,99,131,99,131,230
SAN BUENA VENTURA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,43,37,43,37,80
SAN CARLOS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,81,97,81,97,178
SAN IGNACIO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,133,148,133,148,281
SAN IGNACIO DE VELASCO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,263,282,263,282,545
SAN JAVIER(BNI),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,6,10,6,10,16
SAN JAVIER(STC),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,24,33,24,33,57
SAN JOAQUIN,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,20,24,20,24,44
SAN JOSE DE CHIQUITOS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,125,109,125,109,234
SAN JUAN DE YAPACANI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,90,63,90,63,153
SAN JULIAN,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,319,206,319,206,525
SAN LORENZO(PND),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,72,54,72,54,126
SAN LORENZO(TJA),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,94,92,94,92,186
SAN LUCAS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,88,81,88,81,169
SAN MATIAS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,21,22,21,22,43
SAN MIGUEL DE VELASCO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,64,65,64,65,129
SAN PABLO DE LIPEZ,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,16,18,16,18,34
SAN PEDRO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,222,175,222,175,397
SAN PEDRO DE BUENA VISTA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,24,24,24,24,48
SAN PEDRO DE CURAHUARA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,38,37,38,37,75
SAN PEDRO DE TIQUINA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,11,8,11,8,19
SAN PEDRO(PND),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,3,5,3,5,8
SAN RAFAEL,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,14,12,14,12,26
SAN RAMON,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,38,21,38,21,59
SAN RAMON,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,52,44,52,44,96
SANTA ANA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,74,69,74,69,143
SANTA CRUZ DE LA SIERRA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,7011,8451,7011,8451,15462
SANTA ROSA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,21,9,21,9,30
SANTA ROSA DEL SARA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,88,91,88,91,179
SANTIAGO DE CALLAPA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,16,16,16,16,32
SANTIAGO DE HUARI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,36,26,36,26,62
SANTIAGO DE MACHACA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,3,5,3,5,8
SANTIVAÑES,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,23,34,23,34,57
SANTUARIO DE QUILLACAS,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,6,4,6,4,10
SAPAHAQUI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,29,27,29,27,56
SENA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,39,22,39,22,61
SICA SICA (VILLA AROMA),consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,10,28,10,28,38
SICAYA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,0,3,0,3,3
SIPE SIPE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,58,55,58,55,113
SOPACHUY,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,18,19,18,19,37
SORACACHI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,12,16,12,16,28
SORATA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,46,45,46,45,91
SUCRE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,2198,2160,2198,2160,4358
TACACHI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,7,7,7,7,14
TACACOMA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,13,6,13,6,19
TACOBAMBA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,19,17,19,17,36
TACOPAYA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,13,12,13,12,25
TAHUA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,3,0,3,0,3
TAPACARI,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,67,52,67,52,119
TARABUCO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,35,32,35,32,67
TARACO,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,10,1,10,1,11
TARATA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,22,30,22,30,52
TARIJA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,1479,1394,1479,1394,2873
TARVITA,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,53,56,53,56,109
TEOPONTE,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,30,23,30,23,53
TIAWANACU,consulta externa,nuevas en personas de 5 a 14 anos,2005-01-01,19,25,19,25,44
