municipality,group,variable,month,Nuevas en personas de 60 años o más -Hombre,Nuevas en personas de 60 años o más -Mujer,TOTAL-H,TOTAL-M,TOTAL
CHIPAYA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,4,2,4,2,6
CHOQUE COTA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,12,5,12,5,17
CHULUMANI (V. DE LA LIBERTAD),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,67,48,67,48,115
CHUMA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,40,49,40,49,89
CLIZA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,12,28,12,28,40
COBIJA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,150,249,150,249,399
COCHABAMBA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,4310,4915,4310,4915,9225
COIPASA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,1,3,1,3,4
COLCAPIRHUA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,120,162,120,162,282
"COLCHA ""K""",consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,52,69,52,69,121
COLLANA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,10,13,10,13,23
COLOMI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,10,22,10,22,32
COLPA BELGICA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,65,30,65,30,95
COLQUECHACA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,74,98,74,98,172
COLQUENCHA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,37,40,37,40,77
COLQUIRI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,38,30,38,30,68
COMANCHE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,21,11,21,11,32
COMARAPA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,117,105,117,105,222
COMBAYA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,6,15,6,15,21
CONCEPCION,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,43,39,43,39,82
COPACABANA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,9,9,9,9,18
CORIPATA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,17,21,17,21,38
CORO CORO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,22,28,22,28,50
COROICO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,54,36,54,36,90
CORQUE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,37,36,37,36,73
COTAGAITA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,181,316,181,316,497
COTOCA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,85,61,85,61,146
CUATRO CAÑADAS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,26,26,26,26,52
CUCHUMUELA (V. G. VILLARROEL),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,4,12,4,12,16
CUEVO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,13,21,13,21,34
CULPINA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,40,48,40,48,88
CURAHUARA DE CARANGAS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,25,25,25,25,50
CURVA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,5,3,5,3,8
DESAGUADERO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,18,10,18,10,28
EL ALTO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,1001,1078,1001,1078,2079
EL CHORO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,14,19,14,19,33
EL PUENTE(STC),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,21,12,21,12,33
EL PUENTE(TJA),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,27,148,27,148,175
EL TORNO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,129,154,129,154,283
EL VILLAR,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,21,30,21,30,51
ENTRE RIOS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,59,77,59,77,136
ENTRE RIOS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,5,8,5,8,13
ESCARA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
EUCALIPTUS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,19,15,19,15,34
EXALTACION,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
FERNANDEZ ALONSO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,29,15,29,15,44
FILADELFIA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,6,2,6,2,8
GENERAL SAAVEDRA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,25,34,25,34,59
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,28,29,28,29,57
GUANAY,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,61,59,61,59,120
GUAQUI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,15,11,15,11,26
GUAYARAMERIN,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,377,449,377,449,826
GUTIERREZ,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,40,53,40,53,93
HUACARETA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,43,45,43,45,88
HUACAYA (VILLA DE HUACAYA),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,6,16,6,16,22
HUACHACALLA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,1,5,1,5,6
HUANUNI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,92,98,92,98,190
HUARACAJE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,11,9,11,9,20
HUAYLLAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,46,51,46,51,97
ICHOCA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,10,7,10,7,17
ICLA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,20,28,20,28,48
INCAHUASI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,15,41,15,41,56
INGAVI (HUMAITA),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,3,0,3,0,3
INQUISIVI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,40,27,40,27,67
IRUPANA (VILLA DE LANZA),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,39,48,39,48,87
IXIAMAS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,17,9,17,9,26
JESUS DE MACHACA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,51,60,51,60,111
LA ASUNTA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,37,13,37,13,50
LA GUARDIA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,26,22,26,22,48
LA PAZ,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,7307,8736,7307,8736,16043
LA RIVERA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
LAGUNILLAS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,20,29,20,29,49
LAJA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,22,18,22,18,40
LAS CARRERAS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,19,28,19,28,47
LICOMA PAMPA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,2,1,2,1,3
LLALLAGUA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,165,190,165,190,355
LLICA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,31,29,31,29,60
LORETO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,6,8,6,8,14
LURIBAY,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,37,31,37,31,68
MACHACAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,63,63,63,63,126
MACHARETI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,40,37,40,37,77
MAGDALENA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,33,30,33,30,63
MAIRANA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,35,66,35,66,101
MALLA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,0,4,0,4,4
MAPIRI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,54,56,54,56,110
MECAPACA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,22,38,22,38,60
MINEROS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,15,19,15,19,34
MIZQUE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,19,18,19,18,37
MOCOMOCO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,31,36,31,36,67
MOJINETE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,10,28,10,28,38
MOJOCOYA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,15,30,15,30,45
MONTEAGUDO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,148,195,148,195,343
MONTERO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,438,423,438,423,861
MORO MORO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,27,32,27,32,59
MOROCHATA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,10,18,10,18,28
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,0,3,0,3,3
NAZACARA DE PACAJES,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,2,1,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,3,0,3,0,3
OCURI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,18,46,18,46,64
OKINAWA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,77,66,77,66,143
OMEREQUE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,3,9,3,9,12
ORURO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,2335,2842,2335,2842,5177
PADCAYA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,78,101,78,101,179
PADILLA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,91,151,91,151,242
PAILON,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,14,15,14,15,29
PALCA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,18,18,18,18,36
PALOS BLANCOS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,39,22,39,22,61
PAMPA AULLAGAS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,2,5,2,5,7
PAMPA GRANDE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,31,52,31,52,83
PAPEL PAMPA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,32,15,32,15,47
PASORAPA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,3,6,3,6,9
PATACAMAYA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,24,23,24,23,47
PAZÑA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,35,55,35,55,90
PELECHUCO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,13,13,13,13,26
POCOATA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,72,109,72,109,181
POCONA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,11,26,11,26,37
POJO (CBBA),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,6,13,6,13,19
POOPO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,53,51,53,51,104
PORCO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,9,11,9,11,20
POROMA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,44,50,44,50,94
PORONGO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,15,12,15,12,27
PORTACHUELO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,103,94,103,94,197
PORVENIR,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,16,6,16,6,22
POSTRER VALLE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,29,12,29,12,41
POTOSI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,1233,1632,1233,1632,2865
PRESTO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,10,32,10,32,42
PUCARA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,15,67,15,67,82
PUCARANI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,35,40,35,40,75
PUERTO ACOSTA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,123,107,123,107,230
PUERTO CARABUCO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,56,48,56,48,104
PUERTO GONZALO MORENO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,29,4,29,4,33
PUERTO PEREZ,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,23,15,23,15,38
PUERTO QUIJARRO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,126,86,126,86,212
PUERTO RICO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,14,7,14,7,21
PUERTO SILES,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
PUERTO SUAREZ,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,149,144,149,144,293
PUERTO VILLARROEL,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,21,32,21,32,53
PUNA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,91,210,91,210,301
PUNATA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,91,339,91,339,430
QUIABAYA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,6,6,6,6,12
QUILLACOLLO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,364,469,364,469,833
QUIME,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,14,13,14,13,27
QUIRUSILLAS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,10,7,10,7,17
RAVELO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,29,55,29,55,84
REYES,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,109,110,109,110,219
RIBERALTA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,225,205,225,205,430
ROBORE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,37,22,37,22,59
RURRENABAQUE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,171,160,171,160,331
SABAYA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,15,25,15,25,40
SACABA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,133,161,133,161,294
SACABAMBA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,3,10,3,10,13
SACACA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,21,37,21,37,58
SAIPINA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,34,44,34,44,78
SALINAS DE GARCI MENDOZA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,20,27,20,27,47
SAMAIPATA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,76,91,76,91,167
SAN AGUSTIN,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,10,17,10,17,27
SAN ANDRES,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,15,12,15,12,27
SAN ANDRES DE MACHACA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,46,46,46,46,92
SAN ANTONIO DE ESMORUCO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,4,4,4,4,8
SAN ANTONIO DE LOMERIO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,14,13,14,13,27
SAN BENITO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,13,28,13,28,41
SAN BORJA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,94,95,94,95,189
SAN BUENA VENTURA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,5,12,5,12,17
SAN CARLOS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,86,77,86,77,163
SAN IGNACIO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,84,95,84,95,179
SAN IGNACIO DE VELASCO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,169,190,169,190,359
SAN JAVIER(BNI),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,3,3,3,3,6
SAN JAVIER(STC),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,12,7,12,7,19
SAN JOAQUIN,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,33,43,33,43,76
SAN JOSE DE CHIQUITOS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,146,92,146,92,238
SAN JUAN DE YAPACANI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,36,27,36,27,63
SAN JULIAN,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,69,60,69,60,129
SAN LORENZO(PND),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,16,11,16,11,27
SAN LORENZO(TJA),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,49,61,49,61,110
SAN LUCAS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,83,188,83,188,271
SAN MATIAS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,5,5,5,5,10
SAN MIGUEL DE VELASCO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,55,61,55,61,116
SAN PABLO DE LIPEZ,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,28,27,28,27,55
SAN PEDRO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,31,23,31,23,54
SAN PEDRO DE BUENA VISTA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,18,25,18,25,43
SAN PEDRO DE CURAHUARA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,9,13,9,13,22
SAN PEDRO DE QUEMES,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,16,20,16,20,36
SAN PEDRO(PND),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
SAN RAFAEL,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,9,10,9,10,19
SAN RAMON,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,64,82,64,82,146
SAN RAMON,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,21,13,21,13,34
SANTA ANA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,108,96,108,96,204
SANTA CRUZ DE LA SIERRA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,5446,8389,5446,8389,13835
SANTA ROSA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,16,10,16,10,26
SANTA ROSA DEL SARA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,41,40,41,40,81
SANTIAGO DE CALLAPA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,15,11,15,11,26
SANTIAGO DE HUARI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,49,50,49,50,99
SANTIAGO DE MACHACA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,15,8,15,8,23
SANTIVAÑES,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,18,47,18,47,65
SANTUARIO DE QUILLACAS,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,7,14,7,14,21
SAPAHAQUI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,49,28,49,28,77
SENA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,9,5,9,5,14
SICA SICA (VILLA AROMA),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,31,49,31,49,80
SICAYA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,0,2,0,2,2
SIPE SIPE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,20,33,20,33,53
SOPACHUY,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,13,23,13,23,36
SORACACHI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,9,5,9,5,14
SORATA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,39,61,39,61,100
SUCRE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,1940,2779,1940,2779,4719
TACACHI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,2,17,2,17,19
TACACOMA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,9,4,9,4,13
TACOBAMBA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,9,25,9,25,34
TACOPAYA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,14,40,14,40,54
TAHUA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,3,3,3,3,6
TAPACARI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,38,68,38,68,106
TARABUCO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,45,62,45,62,107
TARACO,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,7,16,7,16,23
TARATA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,9,15,9,15,24
TARIJA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,1392,1738,1392,1738,3130
TARVITA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,61,117,61,117,178
TEOPONTE,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,22,17,22,17,39
TIAWANACU,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,13,13,13,13,26
TINGUIPAYA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,28,44,28,44,72
TIPUANI,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,6,2,6,2,8
TIQUIPAYA,consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,8,16,8,16,24
TIRAQUE (CBBA),consulta externa,nuevas en personas de 60 anos o mas,2005-01-01,35,47,35,47,82
