municipality,group,variable,month,Repetidas en personas de 60 años o más -Hombre,Repetidas en personas de 60 años o más -Mujer,TOTAL-H,TOTAL-M,TOTAL
"CAIZA ""D""",consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,5,0,5,5
CAJUATA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,3,1,3,4
CALACOTO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,3,1,3,4
CALAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
CAMARGO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,9,20,9,20,29
CAMATAQUI (C. VILLA ABECIA),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,0,2,0,2
CAMIRI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,42,140,42,140,182
CAPINOTA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,8,4,8,12
CAQUIAVIRI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,2,0,2,2
CARACOLLO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,26,29,26,29,55
CARANAVI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,9,9,9,9,18
CARAPARI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,2,4,2,6
CHALLAPATA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,2,3,2,5
CHAQUI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,0,4,0,4
CHARAGUA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
CHARAÑA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
CHAYANTA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,18,2,18,20
CHIMORE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,6,5,6,5,11
CHULUMANI (V. DE LA LIBERTAD),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,42,26,42,26,68
CHUMA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,3,4,3,7
CLIZA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
COBIJA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,54,131,54,131,185
COCHABAMBA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3903,4936,3903,4936,8839
COLCAPIRHUA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,55,52,55,52,107
"COLCHA ""K""",consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,8,4,8,12
COLLANA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,1,2,1,3
COLOMI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,5,4,5,9
COLPA BELGICA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,47,9,47,9,56
COLQUECHACA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,10,2,10,2,12
COLQUENCHA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,0,2,0,2
COLQUIRI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,8,7,8,7,15
COMANCHE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
COMARAPA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,18,24,18,24,42
COMBAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,4,4,4,8
CONCEPCION,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,1,3,1,4
COPACABANA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,3,4,3,7
CORIPATA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,1,2,1,3
CORO CORO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
COROICO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,33,14,33,14,47
CORQUE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,6,5,6,5,11
COTAGAITA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,31,24,31,24,55
COTOCA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,14,10,14,10,24
CUATRO CAÑADAS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
CUEVO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
CULPINA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
CURAHUARA DE CARANGAS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,2,0,2,2
CURVA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
DESAGUADERO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
EL ALTO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,404,466,404,466,870
EL CHORO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,2,0,2,2
EL PUENTE(STC),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
EL PUENTE(TJA),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,3,1,3,4
EL TORNO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,44,54,44,54,98
EL VILLAR,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,3,2,3,5
ENTRE RIOS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
ENTRE RIOS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,5,4,5,9
EUCALIPTUS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,2,0,2,2
EXALTACION,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,1,2,1,3
FERNANDEZ ALONSO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,3,3,3,6
GENERAL SAAVEDRA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,3,3,3,6
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
GUANAY,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,9,4,9,4,13
GUAQUI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,1,2,1,3
GUAYARAMERIN,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,110,73,110,73,183
GUTIERREZ,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,43,29,43,29,72
HUACARETA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,3,3,3,6
HUACAYA (VILLA DE HUACAYA),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
HUANUNI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,60,50,60,50,110
HUARACAJE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,6,1,6,7
ICLA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
INCAHUASI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
INGAVI (HUMAITA),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,0,2,0,2
INQUISIVI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,7,2,7,2,9
IXIAMAS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
JESUS DE MACHACA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,7,3,7,10
LA GUARDIA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,5,6,5,6,11
LA PAZ,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,7572,10727,7572,10727,18299
LAGUNILLAS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
LAJA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,7,5,7,5,12
LAS CARRERAS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,9,3,9,12
LLALLAGUA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,37,48,37,48,85
LLICA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,2,3,2,5
LORETO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,3,2,3,5
LURIBAY,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,2,1,2,3
MACHACAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,39,46,39,46,85
MACHARETI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,5,0,5,0,5
MAGDALENA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,66,92,66,92,158
MAPIRI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,5,7,5,7,12
MECAPACA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,7,4,7,4,11
MINEROS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,0,2,0,2
MOCOMOCO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,3,2,3,5
MOJINETE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,7,2,7,2,9
MOJOCOYA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,2,1,2,3
MONTEAGUDO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,37,57,37,57,94
MONTERO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,410,506,410,506,916
MORO MORO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,2,3,2,5
MOROCHATA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,1,2,1,3
OKINAWA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,8,15,8,15,23
OMEREQUE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
ORURO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1164,1478,1164,1478,2642
PADCAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,8,4,8,4,12
PADILLA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,16,31,16,31,47
PALCA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,5,4,5,9
PALOS BLANCOS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,9,8,9,8,17
PAMPA AULLAGAS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
PAMPA GRANDE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,4,4,4,8
PAPEL PAMPA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,1,2,1,3
PASORAPA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,2,0,2,2
PAZÑA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,20,35,20,35,55
PELECHUCO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
POCOATA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,3,2,3,5
POCONA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,5,3,5,8
POOPO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,9,9,9,9,18
POROMA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,0,2,0,2
PORONGO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,3,3,3,6
PORTACHUELO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,13,30,13,30,43
POSTRER VALLE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
POTOSI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,766,872,766,872,1638
PUCARANI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,2,2,2,4
PUERTO ACOSTA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,33,13,33,13,46
PUERTO CARABUCO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,5,5,5,5,10
PUERTO GONZALO MORENO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,3,3,3,6
PUERTO PEREZ,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,7,0,7,0,7
PUERTO QUIJARRO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,42,37,42,37,79
PUERTO SILES,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
PUERTO SUAREZ,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,12,14,12,14,26
PUERTO VILLARROEL,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,7,2,7,9
PUNA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,10,2,10,2,12
PUNATA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,72,88,72,88,160
QUIABAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,2,4,2,6
QUILLACOLLO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,300,309,300,309,609
QUIME,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,1,3,1,4
QUIRUSILLAS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
REYES,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,70,46,70,46,116
RIBERALTA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,66,58,66,58,124
ROBORE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,18,12,18,12,30
RURRENABAQUE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,39,24,39,24,63
SABAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
SACABA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,79,90,79,90,169
SACABAMBA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,2,0,2,2
SACACA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
SAIPINA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,16,15,16,15,31
SALINAS DE GARCI MENDOZA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,17,3,17,3,20
SAMAIPATA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
SAN AGUSTIN,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
SAN ANDRES,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,6,3,6,9
SAN ANDRES DE MACHACA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,1,2,1,3
SAN ANTONIO DE ESMORUCO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,0,2,0,2
SAN BENITO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,5,0,5,5
SAN BORJA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,50,56,50,56,106
SAN CARLOS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,12,9,12,9,21
SAN IGNACIO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,28,38,28,38,66
SAN IGNACIO DE VELASCO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,48,59,48,59,107
SAN JAVIER(BNI),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
SAN JAVIER(STC),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
SAN JOAQUIN,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,18,18,18,18,36
SAN JOSE DE CHIQUITOS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,11,18,11,18,29
SAN JUAN DE YAPACANI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,5,7,5,7,12
SAN JULIAN,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,4,4,4,8
SAN LORENZO(PND),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
SAN LORENZO(TJA),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,7,14,7,14,21
SAN LUCAS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,11,2,11,13
SAN MATIAS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,1,3,1,4
SAN MIGUEL DE VELASCO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,38,37,38,37,75
SAN PABLO DE LIPEZ,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,6,3,6,9
SAN PEDRO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,0,2,0,2
SAN PEDRO DE CURAHUARA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,7,4,7,11
SAN PEDRO DE TIQUINA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,5,9,5,9,14
SAN RAFAEL,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,1,3,1,4
SAN RAMON,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,13,22,13,22,35
SAN RAMON,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
SANTA ANA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,100,95,100,95,195
SANTA CRUZ DE LA SIERRA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2158,2667,2158,2667,4825
SANTA ROSA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
SANTA ROSA DEL SARA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,6,1,6,1,7
SANTIAGO DE CALLAPA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,3,3,3,6
SANTIAGO DE HUARI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,5,6,5,6,11
SANTIAGO DE MACHACA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,3,0,3,3
SANTIVAÑES,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,12,2,12,14
SAPAHAQUI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,6,4,6,4,10
SENA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
SICA SICA (VILLA AROMA),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,6,1,6,7
SIPE SIPE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,14,14,14,14,28
SOPACHUY,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
SORACACHI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,1,3,1,4
SORATA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,3,1,3,4
SUCRE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,952,1416,952,1416,2368
TACACHI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,8,12,8,12,20
TACOBAMBA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
TACOPAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,2,1,2,3
TAHUA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
TARABUCO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,15,4,15,19
TARACO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
TARATA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,4,3,4,7
TARIJA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1127,1741,1127,1741,2868
TARVITA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,8,6,8,6,14
TEOPONTE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,1,3,1,4
TIAWANACU,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,3,2,3,5
TIPUANI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,0,3,0,3
TIQUIPAYA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,6,10,6,10,16
TIRAQUE (CBBA),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,4,3,4,7
TITO YUPANQUI (PARQUIPUJIO),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
TOCO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
TODOS SANTOS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
TOLATA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
TOLEDO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,3,1,3,4
TOMAVE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
TOMINA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,0,3,0,3
TORO TORO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,2,1,2,3
TOTORA(CBBA),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,9,5,9,5,14
TOTORA(ORR),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
TRIGAL,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
TRINIDAD,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,253,209,253,209,462
TUPIZA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,31,56,31,56,87
UNCIA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,23,52,23,52,75
URIONDO (A. CONCEPCION),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,0,4,0,4
UYUNI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,39,48,39,48,87
VACAS,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,8,3,8,3,11
VALLEGRANDE,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,97,148,97,148,245
VIACHA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,79,59,79,59,138
VILLA MONTES,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,17,22,17,22,39
VILLA RIVERO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,2,0,2,2
VILLA SERRANO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,2,0,2,2
VILLA TUNARI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,28,14,28,14,42
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,6,3,6,3,9
VILLAZON,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,50,64,50,64,114
VINTO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,2,3,2,5
VITICHI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,10,20,10,20,30
WALDO BALLIVIAN,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,1,1,1,2
WARNES,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,2,3,2,5
YACO,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,2,0,2,0,2
YACUIBA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,110,163,110,163,273
YANACACHI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,1,0,1,0,1
YAPACANI,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,3,1,3,1,4
YOCALLA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,1,0,1,1
YOTALA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,9,12,9,12,21
YUNCHARA,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,0,2,0,2,2
ZUDAÑEZ,consulta externa,repetidas en personas de 60 anos o mas,2005-01-01,4,2,4,2,6
ACACIO,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,2,2,2,2,4
ACHACACHI,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,22,24,22,24,46
ACHOCALLA,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,2,4,2,4,6
AIQUILE,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,28,36,28,36,64
ALCALA,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,0,4,0,4,4
ANCORAIMES,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,7,2,7,2,9
ANDAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,0,1,0,1,1
ANTEQUERA,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,0,1,0,1,1
ANZALDO,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,1,1,1,1,2
APOLO,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,3,2,3,2,5
ARAMPAMPA,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,0,1,0,1,1
ARANI,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,2,1,2,1,3
ARBIETO,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,6,5,6,5,11
ASCENCION DE GUARAYOS,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,1,0,1,0,1
ATOCHA,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,21,46,21,46,67
AUCAPATA,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,1,1,1,1,2
AYATA,consulta externa,repetidas en personas de 60 anos o mas,2005-02-01,1,2,1,2,3
