municipality,group,variable,month,Repetidas en menores de 5 años -Hombre,Repetidas en menores de 5 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
COLPA BELGICA,consulta externa,repetidas en menores de 5 anos,2005-01-01,52,29,52,29,81
COLQUECHACA,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,3,3,3,6
COLQUENCHA,consulta externa,repetidas en menores de 5 anos,2005-01-01,9,5,9,5,14
COLQUIRI,consulta externa,repetidas en menores de 5 anos,2005-01-01,18,21,18,21,39
COMARAPA,consulta externa,repetidas en menores de 5 anos,2005-01-01,24,29,24,29,53
COMBAYA,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,0,3,0,3
CONCEPCION,consulta externa,repetidas en menores de 5 anos,2005-01-01,16,12,16,12,28
COPACABANA,consulta externa,repetidas en menores de 5 anos,2005-01-01,9,4,9,4,13
CORIPATA,consulta externa,repetidas en menores de 5 anos,2005-01-01,5,3,5,3,8
COROICO,consulta externa,repetidas en menores de 5 anos,2005-01-01,25,21,25,21,46
CORQUE,consulta externa,repetidas en menores de 5 anos,2005-01-01,4,6,4,6,10
COTAGAITA,consulta externa,repetidas en menores de 5 anos,2005-01-01,25,26,25,26,51
COTOCA,consulta externa,repetidas en menores de 5 anos,2005-01-01,9,11,9,11,20
CUATRO CAÑADAS,consulta externa,repetidas en menores de 5 anos,2005-01-01,20,16,20,16,36
CUCHUMUELA (V. G. VILLARROEL),consulta externa,repetidas en menores de 5 anos,2005-01-01,3,0,3,0,3
CUEVO,consulta externa,repetidas en menores de 5 anos,2005-01-01,5,9,5,9,14
CULPINA,consulta externa,repetidas en menores de 5 anos,2005-01-01,6,7,6,7,13
CURAHUARA DE CARANGAS,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,4,1,4,5
DESAGUADERO,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,0,1,0,1
EL ALTO,consulta externa,repetidas en menores de 5 anos,2005-01-01,1860,1839,1860,1839,3699
EL CHORO,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,2,2,2,4
EL PUENTE(STC),consulta externa,repetidas en menores de 5 anos,2005-01-01,3,7,3,7,10
EL PUENTE(TJA),consulta externa,repetidas en menores de 5 anos,2005-01-01,20,22,20,22,42
EL TORNO,consulta externa,repetidas en menores de 5 anos,2005-01-01,87,82,87,82,169
EL VILLAR,consulta externa,repetidas en menores de 5 anos,2005-01-01,5,2,5,2,7
ENTRE RIOS,consulta externa,repetidas en menores de 5 anos,2005-01-01,5,7,5,7,12
ENTRE RIOS,consulta externa,repetidas en menores de 5 anos,2005-01-01,57,52,57,52,109
EUCALIPTUS,consulta externa,repetidas en menores de 5 anos,2005-01-01,16,10,16,10,26
EXALTACION,consulta externa,repetidas en menores de 5 anos,2005-01-01,6,7,6,7,13
FERNANDEZ ALONSO,consulta externa,repetidas en menores de 5 anos,2005-01-01,67,42,67,42,109
FILADELFIA,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,1,1,1,2
GENERAL SAAVEDRA,consulta externa,repetidas en menores de 5 anos,2005-01-01,28,25,28,25,53
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,repetidas en menores de 5 anos,2005-01-01,0,2,0,2,2
GUANAY,consulta externa,repetidas en menores de 5 anos,2005-01-01,43,52,43,52,95
GUAQUI,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,5,0,5,5
GUAYARAMERIN,consulta externa,repetidas en menores de 5 anos,2005-01-01,85,69,85,69,154
GUTIERREZ,consulta externa,repetidas en menores de 5 anos,2005-01-01,42,42,42,42,84
HUACARETA,consulta externa,repetidas en menores de 5 anos,2005-01-01,16,11,16,11,27
HUACAYA (VILLA DE HUACAYA),consulta externa,repetidas en menores de 5 anos,2005-01-01,2,0,2,0,2
HUANUNI,consulta externa,repetidas en menores de 5 anos,2005-01-01,73,68,73,68,141
HUARACAJE,consulta externa,repetidas en menores de 5 anos,2005-01-01,19,20,19,20,39
ICLA,consulta externa,repetidas en menores de 5 anos,2005-01-01,7,10,7,10,17
INCAHUASI,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,3,1,3,4
INGAVI (HUMAITA),consulta externa,repetidas en menores de 5 anos,2005-01-01,8,2,8,2,10
INQUISIVI,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,2,1,2,3
IRUPANA (VILLA DE LANZA),consulta externa,repetidas en menores de 5 anos,2005-01-01,3,5,3,5,8
IXIAMAS,consulta externa,repetidas en menores de 5 anos,2005-01-01,27,18,27,18,45
JESUS DE MACHACA,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,2,3,2,5
LA ASUNTA,consulta externa,repetidas en menores de 5 anos,2005-01-01,10,3,10,3,13
LA GUARDIA,consulta externa,repetidas en menores de 5 anos,2005-01-01,79,97,79,97,176
LA PAZ,consulta externa,repetidas en menores de 5 anos,2005-01-01,2879,2584,2879,2584,5463
LAGUNILLAS,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,7,3,7,10
LAJA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,7,2,7,9
LAS CARRERAS,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,3,1,3,4
LLALLAGUA,consulta externa,repetidas en menores de 5 anos,2005-01-01,10,10,10,10,20
LLICA,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,0,1,0,1
LORETO,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,4,2,4,6
LURIBAY,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,2,1,2,3
MACHACAMARCA,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,1,0,1,1
MACHARETI,consulta externa,repetidas en menores de 5 anos,2005-01-01,9,12,9,12,21
MAGDALENA,consulta externa,repetidas en menores de 5 anos,2005-01-01,23,26,23,26,49
MAIRANA,consulta externa,repetidas en menores de 5 anos,2005-01-01,6,4,6,4,10
MAPIRI,consulta externa,repetidas en menores de 5 anos,2005-01-01,7,9,7,9,16
MECAPACA,consulta externa,repetidas en menores de 5 anos,2005-01-01,15,11,15,11,26
MINEROS,consulta externa,repetidas en menores de 5 anos,2005-01-01,18,15,18,15,33
MIZQUE,consulta externa,repetidas en menores de 5 anos,2005-01-01,22,20,22,20,42
MOCOMOCO,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,1,1,1,2
MOJINETE,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,3,2,3,5
MOJOCOYA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,3,2,3,5
MONTEAGUDO,consulta externa,repetidas en menores de 5 anos,2005-01-01,23,22,23,22,45
MONTERO,consulta externa,repetidas en menores de 5 anos,2005-01-01,374,318,374,318,692
MORO MORO,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,1,0,1,1
MOROCHATA,consulta externa,repetidas en menores de 5 anos,2005-01-01,17,26,17,26,43
NAZACARA DE PACAJES,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,repetidas en menores de 5 anos,2005-01-01,7,6,7,6,13
OCURI,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,1,1,1,2
OKINAWA,consulta externa,repetidas en menores de 5 anos,2005-01-01,22,18,22,18,40
OMEREQUE,consulta externa,repetidas en menores de 5 anos,2005-01-01,18,18,18,18,36
ORURO,consulta externa,repetidas en menores de 5 anos,2005-01-01,510,460,510,460,970
PADCAYA,consulta externa,repetidas en menores de 5 anos,2005-01-01,10,13,10,13,23
PADILLA,consulta externa,repetidas en menores de 5 anos,2005-01-01,5,7,5,7,12
PAILON,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,1,3,1,4
PALCA,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,3,3,3,6
PALOS BLANCOS,consulta externa,repetidas en menores de 5 anos,2005-01-01,19,21,19,21,40
PAMPA AULLAGAS,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,1,3,1,4
PAMPA GRANDE,consulta externa,repetidas en menores de 5 anos,2005-01-01,6,17,6,17,23
PAPEL PAMPA,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,0,1,0,1
PATACAMAYA,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,6,3,6,9
PAZÑA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,1,2,1,3
PELECHUCO,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,1,2,1,3
POCOATA,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,8,3,8,11
POCONA,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,3,3,3,6
POJO (CBBA),consulta externa,repetidas en menores de 5 anos,2005-01-01,37,60,37,60,97
POOPO,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,1,0,1,1
PORCO,consulta externa,repetidas en menores de 5 anos,2005-01-01,4,2,4,2,6
POROMA,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,4,3,4,7
PORONGO,consulta externa,repetidas en menores de 5 anos,2005-01-01,24,23,24,23,47
PORTACHUELO,consulta externa,repetidas en menores de 5 anos,2005-01-01,57,33,57,33,90
POSTRER VALLE,consulta externa,repetidas en menores de 5 anos,2005-01-01,10,3,10,3,13
POTOSI,consulta externa,repetidas en menores de 5 anos,2005-01-01,384,261,384,261,645
PRESTO,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,2,1,2,3
PUCARANI,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,2,2,2,4
PUERTO ACOSTA,consulta externa,repetidas en menores de 5 anos,2005-01-01,10,6,10,6,16
PUERTO CARABUCO,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,1,1,1,2
PUERTO GONZALO MORENO,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,5,2,5,7
PUERTO PEREZ,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,2,3,2,5
PUERTO QUIJARRO,consulta externa,repetidas en menores de 5 anos,2005-01-01,37,21,37,21,58
PUERTO RICO,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,0,1,0,1
PUERTO SILES,consulta externa,repetidas en menores de 5 anos,2005-01-01,8,4,8,4,12
PUERTO SUAREZ,consulta externa,repetidas en menores de 5 anos,2005-01-01,12,11,12,11,23
PUERTO VILLARROEL,consulta externa,repetidas en menores de 5 anos,2005-01-01,57,59,57,59,116
PUNA,consulta externa,repetidas en menores de 5 anos,2005-01-01,8,6,8,6,14
PUNATA,consulta externa,repetidas en menores de 5 anos,2005-01-01,37,33,37,33,70
QUIABAYA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,0,2,0,2
QUILLACOLLO,consulta externa,repetidas en menores de 5 anos,2005-01-01,187,169,187,169,356
QUIME,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,2,2,2,4
QUIRUSILLAS,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,0,2,0,2
RAVELO,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,4,0,4,4
REYES,consulta externa,repetidas en menores de 5 anos,2005-01-01,30,39,30,39,69
RIBERALTA,consulta externa,repetidas en menores de 5 anos,2005-01-01,476,455,476,455,931
ROBORE,consulta externa,repetidas en menores de 5 anos,2005-01-01,27,25,27,25,52
RURRENABAQUE,consulta externa,repetidas en menores de 5 anos,2005-01-01,41,30,41,30,71
SABAYA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,3,2,3,5
SACABA,consulta externa,repetidas en menores de 5 anos,2005-01-01,154,153,154,153,307
SACABAMBA,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,1,0,1,1
SACACA,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,1,1,1,2
SAIPINA,consulta externa,repetidas en menores de 5 anos,2005-01-01,15,4,15,4,19
SALINAS DE GARCI MENDOZA,consulta externa,repetidas en menores de 5 anos,2005-01-01,8,4,8,4,12
SAMAIPATA,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,0,1,0,1
SAN AGUSTIN,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,0,1,0,1
SAN ANDRES,consulta externa,repetidas en menores de 5 anos,2005-01-01,15,21,15,21,36
SAN ANDRES DE MACHACA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,2,2,2,4
SAN ANTONIO DE ESMORUCO,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,1,1,1,2
SAN ANTONIO DE LOMERIO,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,2,1,2,3
SAN BENITO,consulta externa,repetidas en menores de 5 anos,2005-01-01,12,21,12,21,33
SAN BORJA,consulta externa,repetidas en menores de 5 anos,2005-01-01,108,79,108,79,187
SAN BUENA VENTURA,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,2,3,2,5
SAN CARLOS,consulta externa,repetidas en menores de 5 anos,2005-01-01,17,10,17,10,27
SAN IGNACIO,consulta externa,repetidas en menores de 5 anos,2005-01-01,155,125,155,125,280
SAN IGNACIO DE VELASCO,consulta externa,repetidas en menores de 5 anos,2005-01-01,42,46,42,46,88
SAN JAVIER(BNI),consulta externa,repetidas en menores de 5 anos,2005-01-01,4,7,4,7,11
SAN JAVIER(STC),consulta externa,repetidas en menores de 5 anos,2005-01-01,14,10,14,10,24
SAN JOAQUIN,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,11,3,11,14
SAN JOSE DE CHIQUITOS,consulta externa,repetidas en menores de 5 anos,2005-01-01,4,3,4,3,7
SAN JUAN DE YAPACANI,consulta externa,repetidas en menores de 5 anos,2005-01-01,13,16,13,16,29
SAN JULIAN,consulta externa,repetidas en menores de 5 anos,2005-01-01,69,62,69,62,131
SAN LORENZO(PND),consulta externa,repetidas en menores de 5 anos,2005-01-01,5,2,5,2,7
SAN LORENZO(TJA),consulta externa,repetidas en menores de 5 anos,2005-01-01,76,80,76,80,156
SAN LUCAS,consulta externa,repetidas en menores de 5 anos,2005-01-01,7,8,7,8,15
SAN MATIAS,consulta externa,repetidas en menores de 5 anos,2005-01-01,53,48,53,48,101
SAN MIGUEL DE VELASCO,consulta externa,repetidas en menores de 5 anos,2005-01-01,39,32,39,32,71
SAN PABLO DE LIPEZ,consulta externa,repetidas en menores de 5 anos,2005-01-01,4,2,4,2,6
SAN PEDRO,consulta externa,repetidas en menores de 5 anos,2005-01-01,51,61,51,61,112
SAN PEDRO DE BUENA VISTA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,0,2,0,2
SAN PEDRO DE CURAHUARA,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,3,0,3,3
SAN PEDRO DE TIQUINA,consulta externa,repetidas en menores de 5 anos,2005-01-01,6,2,6,2,8
SAN PEDRO(PND),consulta externa,repetidas en menores de 5 anos,2005-01-01,5,0,5,0,5
SAN RAFAEL,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,5,3,5,8
SAN RAMON,consulta externa,repetidas en menores de 5 anos,2005-01-01,19,15,19,15,34
SAN RAMON,consulta externa,repetidas en menores de 5 anos,2005-01-01,9,1,9,1,10
SANTA ANA,consulta externa,repetidas en menores de 5 anos,2005-01-01,52,36,52,36,88
SANTA CRUZ DE LA SIERRA,consulta externa,repetidas en menores de 5 anos,2005-01-01,3240,3430,3240,3430,6670
SANTA ROSA DEL SARA,consulta externa,repetidas en menores de 5 anos,2005-01-01,34,25,34,25,59
SANTIAGO DE CALLAPA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,8,2,8,10
SANTIAGO DE HUARI,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,0,2,0,2
SANTIVAÑES,consulta externa,repetidas en menores de 5 anos,2005-01-01,5,9,5,9,14
SAPAHAQUI,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,4,2,4,6
SENA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,5,2,5,7
SICA SICA (VILLA AROMA),consulta externa,repetidas en menores de 5 anos,2005-01-01,4,7,4,7,11
SICAYA,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,3,3,3,6
SIPE SIPE,consulta externa,repetidas en menores de 5 anos,2005-01-01,82,66,82,66,148
SOPACHUY,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,1,3,1,4
SORACACHI,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,3,2,3,5
SORATA,consulta externa,repetidas en menores de 5 anos,2005-01-01,6,2,6,2,8
SUCRE,consulta externa,repetidas en menores de 5 anos,2005-01-01,674,651,674,651,1325
TACACHI,consulta externa,repetidas en menores de 5 anos,2005-01-01,9,2,9,2,11
TACOBAMBA,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,1,0,1,1
TACOPAYA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,2,2,2,4
TAHUA,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,3,0,3,3
TAPACARI,consulta externa,repetidas en menores de 5 anos,2005-01-01,6,5,6,5,11
TARABUCO,consulta externa,repetidas en menores de 5 anos,2005-01-01,29,38,29,38,67
TARATA,consulta externa,repetidas en menores de 5 anos,2005-01-01,40,36,40,36,76
TARIJA,consulta externa,repetidas en menores de 5 anos,2005-01-01,711,704,711,704,1415
TARVITA,consulta externa,repetidas en menores de 5 anos,2005-01-01,13,5,13,5,18
TEOPONTE,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,0,1,0,1
TIAWANACU,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,3,0,3,3
TINGUIPAYA,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,3,0,3,3
TIPUANI,consulta externa,repetidas en menores de 5 anos,2005-01-01,6,12,6,12,18
TIQUIPAYA,consulta externa,repetidas en menores de 5 anos,2005-01-01,147,91,147,91,238
TIRAQUE (CBBA),consulta externa,repetidas en menores de 5 anos,2005-01-01,102,92,102,92,194
TITO YUPANQUI (PARQUIPUJIO),consulta externa,repetidas en menores de 5 anos,2005-01-01,1,1,1,1,2
TOLATA,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,0,1,0,1
TOLEDO,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,4,3,4,7
TOMAVE,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,1,1,1,2
TOMINA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,1,2,1,3
TORO TORO,consulta externa,repetidas en menores de 5 anos,2005-01-01,15,6,15,6,21
TOTORA(CBBA),consulta externa,repetidas en menores de 5 anos,2005-01-01,1,3,1,3,4
TOTORA(ORR),consulta externa,repetidas en menores de 5 anos,2005-01-01,1,1,1,1,2
TRIGAL,consulta externa,repetidas en menores de 5 anos,2005-01-01,0,1,0,1,1
TRINIDAD,consulta externa,repetidas en menores de 5 anos,2005-01-01,442,399,442,399,841
TUPIZA,consulta externa,repetidas en menores de 5 anos,2005-01-01,99,87,99,87,186
TURCO,consulta externa,repetidas en menores de 5 anos,2005-01-01,7,1,7,1,8
UNCIA,consulta externa,repetidas en menores de 5 anos,2005-01-01,8,22,8,22,30
URIONDO (A. CONCEPCION),consulta externa,repetidas en menores de 5 anos,2005-01-01,7,7,7,7,14
URUBICHA,consulta externa,repetidas en menores de 5 anos,2005-01-01,8,4,8,4,12
UYUNI,consulta externa,repetidas en menores de 5 anos,2005-01-01,8,7,8,7,15
VACAS,consulta externa,repetidas en menores de 5 anos,2005-01-01,19,20,19,20,39
VALLEGRANDE,consulta externa,repetidas en menores de 5 anos,2005-01-01,11,14,11,14,25
VIACHA,consulta externa,repetidas en menores de 5 anos,2005-01-01,40,44,40,44,84
VILA VILA,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,0,1,0,1
VILLA MONTES,consulta externa,repetidas en menores de 5 anos,2005-01-01,38,18,38,18,56
VILLA NUEVA (LOMA ALTA),consulta externa,repetidas en menores de 5 anos,2005-01-01,1,0,1,0,1
VILLA RIVERO,consulta externa,repetidas en menores de 5 anos,2005-01-01,18,17,18,17,35
VILLA SERRANO,consulta externa,repetidas en menores de 5 anos,2005-01-01,5,8,5,8,13
VILLA TUNARI,consulta externa,repetidas en menores de 5 anos,2005-01-01,74,68,74,68,142
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,repetidas en menores de 5 anos,2005-01-01,9,2,9,2,11
VILLAZON,consulta externa,repetidas en menores de 5 anos,2005-01-01,40,26,40,26,66
VINTO,consulta externa,repetidas en menores de 5 anos,2005-01-01,17,26,17,26,43
VITICHI,consulta externa,repetidas en menores de 5 anos,2005-01-01,13,4,13,4,17
WARNES,consulta externa,repetidas en menores de 5 anos,2005-01-01,21,24,21,24,45
YACO,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,1,1,1,2
YACUIBA,consulta externa,repetidas en menores de 5 anos,2005-01-01,150,156,150,156,306
YAMPARAEZ,consulta externa,repetidas en menores de 5 anos,2005-01-01,12,16,12,16,28
YANACACHI,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,3,1,3,4
YAPACANI,consulta externa,repetidas en menores de 5 anos,2005-01-01,55,54,55,54,109
YOCALLA,consulta externa,repetidas en menores de 5 anos,2005-01-01,1,4,1,4,5
YOTALA,consulta externa,repetidas en menores de 5 anos,2005-01-01,51,60,51,60,111
YUNCHARA,consulta externa,repetidas en menores de 5 anos,2005-01-01,2,0,2,0,2
ZUDAÑEZ,consulta externa,repetidas en menores de 5 anos,2005-01-01,3,3,3,3,6
ACACIO,consulta externa,repetidas en menores de 5 anos,2005-02-01,1,0,1,0,1
ACHACACHI,consulta externa,repetidas en menores de 5 anos,2005-02-01,14,6,14,6,20
ACHOCALLA,consulta externa,repetidas en menores de 5 anos,2005-02-01,5,4,5,4,9
AIQUILE,consulta externa,repetidas en menores de 5 anos,2005-02-01,58,53,58,53,111
ALCALA,consulta externa,repetidas en menores de 5 anos,2005-02-01,1,1,1,1,2
ANCORAIMES,consulta externa,repetidas en menores de 5 anos,2005-02-01,12,6,12,6,18
ANDAMARCA,consulta externa,repetidas en menores de 5 anos,2005-02-01,1,0,1,0,1
ANTEQUERA,consulta externa,repetidas en menores de 5 anos,2005-02-01,0,1,0,1,1
ANZALDO,consulta externa,repetidas en menores de 5 anos,2005-02-01,2,3,2,3,5
APOLO,consulta externa,repetidas en menores de 5 anos,2005-02-01,8,4,8,4,12
