,group,variable,month,TOTAL 22.2 N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL 22.2 N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
EL ALTO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,1957,1957
EL CHORO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
EL PUENTE(STC),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,19,19
EL PUENTE(TJA),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,20,20
EL TORNO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,159,159
EL VILLAR,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,8,8
ENTRE RIOS TRJ,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,34,34
ENTRE RIOS CBBA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,25,25
ESCOMA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,19,19
EUCALIPTUS,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,7,7
EUREKA (SANTOS MERCADO),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,6,6
FERNANDEZ ALONSO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,23,23
FILADELFIA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,5,5
GENERAL SAAVEDRA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,42,42
GRAL. J.J. PEREZ (CHARAZANI),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,5,5
GUANAY,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,27,27
GUAYARAMERIN,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,326,326
GUTIERREZ,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,23,23
HUACARETA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,8,8
HUACAYA (VILLA DE HUACAYA),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,8,8
HUACHACALLA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,5,5
HUANUNI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,69,69
HUARINA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,6,6
HUAYLLAMARCA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,6,6
ICLA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,12,12
INCAHUASI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,11,11
INGAVI (HUMAITA),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
INQUISIVI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,1,1
LA ASUNTA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,41,41
LA GUARDIA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,177,177
LA PAZ,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,2367,2367
LAGUNILLAS,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,11,11
LAS CARRERAS,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,12,12
LLALLAGUA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,156,156
MACHACAMARCA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,5,5
MACHARETI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,12,12
MAGDALENA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,8,8
MAIRANA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,35,35
MAPIRI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
MECAPACA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,5,5
MINEROS,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,88,88
MIZQUE,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,54,54
MONTEAGUDO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,41,41
MONTERO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,582,582
NUEVO MANOA (NUEVA ESPERANZA),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,8,8
ORURO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,954,954
PADCAYA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,29,29
PADILLA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,17,17
PAILON,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,16,16
PALOS BLANCOS,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,35,35
PAMPA GRANDE,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,28,28
PATACAMAYA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,50,50
PAZÑA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
POCONA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,1,1
POJO (CBBA),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,1,1
POOPO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,10,10
POROMA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,7,7
PORTACHUELO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,31,31
PORVENIR,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,24,24
POTOSI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,919,919
PRESTO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,19,19
PUERTO GONZALO MORENO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,6,6
PUERTO RICO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,18,18
PUERTO VILLARROEL,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,319,319
PUNA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,14,14
PUNATA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,107,107
QUILLACOLLO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,547,547
REYES,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,19,19
RIBERALTA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,559,559
ROBORE,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,54,54
RURRENABAQUE,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,35,35
SABAYA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,1,1
SACABA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,382,382
SACACA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,35,35
SAIPINA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,14,14
SALINAS DE GARCI MENDOZA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,6,6
SAMAIPATA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
SAN BENITO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,22,22
SAN BORJA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,27,27
SAN CARLOS,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,71,71
SAN IGNACIO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,51,51
SAN IGNACIO DE VELASCO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,139,139
SAN JAVIER(BNI),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,2,2
SAN JAVIER(STC),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,43,43
SAN JUAN DE YAPACANI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,20,20
SAN JULIAN,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,97,97
SAN LORENZO(PND),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,4,4
SAN LORENZO(TJA),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,18,18
SAN LUCAS,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,73,73
SAN MATIAS,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,52,52
SAN MIGUEL DE VELASCO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
SAN PEDRO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,29,29
SAN PEDRO DE BUENA VISTA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,9,9
SAN RAFAEL,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,14,14
SANTA ANA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,49,49
SANTA CRUZ DE LA SIERRA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,2632,2632
SANTA ROSA DEL SARA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,35,35
SANTIVAÑES,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,8,8
SENA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,15,15
SHINAOTA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,2,2
SIPE SIPE,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,57,57
SOPACHUY,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,16,16
SORACACHI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,4,4
SUCRE,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,659,659
TAPACARI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,6,6
TARABUCO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,26,26
TARIJA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,431,431
TARVITA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,23,23
TEOPONTE,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,6,6
TIAWANACU,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,1,1
TINGUIPAYA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
TIPUANI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,15,15
TIQUIPAYA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,171,171
TIRAQUE (CBBA),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,27,27
TOCO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,4,4
TOLATA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,5,5
TOMAVE,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,2,2
TOMINA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,13,13
TOTORA(CBBA),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,68,68
TOTORA(ORR),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
TRINIDAD,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,91,91
TUPIZA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
UNCIA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,16,16
URIONDO (A. CONCEPCION),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,4,4
URUBICHA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,37,37
UYUNI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,89,89
VACAS,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,7,7
VALLEGRANDE,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,3,3
VIACHA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,12,12
VILLA CHARCAS,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,19,19
VILLA MONTES,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,30,30
VILLA RIVERO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,9,9
VILLA SERRANO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,21,21
VILLA TUNARI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,295,295
VILLA VACA GUZMAN (MUYUPAMPA),vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,17,17
VILLAZON,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,32,32
VINTO,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,175,175
VITICHI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,13,13
WARNES,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,289,289
YACUIBA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,74,74
YAMPARAEZ,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,10,10
YAPACANI,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,147,147
YOTALA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,13,13
YUNCHARA,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,2,2
ZUDAÑEZ,vih,       n de mujeres embarazadas con prueba rapida,2014-01-01,0,12,12
ACACIO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,8,8
AIQUILE,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,42,42
ALCALA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,2,2
ANCORAIMES,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,4,4
ANZALDO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,5,5
APOLO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,2,2
ARBIETO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,19,19
ASCENCION DE GUARAYOS,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,67,67
ATOCHA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,17,17
AZURDUY,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,12,12
BERMEJO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,94,94
BETANZOS,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,52,52
BOLPEBRA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,4,4
BUENA VISTA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,12,12
CABEZAS,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,44,44
"CAIZA ""D""",vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,7,7
CAMARGO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,42,42
CAMATAQUI (C. VILLA ABECIA),vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,2,2
CAMIRI,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,177,177
CAPINOTA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,42,42
CARACOLLO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,28,28
CARANAVI,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,39,39
CARAPARI,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,26,26
CHALLAPATA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,80,80
CHARAGUA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,55,55
CHIMORE,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,24,24
CHULUMANI (V. DE LA LIBERTAD),vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,37,37
CHUMA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,9,9
CHUQUIHUTA AYLLU JUCUMANI,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,5,5
CLIZA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,72,72
COBIJA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,108,108
COCHABAMBA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,2181,2181
COIPASA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,3,3
COLCAPIRHUA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,95,95
COLPA BELGICA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,5,5
COLQUECHACA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,17,17
COLQUIRI,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,10,10
COMARAPA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,31,31
CONCEPCION,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,1,1
CORO CORO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,3,3
COROICO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,74,74
COTOCA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,116,116
CUEVO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,11,11
CULPINA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,33,33
DESAGUADERO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,11,11
EL ALTO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,1959,1959
EL CHORO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,1,1
EL PUENTE(STC),vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,22,22
EL PUENTE(TJA),vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,20,20
EL TORNO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,186,186
EL VILLAR,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,9,9
ENTRE RIOS TRJ,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,35,35
ENTRE RIOS CBBA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,50,50
ESCOMA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,17,17
EUCALIPTUS,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,8,8
FERNANDEZ ALONSO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,30,30
FILADELFIA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,10,10
GENERAL SAAVEDRA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,52,52
GRAL. J.J. PEREZ (CHARAZANI),vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,2,2
GUANAY,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,17,17
GUAYARAMERIN,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,231,231
GUTIERREZ,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,18,18
HUACARETA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,12,12
HUACAYA (VILLA DE HUACAYA),vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,4,4
HUACHACALLA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,1,1
HUANUNI,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,85,85
HUARACAJE,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,3,3
HUAYLLAMARCA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,6,6
ICLA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,19,19
INCAHUASI,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,21,21
INGAVI (HUMAITA),vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,3,3
INQUISIVI,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,2,2
IRUPANA (VILLA DE LANZA),vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,4,4
LA ASUNTA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,38,38
LA GUARDIA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,116,116
LA PAZ,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,2186,2186
LAGUNILLAS,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,10,10
LAS CARRERAS,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,7,7
LLALLAGUA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,175,175
MACHACAMARCA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,5,5
MACHARETI,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,5,5
MAGDALENA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,12,12
MAIRANA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,29,29
MIZQUE,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,36,36
MOJOCOYA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,6,6
MONTEAGUDO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,85,85
MONTERO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,520,520
NACEBE (SANTA ROSA DEL ABUNA),vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,3,3
NUEVO MANOA (NUEVA ESPERANZA),vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,5,5
OMEREQUE,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,1,1
ORURO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,970,970
PADCAYA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,11,11
PADILLA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,17,17
PAILON,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,89,89
PALOS BLANCOS,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,4,4
PAMPA GRANDE,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,30,30
PATACAMAYA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,32,32
PAZÑA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,11,11
POOPO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,11,11
PORCO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,5,5
POROMA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,12,12
PORTACHUELO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,61,61
PORVENIR,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,12,12
POTOSI,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,248,248
PRESTO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,11,11
PUCARA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,1,1
PUCARANI,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,19,19
PUERTO GONZALO MORENO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,12,12
PUERTO QUIJARRO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,50,50
PUERTO RICO,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,20,20
PUERTO VILLARROEL,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,262,262
PUNATA,vih,       n de mujeres embarazadas con prueba rapida,2014-02-01,0,121,121
