,group,variable,month,TOTAL 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
GUANAY,vih,       n de personas con prueba rapida,2014-01-01,3,1,4
GUAYARAMERIN,vih,       n de personas con prueba rapida,2014-01-01,146,303,449
GUTIERREZ,vih,       n de personas con prueba rapida,2014-01-01,5,2,7
HUACAYA (VILLA DE HUACAYA),vih,       n de personas con prueba rapida,2014-01-01,0,8,8
HUACHACALLA,vih,       n de personas con prueba rapida,2014-01-01,2,1,3
HUANUNI,vih,       n de personas con prueba rapida,2014-01-01,1,0,1
HUAYLLAMARCA,vih,       n de personas con prueba rapida,2014-01-01,1,0,1
INCAHUASI,vih,       n de personas con prueba rapida,2014-01-01,0,3,3
INGAVI (HUMAITA),vih,       n de personas con prueba rapida,2014-01-01,1,1,2
LA ASUNTA,vih,       n de personas con prueba rapida,2014-01-01,11,7,18
LA GUARDIA,vih,       n de personas con prueba rapida,2014-01-01,16,44,60
LA PAZ,vih,       n de personas con prueba rapida,2014-01-01,211,1918,2129
LAS CARRERAS,vih,       n de personas con prueba rapida,2014-01-01,1,1,2
LLALLAGUA,vih,       n de personas con prueba rapida,2014-01-01,14,172,186
MACHACAMARCA,vih,       n de personas con prueba rapida,2014-01-01,0,2,2
MACHARETI,vih,       n de personas con prueba rapida,2014-01-01,4,7,11
MAIRANA,vih,       n de personas con prueba rapida,2014-01-01,2,1,3
MAPIRI,vih,       n de personas con prueba rapida,2014-01-01,9,6,15
MINEROS,vih,       n de personas con prueba rapida,2014-01-01,1,0,1
MIZQUE,vih,       n de personas con prueba rapida,2014-01-01,6,63,69
MONTEAGUDO,vih,       n de personas con prueba rapida,2014-01-01,5,32,37
MONTERO,vih,       n de personas con prueba rapida,2014-01-01,39,134,173
NUEVO MANOA (NUEVA ESPERANZA),vih,       n de personas con prueba rapida,2014-01-01,14,18,32
ORURO,vih,       n de personas con prueba rapida,2014-01-01,47,311,358
PADCAYA,vih,       n de personas con prueba rapida,2014-01-01,1,29,30
PADILLA,vih,       n de personas con prueba rapida,2014-01-01,2,8,10
PAILON,vih,       n de personas con prueba rapida,2014-01-01,0,25,25
PALOS BLANCOS,vih,       n de personas con prueba rapida,2014-01-01,4,1,5
PAMPA GRANDE,vih,       n de personas con prueba rapida,2014-01-01,1,0,1
PATACAMAYA,vih,       n de personas con prueba rapida,2014-01-01,16,6,22
POCONA,vih,       n de personas con prueba rapida,2014-01-01,0,2,2
POJO (CBBA),vih,       n de personas con prueba rapida,2014-01-01,0,1,1
POROMA,vih,       n de personas con prueba rapida,2014-01-01,0,7,7
PORTACHUELO,vih,       n de personas con prueba rapida,2014-01-01,1,11,12
POTOSI,vih,       n de personas con prueba rapida,2014-01-01,51,139,190
PRESTO,vih,       n de personas con prueba rapida,2014-01-01,0,6,6
PUERTO GONZALO MORENO,vih,       n de personas con prueba rapida,2014-01-01,17,44,61
PUERTO QUIJARRO,vih,       n de personas con prueba rapida,2014-01-01,0,1,1
PUERTO RICO,vih,       n de personas con prueba rapida,2014-01-01,2,31,33
PUERTO VILLARROEL,vih,       n de personas con prueba rapida,2014-01-01,12,34,46
PUNA,vih,       n de personas con prueba rapida,2014-01-01,3,2,5
PUNATA,vih,       n de personas con prueba rapida,2014-01-01,8,139,147
REYES,vih,       n de personas con prueba rapida,2014-01-01,1,19,20
RIBERALTA,vih,       n de personas con prueba rapida,2014-01-01,5,8,13
ROBORE,vih,       n de personas con prueba rapida,2014-01-01,1,0,1
RURRENABAQUE,vih,       n de personas con prueba rapida,2014-01-01,0,36,36
SACABA,vih,       n de personas con prueba rapida,2014-01-01,8,112,120
SACACA,vih,       n de personas con prueba rapida,2014-01-01,1,8,9
SAIPINA,vih,       n de personas con prueba rapida,2014-01-01,1,0,1
SAMAIPATA,vih,       n de personas con prueba rapida,2014-01-01,1,0,1
SAN BENITO,vih,       n de personas con prueba rapida,2014-01-01,0,24,24
SAN BORJA,vih,       n de personas con prueba rapida,2014-01-01,2,11,13
SAN CARLOS,vih,       n de personas con prueba rapida,2014-01-01,8,5,13
SAN IGNACIO,vih,       n de personas con prueba rapida,2014-01-01,2,46,48
SAN IGNACIO DE VELASCO,vih,       n de personas con prueba rapida,2014-01-01,16,160,176
SAN JAVIER(STC),vih,       n de personas con prueba rapida,2014-01-01,1,43,44
SAN JUAN DE YAPACANI,vih,       n de personas con prueba rapida,2014-01-01,3,21,24
SAN JULIAN,vih,       n de personas con prueba rapida,2014-01-01,9,40,49
SAN LORENZO(PND),vih,       n de personas con prueba rapida,2014-01-01,0,4,4
SAN LUCAS,vih,       n de personas con prueba rapida,2014-01-01,3,3,6
SAN MATIAS,vih,       n de personas con prueba rapida,2014-01-01,2,53,55
SAN MIGUEL DE VELASCO,vih,       n de personas con prueba rapida,2014-01-01,1,0,1
SAN PEDRO,vih,       n de personas con prueba rapida,2014-01-01,2,14,16
SANTA CRUZ DE LA SIERRA,vih,       n de personas con prueba rapida,2014-01-01,254,1924,2178
SANTA ROSA DEL SARA,vih,       n de personas con prueba rapida,2014-01-01,0,3,3
SANTIVAÑES,vih,       n de personas con prueba rapida,2014-01-01,0,8,8
SENA,vih,       n de personas con prueba rapida,2014-01-01,0,29,29
SHINAOTA,vih,       n de personas con prueba rapida,2014-01-01,58,6,64
SIPE SIPE,vih,       n de personas con prueba rapida,2014-01-01,6,0,6
SOPACHUY,vih,       n de personas con prueba rapida,2014-01-01,2,8,10
SUCRE,vih,       n de personas con prueba rapida,2014-01-01,75,123,198
TAPACARI,vih,       n de personas con prueba rapida,2014-01-01,2,6,8
TARABUCO,vih,       n de personas con prueba rapida,2014-01-01,6,8,14
TARIJA,vih,       n de personas con prueba rapida,2014-01-01,55,131,186
TARVITA,vih,       n de personas con prueba rapida,2014-01-01,4,13,17
TEOPONTE,vih,       n de personas con prueba rapida,2014-01-01,0,7,7
TIPUANI,vih,       n de personas con prueba rapida,2014-01-01,5,2,7
TIQUIPAYA,vih,       n de personas con prueba rapida,2014-01-01,23,58,81
TOCO,vih,       n de personas con prueba rapida,2014-01-01,0,1,1
TOLATA,vih,       n de personas con prueba rapida,2014-01-01,0,2,2
TOTORA(CBBA),vih,       n de personas con prueba rapida,2014-01-01,0,68,68
TOTORA(ORR),vih,       n de personas con prueba rapida,2014-01-01,0,2,2
TRINIDAD,vih,       n de personas con prueba rapida,2014-01-01,36,105,141
UNCIA,vih,       n de personas con prueba rapida,2014-01-01,4,1,5
URUBICHA,vih,       n de personas con prueba rapida,2014-01-01,48,32,80
UYUNI,vih,       n de personas con prueba rapida,2014-01-01,0,75,75
VALLEGRANDE,vih,       n de personas con prueba rapida,2014-01-01,0,7,7
VIACHA,vih,       n de personas con prueba rapida,2014-01-01,0,14,14
VILLA CHARCAS,vih,       n de personas con prueba rapida,2014-01-01,3,27,30
VILLA MONTES,vih,       n de personas con prueba rapida,2014-01-01,22,31,53
VILLA RIVERO,vih,       n de personas con prueba rapida,2014-01-01,0,9,9
VILLA SERRANO,vih,       n de personas con prueba rapida,2014-01-01,6,21,27
VILLA TUNARI,vih,       n de personas con prueba rapida,2014-01-01,22,276,298
VILLA VACA GUZMAN (MUYUPAMPA),vih,       n de personas con prueba rapida,2014-01-01,3,32,35
VILLAZON,vih,       n de personas con prueba rapida,2014-01-01,12,31,43
VINTO,vih,       n de personas con prueba rapida,2014-01-01,0,4,4
WARNES,vih,       n de personas con prueba rapida,2014-01-01,17,29,46
YACUIBA,vih,       n de personas con prueba rapida,2014-01-01,16,91,107
YAMPARAEZ,vih,       n de personas con prueba rapida,2014-01-01,1,5,6
YAPACANI,vih,       n de personas con prueba rapida,2014-01-01,5,166,171
YOTALA,vih,       n de personas con prueba rapida,2014-01-01,0,1,1
YUNCHARA,vih,       n de personas con prueba rapida,2014-01-01,5,3,8
ZUDAÑEZ,vih,       n de personas con prueba rapida,2014-01-01,2,2,4
AIQUILE,vih,       n de personas con prueba rapida,2014-02-01,3,5,8
ALCALA,vih,       n de personas con prueba rapida,2014-02-01,8,52,60
ANCORAIMES,vih,       n de personas con prueba rapida,2014-02-01,0,1,1
ARQUE,vih,       n de personas con prueba rapida,2014-02-01,4,6,10
ASCENCION DE GUARAYOS,vih,       n de personas con prueba rapida,2014-02-01,52,193,245
AYOPAYA (V. DE INDEPENDENCIA),vih,       n de personas con prueba rapida,2014-02-01,1,12,13
AZURDUY,vih,       n de personas con prueba rapida,2014-02-01,0,12,12
BERMEJO,vih,       n de personas con prueba rapida,2014-02-01,1,19,20
BETANZOS,vih,       n de personas con prueba rapida,2014-02-01,0,52,52
BOLPEBRA,vih,       n de personas con prueba rapida,2014-02-01,1,6,7
BUENA VISTA,vih,       n de personas con prueba rapida,2014-02-01,1,1,2
CABEZAS,vih,       n de personas con prueba rapida,2014-02-01,7,19,26
"CAIZA ""D""",vih,       n de personas con prueba rapida,2014-02-01,5,4,9
CAMARGO,vih,       n de personas con prueba rapida,2014-02-01,0,39,39
CAMATAQUI (C. VILLA ABECIA),vih,       n de personas con prueba rapida,2014-02-01,0,8,8
CAMIRI,vih,       n de personas con prueba rapida,2014-02-01,54,147,201
CAPINOTA,vih,       n de personas con prueba rapida,2014-02-01,4,50,54
CARACOLLO,vih,       n de personas con prueba rapida,2014-02-01,0,13,13
CARANAVI,vih,       n de personas con prueba rapida,2014-02-01,6,6,12
CARAPARI,vih,       n de personas con prueba rapida,2014-02-01,3,24,27
CHALLAPATA,vih,       n de personas con prueba rapida,2014-02-01,12,109,121
CHIMORE,vih,       n de personas con prueba rapida,2014-02-01,17,27,44
CHUMA,vih,       n de personas con prueba rapida,2014-02-01,12,6,18
CHUQUIHUTA AYLLU JUCUMANI,vih,       n de personas con prueba rapida,2014-02-01,0,5,5
CLIZA,vih,       n de personas con prueba rapida,2014-02-01,4,6,10
COBIJA,vih,       n de personas con prueba rapida,2014-02-01,29,48,77
COCHABAMBA,vih,       n de personas con prueba rapida,2014-02-01,58,392,450
COIPASA,vih,       n de personas con prueba rapida,2014-02-01,0,3,3
COLPA BELGICA,vih,       n de personas con prueba rapida,2014-02-01,0,1,1
COLQUIRI,vih,       n de personas con prueba rapida,2014-02-01,6,10,16
COMARAPA,vih,       n de personas con prueba rapida,2014-02-01,2,6,8
CONCEPCION,vih,       n de personas con prueba rapida,2014-02-01,0,1,1
CORO CORO,vih,       n de personas con prueba rapida,2014-02-01,1,3,4
COROICO,vih,       n de personas con prueba rapida,2014-02-01,3,1,4
COTOCA,vih,       n de personas con prueba rapida,2014-02-01,1,5,6
CUEVO,vih,       n de personas con prueba rapida,2014-02-01,1,0,1
CULPINA,vih,       n de personas con prueba rapida,2014-02-01,20,41,61
DESAGUADERO,vih,       n de personas con prueba rapida,2014-02-01,3,21,24
EL ALTO,vih,       n de personas con prueba rapida,2014-02-01,355,1871,2226
EL PUENTE(STC),vih,       n de personas con prueba rapida,2014-02-01,30,52,82
EL PUENTE(TJA),vih,       n de personas con prueba rapida,2014-02-01,1,3,4
EL TORNO,vih,       n de personas con prueba rapida,2014-02-01,47,185,232
ENTRE RIOS TRJ,vih,       n de personas con prueba rapida,2014-02-01,0,46,46
ENTRE RIOS CBBA,vih,       n de personas con prueba rapida,2014-02-01,1,10,11
EUREKA (SANTOS MERCADO),vih,       n de personas con prueba rapida,2014-02-01,5,4,9
FERNANDEZ ALONSO,vih,       n de personas con prueba rapida,2014-02-01,8,60,68
FILADELFIA,vih,       n de personas con prueba rapida,2014-02-01,27,34,61
GENERAL SAAVEDRA,vih,       n de personas con prueba rapida,2014-02-01,0,52,52
GUANAY,vih,       n de personas con prueba rapida,2014-02-01,2,1,3
GUAYARAMERIN,vih,       n de personas con prueba rapida,2014-02-01,304,266,570
GUTIERREZ,vih,       n de personas con prueba rapida,2014-02-01,0,8,8
HUACARETA,vih,       n de personas con prueba rapida,2014-02-01,1,6,7
HUACAYA (VILLA DE HUACAYA),vih,       n de personas con prueba rapida,2014-02-01,0,4,4
HUACHACALLA,vih,       n de personas con prueba rapida,2014-02-01,0,1,1
HUANUNI,vih,       n de personas con prueba rapida,2014-02-01,1,1,2
ICLA,vih,       n de personas con prueba rapida,2014-02-01,2,0,2
INCAHUASI,vih,       n de personas con prueba rapida,2014-02-01,0,6,6
INGAVI (HUMAITA),vih,       n de personas con prueba rapida,2014-02-01,0,3,3
INQUISIVI,vih,       n de personas con prueba rapida,2014-02-01,1,0,1
LA ASUNTA,vih,       n de personas con prueba rapida,2014-02-01,3,3,6
LA GUARDIA,vih,       n de personas con prueba rapida,2014-02-01,11,30,41
LA PAZ,vih,       n de personas con prueba rapida,2014-02-01,376,1895,2271
LAS CARRERAS,vih,       n de personas con prueba rapida,2014-02-01,0,1,1
LLALLAGUA,vih,       n de personas con prueba rapida,2014-02-01,0,180,180
MACHACAMARCA,vih,       n de personas con prueba rapida,2014-02-01,0,2,2
MACHARETI,vih,       n de personas con prueba rapida,2014-02-01,6,29,35
MAIRANA,vih,       n de personas con prueba rapida,2014-02-01,0,10,10
MIZQUE,vih,       n de personas con prueba rapida,2014-02-01,7,53,60
MONTEAGUDO,vih,       n de personas con prueba rapida,2014-02-01,5,27,32
MONTERO,vih,       n de personas con prueba rapida,2014-02-01,402,305,707
NACEBE (SANTA ROSA DEL ABUNA),vih,       n de personas con prueba rapida,2014-02-01,2,11,13
NUEVO MANOA (NUEVA ESPERANZA),vih,       n de personas con prueba rapida,2014-02-01,6,15,21
ORURO,vih,       n de personas con prueba rapida,2014-02-01,177,381,558
PADCAYA,vih,       n de personas con prueba rapida,2014-02-01,0,11,11
PADILLA,vih,       n de personas con prueba rapida,2014-02-01,2,8,10
PAILON,vih,       n de personas con prueba rapida,2014-02-01,5,98,103
PAMPA GRANDE,vih,       n de personas con prueba rapida,2014-02-01,0,1,1
PATACAMAYA,vih,       n de personas con prueba rapida,2014-02-01,7,4,11
PAZÑA,vih,       n de personas con prueba rapida,2014-02-01,3,0,3
PORCO,vih,       n de personas con prueba rapida,2014-02-01,4,13,17
POROMA,vih,       n de personas con prueba rapida,2014-02-01,0,12,12
PORTACHUELO,vih,       n de personas con prueba rapida,2014-02-01,6,11,17
PORVENIR,vih,       n de personas con prueba rapida,2014-02-01,1,5,6
POTOSI,vih,       n de personas con prueba rapida,2014-02-01,55,103,158
PRESTO,vih,       n de personas con prueba rapida,2014-02-01,1,3,4
PUCARANI,vih,       n de personas con prueba rapida,2014-02-01,0,22,22
PUERTO GONZALO MORENO,vih,       n de personas con prueba rapida,2014-02-01,36,65,101
PUERTO QUIJARRO,vih,       n de personas con prueba rapida,2014-02-01,4,13,17
PUERTO RICO,vih,       n de personas con prueba rapida,2014-02-01,1,27,28
PUERTO VILLARROEL,vih,       n de personas con prueba rapida,2014-02-01,10,35,45
PUNATA,vih,       n de personas con prueba rapida,2014-02-01,7,129,136
QUILLACOLLO,vih,       n de personas con prueba rapida,2014-02-01,1,0,1
QUIME,vih,       n de personas con prueba rapida,2014-02-01,6,8,14
REYES,vih,       n de personas con prueba rapida,2014-02-01,0,12,12
RIBERALTA,vih,       n de personas con prueba rapida,2014-02-01,14,28,42
ROBORE,vih,       n de personas con prueba rapida,2014-02-01,6,3,9
RURRENABAQUE,vih,       n de personas con prueba rapida,2014-02-01,0,57,57
SACABA,vih,       n de personas con prueba rapida,2014-02-01,7,86,93
SACACA,vih,       n de personas con prueba rapida,2014-02-01,0,1,1
SALINAS DE GARCI MENDOZA,vih,       n de personas con prueba rapida,2014-02-01,0,3,3
SAMAIPATA,vih,       n de personas con prueba rapida,2014-02-01,1,0,1
SAN BENITO,vih,       n de personas con prueba rapida,2014-02-01,2,17,19
SAN BORJA,vih,       n de personas con prueba rapida,2014-02-01,0,21,21
SAN CARLOS,vih,       n de personas con prueba rapida,2014-02-01,10,7,17
SAN IGNACIO,vih,       n de personas con prueba rapida,2014-02-01,3,25,28
SAN IGNACIO DE VELASCO,vih,       n de personas con prueba rapida,2014-02-01,18,167,185
SAN JAVIER(BNI),vih,       n de personas con prueba rapida,2014-02-01,0,2,2
SAN JAVIER(STC),vih,       n de personas con prueba rapida,2014-02-01,2,28,30
SAN JOSE DE CHIQUITOS,vih,       n de personas con prueba rapida,2014-02-01,5,55,60
SAN JULIAN,vih,       n de personas con prueba rapida,2014-02-01,3,56,59
SAN LORENZO(PND),vih,       n de personas con prueba rapida,2014-02-01,0,7,7
SAN LORENZO(TJA),vih,       n de personas con prueba rapida,2014-02-01,3,1,4
SAN LUCAS,vih,       n de personas con prueba rapida,2014-02-01,0,8,8
SAN MATIAS,vih,       n de personas con prueba rapida,2014-02-01,1,38,39
SAN PEDRO,vih,       n de personas con prueba rapida,2014-02-01,5,13,18
SAN RAFAEL,vih,       n de personas con prueba rapida,2014-02-01,1,0,1
SANTA ANA,vih,       n de personas con prueba rapida,2014-02-01,1,2,3
SANTA CRUZ DE LA SIERRA,vih,       n de personas con prueba rapida,2014-02-01,215,2106,2321
SANTA ROSA DEL SARA,vih,       n de personas con prueba rapida,2014-02-01,0,1,1
SANTIVAÑES,vih,       n de personas con prueba rapida,2014-02-01,0,10,10
SENA,vih,       n de personas con prueba rapida,2014-02-01,0,6,6
SHINAOTA,vih,       n de personas con prueba rapida,2014-02-01,31,31,62
SICAYA,vih,       n de personas con prueba rapida,2014-02-01,5,6,11
SIPE SIPE,vih,       n de personas con prueba rapida,2014-02-01,1,42,43
SOPACHUY,vih,       n de personas con prueba rapida,2014-02-01,3,7,10
SUCRE,vih,       n de personas con prueba rapida,2014-02-01,156,160,316
TAPACARI,vih,       n de personas con prueba rapida,2014-02-01,8,5,13
TARABUCO,vih,       n de personas con prueba rapida,2014-02-01,0,1,1
TARATA,vih,       n de personas con prueba rapida,2014-02-01,0,13,13
TARIJA,vih,       n de personas con prueba rapida,2014-02-01,71,122,193
TARVITA,vih,       n de personas con prueba rapida,2014-02-01,3,11,14
TEOPONTE,vih,       n de personas con prueba rapida,2014-02-01,5,15,20
TIPUANI,vih,       n de personas con prueba rapida,2014-02-01,0,1,1
TIQUIPAYA,vih,       n de personas con prueba rapida,2014-02-01,57,75,132
TOLATA,vih,       n de personas con prueba rapida,2014-02-01,0,1,1
TOTORA(CBBA),vih,       n de personas con prueba rapida,2014-02-01,1,66,67
TOTORA(ORR),vih,       n de personas con prueba rapida,2014-02-01,1,1,2
TRINIDAD,vih,       n de personas con prueba rapida,2014-02-01,135,123,258
UNCIA,vih,       n de personas con prueba rapida,2014-02-01,1,0,1
URUBICHA,vih,       n de personas con prueba rapida,2014-02-01,18,28,46
UYUNI,vih,       n de personas con prueba rapida,2014-02-01,1,57,58
VALLEGRANDE,vih,       n de personas con prueba rapida,2014-02-01,0,4,4
VIACHA,vih,       n de personas con prueba rapida,2014-02-01,10,16,26
VILLA CHARCAS,vih,       n de personas con prueba rapida,2014-02-01,1,37,38
VILLA MONTES,vih,       n de personas con prueba rapida,2014-02-01,19,46,65
VILLA RIVERO,vih,       n de personas con prueba rapida,2014-02-01,4,12,16
VILLA SERRANO,vih,       n de personas con prueba rapida,2014-02-01,5,88,93
VILLA TUNARI,vih,       n de personas con prueba rapida,2014-02-01,69,294,363
VILLA VACA GUZMAN (MUYUPAMPA),vih,       n de personas con prueba rapida,2014-02-01,4,27,31
VILLAZON,vih,       n de personas con prueba rapida,2014-02-01,9,76,85
VINTO,vih,       n de personas con prueba rapida,2014-02-01,0,7,7
WARNES,vih,       n de personas con prueba rapida,2014-02-01,13,15,28
YACUIBA,vih,       n de personas con prueba rapida,2014-02-01,27,71,98
YAMPARAEZ,vih,       n de personas con prueba rapida,2014-02-01,0,12,12
YAPACANI,vih,       n de personas con prueba rapida,2014-02-01,2,6,8
YUNCHARA,vih,       n de personas con prueba rapida,2014-02-01,4,10,14
ZUDAÑEZ,vih,       n de personas con prueba rapida,2014-02-01,10,16,26
ACHACACHI,vih,       n de personas con prueba rapida,2014-03-01,2,5,7
AIQUILE,vih,       n de personas con prueba rapida,2014-03-01,2,12,14
ALCALA,vih,       n de personas con prueba rapida,2014-03-01,1,0,1
ARAMPAMPA,vih,       n de personas con prueba rapida,2014-03-01,6,17,23
ARANI,vih,       n de personas con prueba rapida,2014-03-01,0,5,5
ARBIETO,vih,       n de personas con prueba rapida,2014-03-01,3,38,41
ARQUE,vih,       n de personas con prueba rapida,2014-03-01,52,50,102
ASCENCION DE GUARAYOS,vih,       n de personas con prueba rapida,2014-03-01,37,109,146
ATOCHA,vih,       n de personas con prueba rapida,2014-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vih,       n de personas con prueba rapida,2014-03-01,0,1,1
AZURDUY,vih,       n de personas con prueba rapida,2014-03-01,0,31,31
BATALLAS,vih,       n de personas con prueba rapida,2014-03-01,1,0,1
BELEN DE ANDAMARCA,vih,       n de personas con prueba rapida,2014-03-01,0,2,2
BELLA FLOR,vih,       n de personas con prueba rapida,2014-03-01,1,1,2
BERMEJO,vih,       n de personas con prueba rapida,2014-03-01,4,30,34
BETANZOS,vih,       n de personas con prueba rapida,2014-03-01,0,39,39
BOLPEBRA,vih,       n de personas con prueba rapida,2014-03-01,0,4,4
BUENA VISTA,vih,       n de personas con prueba rapida,2014-03-01,0,2,2
CABEZAS,vih,       n de personas con prueba rapida,2014-03-01,4,16,20
"CAIZA ""D""",vih,       n de personas con prueba rapida,2014-03-01,0,11,11
CAMARGO,vih,       n de personas con prueba rapida,2014-03-01,2,18,20
CAMATAQUI (C. VILLA ABECIA),vih,       n de personas con prueba rapida,2014-03-01,1,9,10
CAMIRI,vih,       n de personas con prueba rapida,2014-03-01,0,4,4
CAPINOTA,vih,       n de personas con prueba rapida,2014-03-01,4,60,64
CARACOLLO,vih,       n de personas con prueba rapida,2014-03-01,8,15,23
CARANAVI,vih,       n de personas con prueba rapida,2014-03-01,34,64,98
CARAPARI,vih,       n de personas con prueba rapida,2014-03-01,1,19,20
CHALLAPATA,vih,       n de personas con prueba rapida,2014-03-01,2,55,57
CHARAGUA,vih,       n de personas con prueba rapida,2014-03-01,2,1,3
CHIMORE,vih,       n de personas con prueba rapida,2014-03-01,5,4,9
CHUMA,vih,       n de personas con prueba rapida,2014-03-01,1,0,1
CLIZA,vih,       n de personas con prueba rapida,2014-03-01,0,6,6
COBIJA,vih,       n de personas con prueba rapida,2014-03-01,8,46,54
COCHABAMBA,vih,       n de personas con prueba rapida,2014-03-01,125,553,678
COMARAPA,vih,       n de personas con prueba rapida,2014-03-01,0,32,32
CONCEPCION,vih,       n de personas con prueba rapida,2014-03-01,0,1,1
CORO CORO,vih,       n de personas con prueba rapida,2014-03-01,3,6,9
COROICO,vih,       n de personas con prueba rapida,2014-03-01,4,2,6
COTOCA,vih,       n de personas con prueba rapida,2014-03-01,4,3,7
CULPINA,vih,       n de personas con prueba rapida,2014-03-01,5,19,24
DESAGUADERO,vih,       n de personas con prueba rapida,2014-03-01,2,4,6
EL ALTO,vih,       n de personas con prueba rapida,2014-03-01,389,1833,2222
EL PUENTE(STC),vih,       n de personas con prueba rapida,2014-03-01,50,56,106
EL TORNO,vih,       n de personas con prueba rapida,2014-03-01,153,153,306
EL VILLAR,vih,       n de personas con prueba rapida,2014-03-01,1,0,1
ENTRE RIOS TRJ,vih,       n de personas con prueba rapida,2014-03-01,4,28,32
ENTRE RIOS CBBA,vih,       n de personas con prueba rapida,2014-03-01,8,28,36
EUCALIPTUS,vih,       n de personas con prueba rapida,2014-03-01,1,16,17
