,group,variable,month,TOTAL 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTAL 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
CUEVO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,7.0,7.0
CULPINA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,3.0,30.0,33.0
DESAGUADERO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,2.0,20.0,22.0
EL ALTO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,311.0,1888.0,2199.0
EL CHORO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,3.0,4.0
EL PUENTE(STC),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,19.0,57.0,76.0
EL PUENTE(TJA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,21.0,21.0
EL TORNO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,34.0,258.0,292.0
EL VILLAR,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,4.0,4.0
ENTRE RIOS TRJ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,2.0,4.0,6.0
ENTRE RIOS CBBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,3.0,42.0,45.0
ESCOMA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,20.0,21.0
EUREKA (SANTOS MERCADO),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,10.0,10.0
FERNANDEZ ALONSO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,6.0,129.0,135.0
FILADELFIA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,5.0,6.0
GENERAL SAAVEDRA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,43.0,43.0
GRAL. J.J. PEREZ (CHARAZANI),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,6.0,6.0
GUANAY,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,4.0,27.0,31.0
GUAYARAMERIN,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,68.0,262.0,330.0
GUTIERREZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,5.0,2.0,7.0
HUACARETA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,8.0,8.0
HUACAYA (VILLA DE HUACAYA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,8.0,8.0
HUACHACALLA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,2.0,6.0,8.0
HUANUNI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,69.0,70.0
HUARINA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,6.0,6.0
HUAYLLAMARCA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,5.0,6.0
ICLA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,14.0,14.0
INCAHUASI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,14.0,14.0
INGAVI (HUMAITA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,4.0,5.0
LA GUARDIA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,16.0,227.0,243.0
LA PAZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,55.0,888.0,943.0
LAS CARRERAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,6.0,6.0
LLALLAGUA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,14.0,16.0,30.0
MACHARETI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,4.0,14.0,18.0
MAIRANA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,23.0,24.0
MINEROS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,88.0,89.0
MIZQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,6.0,14.0,20.0
MONTEAGUDO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,57.0,58.0
MONTERO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,44.0,548.0,592.0
NUEVO MANOA (NUEVA ESPERANZA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,14.0,18.0,32.0
OMEREQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,2.0,2.0
ORURO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,39.0,598.0,637.0
PADCAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,30.0,31.0
PADILLA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,2.0,22.0,24.0
PAILON,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,9.0,9.0
PAMPA GRANDE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,21.0,22.0
PATACAMAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,16.0,56.0,72.0
PAZÑA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,3.0,3.0
POCONA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,3.0,3.0
POJO (CBBA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,3.0,3.0
POOPO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,10.0,10.0
POROMA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,7.0,7.0
PORTACHUELO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,9.0,10.0
PORVENIR,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,24.0,24.0
POTOSI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,51.0,230.0,281.0
PRESTO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,25.0,25.0
PUERTO GONZALO MORENO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,17.0,44.0,61.0
PUERTO RICO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,2.0,31.0,33.0
PUERTO VILLARROEL,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,12.0,355.0,367.0
PUNA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,3.0,16.0,19.0
PUNATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,8.0,140.0,148.0
REYES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,19.0,20.0
RIBERALTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,5.0,567.0,572.0
ROBORE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,54.0,55.0
RURRENABAQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,36.0,36.0
SACABA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,8.0,494.0,502.0
SACACA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,30.0,31.0
SALINAS DE GARCI MENDOZA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,4.0,4.0
SAMAIPATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,10.0,11.0
SAN BENITO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,24.0,24.0
SAN BORJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,7.0,15.0,22.0
SAN CARLOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,8.0,5.0,13.0
SAN IGNACIO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,2.0,46.0,48.0
SAN IGNACIO DE VELASCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,16.0,21.0,37.0
SAN JAVIER(BNI),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,2.0,2.0
SAN JAVIER(STC),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,43.0,44.0
SAN JOSE DE CHIQUITOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,19.0,34.0,53.0
SAN JUAN DE YAPACANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,3.0,1.0,4.0
SAN JULIAN,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,9.0,136.0,145.0
SAN LORENZO(TJA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,18.0,18.0
SAN LUCAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,3.0,74.0,77.0
SAN MATIAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,2.0,53.0,55.0
SAN MIGUEL DE VELASCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,3.0,4.0
SAN PEDRO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,2.0,29.0,31.0
SAN RAFAEL,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,14.0,14.0
SANTA ANA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,48.0,48.0
SANTA CRUZ DE LA SIERRA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,168.0,1736.0,1904.0
SANTA ROSA DEL SARA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,38.0,38.0
SENA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,29.0,29.0
SHINAOTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,58.0,7.0,65.0
SIPE SIPE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,6.0,39.0,45.0
SOPACHUY,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,2.0,10.0,12.0
SORACACHI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,4.0,4.0
SUCRE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,75.0,714.0,789.0
TAPACARI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,2.0,8.0,10.0
TARABUCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,26.0,26.0
TARIJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,55.0,312.0,367.0
TARVITA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,4.0,36.0,40.0
TEOPONTE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,7.0,7.0
TIAWANACU,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,1.0,1.0
TIPUANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,5.0,17.0,22.0
TIQUIPAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,23.0,204.0,227.0
TOCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,5.0,5.0
TOMINA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,1.0,1.0
TOTORA(CBBA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,68.0,68.0
TOTORA(ORR),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,5.0,5.0
TRINIDAD,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,41.0,148.0,189.0
TUPIZA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,3.0,3.0
UNCIA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,4.0,17.0,21.0
URIONDO (A. CONCEPCION),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,4.0,4.0
URUBICHA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,48.0,69.0,117.0
VACAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,7.0,7.0
VALLEGRANDE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,10.0,10.0
VIACHA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,26.0,27.0
VILLA CHARCAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,3.0,23.0,26.0
VILLA MONTES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,56.0,56.0
VILLA SERRANO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,4.0,21.0,25.0
VILLA TUNARI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,40.0,306.0,346.0
VILLA VACA GUZMAN (MUYUPAMPA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,3.0,49.0,52.0
VILLAZON,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,12.0,61.0,73.0
VITICHI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,13.0,13.0
WARNES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,17.0,318.0,335.0
YACUIBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,18.0,132.0,150.0
YAMPARAEZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,1.0,15.0,16.0
YAPACANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,7.0,166.0,173.0
YOTALA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,0.0,14.0,14.0
YUNCHARA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,5.0,5.0,10.0
ZUDAÑEZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-01-01,2.0,14.0,16.0
AIQUILE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,3.0,5.0,8.0
ALCALA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,8.0,17.0,25.0
ANCORAIMES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,5.0,5.0
ARBIETO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,2.0,6.0,8.0
ARQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,4.0,6.0,10.0
ASCENCION DE GUARAYOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,52.0,142.0,194.0
AYOPAYA (V. DE INDEPENDENCIA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,1.0,22.0,23.0
AZURDUY,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,12.0,12.0
BERMEJO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,1.0,7.0,8.0
BETANZOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,52.0,52.0
BOLPEBRA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,1.0,10.0,11.0
BUENA VISTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,1.0,12.0,13.0
CABEZAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,7.0,58.0,65.0
"CAIZA ""D""",vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,5.0,11.0,16.0
CAMARGO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,46.0,46.0
CAMATAQUI (C. VILLA ABECIA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,8.0,8.0
CAMIRI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,54.0,39.0,93.0
CAPINOTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,4.0,8.0,12.0
CARACOLLO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,41.0,41.0
CARANAVI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,6.0,45.0,51.0
CARAPARI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,3.0,24.0,27.0
CHALLAPATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,12.0,39.0,51.0
CHIMORE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,17.0,51.0,68.0
CHUMA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,6.0,6.0,12.0
CHUQUIHUTA AYLLU JUCUMANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,5.0,5.0
CLIZA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,1.0,2.0,3.0
COBIJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,29.0,231.0,260.0
COCHABAMBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,203.0,1156.0,1359.0
COLPA BELGICA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,1.0,1.0
COLQUIRI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,6.0,10.0,16.0
COMARAPA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,2.0,6.0,8.0
CONCEPCION,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,1.0,1.0,2.0
CORO CORO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,1.0,6.0,7.0
COTOCA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,2.0,121.0,123.0
CUEVO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,1.0,11.0,12.0
CULPINA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,20.0,74.0,94.0
DESAGUADERO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,3.0,10.0,13.0
EL ALTO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,379.0,1806.0,2185.0
EL CHORO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,1.0,1.0
EL PUENTE(STC),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,27.0,77.0,104.0
EL PUENTE(TJA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,1.0,17.0,18.0
EL TORNO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,47.0,365.0,412.0
EL VILLAR,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,5.0,5.0
ENTRE RIOS TRJ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,6.0,6.0
ENTRE RIOS CBBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,1.0,60.0,61.0
EUCALIPTUS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,8.0,8.0
EUREKA (SANTOS MERCADO),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,5.0,4.0,9.0
FERNANDEZ ALONSO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,8.0,80.0,88.0
FILADELFIA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,27.0,44.0,71.0
GENERAL SAAVEDRA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,53.0,53.0
GRAL. J.J. PEREZ (CHARAZANI),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,2.0,2.0
GUANAY,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,1.0,18.0,19.0
GUAYARAMERIN,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,284.0,310.0,594.0
GUTIERREZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,8.0,8.0
HUACARETA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,1.0,11.0,12.0
HUACAYA (VILLA DE HUACAYA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,4.0,4.0
HUANUNI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,1.0,86.0,87.0
HUAYLLAMARCA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,5.0,5.0
ICLA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,2.0,19.0,21.0
INCAHUASI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,27.0,27.0
INGAVI (HUMAITA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,3.0,3.0
LA ASUNTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,35.0,35.0
LA GUARDIA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,11.0,156.0,167.0
LA PAZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,255.0,1160.0,1415.0
LAGUNILLAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,10.0,10.0
LAS CARRERAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,0.0,8.0,8.0
LLALLAGUA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,8.0,5.0,13.0
MACHARETI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-02-01,6.0,29.0,35.0
