,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS,ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES,TOTALES,TOTALES
SORACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-04-01,4,0,4,0,4
ANZALDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,5,0,5,5
ATOCHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,10,0,10,10
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,2,3,2,3,5
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,2,0,2,2
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,2,1,2,1,3
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,2,0,2,0,2
CHAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,6,0,6,6
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,2,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,4,0,4,0,4
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,1,1,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,12,2,12,2,14
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,2,0,2,2
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,1,1,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,2,0,2,0,2
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,2,2,2,2,4
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,3,11,3,11,14
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,2,0,2,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,1,2,1,2,3
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,7,0,7,7
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,5,0,5,0,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,5,24,5,24,29
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,2,0,2,0,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,1,0,1,0,1
UNCIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,3,0,3,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,3,0,3,0,3
YAPACANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-05-01,3,4,3,4,7
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,6,3,6,3,9
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,2,0,2,2
CORIPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,3,0,3,3
CORO CORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,9,15,9,15,24
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,13,1,13,14
MAPIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,4,0,4,0,4
PORCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,2,0,2,2
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,3,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,5,5,5,5,10
PUCARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,2,1,2,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,4,1,4,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,3,0,3,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,2,0,2,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,2,0,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,5,0,5,5
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,9,8,9,8,17
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,2,1,2,1,3
TACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
TOCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,17,1,17,18
UNCIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,3,0,3,0,3
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
VITICHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,33,25,33,25,58
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,55,0,55,0,55
CORIPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,15,0,15,0,15
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,2,0,2,0,2
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,0,7,0,7,7
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,13,4,13,4,17
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,3,1,3,1,4
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
PADILLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,2,1,2,1,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,2,0,2,0,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,0,6,0,6,6
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,0,3,0,3,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,1,1,1,1,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,40,15,40,15,55
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,4,4,4,4,8
TACACOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,2,0,2,0,2
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,0,1,0,1,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,0,5,0,5,5
TOCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,2,0,2,0,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,4,0,4,0,4
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,0,1,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,2,0,2,0,2
YANACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,0,1,0,1,1
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-07-01,1,0,1,0,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,4,2,4,2,6
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,0,2,0,2,2
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,0,15,0,15,15
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,5,0,5,0,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,8,0,8,0,8
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,0,2,0,2,2
CORIPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,14,1,14,1,15
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2010-08-01,1,0,1,0,1
