,group,variable,month,DPT 1RA DOSIS,DPT 1RA DOSIS,TOTALES,TOTALES,TOTALES
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,52,0,52,0,52
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,4,0,4,0,4
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,0,20,0,20,20
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,1,0,1,0,1
TOMINA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,7,10,7,10,17
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,4,0,4,0,4
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,5,5,5,5,10
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,2,0,2,0,2
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-03-01,3,0,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,0,7,0,7,7
AZURDUY,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,0,5,0,5,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,0,2,0,2,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,1,3,1,3,4
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,0,4,0,4,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,4,2,4,2,6
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,0,4,0,4,4
COROICO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,0,1,0,1,1
CURVA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,4,0,4,0,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,0,6,0,6,6
OCURI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,2,0,2,0,2
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,33,0,33,0,33
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,0,1,0,1,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,0,2,0,2,2
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,1,0,1,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,22,0,22,0,22
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,28,0,28,0,28
TOCO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,2,5,2,5,7
TOMINA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,1,0,1,0,1
TUPIZA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,5,0,5,0,5
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-04-01,11,4,11,4,15
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,25,0,25,25
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,8,0,8,8
ARANI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,1,0,1,0,1
AZURDUY,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,9,29,9,29,38
BATALLAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,43,0,43,43
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,10,0,10,10
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,9,0,9,9
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,14,0,14,14
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,1,1,1,1,2
CAMARGO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,7,21,7,21,28
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,5,0,5,5
CHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,15,3,15,3,18
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,1,0,1,0,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,1,10,1,10,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,10,0,10,10
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,9,0,9,0,9
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,3,0,3,0,3
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,4,49,4,49,53
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,16,0,16,16
COMARAPA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,3,7,3,7,10
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,2,0,2,0,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,2,0,2,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,3,0,3,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,9,0,9,0,9
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,6,0,6,6
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,3,0,3,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,1,0,1,1
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,2,0,2,2
HUACARETA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,3,37,3,37,40
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,6,0,6,6
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,7,0,7,7
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,27,5,27,5,32
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,5,4,5,4,9
LURIBAY,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,10,0,10,10
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,3,10,3,10,13
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,1,0,1,0,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,11,0,11,11
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,2,20,2,20,22
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,5,28,5,28,33
PAILON,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,1,0,1,1
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,1,0,1,0,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,7,0,7,7
POCONA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,2,0,2,2
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,3,19,3,19,22
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,14,34,14,34,48
PUCARANI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,2,0,2,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,2,9,2,9,11
RAVELO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,3,13,3,13,16
ROBORE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,1,14,1,14,15
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,1,7,1,7,8
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,2,2,2,2,4
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,4,0,4,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,1,0,1,1
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,1,34,1,34,35
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,1,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,1,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,2,99,2,99,101
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,1,0,1,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,7,0,7,7
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,7,0,7,0,7
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,31,9,31,9,40
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,13,0,13,13
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,4,8,4,8,12
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,22,8,22,8,30
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,2,7,2,7,9
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,6,8,6,8,14
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,8,16,8,16,24
TOCO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,2,4,2,4,6
TOMAVE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,1,0,1,1
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,2,0,2,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,8,0,8,0,8
TUPIZA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,4,0,4,0,4
UNCIA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,7,0,7,7
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,3,3,3,3,6
UYUNI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,3,0,3,0,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,9,2,9,2,11
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,0,2,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,2,1,2,1,3
VITICHI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,1,20,1,20,21
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,20,0,20,0,20
YAPACANI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-05-01,28,77,28,77,105
APOLO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,0,1,0,1,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,3,0,3,0,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,66,4,66,4,70
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,0,3,0,3,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,4,3,4,3,7
CAMARGO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,0,2,0,2,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,0,3,0,3,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,1,5,1,5,6
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,0,10,0,10,10
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,0,2,0,2,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,35,28,35,28,63
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,0,7,0,7,7
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2010-06-01,0,7,0,7,7
