,group,variable,month,ANTIPOLIOMIELÍTICA 4TA DOSIS,ANTIPOLIOMIELÍTICA 4TA DOSIS,TOTALES,TOTALES,TOTALES
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,4,0,4,0,4
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,8,15,8,15,23
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,9,0,9,0,9
HUACARETA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,1,0,1,0,1
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,13,0,13,13
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,1,3,1,3,4
ICLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,15,0,15,15
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,2,0,2,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,3,0,3,3
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,2,0,2,0,2
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,13,0,13,13
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,1,2,1,2,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,3,0,3,3
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,2,0,2,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,2,14,2,14,16
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,17,27,17,27,44
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,1,2,1,2,3
OCURI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,3,0,3,3
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,1,0,1,1
PADILLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,11,6,11,6,17
POCOATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,4,0,4,4
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,1,6,1,6,7
POROMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,1,15,1,15,16
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,88,18,88,18,106
PUCARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,13,0,13,0,13
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,11,24,11,24,35
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,10,0,10,10
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,1,18,1,18,19
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,22,0,22,0,22
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,1,43,1,43,44
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,18,19,18,19,37
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,7,0,7,7
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,24,0,24,24
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,5,10,5,10,15
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,13,10,13,10,23
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,4,0,4,0,4
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,1,4,1,4,5
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,12,34,12,34,46
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,7,0,7,7
TARABUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,32,65,32,65,97
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,51,50,51,50,101
TARVITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,22,27,22,27,49
TOLATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,6,0,6,6
TOMINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,10,0,10,10
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,5,0,5,0,5
TUPIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,25,0,25,25
UNCIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,9,0,9,9
UYUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,2,5,2,5,7
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,11,2,11,2,13
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,1,0,1,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,22,53,22,53,75
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,1,9,1,9,10
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,4,0,4,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,11,3,11,3,14
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,0,1,0,1,1
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,10,8,10,8,18
YOTALA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,3,25,3,25,28
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,10,35,10,35,45
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-05-01,6,48,6,48,54
ALCALA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,4,0,4,0,4
ARQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,4,0,4,4
BAURES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,3,11,3,11,14
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,7,3,7,3,10
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,4,1,4,1,5
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,1,0,1,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,14,1,14,15
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,2,0,2,0,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,1,1,1,2
CHAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,2,13,2,13,15
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,12,5,12,5,17
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,117,2,117,2,119
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,8,1,8,9
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,2,0,2,2
COMANCHE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,2,0,2,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,6,24,6,24,30
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,23,0,23,0,23
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,1,0,1,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,9,0,9,0,9
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,14,32,14,32,46
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,2,5,2,5,7
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,22,10,22,10,32
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,5,0,5,0,5
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,2,0,2,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,4,0,4,4
ICLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,3,0,3,0,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,4,0,4,4
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,2,1,2,1,3
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,2,2,2,2,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,5,0,5,5
MACHARETI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,1,1,1,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,5,1,5,6
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,2,1,2,1,3
PADILLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,2,0,2,2
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,7,0,7,7
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,32,46,32,46,78
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,5,0,5,0,5
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,3,28,3,28,31
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,3,0,3,0,3
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,12,7,12,7,19
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,8,1,8,9
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,11,17,11,17,28
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,29,69,29,69,98
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,0,1,0,1
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,8,38,8,38,46
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,25,16,25,16,41
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,9,0,9,9
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,25,1,25,26
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,15,28,15,28,43
SORACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,34,10,34,10,44
TARABUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,9,0,9,0,9
TARATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,10,0,10,10
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,69,40,69,40,109
TARVITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,6,0,6,6
TIPUANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,5,1,5,6
TOMINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,2,0,2,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,21,95,21,95,116
TUPIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,6,0,6,6
TURCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,0,1,0,1,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,3,27,3,27,30
UYUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,0,1,0,1
VACAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,3,0,3,0,3
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,21,0,21,0,21
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,3,7,3,7,10
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,4,30,4,30,34
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,7,9,7,9,16
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,53,3,53,3,56
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2010-06-01,4,14,4,14,18
