,group,variable,month,DPT 2DA DOSIS,DPT 2DA DOSIS,TOTALES,TOTALES,TOTALES
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,2,3,2,3,5
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,4,1,4,1,5
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,0,12,0,12,12
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,2,0,2,0,2
CURVA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,3,0,3,0,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,3,1,3,1,4
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,1,0,1,0,1
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,5,14,5,14,19
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,5,0,5,0,5
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,0,2,0,2,2
OCURI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,0,4,0,4,4
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,4,0,4,0,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,3,0,3,0,3
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,1,35,1,35,36
RAVELO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,0,3,0,3,3
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,0,1,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,30,0,30,0,30
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,13,0,13,0,13
SORACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,1,2,1,2,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,5,0,5,0,5
TOCO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,0,2,0,2,2
TOLEDO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,2,2,2,2,4
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,4,1,4,1,5
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-04-01,5,0,5,0,5
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,4,0,4,4
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,10,0,10,10
AZURDUY,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,1,1,1,1,2
BETANZOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,2,0,2,2
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,2,1,2,1,3
CARANAVI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,2,0,2,0,2
CHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,3,0,3,3
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,9,0,9,9
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,1,0,1,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,2,0,2,0,2
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,12,0,12,0,12
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,2,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,3,0,3,0,3
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,4,0,4,4
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,5,0,5,5
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,1,1,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,13,0,13,0,13
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,3,3,3,3,6
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,2,0,2,2
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,3,0,3,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,1,1,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,17,0,17,0,17
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,2,2,2,2,4
MAIRANA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,2,12,2,12,14
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,3,0,3,3
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,2,0,2,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,3,3,3,3,6
RAVELO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,1,0,1,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,1,0,1,1
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,5,0,5,0,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,1,0,1,0,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,2,0,2,2
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,4,25,4,25,29
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,1,4,1,4,5
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,6,0,6,0,6
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,2,0,2,0,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,1,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,1,0,1,0,1
TOMAVE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,1,0,1,0,1
TUPIZA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,2,0,2,0,2
UNCIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,3,0,3,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,0,1,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,3,0,3,0,3
YACO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,1,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-05-01,3,4,3,4,7
BETANZOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,3,0,3,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,22,3,22,3,25
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,2,0,2,2
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,6,0,6,6
CORIPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,3,0,3,3
CORO CORO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,9,15,9,15,24
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,2,13,2,13,15
MAPIRI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,0,1,0,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,2,0,2,2
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,2,0,2,0,2
PASORAPA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,94,0,94,94
PORCO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,2,0,2,2
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,3,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,5,5,5,5,10
PUCARANI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,0,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,15,245,15,245,260
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,15,1,15,16
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,2,1,2,3
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,8,0,8,8
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,2,0,2,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,2,0,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,5,0,5,5
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,1,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,17,8,17,8,25
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,2,1,2,1,3
TARACO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,3,0,3,3
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,2,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,1,1,1,2
TOLATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,50,1,50,51
TUPIZA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,3,0,3,0,3
UNCIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,1,0,1,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,0,1,0,1
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,3,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,2,0,2,0,2
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,11,1,11,12
VITICHI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,2,0,2,2
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-06-01,0,1,0,1,1
AYATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,1,0,1,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,3,3,3,3,6
CORIPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,2,0,2,2
CULPINA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,16,0,16,0,16
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,2,0,2,0,2
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,7,0,7,7
HUACARETA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,6,0,6,6
HUANUNI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,14,5,14,5,19
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,3,1,3,1,4
PADILLA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2010-07-01,2,1,2,1,3
