,group,variable,month,DPT 3RA DOSIS,DPT 3RA DOSIS,TOTALES,TOTALES,TOTALES
RAVELO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,12,0,12,0,12
SORACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,4,0,4,0,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,4,1,4,1,5
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,9,2,9,2,11
TOCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,0,1,0,1,1
TOLEDO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,0,3,0,3,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,2,1,2,1,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-04-01,2,0,2,0,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,1,0,1,1
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,0,1,0,1
AZURDUY,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,10,15,10,15,25
BATALLAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,2,0,2,2
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,4,1,4,5
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,1,1,1,2
CHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,6,0,6,6
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,4,0,4,4
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,2,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,12,8,12,8,20
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,2,0,2,0,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,3,0,3,0,3
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,6,3,6,3,9
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,35,10,35,10,45
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,3,0,3,3
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,2,0,2,0,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,1,1,1,2
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,6,9,6,9,15
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,16,1,16,1,17
MINEROS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,7,64,7,64,71
PADILLA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,0,1,0,1
PAILON,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,26,0,26,26
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,6,2,6,2,8
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,2,1,2,1,3
PUNA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,5,0,5,5
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,6,0,6,0,6
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,7,0,7,7
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,3,0,3,0,3
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,1,1,1,2
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,61,56,61,56,117
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,2,0,2,0,2
TARABUCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,0,1,0,1
TARATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,5,2,5,2,7
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,0,1,0,1
UNCIA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,1,0,1,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,2,3,2,3,5
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,2,1,2,3
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,5,0,5,0,5
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,7,0,7,7
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-05-01,0,1,0,1,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,2,3,2,3,5
ALALAY,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,5,0,5,0,5
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,22,5,22,5,27
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,2,0,2,0,2
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,6,0,6,6
CORIPATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,3,0,3,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,53,14,53,14,67
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,1,1,1,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,4,0,4,4
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,5,1,5,1,6
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,5,14,5,14,19
LAJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,3,0,3,3
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,8,0,8,0,8
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,4,1,4,5
MAPIRI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,1,0,1,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,5,0,5,5
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,7,3,7,3,10
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,2,0,2,0,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,0,1,0,1
PORCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,1,1,1,2
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,2,0,2,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,7,4,7,4,11
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,7,0,7,0,7
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,9,12,9,12,21
PUNA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,3,1,3,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,11,0,11,11
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,2,1,2,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,3,0,3,3
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,2,1,2,3
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,3,0,3,3
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,1,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,35,24,35,24,59
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,1,0,1,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,0,1,0,1
TARABUCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,3,0,3,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,8,2,8,2,10
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,3,25,3,25,28
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,2,2,2,2,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,2,0,2,0,2
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,4,0,4,0,4
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,1,1,1,1,2
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-06-01,2,0,2,0,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,0,2,0,2,2
CAMARGO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,5,0,5,0,5
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,9,11,9,11,20
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,1,1,1,1,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,41,9,41,9,50
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,3,0,3,0,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,13,1,13,1,14
MAPIRI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,2,1,2,1,3
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,8,1,8,1,9
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,5,0,5,0,5
PUCARANI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,0,2,0,2,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,4,1,4,1,5
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2010-07-01,5,6,5,6,11
