,group,variable,month,SRP DOSIS ÚNICA,SRP DOSIS ÚNICA,TOTALES,TOTALES,TOTALES
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,14,6,14,6,20
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,16,3,16,3,19
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,90,12,90,12,102
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,5,1,5,1,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,23,13,23,13,36
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,41,19,41,19,60
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,2,1,2,3
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,11,3,11,3,14
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,1,0,1,1
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,0,3,0,3
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,14,15,14,15,29
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,0,3,0,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,18,14,18,14,32
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,7,8,7,8,15
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,10,11,10,11,21
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,11,2,11,13
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,66,31,66,31,97
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,10,18,10,18,28
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,11,1,11,1,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,2,2,2,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,43,7,43,7,50
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,5,0,5,0,5
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,6,4,6,4,10
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,5,4,5,4,9
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,5,0,5,0,5
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,3,1,3,4
ICLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,5,0,5,5
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,11,7,11,7,18
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,5,26,5,26,31
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,8,11,8,11,19
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,19,0,19,0,19
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,58,14,58,14,72
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,115,24,115,24,139
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1286,129,1286,129,1415
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,8,5,8,5,13
LAJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,21,14,21,14,35
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,0,2,0,2
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,4,2,4,6
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,58,17,58,17,75
LLICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,0,2,0,2
LORETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,2,1,2,3
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,16,6,16,6,22
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,8,1,8,1,9
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,14,3,14,3,17
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,5,0,5,0,5
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,15,1,15,1,16
MALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,6,1,6,7
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,11,6,11,6,17
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,10,14,10,14,24
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,27,13,27,13,40
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,39,22,39,22,61
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,7,3,7,3,10
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,13,3,13,3,16
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,27,8,27,8,35
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,140,22,140,22,162
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,5,2,5,2,7
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,9,20,9,20,29
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,6,0,6,0,6
OCURI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,8,28,8,28,36
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,11,11,11,11,22
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,6,7,6,7,13
ORURO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,503,4,503,4,507
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,8,11,8,11,19
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,7,4,7,4,11
PAILON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,32,16,32,16,48
PALCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,8,10,8,10,18
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,29,11,29,11,40
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,4,1,4,1,5
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,7,0,7,0,7
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,7,3,7,10
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,29,0,29,0,29
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,6,2,6,2,8
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,6,2,6,8
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,10,39,10,39,49
POCONA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,14,15,14,15,29
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,20,3,20,3,23
POOPO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,8,0,8,0,8
PORCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,7,4,7,4,11
POROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,14,13,14,13,27
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,15,2,15,2,17
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,34,10,34,10,44
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,2,2,2,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,383,16,383,16,399
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,4,11,4,11,15
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,2,0,2,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,44,16,44,16,60
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,7,1,7,8
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,6,0,6,6
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,5,1,5,6
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,5,5,5,5,10
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,21,7,21,7,28
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,4,0,4,0,4
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,26,3,26,3,29
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,74,19,74,19,93
PUNA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,14,24,14,24,38
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,38,4,38,4,42
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,10,3,10,13
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,168,10,168,10,178
QUIME,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,8,2,8,10
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,4,2,4,2,6
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,18,2,18,20
REYES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,27,0,27,0,27
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,130,42,130,42,172
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,38,3,38,3,41
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,25,6,25,6,31
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,202,40,202,40,242
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,6,2,6,2,8
SACACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,21,15,21,15,36
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,1,2,1,2,3
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,9,2,9,11
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,8,10,8,10,18
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,5,2,5,7
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,2,0,2,2
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,3,2,3,5
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,14,4,14,4,18
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,60,16,60,16,76
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,18,3,18,3,21
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,31,10,31,10,41
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,23,28,23,28,51
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,110,25,110,25,135
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,0,3,0,3
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,29,3,29,3,32
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,6,0,6,0,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,7,15,7,15,22
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,7,8,7,8,15
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,31,3,31,3,34
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,6,3,6,9
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,29,3,29,3,32
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,14,38,14,38,52
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,16,34,16,34,50
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,8,5,8,5,13
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,1,2,1,3
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,16,0,16,0,16
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,19,9,19,9,28
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,3,3,3,6
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,3,2,3,2,5
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,6,5,6,5,11
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,7,6,7,6,13
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,16,0,16,0,16
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,30,5,30,5,35
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2024,155,2024,155,2179
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,13,2,13,2,15
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,20,3,20,3,23
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,4,4,4,4,8
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,4,6,4,6,10
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,5,7,5,7,12
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,9,0,9,9
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,4,7,4,7,11
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,3,2,3,5
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,6,4,6,4,10
SENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,2,4,2,4,6
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,38,11,38,11,49
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,26,22,26,22,48
SICAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2010-01-01,0,7,0,7,7
