,group,variable,month,ANTI AMARÍLICA,ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,9,5,9,14
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,9,0,9,0,9
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,64,0,64,0,64
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,263,48,263,48,311
LA PAZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,968,44,968,44,1012
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,12,5,12,17
LAJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,10,0,10,10
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,0,3,0,3
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,4,2,4,6
LLICA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,0,1,0,1
LORETO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,3,0,3,3
LURIBAY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,11,9,11,9,20
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,11,0,11,0,11
MACHARETI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,11,3,11,3,14
MAIRANA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,8,0,8,0,8
MALLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,6,1,6,7
MAPIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,9,1,9,10
MINEROS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,63,42,63,42,105
MIZQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,40,22,40,22,62
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,1,6,1,7
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,2,6,2,8
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,23,10,23,10,33
MONTERO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,242,50,242,50,292
MORO MORO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,2,5,2,7
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,8,0,8,8
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,5,5,5,10
OCURI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,12,0,12,12
OKINAWA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,8,3,8,11
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,11,1,11,12
ORURO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,711,0,711,0,711
PADCAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,13,5,13,18
PADILLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,4,6,4,10
PAILON,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,40,28,40,28,68
PALCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,0,5,0,5
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,23,18,23,18,41
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,10,0,10,0,10
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,6,6,6,12
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,28,0,28,0,28
PAZÑA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,17,0,17,0,17
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,0,2,0,2
POCOATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,13,29,13,29,42
POCONA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,11,27,11,27,38
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,9,2,9,2,11
PORCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,7,0,7,7
POROMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,11,22,11,22,33
PORONGO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,10,5,10,5,15
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,49,12,49,12,61
PORVENIR,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,4,6,4,6,10
POTOSI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,313,6,313,6,319
PRESTO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,11,7,11,7,18
PUCARA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,4,4,4,4,8
PUCARANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,4,0,4,0,4
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,0,3,0,3
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,9,0,9,9
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,5,0,5,5
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,21,7,21,7,28
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,48,13,48,13,61
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,75,14,75,14,89
PUNA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,11,6,11,17
PUNATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,30,13,30,13,43
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,10,2,10,12
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,218,2,218,2,220
QUIME,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,7,2,7,9
RAVELO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,13,14,13,14,27
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,121,49,121,49,170
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,4,0,4,0,4
SABAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,205,25,205,25,230
SACACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,5,2,5,7
SAIPINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,14,29,14,29,43
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,4,12,4,12,16
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,26,2,26,28
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,3,1,3,4
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,3,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,2,0,2,2
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,10,6,10,6,16
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,41,12,41,12,53
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,13,3,13,3,16
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,44,36,44,36,80
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,224,68,224,68,292
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,0,6,0,6
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,23,10,23,10,33
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,10,20,10,20,30
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,28,2,28,2,30
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,3,1,3,4
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,24,7,24,7,31
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,12,23,12,23,35
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,7,59,7,59,66
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,31,11,31,11,42
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,0,2,0,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,9,0,9,0,9
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,0,1,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,5,1,5,6
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,3,1,3,4
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,7,8,7,8,15
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,34,0,34,0,34
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3093,175,3093,175,3268
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,17,5,17,5,22
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,2,3,2,5
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,4,1,4,5
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,5,5,5,10
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,9,0,9,9
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,7,6,7,13
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,7,1,7,8
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,1,0,1,1
SENA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,7,2,7,9
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,33,11,33,11,44
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,10,28,10,28,38
SICAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,7,0,7,7
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,62,37,62,37,99
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,9,4,9,4,13
SORACACHI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,14,2,14,16
SORATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,8,10,8,10,18
SUCRE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,255,25,255,25,280
TACACOMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,9,13,9,13,22
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,3,3,3,6
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,4,9,4,9,13
TAPACARI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,33,14,33,14,47
TARABUCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,11,4,11,4,15
TARACO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,4,0,4,4
TARATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,39,0,39,0,39
TARIJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,438,1,438,1,439
TARVITA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,12,14,12,14,26
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,11,5,11,5,16
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,1,0,1,1
TIPUANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,10,6,10,16
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,78,13,78,13,91
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,4,0,4,4
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,0,1,0,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,7,2,7,2,9
TOMAVE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,3,2,3,5
TOMINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,4,5,4,9
TORO TORO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,2,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,45,7,45,7,52
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,4,1,4,5
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,174,25,174,25,199
TUPIZA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,38,19,38,19,57
TURCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,6,1,6,7
UMALA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,0,8,0,8,8
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,0,5,0,5
URUBICHA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,13,2,13,2,15
UYUNI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,3,0,3,0,3
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,31,2,31,2,33
VIACHA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,73,11,73,11,84
VILA VILA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,12,2,12,14
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,7,8,7,8,15
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,49,16,49,16,65
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,0,2,0,2
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,10,3,10,3,13
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,74,27,74,27,101
VINTO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,84,0,84,0,84
VITICHI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,5,6,5,6,11
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,91,47,91,47,138
YACO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,6,2,6,2,8
YACUIBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,63,35,63,35,98
YAPACANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,179,62,179,62,241
YOCALLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,10,7,10,7,17
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,2,16,2,16,18
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2010-01-01,1,12,1,12,13
