,group,variable,month,DPT 4TA DOSIS,DPT 4TA DOSIS,TOTALES,TOTALES,TOTALES
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,1,43,1,43,44
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,18,19,18,19,37
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,7,0,7,7
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,24,0,24,24
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,5,10,5,10,15
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,5,0,5,0,5
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,1,0,1,0,1
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,29,0,29,29
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,14,80,14,80,94
TARABUCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,32,65,32,65,97
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,56,58,56,58,114
TARVITA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,22,27,22,27,49
TOMINA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,30,0,30,30
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,5,0,5,0,5
UNCIA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,10,0,10,10
UYUNI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,2,5,2,5,7
VACAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,20,0,20,20
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,11,2,11,2,13
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,15,54,15,54,69
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,1,20,1,20,21
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,4,0,4,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,11,0,11,0,11
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,0,1,0,1,1
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,10,11,10,11,21
YOTALA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,3,25,3,25,28
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,11,41,11,41,52
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-05-01,6,48,6,48,54
ACACIO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,5,0,5,5
ALCALA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,4,0,4,0,4
BAURES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,5,13,5,13,18
BETANZOS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,2,11,2,11,13
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,2,2,2,2,4
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,4,1,4,1,5
CALACOTO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,3,0,3,3
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,14,1,14,15
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,1,1,1,2
CHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,6,19,6,19,25
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,6,0,6,6
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,12,5,12,5,17
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,119,2,119,2,121
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,2,0,2,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,2,0,2,2
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,5,0,5,5
COMANCHE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,2,0,2,2
CORO CORO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,4,0,4,4
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,19,31,19,31,50
CULPINA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,5,24,5,24,29
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,0,1,0,1
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,1,0,1,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,9,0,9,0,9
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,13,32,13,32,45
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,22,17,22,17,39
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,5,0,5,0,5
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,2,0,2,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,14,0,14,14
ICLA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,3,0,3,0,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,4,0,4,4
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,2,1,2,1,3
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,2,3,2,3,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,5,0,5,5
LORETO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,3,0,3,0,3
MACHARETI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,3,1,3,4
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,5,0,5,5
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,1,0,1,1
PADILLA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,2,0,2,2
POCONA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,3,0,3,3
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,37,46,37,46,83
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,5,0,5,0,5
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,2,37,2,37,39
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,3,0,3,0,3
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,12,7,12,7,19
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,4,0,4,0,4
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,10,1,10,11
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,11,17,11,17,28
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,29,69,29,69,98
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,0,1,0,1
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,8,38,8,38,46
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,10,0,10,10
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,14,24,14,24,38
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,2,24,2,24,26
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,3,0,3,3
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,15,28,15,28,43
SORACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,35,10,35,10,45
TARABUCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,9,0,9,0,9
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,101,42,101,42,143
TARVITA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,6,0,6,6
TOMINA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,2,0,2,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,21,104,21,104,125
TURCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,1,0,1,1
UNCIA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,9,0,9,9
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,3,27,3,27,30
URUBICHA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,6,0,6,0,6
UYUNI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,0,1,0,1
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,21,0,21,0,21
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,9,7,9,7,16
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,4,30,4,30,34
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,11,62,11,62,73
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,48,3,48,3,51
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,0,14,0,14,14
YOTALA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,2,2,2,2,4
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,2,13,2,13,15
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-06-01,1,6,1,6,7
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,0,3,0,3,3
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,6,78,6,78,84
CALACOTO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,0,2,0,2,2
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,0,22,0,22,22
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,0,2,0,2,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,2,0,2,0,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,2,1,2,1,3
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,14,2,14,2,16
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,147,4,147,4,151
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,7,1,7,1,8
COMANCHE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,2,4,2,4,6
CORO CORO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,3,1,3,1,4
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,5,0,5,0,5
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,16,1,16,1,17
CUEVO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,87,43,87,43,130
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,13,1,13,1,14
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,4,0,4,0,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,7,8,7,8,15
HUACARETA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,3,2,3,2,5
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,1,0,1,0,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,50,0,50,0,50
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,11,0,11,0,11
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,12,1,12,1,13
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,1,7,1,7,8
MACHARETI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,20,0,20,0,20
OKINAWA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,6,0,6,0,6
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,20,0,20,0,20
POCONA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,1,8,1,8,9
POROMA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,0,4,0,4,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,39,0,39,0,39
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,5,1,5,1,6
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,4,0,4,0,4
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,0,1,0,1,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2010-07-01,3,0,3,0,3
