municipality,group,variable,month,Nacidos muertos atendidos por partera capacitada,TOTAL
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-11-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-11-01,1,1
SAN PEDRO(PND),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-11-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-11-01,0,0
VACAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-11-01,1,1
YACO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-11-01,3,3
CHARAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-12-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-12-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-12-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2011-12-01,1,1
