,group,variable,month,TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TOTALES,TOTALES,TOTALES
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2010-02-01,3,4,0,0,3,4,7
CABEZAS,malaria,tratamientos iniciados por sospecha,2010-02-01,3,3,0,0,3,3,6
COLOMI,malaria,tratamientos iniciados por sospecha,2010-02-01,1,1,0,0,1,1,2
EL TORNO,malaria,tratamientos iniciados por sospecha,2010-02-01,13,14,0,0,13,14,27
GUANAY,malaria,tratamientos iniciados por sospecha,2010-02-01,2,2,0,0,2,2,4
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2010-02-01,1,1,0,0,1,1,2
HUACARETA,malaria,tratamientos iniciados por sospecha,2010-02-01,1,0,0,0,1,0,1
HUMANATA,malaria,tratamientos iniciados por sospecha,2010-02-01,2,1,0,0,2,1,3
IXIAMAS,malaria,tratamientos iniciados por sospecha,2010-02-01,2,0,0,0,2,0,2
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2010-02-01,1,0,0,0,1,0,1
LAGUNILLAS,malaria,tratamientos iniciados por sospecha,2010-02-01,1,0,0,0,1,0,1
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2010-02-01,1,0,0,0,1,0,1
RIBERALTA,malaria,tratamientos iniciados por sospecha,2010-02-01,1,0,0,0,1,0,1
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2010-02-01,0,1,0,0,0,1,1
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2010-02-01,2,2,0,0,2,2,4
SAN MIGUEL DE VELASCO,malaria,tratamientos iniciados por sospecha,2010-02-01,0,1,0,0,0,1,1
TARVITA,malaria,tratamientos iniciados por sospecha,2010-02-01,1,0,0,0,1,0,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2010-02-01,6,3,0,0,6,3,9
TOMINA,malaria,tratamientos iniciados por sospecha,2010-02-01,0,1,0,0,0,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2010-02-01,1,0,0,0,1,0,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2010-03-01,13,18,0,0,13,18,31
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2010-03-01,2,2,0,0,2,2,4
CABEZAS,malaria,tratamientos iniciados por sospecha,2010-03-01,6,2,0,0,6,2,8
CULPINA,malaria,tratamientos iniciados por sospecha,2010-03-01,1,2,0,0,1,2,3
EL TORNO,malaria,tratamientos iniciados por sospecha,2010-03-01,7,2,0,0,7,2,9
GUANAY,malaria,tratamientos iniciados por sospecha,2010-03-01,3,5,0,0,3,5,8
HUACARETA,malaria,tratamientos iniciados por sospecha,2010-03-01,4,3,0,0,4,3,7
IXIAMAS,malaria,tratamientos iniciados por sospecha,2010-03-01,0,1,0,0,0,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2010-03-01,2,1,0,0,2,1,3
PRESTO,malaria,tratamientos iniciados por sospecha,2010-03-01,1,0,0,0,1,0,1
REYES,malaria,tratamientos iniciados por sospecha,2010-03-01,1,0,0,0,1,0,1
RIBERALTA,malaria,tratamientos iniciados por sospecha,2010-03-01,1,3,1,1,2,4,6
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2010-03-01,4,3,0,0,4,3,7
SAIPINA,malaria,tratamientos iniciados por sospecha,2010-03-01,0,0,3,0,3,0,3
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2010-03-01,2,0,0,0,2,0,2
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2010-03-01,1,2,0,0,1,2,3
SAN MIGUEL DE VELASCO,malaria,tratamientos iniciados por sospecha,2010-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2010-03-01,0,0,0,0,0,0,0
TEOPONTE,malaria,tratamientos iniciados por sospecha,2010-03-01,4,1,0,0,4,1,5
TOMINA,malaria,tratamientos iniciados por sospecha,2010-03-01,2,1,0,0,2,1,3
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2010-03-01,2,2,0,0,2,2,4
YACUIBA,malaria,tratamientos iniciados por sospecha,2010-03-01,3,5,0,0,3,5,8
AZURDUY,malaria,tratamientos iniciados por sospecha,2010-04-01,6,4,0,0,6,4,10
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2010-04-01,8,2,0,0,8,2,10
CABEZAS,malaria,tratamientos iniciados por sospecha,2010-04-01,3,2,0,0,3,2,5
COBIJA,malaria,tratamientos iniciados por sospecha,2010-04-01,0,1,0,1,0,2,2
COLOMI,malaria,tratamientos iniciados por sospecha,2010-04-01,1,1,0,0,1,1,2
COROICO,malaria,tratamientos iniciados por sospecha,2010-04-01,2,0,0,0,2,0,2
CULPINA,malaria,tratamientos iniciados por sospecha,2010-04-01,1,1,0,0,1,1,2
EL TORNO,malaria,tratamientos iniciados por sospecha,2010-04-01,6,3,0,0,6,3,9
GUANAY,malaria,tratamientos iniciados por sospecha,2010-04-01,4,1,0,0,4,1,5
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2010-04-01,0,1,0,0,0,1,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2010-04-01,1,2,0,0,1,2,3
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2010-04-01,0,2,0,0,0,2,2
PADCAYA,malaria,tratamientos iniciados por sospecha,2010-04-01,1,0,0,0,1,0,1
REYES,malaria,tratamientos iniciados por sospecha,2010-04-01,1,0,0,0,1,0,1
SAIPINA,malaria,tratamientos iniciados por sospecha,2010-04-01,28,65,0,0,28,65,93
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2010-04-01,7,6,0,0,7,6,13
TEOPONTE,malaria,tratamientos iniciados por sospecha,2010-04-01,5,1,0,0,5,1,6
TOMINA,malaria,tratamientos iniciados por sospecha,2010-04-01,1,2,0,0,1,2,3
YACUIBA,malaria,tratamientos iniciados por sospecha,2010-04-01,8,8,0,0,8,8,16
AZURDUY,malaria,tratamientos iniciados por sospecha,2010-05-01,5,3,0,0,5,3,8
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2010-05-01,1,0,0,0,1,0,1
CABEZAS,malaria,tratamientos iniciados por sospecha,2010-05-01,1,3,0,0,1,3,4
CARANAVI,malaria,tratamientos iniciados por sospecha,2010-05-01,0,2,0,0,0,2,2
CARAPARI,malaria,tratamientos iniciados por sospecha,2010-05-01,1,1,0,0,1,1,2
COCHABAMBA,malaria,tratamientos iniciados por sospecha,2010-05-01,0,0,0,2,0,2,2
COMARAPA,malaria,tratamientos iniciados por sospecha,2010-05-01,0,1,0,0,0,1,1
CULPINA,malaria,tratamientos iniciados por sospecha,2010-05-01,1,0,0,0,1,0,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2010-05-01,5,8,0,0,5,8,13
EL VILLAR,malaria,tratamientos iniciados por sospecha,2010-05-01,1,0,0,0,1,0,1
GUANAY,malaria,tratamientos iniciados por sospecha,2010-05-01,1,1,0,0,1,1,2
HUACARETA,malaria,tratamientos iniciados por sospecha,2010-05-01,1,1,0,0,1,1,2
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2010-05-01,2,0,0,0,2,0,2
LA PAZ,malaria,tratamientos iniciados por sospecha,2010-05-01,2,0,0,0,2,0,2
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2010-05-01,1,0,0,0,1,0,1
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2010-05-01,0,1,0,0,0,1,1
PUERTO SILES,malaria,tratamientos iniciados por sospecha,2010-05-01,0,0,1,0,1,0,1
REYES,malaria,tratamientos iniciados por sospecha,2010-05-01,2,0,0,0,2,0,2
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2010-05-01,1,0,0,0,1,0,1
SAIPINA,malaria,tratamientos iniciados por sospecha,2010-05-01,12,28,0,0,12,28,40
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2010-05-01,6,4,1,0,7,4,11
TEOPONTE,malaria,tratamientos iniciados por sospecha,2010-05-01,4,0,0,0,4,0,4
TORO TORO,malaria,tratamientos iniciados por sospecha,2010-05-01,1,6,0,0,1,6,7
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2010-05-01,0,1,0,0,0,1,1
YACUIBA,malaria,tratamientos iniciados por sospecha,2010-05-01,1,3,0,0,1,3,4
AZURDUY,malaria,tratamientos iniciados por sospecha,2010-06-01,2,2,0,0,2,2,4
EL TORNO,malaria,tratamientos iniciados por sospecha,2010-06-01,8,7,0,0,8,7,15
EL VILLAR,malaria,tratamientos iniciados por sospecha,2010-06-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos iniciados por sospecha,2010-06-01,1,0,0,0,1,0,1
GUANAY,malaria,tratamientos iniciados por sospecha,2010-06-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2010-06-01,0,1,0,0,0,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2010-06-01,1,0,0,0,1,0,1
MIZQUE,malaria,tratamientos iniciados por sospecha,2010-06-01,0,1,0,0,0,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2010-06-01,0,1,0,0,0,1,1
PORONGO,malaria,tratamientos iniciados por sospecha,2010-06-01,0,1,0,0,0,1,1
POSTRER VALLE,malaria,tratamientos iniciados por sospecha,2010-06-01,2,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2010-06-01,5,6,0,0,5,6,11
SAN RAMON BENI,malaria,tratamientos iniciados por sospecha,2010-06-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2010-06-01,0,0,0,0,0,0,0
TARVITA,malaria,tratamientos iniciados por sospecha,2010-06-01,0,1,0,0,0,1,1
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2010-06-01,1,0,0,0,1,0,1
YACUIBA,malaria,tratamientos iniciados por sospecha,2010-06-01,2,2,0,0,2,2,4
AZURDUY,malaria,tratamientos iniciados por sospecha,2010-07-01,2,2,0,0,2,2,4
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2010-07-01,2,2,0,0,2,2,4
CABEZAS,malaria,tratamientos iniciados por sospecha,2010-07-01,1,1,0,0,1,1,2
COBIJA,malaria,tratamientos iniciados por sospecha,2010-07-01,3,6,0,1,3,7,10
COCHABAMBA,malaria,tratamientos iniciados por sospecha,2010-07-01,0,3,0,2,0,5,5
COLOMI,malaria,tratamientos iniciados por sospecha,2010-07-01,1,0,0,0,1,0,1
COROICO,malaria,tratamientos iniciados por sospecha,2010-07-01,2,1,0,0,2,1,3
EL TORNO,malaria,tratamientos iniciados por sospecha,2010-07-01,8,9,0,0,8,9,17
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2010-07-01,46,42,0,0,46,42,88
HUACARETA,malaria,tratamientos iniciados por sospecha,2010-07-01,1,2,0,0,1,2,3
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2010-07-01,0,1,0,0,0,1,1
SAIPINA,malaria,tratamientos iniciados por sospecha,2010-07-01,3,3,0,0,3,3,6
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2010-07-01,3,4,0,0,3,4,7
SAN RAMON BENI,malaria,tratamientos iniciados por sospecha,2010-07-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2010-07-01,0,0,0,0,0,0,0
TEOPONTE,malaria,tratamientos iniciados por sospecha,2010-07-01,4,1,0,0,4,1,5
TORO TORO,malaria,tratamientos iniciados por sospecha,2010-07-01,0,1,0,0,0,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2010-08-01,2,3,0,0,2,3,5
EL TORNO,malaria,tratamientos iniciados por sospecha,2010-08-01,5,10,0,0,5,10,15
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos iniciados por sospecha,2010-08-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2010-08-01,1,0,0,0,1,0,1
HUACARETA,malaria,tratamientos iniciados por sospecha,2010-08-01,4,1,0,0,4,1,5
INCAHUASI,malaria,tratamientos iniciados por sospecha,2010-08-01,5,1,0,0,5,1,6
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2010-08-01,0,1,0,0,0,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2010-08-01,2,0,0,0,2,0,2
PORONGO,malaria,tratamientos iniciados por sospecha,2010-08-01,6,3,0,0,6,3,9
SAN BUENA VENTURA,malaria,tratamientos iniciados por sospecha,2010-08-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2010-08-01,1,0,0,0,1,0,1
SAN JOAQUIN,malaria,tratamientos iniciados por sospecha,2010-08-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2010-08-01,0,0,0,0,0,0,0
VILLA CHARCAS,malaria,tratamientos iniciados por sospecha,2010-08-01,0,5,0,0,0,5,5
AZURDUY,malaria,tratamientos iniciados por sospecha,2010-09-01,3,2,0,0,3,2,5
COCHABAMBA,malaria,tratamientos iniciados por sospecha,2010-09-01,2,4,4,2,6,6,12
EL TORNO,malaria,tratamientos iniciados por sospecha,2010-09-01,5,7,0,0,5,7,12
GUANAY,malaria,tratamientos iniciados por sospecha,2010-09-01,4,3,0,0,4,3,7
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2010-09-01,10,0,0,0,10,0,10
GUTIERREZ,malaria,tratamientos iniciados por sospecha,2010-09-01,1,0,0,0,1,0,1
IXIAMAS,malaria,tratamientos iniciados por sospecha,2010-09-01,1,0,0,0,1,0,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2010-09-01,2,0,0,0,2,0,2
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2010-09-01,2,0,0,0,2,0,2
PORONGO,malaria,tratamientos iniciados por sospecha,2010-09-01,6,2,0,0,6,2,8
RIBERALTA,malaria,tratamientos iniciados por sospecha,2010-09-01,17,0,0,0,17,0,17
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2010-09-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2010-09-01,10,3,0,0,10,3,13
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2010-09-01,1,0,0,0,1,0,1
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2010-09-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2010-09-01,0,0,0,0,0,0,0
TEOPONTE,malaria,tratamientos iniciados por sospecha,2010-09-01,1,0,0,0,1,0,1
TORO TORO,malaria,tratamientos iniciados por sospecha,2010-09-01,2,0,0,0,2,0,2
CABEZAS,malaria,tratamientos iniciados por sospecha,2010-10-01,2,1,0,0,2,1,3
COBIJA,malaria,tratamientos iniciados por sospecha,2010-10-01,2,2,0,1,2,3,5
COCHABAMBA,malaria,tratamientos iniciados por sospecha,2010-10-01,1,2,0,0,1,2,3
EL TORNO,malaria,tratamientos iniciados por sospecha,2010-10-01,8,10,0,0,8,10,18
GUANAY,malaria,tratamientos iniciados por sospecha,2010-10-01,5,4,0,0,5,4,9
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2010-10-01,34,25,7,3,41,28,69
HUACARETA,malaria,tratamientos iniciados por sospecha,2010-10-01,0,1,0,0,0,1,1
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2010-10-01,5,12,0,0,5,12,17
POROMA,malaria,tratamientos iniciados por sospecha,2010-10-01,0,1,0,0,0,1,1
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2010-10-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2010-10-01,0,0,0,0,0,0,0
TEOPONTE,malaria,tratamientos iniciados por sospecha,2010-10-01,5,2,0,0,5,2,7
TORO TORO,malaria,tratamientos iniciados por sospecha,2010-10-01,0,3,0,0,0,3,3
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2010-10-01,0,1,0,0,0,1,1
APOLO,malaria,tratamientos iniciados por sospecha,2010-11-01,1,2,0,0,1,2,3
AZURDUY,malaria,tratamientos iniciados por sospecha,2010-11-01,0,7,0,0,0,7,7
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2010-11-01,0,1,0,0,0,1,1
CABEZAS,malaria,tratamientos iniciados por sospecha,2010-11-01,2,2,0,0,2,2,4
COROICO,malaria,tratamientos iniciados por sospecha,2010-11-01,1,5,0,0,1,5,6
EL TORNO,malaria,tratamientos iniciados por sospecha,2010-11-01,17,13,0,0,17,13,30
HUACARETA,malaria,tratamientos iniciados por sospecha,2010-11-01,1,0,0,0,1,0,1
LA PAZ,malaria,tratamientos iniciados por sospecha,2010-11-01,2,3,0,0,2,3,5
MIZQUE,malaria,tratamientos iniciados por sospecha,2010-11-01,1,1,0,0,1,1,2
PADCAYA,malaria,tratamientos iniciados por sospecha,2010-11-01,2,0,0,0,2,0,2
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2010-11-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2010-11-01,6,4,0,0,6,4,10
TEOPONTE,malaria,tratamientos iniciados por sospecha,2010-11-01,12,14,0,0,12,14,26
TORO TORO,malaria,tratamientos iniciados por sospecha,2010-11-01,0,1,0,0,0,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2010-12-01,1,2,0,0,1,2,3
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2010-12-01,2,1,0,0,2,1,3
CABEZAS,malaria,tratamientos iniciados por sospecha,2010-12-01,1,0,0,0,1,0,1
CAMIRI,malaria,tratamientos iniciados por sospecha,2010-12-01,0,1,0,0,0,1,1
CARAPARI,malaria,tratamientos iniciados por sospecha,2010-12-01,0,1,0,0,0,1,1
COROICO,malaria,tratamientos iniciados por sospecha,2010-12-01,9,13,0,0,9,13,22
EL TORNO,malaria,tratamientos iniciados por sospecha,2010-12-01,16,20,0,0,16,20,36
HUACARETA,malaria,tratamientos iniciados por sospecha,2010-12-01,1,0,0,0,1,0,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2010-12-01,1,0,0,0,1,0,1
MIZQUE,malaria,tratamientos iniciados por sospecha,2010-12-01,0,0,0,1,0,1,1
POSTRER VALLE,malaria,tratamientos iniciados por sospecha,2010-12-01,3,6,0,0,3,6,9
REYES,malaria,tratamientos iniciados por sospecha,2010-12-01,1,1,0,0,1,1,2
SAIPINA,malaria,tratamientos iniciados por sospecha,2010-12-01,8,11,0,0,8,11,19
SAN BORJA,malaria,tratamientos iniciados por sospecha,2010-12-01,3,0,0,0,3,0,3
TEOPONTE,malaria,tratamientos iniciados por sospecha,2010-12-01,11,8,0,0,11,8,19
TORO TORO,malaria,tratamientos iniciados por sospecha,2010-12-01,3,3,0,0,3,3,6
