,group,variable,month,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,TOTALES,TOTALES,TOTALES
VALLEGRANDE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,2,0,0,0,2,0,2
VILLA SERRANO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-01-01,1,1,0,0,1,1,2
AIQUILE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,1,0,0,0,1,0,1
APOLO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,2,2,0,0,2,2,4
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,7,6,0,0,7,6,13
BUENA VISTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,3,1,0,0,3,1,4
COBIJA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,3,1,1,1,4,2,6
COMARAPA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,0,4,0,0,0,4,4
CULPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,2,0,0,0,2,0,2
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,2,2,0,0,2,2,4
GUANAY,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,0,1,0,0,0,1,1
HUACARETA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,0,1,0,0,0,1,1
ICLA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,1,0,0,0,1,0,1
LA ASUNTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,2,0,0,0,2,0,2
MAGDALENA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,1,0,0,0,1,0,1
MIZQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,4,1,0,0,4,1,5
MOJOCOYA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,1,0,0,0,1,0,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,11,8,0,0,11,8,19
SAN BORJA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,1,2,0,0,1,2,3
SAN LUCAS,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,0,1,0,0,0,1,1
TARVITA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-02-01,1,0,0,0,1,0,1
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,2,0,0,0,2,0,2
CABEZAS,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,6,1,0,0,6,1,7
CARAPARI,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,3,3,0,0,3,3,6
CULPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,2,2,0,0,2,2,4
GUANAY,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,2,2,0,0,2,2,4
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,1,0,0,0,1,0,1
HUACARETA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,2,1,0,0,2,1,3
LA PAZ,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,5,0,1,0,6,0,6
MIZQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,1,2,0,0,1,2,3
REYES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,2,1,0,0,2,1,3
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,14,9,11,0,25,9,34
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,4,3,0,0,4,3,7
SAN MIGUEL DE VELASCO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-03-01,0,2,0,0,0,2,2
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,14,10,0,0,14,10,24
BUENA VISTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,8,0,0,0,8,0,8
CABEZAS,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,4,0,0,0,4,0,4
CARAPARI,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,3,4,0,0,3,4,7
CULPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,3,2,0,0,3,2,5
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,0,1,0,0,0,1,1
GUANAY,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,0,2,0,0,0,2,2
LA PAZ,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,4,3,0,0,4,3,7
LAGUNILLAS,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,1,0,0,0,1,0,1
MAGDALENA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,1,0,0,0,1,0,1
MIZQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,1,1,0,0,1,1,2
MONTEAGUDO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,3,4,0,0,3,4,7
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,22,10,5,0,27,10,37
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,1,0,1,0,2,0,2
SAIPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,3,5,0,0,3,5,8
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-04-01,7,6,0,0,7,6,13
AZURDUY,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,1,2,0,0,1,2,3
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,10,15,0,0,10,15,25
CABEZAS,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,2,3,0,0,2,3,5
CARANAVI,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,0,2,0,0,0,2,2
CARAPARI,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,1,0,0,0,1,0,1
CULPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,11,23,0,0,11,23,34
HUACARETA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,1,1,0,0,1,1,2
LA PAZ,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,7,2,0,0,7,2,9
MIZQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,3,4,0,0,3,4,7
MOJOCOYA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,1,3,0,0,1,3,4
PALOS BLANCOS,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,1,1,0,0,1,1,2
REYES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,3,3,0,0,3,3,6
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,18,9,1,2,19,11,30
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,0,0,2,0,2,0,2
SAIPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,4,2,0,0,4,2,6
SAN PEDRO(PND),malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,0,1,0,0,0,1,1
VILA VILA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,3,2,0,0,3,2,5
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-05-01,12,18,0,0,12,18,30
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-06-01,11,6,0,0,11,6,17
BUENA VISTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-06-01,0,4,0,0,0,4,4
CARAPARI,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-06-01,1,1,0,0,1,1,2
CULPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-06-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-06-01,1,1,0,0,1,1,2
MAGDALENA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-06-01,2,0,0,0,2,0,2
MIZQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-06-01,1,3,0,0,1,3,4
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-06-01,40,24,4,1,44,25,69
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-06-01,4,0,0,0,4,0,4
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-06-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-06-01,0,0,0,0,0,0,0
VILA VILA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-06-01,1,0,0,0,1,0,1
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,10,15,0,0,10,15,25
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,1,1,0,0,1,1,2
ENTRE RIOS TRJ,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,6,4,0,0,6,4,10
LA PAZ,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,12,1,5,2,17,3,20
MIZQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,3,0,0,0,3,0,3
MONTEAGUDO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,0,1,0,0,0,1,1
PAILON,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,1,0,0,0,1,0,1
REYES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,0,1,0,0,0,1,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,17,10,1,4,18,14,32
SAIPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,0,2,0,0,0,2,2
SAN CARLOS,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,0,0,0,0,0,0,0
VILLA SERRANO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,0,1,0,0,0,1,1
VILLA TUNARI,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-07-01,1,0,0,0,1,0,1
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-08-01,15,11,0,0,15,11,26
CABEZAS,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-08-01,1,0,0,0,1,0,1
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-08-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-08-01,11,11,0,0,11,11,22
IXIAMAS,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-08-01,1,0,0,0,1,0,1
MAGDALENA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-08-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-08-01,1,1,0,0,1,1,2
REYES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-08-01,2,0,0,0,2,0,2
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-08-01,7,3,0,0,7,3,10
SAN BUENA VENTURA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-08-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-08-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-08-01,0,0,0,0,0,0,0
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-08-01,5,0,0,0,5,0,5
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,6,5,0,0,6,5,11
CARANAVI,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,1,0,0,0,1,0,1
CARAPARI,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,1,0,0,0,1,0,1
GUANAY,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,2,0,0,0,2,0,2
LA ASUNTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,2,0,0,0,2,0,2
MAGDALENA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,1,0,0,0,1,0,1
MIZQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,1,0,0,0,1,0,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,7,4,0,2,7,6,13
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,1,0,0,0,1,0,1
SAIPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,0,0,0,0,0,0,0
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-09-01,3,3,0,0,3,3,6
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,14,7,0,0,14,7,21
CARAPARI,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,1,0,0,0,1,0,1
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,1,1,0,0,1,1,2
GUANAY,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,1,0,0,0,1,0,1
MAGDALENA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,0,1,0,0,0,1,1
MIZQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,21,15,0,0,21,15,36
POJO (CBBA),malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,0,1,0,0,0,1,1
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,5,7,0,0,5,7,12
SAIPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,1,2,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,0,0,0,0,0,0,0
VILA VILA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,1,0,0,0,1,0,1
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-10-01,6,3,0,0,6,3,9
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-11-01,5,8,0,0,5,8,13
COCHABAMBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-11-01,0,1,0,0,0,1,1
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-11-01,5,3,0,0,5,3,8
IXIAMAS,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-11-01,1,0,2,0,3,0,3
PORVENIR,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-11-01,9,3,0,0,9,3,12
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-11-01,7,3,5,0,12,3,15
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-11-01,0,2,0,0,0,2,2
SAN BUENA VENTURA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-11-01,2,0,0,0,2,0,2
TORO TORO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-11-01,1,2,0,0,1,2,3
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-11-01,12,12,0,0,12,12,24
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-12-01,11,11,0,0,11,11,22
CAMIRI,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-12-01,1,1,0,0,1,1,2
EL TORNO,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-12-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-12-01,2,1,0,0,2,1,3
PORVENIR,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-12-01,12,18,0,0,12,18,30
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-12-01,10,1,1,1,11,2,13
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2010-12-01,6,3,0,0,6,3,9
