,group,variable,month,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
EL TORNO,malaria,numero de muestras hematicas tomadas,2010-01-01,203,187,0,0,203,187,390
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2010-01-01,279,246,0,0,279,246,525
ENTRE RIOS CBBA,malaria,numero de muestras hematicas tomadas,2010-01-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2010-01-01,35,0,0,0,35,0,35
FILADELFIA,malaria,numero de muestras hematicas tomadas,2010-01-01,29,0,0,0,29,0,29
GUANAY,malaria,numero de muestras hematicas tomadas,2010-01-01,19,25,0,0,19,25,44
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2010-01-01,660,571,68,116,728,687,1415
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2010-01-01,1,0,0,0,1,0,1
ICLA,malaria,numero de muestras hematicas tomadas,2010-01-01,0,4,0,0,0,4,4
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2010-01-01,44,0,0,0,44,0,44
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2010-01-01,8,3,0,0,8,3,11
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2010-01-01,10,8,0,0,10,8,18
LA PAZ,malaria,numero de muestras hematicas tomadas,2010-01-01,20,14,0,0,20,14,34
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2010-01-01,15,19,0,0,15,19,34
MAGDALENA,malaria,numero de muestras hematicas tomadas,2010-01-01,25,15,0,0,25,15,40
MAPIRI,malaria,numero de muestras hematicas tomadas,2010-01-01,4,0,0,0,4,0,4
MIZQUE,malaria,numero de muestras hematicas tomadas,2010-01-01,2,1,2,1,4,2,6
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2010-01-01,25,10,0,0,25,10,35
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2010-01-01,27,18,0,0,27,18,45
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2010-01-01,102,43,0,0,102,43,145
PADCAYA,malaria,numero de muestras hematicas tomadas,2010-01-01,17,15,0,0,17,15,32
PADILLA,malaria,numero de muestras hematicas tomadas,2010-01-01,11,10,0,0,11,10,21
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2010-01-01,38,15,1,0,39,15,54
POROMA,malaria,numero de muestras hematicas tomadas,2010-01-01,0,1,0,0,0,1,1
PORONGO,malaria,numero de muestras hematicas tomadas,2010-01-01,10,5,0,0,10,5,15
PORTACHUELO,malaria,numero de muestras hematicas tomadas,2010-01-01,3,2,3,2,6,4,10
PORVENIR,malaria,numero de muestras hematicas tomadas,2010-01-01,51,47,0,0,51,47,98
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2010-01-01,45,0,0,0,45,0,45
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2010-01-01,54,36,0,0,54,36,90
PUERTO SILES,malaria,numero de muestras hematicas tomadas,2010-01-01,0,2,0,0,0,2,2
PUERTO VILLARROEL,malaria,numero de muestras hematicas tomadas,2010-01-01,3,1,0,0,3,1,4
REYES,malaria,numero de muestras hematicas tomadas,2010-01-01,1,0,0,0,1,0,1
RIBERALTA,malaria,numero de muestras hematicas tomadas,2010-01-01,988,803,7,10,995,813,1808
ROBORE,malaria,numero de muestras hematicas tomadas,2010-01-01,11,0,0,0,11,0,11
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2010-01-01,2,0,0,0,2,0,2
SACABA,malaria,numero de muestras hematicas tomadas,2010-01-01,4,0,0,0,4,0,4
SAIPINA,malaria,numero de muestras hematicas tomadas,2010-01-01,85,86,0,0,85,86,171
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2010-01-01,5,1,0,0,5,1,6
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2010-01-01,45,49,0,0,45,49,94
SAN JOAQUIN,malaria,numero de muestras hematicas tomadas,2010-01-01,0,4,0,0,0,4,4
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2010-01-01,133,6,0,0,133,6,139
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2010-01-01,2,3,0,0,2,3,5
SAN MIGUEL DE VELASCO,malaria,numero de muestras hematicas tomadas,2010-01-01,8,0,0,0,8,0,8
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2010-01-01,19,0,0,0,19,0,19
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2010-01-01,12,4,0,0,12,4,16
SENA,malaria,numero de muestras hematicas tomadas,2010-01-01,180,0,0,0,180,0,180
SOPACHUY,malaria,numero de muestras hematicas tomadas,2010-01-01,1,3,0,0,1,3,4
TEOPONTE,malaria,numero de muestras hematicas tomadas,2010-01-01,25,23,0,0,25,23,48
TOMINA,malaria,numero de muestras hematicas tomadas,2010-01-01,1,1,0,0,1,1,2
TORO TORO,malaria,numero de muestras hematicas tomadas,2010-01-01,10,8,0,0,10,8,18
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2010-01-01,2,0,0,0,2,0,2
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2010-01-01,174,152,0,0,174,152,326
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2010-01-01,50,0,0,0,50,0,50
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2010-01-01,2,3,0,0,2,3,5
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2010-01-01,9,0,0,0,9,0,9
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2010-01-01,5,1,0,0,5,1,6
WARNES,malaria,numero de muestras hematicas tomadas,2010-01-01,2,1,0,0,2,1,3
YACUIBA,malaria,numero de muestras hematicas tomadas,2010-01-01,240,239,0,0,240,239,479
YAPACANI,malaria,numero de muestras hematicas tomadas,2010-01-01,3,3,0,0,3,3,6
AIQUILE,malaria,numero de muestras hematicas tomadas,2010-02-01,7,2,0,0,7,2,9
ALCALA,malaria,numero de muestras hematicas tomadas,2010-02-01,0,3,0,0,0,3,3
APOLO,malaria,numero de muestras hematicas tomadas,2010-02-01,4,4,0,0,4,4,8
AZURDUY,malaria,numero de muestras hematicas tomadas,2010-02-01,5,31,0,0,5,31,36
BAURES,malaria,numero de muestras hematicas tomadas,2010-02-01,29,38,0,0,29,38,67
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2010-02-01,13,2,0,0,13,2,15
BERMEJO,malaria,numero de muestras hematicas tomadas,2010-02-01,33,40,0,0,33,40,73
BOLPEBRA,malaria,numero de muestras hematicas tomadas,2010-02-01,4,0,0,0,4,0,4
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2010-02-01,3,2,0,0,3,2,5
CABEZAS,malaria,numero de muestras hematicas tomadas,2010-02-01,3,3,0,0,3,3,6
CAMARGO,malaria,numero de muestras hematicas tomadas,2010-02-01,1,0,0,0,1,0,1
CAMIRI,malaria,numero de muestras hematicas tomadas,2010-02-01,9,12,0,0,9,12,21
CARANAVI,malaria,numero de muestras hematicas tomadas,2010-02-01,42,26,0,0,42,26,68
CARAPARI,malaria,numero de muestras hematicas tomadas,2010-02-01,32,9,0,0,32,9,41
COBIJA,malaria,numero de muestras hematicas tomadas,2010-02-01,87,0,0,0,87,0,87
COLOMI,malaria,numero de muestras hematicas tomadas,2010-02-01,1,1,0,0,1,1,2
COMARAPA,malaria,numero de muestras hematicas tomadas,2010-02-01,4,8,0,0,4,8,12
COROICO,malaria,numero de muestras hematicas tomadas,2010-02-01,3,5,0,0,3,5,8
CULPINA,malaria,numero de muestras hematicas tomadas,2010-02-01,2,0,0,0,2,0,2
EL TORNO,malaria,numero de muestras hematicas tomadas,2010-02-01,165,126,0,0,165,126,291
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2010-02-01,146,94,0,0,146,94,240
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2010-02-01,46,0,0,0,46,0,46
FILADELFIA,malaria,numero de muestras hematicas tomadas,2010-02-01,2,0,0,0,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2010-02-01,1,0,0,0,1,0,1
GUANAY,malaria,numero de muestras hematicas tomadas,2010-02-01,34,25,0,0,34,25,59
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2010-02-01,990,565,50,39,1040,604,1644
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2010-02-01,2,2,0,0,2,2,4
HUACARETA,malaria,numero de muestras hematicas tomadas,2010-02-01,3,2,0,0,3,2,5
HUMANATA,malaria,numero de muestras hematicas tomadas,2010-02-01,2,0,0,0,2,0,2
ICLA,malaria,numero de muestras hematicas tomadas,2010-02-01,1,0,0,0,1,0,1
INCAHUASI,malaria,numero de muestras hematicas tomadas,2010-02-01,0,1,0,0,0,1,1
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2010-02-01,35,0,0,0,35,0,35
IXIAMAS,malaria,numero de muestras hematicas tomadas,2010-02-01,2,0,0,0,2,0,2
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2010-02-01,2,0,0,0,2,0,2
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2010-02-01,7,10,0,0,7,10,17
LA PAZ,malaria,numero de muestras hematicas tomadas,2010-02-01,24,8,24,8,48,16,64
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2010-02-01,13,18,0,0,13,18,31
MACHARETI,malaria,numero de muestras hematicas tomadas,2010-02-01,1,1,0,0,1,1,2
MAGDALENA,malaria,numero de muestras hematicas tomadas,2010-02-01,55,44,0,0,55,44,99
MAPIRI,malaria,numero de muestras hematicas tomadas,2010-02-01,0,2,0,0,0,2,2
MIZQUE,malaria,numero de muestras hematicas tomadas,2010-02-01,4,1,0,0,4,1,5
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2010-02-01,62,69,0,0,62,69,131
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2010-02-01,20,17,0,0,20,17,37
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2010-02-01,121,0,0,0,121,0,121
PADCAYA,malaria,numero de muestras hematicas tomadas,2010-02-01,12,13,0,0,12,13,25
PADILLA,malaria,numero de muestras hematicas tomadas,2010-02-01,4,7,0,0,4,7,11
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2010-02-01,42,21,0,0,42,21,63
POROMA,malaria,numero de muestras hematicas tomadas,2010-02-01,2,5,0,0,2,5,7
PORONGO,malaria,numero de muestras hematicas tomadas,2010-02-01,5,11,0,0,5,11,16
PORTACHUELO,malaria,numero de muestras hematicas tomadas,2010-02-01,3,2,3,2,6,4,10
PORVENIR,malaria,numero de muestras hematicas tomadas,2010-02-01,97,0,0,0,97,0,97
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2010-02-01,36,0,0,0,36,0,36
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2010-02-01,95,0,0,0,95,0,95
REYES,malaria,numero de muestras hematicas tomadas,2010-02-01,0,0,2,2,2,2,4
RIBERALTA,malaria,numero de muestras hematicas tomadas,2010-02-01,711,574,187,101,898,675,1573
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2010-02-01,1,0,0,0,1,0,1
SAIPINA,malaria,numero de muestras hematicas tomadas,2010-02-01,80,79,0,0,80,79,159
SAN BORJA,malaria,numero de muestras hematicas tomadas,2010-02-01,8,2,0,0,8,2,10
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2010-02-01,2,0,0,0,2,0,2
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2010-02-01,3,2,0,0,3,2,5
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2010-02-01,32,45,0,0,32,45,77
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2010-02-01,23,40,0,0,23,40,63
SAN LORENZO(TJA),malaria,numero de muestras hematicas tomadas,2010-02-01,1,1,0,0,1,1,2
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2010-02-01,2,2,0,0,2,2,4
SAN MATIAS,malaria,numero de muestras hematicas tomadas,2010-02-01,10,13,0,0,10,13,23
SAN MIGUEL DE VELASCO,malaria,numero de muestras hematicas tomadas,2010-02-01,0,1,0,0,0,1,1
SAN PEDRO,malaria,numero de muestras hematicas tomadas,2010-02-01,1,1,0,0,1,1,2
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2010-02-01,30,43,0,0,30,43,73
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2010-02-01,1,0,0,0,1,0,1
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2010-02-01,7,10,0,0,7,10,17
SENA,malaria,numero de muestras hematicas tomadas,2010-02-01,338,0,0,0,338,0,338
SOPACHUY,malaria,numero de muestras hematicas tomadas,2010-02-01,0,5,0,0,0,5,5
SUCRE,malaria,numero de muestras hematicas tomadas,2010-02-01,1,1,0,0,1,1,2
TARVITA,malaria,numero de muestras hematicas tomadas,2010-02-01,1,0,0,0,1,0,1
TEOPONTE,malaria,numero de muestras hematicas tomadas,2010-02-01,25,24,0,0,25,24,49
TOMINA,malaria,numero de muestras hematicas tomadas,2010-02-01,0,3,0,0,0,3,3
TORO TORO,malaria,numero de muestras hematicas tomadas,2010-02-01,0,3,0,0,0,3,3
TOTORA(CBBA),malaria,numero de muestras hematicas tomadas,2010-02-01,1,0,0,0,1,0,1
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2010-02-01,4,1,0,0,4,1,5
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2010-02-01,114,115,0,0,114,115,229
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2010-02-01,88,0,0,0,88,0,88
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2010-02-01,2,1,0,0,2,1,3
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2010-02-01,10,14,0,0,10,14,24
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2010-02-01,5,6,0,0,5,6,11
WARNES,malaria,numero de muestras hematicas tomadas,2010-02-01,4,4,0,0,4,4,8
YACUIBA,malaria,numero de muestras hematicas tomadas,2010-02-01,125,135,0,0,125,135,260
YAPACANI,malaria,numero de muestras hematicas tomadas,2010-02-01,1,2,0,0,1,2,3
ZUDAÑEZ,malaria,numero de muestras hematicas tomadas,2010-02-01,5,0,0,0,5,0,5
AIQUILE,malaria,numero de muestras hematicas tomadas,2010-03-01,11,6,0,0,11,6,17
ALCALA,malaria,numero de muestras hematicas tomadas,2010-03-01,2,10,0,0,2,10,12
ALTO BENI,malaria,numero de muestras hematicas tomadas,2010-03-01,2,2,0,0,2,2,4
APOLO,malaria,numero de muestras hematicas tomadas,2010-03-01,11,8,0,0,11,8,19
AZURDUY,malaria,numero de muestras hematicas tomadas,2010-03-01,43,43,0,0,43,43,86
BAURES,malaria,numero de muestras hematicas tomadas,2010-03-01,26,12,0,0,26,12,38
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2010-03-01,30,0,0,0,30,0,30
BERMEJO,malaria,numero de muestras hematicas tomadas,2010-03-01,44,41,0,0,44,41,85
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2010-03-01,4,2,0,0,4,2,6
CABEZAS,malaria,numero de muestras hematicas tomadas,2010-03-01,12,3,0,0,12,3,15
CAMIRI,malaria,numero de muestras hematicas tomadas,2010-03-01,36,37,0,0,36,37,73
CARANAVI,malaria,numero de muestras hematicas tomadas,2010-03-01,92,66,0,0,92,66,158
CARAPARI,malaria,numero de muestras hematicas tomadas,2010-03-01,953,11,0,0,953,11,964
COBIJA,malaria,numero de muestras hematicas tomadas,2010-03-01,52,0,0,0,52,0,52
COROICO,malaria,numero de muestras hematicas tomadas,2010-03-01,1,1,0,0,1,1,2
CULPINA,malaria,numero de muestras hematicas tomadas,2010-03-01,2,2,0,0,2,2,4
EL TORNO,malaria,numero de muestras hematicas tomadas,2010-03-01,205,214,0,0,205,214,419
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2010-03-01,127,88,0,0,127,88,215
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2010-03-01,21,0,0,0,21,0,21
FILADELFIA,malaria,numero de muestras hematicas tomadas,2010-03-01,98,0,0,0,98,0,98
GUANAY,malaria,numero de muestras hematicas tomadas,2010-03-01,74,60,0,0,74,60,134
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2010-03-01,1348,1064,60,68,1408,1132,2540
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2010-03-01,2,0,0,0,2,0,2
HUACARETA,malaria,numero de muestras hematicas tomadas,2010-03-01,5,3,0,0,5,3,8
HUACAYA (VILLA DE HUACAYA),malaria,numero de muestras hematicas tomadas,2010-03-01,1,0,0,0,1,0,1
ICLA,malaria,numero de muestras hematicas tomadas,2010-03-01,42,65,0,0,42,65,107
INCAHUASI,malaria,numero de muestras hematicas tomadas,2010-03-01,0,2,0,0,0,2,2
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2010-03-01,79,0,0,0,79,0,79
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2010-03-01,10,4,0,0,10,4,14
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2010-03-01,11,15,0,0,11,15,26
LA PAZ,malaria,numero de muestras hematicas tomadas,2010-03-01,226,6,0,0,226,6,232
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2010-03-01,14,8,0,0,14,8,22
MACHARETI,malaria,numero de muestras hematicas tomadas,2010-03-01,0,1,0,0,0,1,1
MAGDALENA,malaria,numero de muestras hematicas tomadas,2010-03-01,63,49,0,0,63,49,112
MAPIRI,malaria,numero de muestras hematicas tomadas,2010-03-01,34,40,0,0,34,40,74
MIZQUE,malaria,numero de muestras hematicas tomadas,2010-03-01,2,2,1,0,3,2,5
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2010-03-01,2,1,0,0,2,1,3
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2010-03-01,241,213,0,0,241,213,454
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2010-03-01,10,16,0,0,10,16,26
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2010-03-01,94,0,0,0,94,0,94
OMEREQUE,malaria,numero de muestras hematicas tomadas,2010-03-01,0,1,0,0,0,1,1
PADCAYA,malaria,numero de muestras hematicas tomadas,2010-03-01,6,7,0,0,6,7,13
PADILLA,malaria,numero de muestras hematicas tomadas,2010-03-01,1,3,0,0,1,3,4
PAILON,malaria,numero de muestras hematicas tomadas,2010-03-01,1,1,0,0,1,1,2
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2010-03-01,38,20,0,0,38,20,58
PORONGO,malaria,numero de muestras hematicas tomadas,2010-03-01,8,15,0,0,8,15,23
PORTACHUELO,malaria,numero de muestras hematicas tomadas,2010-03-01,7,4,7,4,14,8,22
PORVENIR,malaria,numero de muestras hematicas tomadas,2010-03-01,68,63,0,0,68,63,131
PRESTO,malaria,numero de muestras hematicas tomadas,2010-03-01,2,0,0,0,2,0,2
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2010-03-01,52,82,0,0,52,82,134
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2010-03-01,56,0,0,0,56,0,56
PUERTO VILLARROEL,malaria,numero de muestras hematicas tomadas,2010-03-01,1,0,0,0,1,0,1
REYES,malaria,numero de muestras hematicas tomadas,2010-03-01,17,13,0,0,17,13,30
RIBERALTA,malaria,numero de muestras hematicas tomadas,2010-03-01,1001,679,76,172,1077,851,1928
ROBORE,malaria,numero de muestras hematicas tomadas,2010-03-01,6,5,0,0,6,5,11
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2010-03-01,4,3,0,0,4,3,7
SAIPINA,malaria,numero de muestras hematicas tomadas,2010-03-01,85,74,10,5,95,79,174
SAMAIPATA,malaria,numero de muestras hematicas tomadas,2010-03-01,1,0,0,0,1,0,1
SAN BORJA,malaria,numero de muestras hematicas tomadas,2010-03-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2010-03-01,1,0,0,0,1,0,1
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2010-03-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2010-03-01,43,36,0,0,43,36,79
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2010-03-01,20,20,0,0,20,20,40
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2010-03-01,116,149,0,0,116,149,265
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2010-03-01,3,3,0,0,3,3,6
SAN MATIAS,malaria,numero de muestras hematicas tomadas,2010-03-01,5,10,10,4,15,14,29
SAN MIGUEL DE VELASCO,malaria,numero de muestras hematicas tomadas,2010-03-01,1,0,0,0,1,0,1
SAN PEDRO(PND),malaria,numero de muestras hematicas tomadas,2010-03-01,89,0,0,0,89,0,89
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2010-03-01,0,2,0,0,0,2,2
SANTA ROSA,malaria,numero de muestras hematicas tomadas,2010-03-01,12,5,0,0,12,5,17
SANTA ROSA DEL SARA,malaria,numero de muestras hematicas tomadas,2010-03-01,0,0,2,0,2,0,2
SENA,malaria,numero de muestras hematicas tomadas,2010-03-01,396,24,0,0,396,24,420
TARABUCO,malaria,numero de muestras hematicas tomadas,2010-03-01,0,1,0,0,0,1,1
TEOPONTE,malaria,numero de muestras hematicas tomadas,2010-03-01,35,22,0,0,35,22,57
TOMINA,malaria,numero de muestras hematicas tomadas,2010-03-01,2,2,0,0,2,2,4
TORO TORO,malaria,numero de muestras hematicas tomadas,2010-03-01,33,40,0,0,33,40,73
URIONDO (A. CONCEPCION),malaria,numero de muestras hematicas tomadas,2010-03-01,1,0,0,0,1,0,1
VALLEGRANDE,malaria,numero de muestras hematicas tomadas,2010-03-01,2,1,0,0,2,1,3
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2010-03-01,242,255,0,0,242,255,497
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2010-03-01,109,0,0,0,109,0,109
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2010-03-01,2,8,0,0,2,8,10
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2010-03-01,10,10,0,0,10,10,20
WARNES,malaria,numero de muestras hematicas tomadas,2010-03-01,1,1,0,0,1,1,2
YACUIBA,malaria,numero de muestras hematicas tomadas,2010-03-01,170,170,0,0,170,170,340
YAPACANI,malaria,numero de muestras hematicas tomadas,2010-03-01,3,2,0,0,3,2,5
ZUDAÑEZ,malaria,numero de muestras hematicas tomadas,2010-03-01,3,0,0,0,3,0,3
AIQUILE,malaria,numero de muestras hematicas tomadas,2010-04-01,2,3,0,0,2,3,5
ALCALA,malaria,numero de muestras hematicas tomadas,2010-04-01,0,7,0,0,0,7,7
ALTO BENI,malaria,numero de muestras hematicas tomadas,2010-04-01,2,2,0,0,2,2,4
APOLO,malaria,numero de muestras hematicas tomadas,2010-04-01,30,40,0,0,30,40,70
AZURDUY,malaria,numero de muestras hematicas tomadas,2010-04-01,16,24,0,0,16,24,40
BAURES,malaria,numero de muestras hematicas tomadas,2010-04-01,47,52,0,0,47,52,99
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2010-04-01,66,4,0,0,66,4,70
BERMEJO,malaria,numero de muestras hematicas tomadas,2010-04-01,30,29,0,0,30,29,59
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2010-04-01,8,2,0,0,8,2,10
CABEZAS,malaria,numero de muestras hematicas tomadas,2010-04-01,7,4,0,0,7,4,11
CAMIRI,malaria,numero de muestras hematicas tomadas,2010-04-01,18,20,0,0,18,20,38
CARANAVI,malaria,numero de muestras hematicas tomadas,2010-04-01,101,88,0,0,101,88,189
CARAPARI,malaria,numero de muestras hematicas tomadas,2010-04-01,44,25,0,0,44,25,69
CHARAGUA,malaria,numero de muestras hematicas tomadas,2010-04-01,1,0,0,0,1,0,1
COBIJA,malaria,numero de muestras hematicas tomadas,2010-04-01,67,28,0,1,67,29,96
COLOMI,malaria,numero de muestras hematicas tomadas,2010-04-01,1,1,0,0,1,1,2
COMARAPA,malaria,numero de muestras hematicas tomadas,2010-04-01,2,0,0,0,2,0,2
CONCEPCION,malaria,numero de muestras hematicas tomadas,2010-04-01,40,26,0,0,40,26,66
COROICO,malaria,numero de muestras hematicas tomadas,2010-04-01,7,9,0,0,7,9,16
CULPINA,malaria,numero de muestras hematicas tomadas,2010-04-01,3,4,0,0,3,4,7
EL TORNO,malaria,numero de muestras hematicas tomadas,2010-04-01,54,90,0,0,54,90,144
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2010-04-01,127,109,0,0,127,109,236
