,group,variable,month,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
INGAVI (HUMAITA),malaria,numero de tratamientos especificos dispensados,2010-01-01,2,4,0,0,2,4,6
LA GUARDIA,malaria,numero de tratamientos especificos dispensados,2010-01-01,2,1,0,0,2,1,3
LA PAZ,malaria,numero de tratamientos especificos dispensados,2010-01-01,1,0,0,0,1,0,1
MAGDALENA,malaria,numero de tratamientos especificos dispensados,2010-01-01,1,0,0,0,1,0,1
MIZQUE,malaria,numero de tratamientos especificos dispensados,2010-01-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2010-01-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2010-01-01,2,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2010-01-01,33,10,0,0,33,10,43
PADILLA,malaria,numero de tratamientos especificos dispensados,2010-01-01,2,6,0,0,2,6,8
PALOS BLANCOS,malaria,numero de tratamientos especificos dispensados,2010-01-01,2,1,1,0,3,1,4
PORONGO,malaria,numero de tratamientos especificos dispensados,2010-01-01,3,2,0,0,3,2,5
PORVENIR,malaria,numero de tratamientos especificos dispensados,2010-01-01,3,0,0,0,3,0,3
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2010-01-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2010-01-01,5,5,0,0,5,5,10
PUERTO SILES,malaria,numero de tratamientos especificos dispensados,2010-01-01,0,0,0,1,0,1,1
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2010-01-01,77,52,7,10,84,62,146
SAIPINA,malaria,numero de tratamientos especificos dispensados,2010-01-01,21,15,0,0,21,15,36
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos especificos dispensados,2010-01-01,4,6,0,0,4,6,10
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2010-01-01,6,1,1,0,7,1,8
SAN PEDRO(PND),malaria,numero de tratamientos especificos dispensados,2010-01-01,0,1,0,0,0,1,1
SENA,malaria,numero de tratamientos especificos dispensados,2010-01-01,2,5,0,0,2,5,7
TEOPONTE,malaria,numero de tratamientos especificos dispensados,2010-01-01,6,2,0,0,6,2,8
VALLEGRANDE,malaria,numero de tratamientos especificos dispensados,2010-01-01,2,0,0,0,2,0,2
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2010-01-01,13,8,0,0,13,8,21
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2010-01-01,2,1,0,0,2,1,3
VILLA SERRANO,malaria,numero de tratamientos especificos dispensados,2010-01-01,1,1,0,0,1,1,2
YACUIBA,malaria,numero de tratamientos especificos dispensados,2010-01-01,22,25,0,0,22,25,47
AIQUILE,malaria,numero de tratamientos especificos dispensados,2010-02-01,1,0,0,0,1,0,1
AZURDUY,malaria,numero de tratamientos especificos dispensados,2010-02-01,4,3,0,0,4,3,7
BAURES,malaria,numero de tratamientos especificos dispensados,2010-02-01,7,6,0,0,7,6,13
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2010-02-01,2,0,0,0,2,0,2
CARANAVI,malaria,numero de tratamientos especificos dispensados,2010-02-01,8,3,0,0,8,3,11
CARAPARI,malaria,numero de tratamientos especificos dispensados,2010-02-01,0,1,0,0,0,1,1
COBIJA,malaria,numero de tratamientos especificos dispensados,2010-02-01,10,1,1,1,11,2,13
COMARAPA,malaria,numero de tratamientos especificos dispensados,2010-02-01,0,4,0,0,0,4,4
COROICO,malaria,numero de tratamientos especificos dispensados,2010-02-01,1,1,0,0,1,1,2
EL TORNO,malaria,numero de tratamientos especificos dispensados,2010-02-01,40,29,0,0,40,29,69
ENTRE RIOS TRJ,malaria,numero de tratamientos especificos dispensados,2010-02-01,4,2,0,0,4,2,6
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2010-02-01,1,0,0,0,1,0,1
FILADELFIA,malaria,numero de tratamientos especificos dispensados,2010-02-01,2,0,0,0,2,0,2
GUANAY,malaria,numero de tratamientos especificos dispensados,2010-02-01,2,1,0,0,2,1,3
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2010-02-01,126,115,18,14,144,129,273
GUTIERREZ,malaria,numero de tratamientos especificos dispensados,2010-02-01,1,0,0,0,1,0,1
HUACARETA,malaria,numero de tratamientos especificos dispensados,2010-02-01,1,1,0,0,1,1,2
ICLA,malaria,numero de tratamientos especificos dispensados,2010-02-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,numero de tratamientos especificos dispensados,2010-02-01,1,0,0,0,1,0,1
LA GUARDIA,malaria,numero de tratamientos especificos dispensados,2010-02-01,2,1,0,0,2,1,3
LA PAZ,malaria,numero de tratamientos especificos dispensados,2010-02-01,4,2,1,0,5,2,7
LAGUNILLAS,malaria,numero de tratamientos especificos dispensados,2010-02-01,1,0,0,0,1,0,1
MAGDALENA,malaria,numero de tratamientos especificos dispensados,2010-02-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2010-02-01,5,0,0,0,5,0,5
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2010-02-01,7,2,0,0,7,2,9
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2010-02-01,24,0,0,0,24,0,24
PADILLA,malaria,numero de tratamientos especificos dispensados,2010-02-01,4,2,0,0,4,2,6
PALOS BLANCOS,malaria,numero de tratamientos especificos dispensados,2010-02-01,1,1,0,0,1,1,2
PORONGO,malaria,numero de tratamientos especificos dispensados,2010-02-01,0,1,0,0,0,1,1
PORVENIR,malaria,numero de tratamientos especificos dispensados,2010-02-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2010-02-01,9,1,0,0,9,1,10
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2010-02-01,59,50,5,1,64,51,115
SAIPINA,malaria,numero de tratamientos especificos dispensados,2010-02-01,35,21,0,0,35,21,56
SAN BORJA,malaria,numero de tratamientos especificos dispensados,2010-02-01,3,2,0,0,3,2,5
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos especificos dispensados,2010-02-01,1,2,0,0,1,2,3
SAN LORENZO(TJA),malaria,numero de tratamientos especificos dispensados,2010-02-01,1,1,0,0,1,1,2
SAN LUCAS,malaria,numero de tratamientos especificos dispensados,2010-02-01,0,1,0,0,0,1,1
SENA,malaria,numero de tratamientos especificos dispensados,2010-02-01,37,3,0,0,37,3,40
TOMINA,malaria,numero de tratamientos especificos dispensados,2010-02-01,0,2,0,0,0,2,2
VALLEGRANDE,malaria,numero de tratamientos especificos dispensados,2010-02-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2010-02-01,8,0,0,0,8,0,8
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2010-02-01,3,0,1,0,4,0,4
YACUIBA,malaria,numero de tratamientos especificos dispensados,2010-02-01,28,12,0,0,28,12,40
AIQUILE,malaria,numero de tratamientos especificos dispensados,2010-03-01,3,0,0,0,3,0,3
APOLO,malaria,numero de tratamientos especificos dispensados,2010-03-01,1,0,0,0,1,0,1
AZURDUY,malaria,numero de tratamientos especificos dispensados,2010-03-01,5,5,0,0,5,5,10
BAURES,malaria,numero de tratamientos especificos dispensados,2010-03-01,2,0,0,0,2,0,2
BERMEJO,malaria,numero de tratamientos especificos dispensados,2010-03-01,1,1,0,0,1,1,2
CABEZAS,malaria,numero de tratamientos especificos dispensados,2010-03-01,6,1,0,0,6,1,7
CAMIRI,malaria,numero de tratamientos especificos dispensados,2010-03-01,2,0,0,0,2,0,2
CARANAVI,malaria,numero de tratamientos especificos dispensados,2010-03-01,3,3,0,0,3,3,6
CARAPARI,malaria,numero de tratamientos especificos dispensados,2010-03-01,7,5,0,0,7,5,12
CULPINA,malaria,numero de tratamientos especificos dispensados,2010-03-01,1,0,0,0,1,0,1
EL TORNO,malaria,numero de tratamientos especificos dispensados,2010-03-01,11,10,0,0,11,10,21
ENTRE RIOS TRJ,malaria,numero de tratamientos especificos dispensados,2010-03-01,4,2,0,0,4,2,6
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2010-03-01,7,0,1,0,8,0,8
GUANAY,malaria,numero de tratamientos especificos dispensados,2010-03-01,2,3,0,0,2,3,5
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2010-03-01,47,22,19,15,66,37,103
INGAVI (HUMAITA),malaria,numero de tratamientos especificos dispensados,2010-03-01,2,0,1,0,3,0,3
IXIAMAS,malaria,numero de tratamientos especificos dispensados,2010-03-01,2,1,0,0,2,1,3
LA GUARDIA,malaria,numero de tratamientos especificos dispensados,2010-03-01,1,0,0,0,1,0,1
LA PAZ,malaria,numero de tratamientos especificos dispensados,2010-03-01,4,0,1,0,5,0,5
MACHARETI,malaria,numero de tratamientos especificos dispensados,2010-03-01,0,1,0,0,0,1,1
MOJOCOYA,malaria,numero de tratamientos especificos dispensados,2010-03-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2010-03-01,2,2,0,0,2,2,4
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2010-03-01,12,0,1,0,13,0,13
PADCAYA,malaria,numero de tratamientos especificos dispensados,2010-03-01,0,1,0,0,0,1,1
PADILLA,malaria,numero de tratamientos especificos dispensados,2010-03-01,1,0,0,0,1,0,1
PALOS BLANCOS,malaria,numero de tratamientos especificos dispensados,2010-03-01,1,0,0,0,1,0,1
PORONGO,malaria,numero de tratamientos especificos dispensados,2010-03-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2010-03-01,4,0,0,0,4,0,4
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2010-03-01,11,0,0,0,11,0,11
REYES,malaria,numero de tratamientos especificos dispensados,2010-03-01,8,4,0,0,8,4,12
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2010-03-01,120,44,18,4,138,48,186
RURRENABAQUE,malaria,numero de tratamientos especificos dispensados,2010-03-01,7,0,0,0,7,0,7
SAIPINA,malaria,numero de tratamientos especificos dispensados,2010-03-01,21,22,6,2,27,24,51
SAN BORJA,malaria,numero de tratamientos especificos dispensados,2010-03-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos especificos dispensados,2010-03-01,6,2,0,0,6,2,8
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2010-03-01,2,0,1,0,3,0,3
SAN LUCAS,malaria,numero de tratamientos especificos dispensados,2010-03-01,1,0,0,0,1,0,1
SAN PEDRO(PND),malaria,numero de tratamientos especificos dispensados,2010-03-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos especificos dispensados,2010-03-01,0,1,0,0,0,1,1
SENA,malaria,numero de tratamientos especificos dispensados,2010-03-01,42,13,6,0,48,13,61
TARABUCO,malaria,numero de tratamientos especificos dispensados,2010-03-01,0,1,0,0,0,1,1
TEOPONTE,malaria,numero de tratamientos especificos dispensados,2010-03-01,2,2,0,0,2,2,4
TORO TORO,malaria,numero de tratamientos especificos dispensados,2010-03-01,5,1,0,0,5,1,6
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2010-03-01,17,17,0,0,17,17,34
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2010-03-01,4,1,0,0,4,1,5
WARNES,malaria,numero de tratamientos especificos dispensados,2010-03-01,1,0,0,0,1,0,1
YACUIBA,malaria,numero de tratamientos especificos dispensados,2010-03-01,45,40,0,0,45,40,85
ZUDAÑEZ,malaria,numero de tratamientos especificos dispensados,2010-03-01,1,0,0,0,1,0,1
APOLO,malaria,numero de tratamientos especificos dispensados,2010-04-01,1,0,0,0,1,0,1
AZURDUY,malaria,numero de tratamientos especificos dispensados,2010-04-01,3,1,0,0,3,1,4
BAURES,malaria,numero de tratamientos especificos dispensados,2010-04-01,14,10,0,0,14,10,24
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2010-04-01,9,0,0,0,9,0,9
CABEZAS,malaria,numero de tratamientos especificos dispensados,2010-04-01,4,0,0,0,4,0,4
CARANAVI,malaria,numero de tratamientos especificos dispensados,2010-04-01,2,0,0,0,2,0,2
CARAPARI,malaria,numero de tratamientos especificos dispensados,2010-04-01,63,36,0,0,63,36,99
CHARAGUA,malaria,numero de tratamientos especificos dispensados,2010-04-01,1,0,0,0,1,0,1
COBIJA,malaria,numero de tratamientos especificos dispensados,2010-04-01,5,3,1,3,6,6,12
COMARAPA,malaria,numero de tratamientos especificos dispensados,2010-04-01,1,0,0,0,1,0,1
COROICO,malaria,numero de tratamientos especificos dispensados,2010-04-01,0,2,0,0,0,2,2
CULPINA,malaria,numero de tratamientos especificos dispensados,2010-04-01,2,1,0,0,2,1,3
EL TORNO,malaria,numero de tratamientos especificos dispensados,2010-04-01,4,9,0,0,4,9,13
ENTRE RIOS TRJ,malaria,numero de tratamientos especificos dispensados,2010-04-01,11,5,0,0,11,5,16
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2010-04-01,5,3,1,0,6,3,9
FILADELFIA,malaria,numero de tratamientos especificos dispensados,2010-04-01,2,2,0,0,2,2,4
GUANAY,malaria,numero de tratamientos especificos dispensados,2010-04-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2010-04-01,61,50,13,9,74,59,133
INGAVI (HUMAITA),malaria,numero de tratamientos especificos dispensados,2010-04-01,4,0,0,0,4,0,4
IXIAMAS,malaria,numero de tratamientos especificos dispensados,2010-04-01,19,21,9,9,28,30,58
LA GUARDIA,malaria,numero de tratamientos especificos dispensados,2010-04-01,1,3,0,0,1,3,4
LA PAZ,malaria,numero de tratamientos especificos dispensados,2010-04-01,2,2,0,0,2,2,4
LAGUNILLAS,malaria,numero de tratamientos especificos dispensados,2010-04-01,1,0,0,0,1,0,1
MAGDALENA,malaria,numero de tratamientos especificos dispensados,2010-04-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2010-04-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2010-04-01,4,0,0,0,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2010-04-01,5,7,0,0,5,7,12
PADCAYA,malaria,numero de tratamientos especificos dispensados,2010-04-01,1,0,0,0,1,0,1
PORONGO,malaria,numero de tratamientos especificos dispensados,2010-04-01,0,1,0,0,0,1,1
PORVENIR,malaria,numero de tratamientos especificos dispensados,2010-04-01,1,0,0,0,1,0,1
POSTRER VALLE,malaria,numero de tratamientos especificos dispensados,2010-04-01,2,3,0,0,2,3,5
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2010-04-01,5,0,0,0,5,0,5
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2010-04-01,11,3,1,0,12,3,15
REYES,malaria,numero de tratamientos especificos dispensados,2010-04-01,2,1,0,0,2,1,3
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2010-04-01,85,41,14,15,99,56,155
RURRENABAQUE,malaria,numero de tratamientos especificos dispensados,2010-04-01,1,0,1,0,2,0,2
SAIPINA,malaria,numero de tratamientos especificos dispensados,2010-04-01,28,30,0,0,28,30,58
SAN BORJA,malaria,numero de tratamientos especificos dispensados,2010-04-01,1,1,0,0,1,1,2
SAN BUENA VENTURA,malaria,numero de tratamientos especificos dispensados,2010-04-01,1,2,0,0,1,2,3
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos especificos dispensados,2010-04-01,9,15,0,0,9,15,24
SENA,malaria,numero de tratamientos especificos dispensados,2010-04-01,58,0,4,1,62,1,63
TEOPONTE,malaria,numero de tratamientos especificos dispensados,2010-04-01,0,0,1,0,1,0,1
TORO TORO,malaria,numero de tratamientos especificos dispensados,2010-04-01,5,10,0,0,5,10,15
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2010-04-01,33,18,0,0,33,18,51
YACUIBA,malaria,numero de tratamientos especificos dispensados,2010-04-01,12,12,0,0,12,12,24
ZUDAÑEZ,malaria,numero de tratamientos especificos dispensados,2010-04-01,1,0,0,0,1,0,1
APOLO,malaria,numero de tratamientos especificos dispensados,2010-05-01,1,0,0,0,1,0,1
AZURDUY,malaria,numero de tratamientos especificos dispensados,2010-05-01,1,2,0,0,1,2,3
BAURES,malaria,numero de tratamientos especificos dispensados,2010-05-01,10,15,0,0,10,15,25
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2010-05-01,1,0,0,0,1,0,1
BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2010-05-01,1,0,0,0,1,0,1
CABEZAS,malaria,numero de tratamientos especificos dispensados,2010-05-01,2,3,0,0,2,3,5
CARANAVI,malaria,numero de tratamientos especificos dispensados,2010-05-01,2,2,0,0,2,2,4
CARAPARI,malaria,numero de tratamientos especificos dispensados,2010-05-01,5,0,0,0,5,0,5
COBIJA,malaria,numero de tratamientos especificos dispensados,2010-05-01,10,4,1,0,11,4,15
COROICO,malaria,numero de tratamientos especificos dispensados,2010-05-01,1,0,0,0,1,0,1
EL TORNO,malaria,numero de tratamientos especificos dispensados,2010-05-01,4,5,0,0,4,5,9
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2010-05-01,27,0,0,0,27,0,27
FILADELFIA,malaria,numero de tratamientos especificos dispensados,2010-05-01,5,4,0,0,5,4,9
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de tratamientos especificos dispensados,2010-05-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2010-05-01,200,166,2,2,202,168,370
INGAVI (HUMAITA),malaria,numero de tratamientos especificos dispensados,2010-05-01,2,0,0,0,2,0,2
IXIAMAS,malaria,numero de tratamientos especificos dispensados,2010-05-01,8,0,4,2,12,2,14
LA PAZ,malaria,numero de tratamientos especificos dispensados,2010-05-01,3,1,0,0,3,1,4
MOJOCOYA,malaria,numero de tratamientos especificos dispensados,2010-05-01,0,3,0,0,0,3,3
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2010-05-01,0,2,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2010-05-01,9,3,0,0,9,3,12
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2010-05-01,43,27,0,0,43,27,70
PADCAYA,malaria,numero de tratamientos especificos dispensados,2010-05-01,1,4,0,0,1,4,5
PADILLA,malaria,numero de tratamientos especificos dispensados,2010-05-01,0,1,0,0,0,1,1
PALOS BLANCOS,malaria,numero de tratamientos especificos dispensados,2010-05-01,2,0,0,0,2,0,2
PORONGO,malaria,numero de tratamientos especificos dispensados,2010-05-01,1,0,0,0,1,0,1
PORVENIR,malaria,numero de tratamientos especificos dispensados,2010-05-01,2,1,0,0,2,1,3
POSTRER VALLE,malaria,numero de tratamientos especificos dispensados,2010-05-01,10,10,0,0,10,10,20
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2010-05-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2010-05-01,8,0,0,0,8,0,8
PUERTO SILES,malaria,numero de tratamientos especificos dispensados,2010-05-01,1,0,0,0,1,0,1
REYES,malaria,numero de tratamientos especificos dispensados,2010-05-01,4,3,0,1,4,4,8
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2010-05-01,78,56,7,10,85,66,151
RURRENABAQUE,malaria,numero de tratamientos especificos dispensados,2010-05-01,0,0,2,0,2,0,2
SACABA,malaria,numero de tratamientos especificos dispensados,2010-05-01,7,0,0,0,7,0,7
SAIPINA,malaria,numero de tratamientos especificos dispensados,2010-05-01,28,9,0,0,28,9,37
SAN BORJA,malaria,numero de tratamientos especificos dispensados,2010-05-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,malaria,numero de tratamientos especificos dispensados,2010-05-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos especificos dispensados,2010-05-01,5,9,0,0,5,9,14
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2010-05-01,10,0,0,0,10,0,10
SAN PEDRO(PND),malaria,numero de tratamientos especificos dispensados,2010-05-01,1,1,0,0,1,1,2
SENA,malaria,numero de tratamientos especificos dispensados,2010-05-01,21,3,0,0,21,3,24
SOPACHUY,malaria,numero de tratamientos especificos dispensados,2010-05-01,2,0,0,0,2,0,2
TORO TORO,malaria,numero de tratamientos especificos dispensados,2010-05-01,1,3,0,0,1,3,4
VILA VILA,malaria,numero de tratamientos especificos dispensados,2010-05-01,3,2,0,0,3,2,5
VILLA MONTES,malaria,numero de tratamientos especificos dispensados,2010-05-01,17,3,0,0,17,3,20
VILLA NUEVA (LOMA ALTA),malaria,numero de tratamientos especificos dispensados,2010-05-01,11,1,2,0,13,1,14
VILLA SERRANO,malaria,numero de tratamientos especificos dispensados,2010-05-01,1,0,0,0,1,0,1
YACUIBA,malaria,numero de tratamientos especificos dispensados,2010-05-01,21,25,0,0,21,25,46
AIQUILE,malaria,numero de tratamientos especificos dispensados,2010-06-01,0,1,0,0,0,1,1
BAURES,malaria,numero de tratamientos especificos dispensados,2010-06-01,11,6,0,0,11,6,17
BELLA FLOR,malaria,numero de tratamientos especificos dispensados,2010-06-01,5,4,0,0,5,4,9
BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2010-06-01,0,3,0,0,0,3,3
CABEZAS,malaria,numero de tratamientos especificos dispensados,2010-06-01,2,1,0,0,2,1,3
CARANAVI,malaria,numero de tratamientos especificos dispensados,2010-06-01,0,1,0,0,0,1,1
CARAPARI,malaria,numero de tratamientos especificos dispensados,2010-06-01,1,1,0,0,1,1,2
COBIJA,malaria,numero de tratamientos especificos dispensados,2010-06-01,9,9,0,0,9,9,18
COROICO,malaria,numero de tratamientos especificos dispensados,2010-06-01,2,1,0,0,2,1,3
CULPINA,malaria,numero de tratamientos especificos dispensados,2010-06-01,1,0,0,0,1,0,1
EL TORNO,malaria,numero de tratamientos especificos dispensados,2010-06-01,9,5,0,0,9,5,14
ENTRE RIOS TRJ,malaria,numero de tratamientos especificos dispensados,2010-06-01,6,2,0,0,6,2,8
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2010-06-01,8,4,0,0,8,4,12
FILADELFIA,malaria,numero de tratamientos especificos dispensados,2010-06-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2010-06-01,291,240,2,2,293,242,535
INGAVI (HUMAITA),malaria,numero de tratamientos especificos dispensados,2010-06-01,7,3,0,0,7,3,10
IXIAMAS,malaria,numero de tratamientos especificos dispensados,2010-06-01,11,3,11,5,22,8,30
LA PAZ,malaria,numero de tratamientos especificos dispensados,2010-06-01,5,1,2,0,7,1,8
MAGDALENA,malaria,numero de tratamientos especificos dispensados,2010-06-01,2,0,0,0,2,0,2
MIZQUE,malaria,numero de tratamientos especificos dispensados,2010-06-01,0,1,0,0,0,1,1
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2010-06-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de tratamientos especificos dispensados,2010-06-01,10,17,0,0,10,17,27
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de tratamientos especificos dispensados,2010-06-01,48,16,2,0,50,16,66
PADILLA,malaria,numero de tratamientos especificos dispensados,2010-06-01,2,1,0,0,2,1,3
PALOS BLANCOS,malaria,numero de tratamientos especificos dispensados,2010-06-01,0,1,0,0,0,1,1
PORONGO,malaria,numero de tratamientos especificos dispensados,2010-06-01,3,0,0,0,3,0,3
PORVENIR,malaria,numero de tratamientos especificos dispensados,2010-06-01,3,1,0,0,3,1,4
PUERTO GONZALO MORENO,malaria,numero de tratamientos especificos dispensados,2010-06-01,16,3,2,0,18,3,21
PUERTO RICO,malaria,numero de tratamientos especificos dispensados,2010-06-01,3,5,0,0,3,5,8
RIBERALTA,malaria,numero de tratamientos especificos dispensados,2010-06-01,132,78,12,6,144,84,228
RURRENABAQUE,malaria,numero de tratamientos especificos dispensados,2010-06-01,4,0,0,0,4,0,4
SAIPINA,malaria,numero de tratamientos especificos dispensados,2010-06-01,12,6,0,0,12,6,18
SAN BORJA,malaria,numero de tratamientos especificos dispensados,2010-06-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,malaria,numero de tratamientos especificos dispensados,2010-06-01,2,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,malaria,numero de tratamientos especificos dispensados,2010-06-01,3,3,0,0,3,3,6
SAN LORENZO(PND),malaria,numero de tratamientos especificos dispensados,2010-06-01,10,8,1,0,11,8,19
